"institution",period,"Betrag EUR","DOI","Journal","ISSN.1","ISSN.2","Publisher","base.url","record.id","is_hybrid"
"GFZ Potsdam",2020,428.40,"10.5194/adgeo-49-225-2019","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",4947891,FALSE
"GFZ Potsdam",2020,1713.60,"10.5194/se-10-2073-2019","Solid Earth","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",4909905,FALSE
"GFZ Potsdam",2020,1338.75,"10.5194/se-10-1921-2019 ","Solid Earth","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",4728890,FALSE
"GFZ Potsdam",2020,428.40,"10.5194/adgeo-49-197-2019","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",4772889,FALSE
"GFZ Potsdam",2020,963.90,"10.5194/esurf-7-1009-2019","Earth Surface Dynamics","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",4883921,FALSE
"GFZ Potsdam",2020,1927.80,"10.5194/bg-16-3941-2019","Biogeosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",4685892,FALSE
"GFZ Potsdam",2020,257.04,"10.5194/adgeo-49-149-2019","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5000528,FALSE
"GFZ Potsdam",2020,1227.56,"10.3389/ffgc.2019.00085","Frontiers in Forests and Global Change","NA","NA","Frontiers","https://gfzpublic.gfz-potsdam.de",4917895,FALSE
"GFZ Potsdam",2020,1927.80,"10.1088/1748-9326/ab68ac","Environmental Research Letters","NA","NA","IOP Publishing","https://gfzpublic.gfz-potsdam.de",5000197,FALSE
"GFZ Potsdam",2020,1702.30,"10.3390/rs12030474","Remote Sensing","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5000438,FALSE
"GFZ Potsdam",2020,297.50,"10.1515/geo-2020-0050 ","Open Geosciences","NA","NA","De Gruyter","https://gfzpublic.gfz-potsdam.de",5003102,FALSE
"GFZ Potsdam",2020,297.50,"10.1515/geo-2020-0032","Open Geosciences","NA","NA","De Gruyter","https://gfzpublic.gfz-potsdam.de",5003105,FALSE
"GFZ Potsdam",2020,1682.46,"10.3390/rs12020314","Remote Sensing","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5001249,FALSE
"GFZ Potsdam",2020,1715.16,"10.3390/en13051171","Energies","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5001073,FALSE
"GFZ Potsdam",2020,295.12,"10.5194/adgeo-50-57-2020","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003240,FALSE
"GFZ Potsdam",2020,2142.00,"10.5194/esurf-8-103-2020","Earth Surface Dynamics","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5000523,FALSE
"GFZ Potsdam",2020,2249.10,"10.5194/nhess-20-377-2020","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5001664,FALSE
"GFZ Potsdam",2020,1874.25,"10.5194/nhess-20-323-2020","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5000206,FALSE
"GFZ Potsdam",2020,1725.50,"10.5194/se-11-95-2020","Solid Earth","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5000142,FALSE
"GFZ Potsdam",2020,5212.20,"10.1038/s41467-020-16176-x","Nature Communications","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de",5002330,FALSE
"GFZ Potsdam",2020,1637.30,"10.3390/w12051291","Water  ","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5001840,FALSE
"GFZ Potsdam",2020,1868.30,"10.1038/s41598-020-65386-2","Scientific Reports","NA","NA","Springer Nature","https://gfzpublic.gfz-potsdam.de",5003222,FALSE
"GFZ Potsdam",2020,1843.51,"10.3390/ma13143100","Materials","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5002661,FALSE
"GFZ Potsdam",2020,1566.00,"10.5194/hess-24-3271-2020","Hydrology and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002136,FALSE
"GFZ Potsdam",2020,1670.40,"10.5194/angeo-38-749-2020","Annales Geophysicae","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003302,FALSE
"GFZ Potsdam",2020,2192.40,"10.5194/hess-24-3289-2020","Hydrology and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002438,FALSE
"GFZ Potsdam",2020,835.20,"10.5194/nhess-20-1609-2020","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002134,FALSE
"GFZ Potsdam",2020,2505.60,"10.5194/esurf-8-447-2020","Earth Surface Dynamics","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002603,FALSE
"GFZ Potsdam",2020,934.96,"10.5194/angeo-38-611-2020","Annales Geophysicae","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002612,FALSE
"GFZ Potsdam",2020,2088.00,"10.5194/se-11-607-2020","Solid Earth","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5001817,FALSE
"GFZ Potsdam",2020,833.60,"10.5194/esurf-8-261-2020 ","Earth Surface Dynamics","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002015,FALSE
"GFZ Potsdam",2020,1566.00,"10.5194/esurf-8-245-2020","Earth Surface Dynamics","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5002012,FALSE
"GFZ Potsdam",2020,1357.20,"10.5194/nhess-20-967-2020","Natural Hazards and Earth System Sciences ","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5001649,FALSE
"GFZ Potsdam",2020,1392.00,"10.5194/hess-24-1633-2020","Hydrology and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5001466,FALSE
"GFZ Potsdam",2020,1467.12,"10.3390/min10080657 ","Minerals","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5003206,FALSE
"GFZ Potsdam",2020,1843.51,"10.3390/rs12121961","Remote Sensing","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5003225,FALSE
"GFZ Potsdam",2020,2041.60,"10.1002/ansa.202000036","Analytical Science Advances","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de",5002235,FALSE
"GFZ Potsdam",2020,1508.00,"10.1029/2019MS001876","Journal of Advances in Modeling Earth Systems","NA","NA","Wiley","https://gfzpublic.gfz-potsdam.de",5002076,FALSE
"GFZ Potsdam",2020,292.32,"10.5194/adgeo-54-15-2020","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003365,FALSE
"GFZ Potsdam",2020,1774.80,"10.5194/nhess-20-2503-2020","Natural Hazards and Earth System Sciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003218,FALSE
"GFZ Potsdam",2020,1044.00,"10.5194/amt-13-4963-2020","Atmospheric Measurement Techniques","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003519,FALSE
"GFZ Potsdam",2020,974.40,"10.5194/ejm-32-469-2020","European Journal of Mineralogy","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003360,FALSE
"GFZ Potsdam",2020,119.89,"10.5194/adgeo-54-1-2020","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003107,FALSE
"GFZ Potsdam",2020,2088.00,"10.5194/gmd-13-3863-2020","Geoscientific Model Development","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003086,FALSE
"GFZ Potsdam",2020,292.32,"10.5194/adgeo-54-33-2020","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5003550,FALSE
"GFZ Potsdam",2020,467.48,"10.5194/adgeo-54-41-2020","Advances in Geosciences","NA","NA","Copernicus","https://gfzpublic.gfz-potsdam.de",5004741,FALSE
"GFZ Potsdam",2020,2169.20,"10.1016/j.ejrh.2020.100746","Journal of Hydrology: Regional Studies","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de",5004613,FALSE
"GFZ Potsdam",2020,1542.79,"10.3389/feart.2020.585733","Frontiers in Earth Science","NA","NA","Frontiers","https://gfzpublic.gfz-potsdam.de",5003664,FALSE
"GFZ Potsdam",2020,1644.39,"10.3390/w12113078","Water","NA","NA","MDPI","https://gfzpublic.gfz-potsdam.de",5004236,FALSE
"GFZ Potsdam",2020,2487.89,"10.3389/feart.2020.592561","Frontiers in Earth Science ","NA","NA","Frontiers","https://gfzpublic.gfz-potsdam.de",5003882,FALSE
"GFZ Potsdam",2020,4302.27,"10.1126/sciadv.abc0380","Science Advances","NA","NA","American Association for the Advancement of Science","https://gfzpublic.gfz-potsdam.de",5005534,FALSE
"GFZ Potsdam",2020,1535.10,"10.1016/j.chemer.2020.125611","Chemie der Erde = Geochemistry","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5000721,TRUE
"GFZ Potsdam",2020,3531.65,"10.1021/acs.est.9b07092","Environmental Science & Technology","NA","NA","American Chemical Society","https://gfzpublic.gfz-potsdam.de ",5001694,TRUE
"GFZ Potsdam",2020,3110.18,"10.1016/j.orggeochem.2020.103995","Organic Geochmistry","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5001367,TRUE
"GFZ Potsdam",2020,2771.83,"10.5382/econgeo.4733","Economic Geology","NA","NA","Society of Economic Geologists","https://gfzpublic.gfz-potsdam.de ",5002289,TRUE
"GFZ Potsdam",2020,2743.85,"10.5382/econgeo.4719","Economic Geology","NA","NA","Society of Economic Geologists","https://gfzpublic.gfz-potsdam.de ",5002962,TRUE
"GFZ Potsdam",2020,2046.80,"10.1016/j.wasec.2020.100061","Water Security","NA","NA","Elsevier","https://gfzpublic.gfz-potsdam.de ",5001836,TRUE
