period;tatsächliche Gesamtkosten;doi;url;is_hybrid;publisher;journal_full_title;issn.1;;Date
2021;1558,81;10.1371/journal.pone.0243049;;false;Plos;PloS ONE;1932-6203;;Jan 21
;1942,01;10.3389/fmats.2020.589701;;false;Frontiers;Frontiers in Materials;2296-8016;;Mar 21
2021;1732,81;10.3390/app11010380;;false;MDPI;Applied Sciences;2076-3417;;Jan 21
2021;1948,45;10.3389/fimmu.2020.581352;;false;Frontiers;Frontiers in Immunology;1664-3224;;Jan 21
2021;1388,08;10.3390/biomedicines9010058;;false;MDPI;Biomedicines;2227-9059;;Jan 21
2021;1784,67;10.3390/catal11010098;;false;MDPI;Catalysts;2073-4344;;Jan 21
2021;989,2;10.3390/sports9010012;;false;MDPI;Sports;2075-4663;;Jan 21
2021;2016,02;10.3389/fncel.2020.625513;;false;Frontiers;Frontiers in Cellular Neuroscience;1662-5102;;Jan 21
2021;1691,9;10.3389/fncel.2020.627987;;false;Frontiers;Frontiers in Cellular Neuroscience;1662-5102;;Jan 21
2021;2016,02;10.3389/fpubh.2020.625664;;false;Frontiers;Frontiers in Public Health;2296-2565;;Jan 21
2021;1215,42;10.3390/jcm10020356;;false;MDPI;jcm Journal of clinical medicine;2077-0383;;Jan 21
2021;1789,97;10.3390/su13031219;;false;MDPI;Sustainability;2071-1050;;Jan 21
2021;2016,02;10.3389/fimmu.2020.586168;;false;Frontiers;Frontiers in Immunology;1664-3224;;Jan 21
2021;2016,02;10.3389/fimmu.2020.607889;;false;Frontiers;Frontiers in Immunology;1664-3224;;Jan 21
2021;2010,17;10.3390/ma14030618;;false;MDPI;Materials;1996-1944;;Jan 21
2021;0;10.3390/vaccines9020088;;false;MDPI;Vaccines;2076-393X;;Jan 21
2021;1175,93;10.3390/cancers13010159;;false;MDPI;Cancers;2072-6694;;Jan 21
2021;2016,02;10.3389/fimmu.2020.534731;;false;Frontiers;Frontiers in Immunology;1664-3224;;Jan 21
2021;1700,79;10.1371/journal.pone.0246299;;false;PLOS;PloS ONE ;1932-6203;;Feb 21
2021;1983,69;10.3390/ma14040846;;false;MDPI;Materials;1996-1944;;Feb 21
2021;1948,45; 10.3389/fonc.2020.617506;;false;Frontiers;Frontiers in Oncology;2234-943X;;Jan 21
2021;1308,33;10.12688/f1000research.29032.1;;false;T&F;F1000 Research;2046-1402;;Jan 21
2021;1820,7;10.1016/j.ijid.2021.01.046 ;;false;Elsevier;International Journal of Infectious Diseases;1201-9712;;Jan 21
2021;1487,77;10.3390/pathogens10020187;;false;MDPI;Pathogens;2076-0817;;Feb 21
2021;2176,63;10.3390/cancers13040731;;false;MDPI;Cancers;2072-6694;;Feb 21
2021;1780,88;10.3390/jof7020132;;false;MDPI;Journal of Fungi;2309-608X;;Feb 21
2021;1978,76;10.3390/cancers13040789;;false;MDPI;Cancers;2072-6694;;Feb 21
2021;989,38;10.3390/cosmetics8010016;;false;MDPI;Cosmetics;2079-9284;;Feb 21
2021;1982,78;10.3390/vaccines9020169;;false;MDPI;Vaccines;2076-393X;;Feb 21
2021;1982,78;10.3390/w13040576;;false;MDPI;Water;2073-4441;;Feb 21
2021;806,75;10.22495/cocv18i2art15;;false;Virtus Interpress;Corporate Ownership & Control;1810-3057;;Feb 21
2021;1806,08;10.1177/1756286421993701;;false;Sage;Therapeutic Advances in Neurological Disorders;1756-2864;;Feb 21
2021;1978,76;10.3390/biomedicines9020212;;false;MDPI;Biomedicines;2227-9059;;Feb 21
2021;1974,01;10.3390/ijerph18052318;;false;MDPI;ijerph ;1660-4601;;Feb 21
2021;1875,31;10.3390/su13052594;;false;MDPI;sustainability;2071-1050;;Mar 21
2021;1071;10.17645/pag.v9i1.3656;;false;Cogitatio;Politics & Governance;2183-2463;;Feb 21
2021;725,9;10.1016/j.dib.2021.106859;;false;Elsevier;Data in Brief;2352-3409;;Feb 21
2021;2127,65;10.1136/bmjopen-2020-039597;;false;BMJ Publishing;BMJ Open;2044-6055;;Feb 21
2021;664,99; 10.3389/fpos.2021.622512;;false;Frontiers;Frontiers in political Science;2673-3145;;Mar 21
2021;1949,76;10.3390/cancers13061197;;false;MDPI;Cancers;2072-6694;;Mar 21
2021;1880,2;10.1016/j.ctim.2021.102702;;false;Elsevier;Complementary Therapies in Medicine;0965-2299;;Feb 21
2021;2176,63;10.3390/cancers13040829;;false;MDPI;Cancers; 2072-6694;;Feb 21
2021;1507,11;10.1017/fms.2021.5;;false;Cambridge University Press;Forum of Mathematics, Sigma;2050-5094;;Mar 21
2021;1806,08;10.1177/1758835921996506;;false;Sage;Therapeutic Advances in Medical Oncology;1758-8359;;Mar 21
2021;1789,47;10.3390/app11031193;;false;MDPI;Applied Sciences;2076-3417;;Jan 21
2021;0;10.1371/journal.pone.0247087;;false;Plos;PloS ONE ;1932-6203;;Feb 21
2021;1935,65;10.3390/app11062584;;false;MDPI;Applied Sciences;2076-3417;;Mar 21
2021;1887,86;10.3390/cancers13061423;;false;MDPI;Cancers;2072-6694;;Mar 21
2021;2060,32;10.3389/fmed.2021.556776;;false;Frontiers;Frontiers in Medicine Nephrology;2296-858X;;Mar 21
2021;1792,09;10.3390/biology10040260;;false;MDPI;Biology;2079-7737;;Mar 21
2021;1209,72;10.3390/su13073680;;false;MDPI;Sustainability;2071-1050;;Mar 21
2021;787,79;10.1177/1460458221994861;;false;Sage;Health Informatics Journal;1741-2811;;Mar 21
2021;1716,86;10.3390/v13040598;;false;MDPI;Viruses;1999-4915;;Mar 21
2021;1892,65;10.3390/cancers13071605;;false;MDPI;Cancers;2072-6694;;Mar 21
2021;1716,86;10.3390/v13040609;;false;MDPI;Viruses;1999-4915;;Apr 21
2021;1931,47;10.3390/vaccines9040360;;false;MDPI;vaccines;2076-393X;;Apr 21
2021;2000;10.3390/cancers13071728;;false;MDPI;Cancers;2072-6694;;Apr 21
2021;1733,12;10.3390/v13030424;;false;MDPI;Viruses;1999-4915;;Mar 21
2021;2038,41;10.1364/OE.422926 ;;false;OSA;Optics Express;1094-4087;;Apr 21
2021;1329,98;10.1136/jitc-2020-002262;;false;BMJ;Journal for ImmunoTherapy of Cancer;2051-1426;;Mar 21
2021;1931,47;10.3390/ijms22083845;;false;MDPI;ijms;1422-0067;;Apr 21
2021;386,3;10.3390/jrfm14040161;;false;MDPI;jrfm Journal of Risk and Financial Management ;1911-8074;;Apr 21
2021;1241,71;10.1103/PhysRevResearch.3.013261;;false;American Physical Society;Physical Review Research;2643-1564;;Mar 21
2021;967,08;10.3389/fpos.2021.636734;;false;Frontiers;Frontiers in Political Science: Elections and Representation;2673-3145;;Mar 21
2021;2023;10.1055/s-0041-1724104;;false;Thieme;Methods of Information in Medicine;0026-1270;;Apr 21
2021;1545,18;10.3390/healthcare9040480;;false;MDPI;Healthcare;2227-9032;;Apr 21
2021;2000,58;10.3389/fonc.2021.606122;;false;Frontiers;Frontiers in Oncology;2234-943X;;Mar 21
2021;1699;10.3389/fonc.2021.637185;;false;Frontiers;Frontiers in Oncology;2234-943X;;Apr 21
2021;1931,47;10.3390/vaccines9050424;;false;MDPI;Vaccines;2076-393X;;Apr 21
2021;1931,47;10.3390/polym13081343;;false;MDPI;Polymers;2073-4360;;Apr 21
2021;1931,47;10.3390/microorganisms9050906;;false;MDPI;Microorganisms;2076-2607;;Apr 21
2021;1888,54;10.3390/cancers13081876;;false;MDPI;Cancers;2072-6694;;Apr 21
2021;1944,11;10.3390/cancers13030578;;false;MDPI;Cancers;2072-6694;;Feb 21
2021;714;10.4081/or.2021.8794;;false;Page Press;Orthopedic Reviews;2035-8164;;Mar 21
2021;904,32;10.3389/frvir.2021.618855;;false;Frontiers;Frontiers in Virtual Reality;2673-4192;;Apr 21
2021;1650,32;10.1177/17590914211005074;;false;Sage;ASN Neuro;1759-0914;;Apr 21
2021;1502,26;10.3390/ijms22094582;;false;MDPI;ijms;1422-0067;;Apr 21
2021;1995,86;10.3390/cancers13081862;;false;MDPI;Cancers;2072-6694;;Apr 21
2021;1738,33;10.3390/jpm11050351;;false;MDPI;ipm;2075-4426;;Apr 21
2021;1931,47;10.3390/catal11050550;;false;MDPI;Catalysts;2073-4344;;Apr 21
2021;1903,57;10.3390/ijerph18094653;;false;MDPI;ijerph;1660-4601;;Apr 21
2021;1824,16;10.3390/v13050801;;false;MDPI;Viruses;1999-4915;;Apr 21
2021;1931,47;10.3390/cells10051105;;false;MDPI;Cells;2073-4409;;May 21
2021;1773,65;10.3390/jcm10091993;;false;MDPI;JCM;2077-0383;;May 21
2021;1850,99;10.3390/ijerph18094893;;false;MDPI;ijerph;1661-7827;;May 21
2021;1975,45;10.3389/fgene.2021.663272   ;;false;Frontiers;Frontiers in Genetics;1664-8021;;Apr 21
2021;1677,39;10.3389/fonc.2021.679702 ;;false;Frontiers;Frontiers in Oncology;2234-943X;;May 21
2021;1975,45;10.3389/fimmu.2021.669747 ;;false;Frontiers;Frontiers in Immunology;1664-3224;;May 21
2021;1545,18;10.3390/children8050371;;false;MDPI;Children;2227-9067;;May 21
2021;1723,85;10.1371/journal.pone.0250016;;false;PLOS;PloS ONE ;1932-6203;;Apr 21
2021;1834,9;10.3390/su13105575;;false;MDPI;Sustainability;2071-1050;;May 21
2021;2000,58;10.3389/fenrg.2021.654460;;false;Frontiers;Frontiers in Energy Research;2296-598X;;May 21
2021;965,73;10.3390/jof7050380;;false;MDPI;jof;2309-608X ;;May 21
2021;1180,34;10.3390/cancers13102319;;false;MDPI;Cancers;2072-6694 ;;May 21
2021;1570,8;10.1080/21663831.2021.1920510;;false;Taylor & Francis;Materials Reseach Letters Online;2166-3831;;May 21
2021;1904;10.3390/jcm10102056;;false;MDPI;jcm;2077-0383 ;;May 21
2021;1975,45;10.3389/fonc.2021.599018;;false;Frontiers;Frontiers in Oncology;2234-943X;;May 21
2021;2000,58;10.3389/fneur.2021.653483;;false;Frontiers;Frontiers in Neurology;1664-2295;;May 21
2021;1699;10.3389/fgene.2021.667231;;false;Frontiers;Frontiers in Genetics;1664-8021;;Apr 21
2021;1931,47;10.3390/app11104687;;false;MDPI;Applied Sciences;2076-3417 ;;May 21
2021;1352,03;10.3390/fi13050136;;false;MDPI;Future Internet;1999-5903 ;;May 21
2021;1931,47;10.3390/jcm10092022;;false;MDPI;jcm;2077-0383 ;;May 21
2021;1888,54;10.3390/cancers13102336;;false;MDPI;Cancers;2072-6694 ;;May 21
2021;965,73;10.3390/pathogens10050622;;false;MDPI;Pathogens;2076-0817 ;;May 21
2021;2000,58;10.3389/fonc.2021.635096;;false;Frontiers;Frontiers in Oncology;2234-943X;;May 21
2021;1939,7;10.1088/1367-2630/abf704;;false;IOP;New Journal of Physics;1367-2630;;May 21
2021;2014,93;10.2196/26385 ;;false;JMIR;Journal of Medical Internet Research;1438-8871;;Jun 21
2021;1975,45;10.3389/fimmu.2021.656433;;false;Frontiers;Frontiers in Immunology;1664-3224;;May 21
2021;1677,39;10.3389/fmed.2021.582620;;false;Frontiers;Frontiers in Medicine;2296-858X;;May 21
2021;1356,23;10.1155/2021/5531974;;false;Hindawi;Adsorption Science & Technology;2048-4038;;May 21
2021;2117,31;10.1136/bmjopen-2020-047059;;false;BMJ;BMJ Open;2044-6055;;May 21
2021;1931,47;10.3390/ma14112864;;false;MDPI;Materials;1996-1944 ;;May 21
2021;1703,82;10.1371/journal.pone.0252304;;false;Plos;PloS ONE ;1932-6203;;Jun 21
2021;1931,47;10.3390/jcm10081791;;false;MDPI;Journal of clinical medicine;2077-0383 ;;Apr 21
2021;1487,5;10.3233/TUB-200072;;false;IOS;Tumor biology;1423-0380;;Apr 21
2021;1060;10.3389/pore.2021.629993;;false;Frontiers;Pathology and Oncology Research;1532-2807;;Apr 21
2021;857,35;10.15694/mep.2021.000124.1;;false;MedEdPublish Editorial Office;MedEdPublish;2312–7996;;May 21
2021;1071;10.2478/raon-2021-0027;;false;Association of Radiology and Oncology;Radiology and Oncology;1581-3207;;May 21
