pos;institution_name;journal_title;eissn;doi;url;accepted;par_fee;initial_opt-out
1;Universität Duisburg-Essen;ADVANCED MATERIALS INTERFACES;2196-7350;10.1002/admi.202201389;https://doi.org/10.1002/admi.202201389;18.07.2022;2750;optin
2;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200065;https://doi.org/10.1002/pamm.202200065;31.10.2022;2750;optin
3;Universität Duisburg-Essen;CHEMISTRY - A EUROPEAN JOURNAL;1521-3765;10.1002/chem.202104618;https://doi.org/10.1002/chem.202104618;16.05.2022;2750;optin
4;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200066;https://doi.org/10.1002/pamm.202200066;16.11.2022;2750;optin
5;Universität Duisburg-Essen;SMALL;1613-6829;10.1002/smll.202205827;https://doi.org/10.1002/smll.202205827;15.12.2022;2750;optin
6;Universität Duisburg-Essen;ARTIFICIAL ORGANS;1525-1594;10.1111/aor.14264;https://doi.org/10.1111/aor.14264;07.04.2022;2750;optin
7;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200115;https://doi.org/10.1002/pamm.202200115;14.11.2022;2750;optin
8;Universität Duisburg-Essen;MATERIALWISSENSCHAFT UND WERKSTOFFTECHNIK;1521-4052;10.1002/mawe.202100285;https://doi.org/10.1002/mawe.202100285;26.01.2022;2750;optin
9;Universität Duisburg-Essen;CE/PAPERS;2509-7075;10.1002/cepa.1667;https://doi.org/10.1002/cepa.1667;27.02.2022;2750;optin
10;Universität Duisburg-Essen;CHEMISTRY - A EUROPEAN JOURNAL;1521-3765;10.1002/chem.202200444;https://doi.org/10.1002/chem.202200444;27.02.2022;2750;optin
11;Universität Duisburg-Essen;CLINICAL & EXPERIMENTAL ALLERGY;1365-2222;10.1111/cea.14172;https://doi.org/10.1111/cea.14172;12.04.2022;2750;optin
12;Universität Duisburg-Essen;ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE;1521-3749;10.1002/zaac.202200293;https://doi.org/10.1002/zaac.202200293;05.10.2022;2750;optin
13;Universität Duisburg-Essen;JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A;1552-4965;10.1002/jbm.a.37393;https://doi.org/10.1002/jbm.a.37393;21.03.2022;2750;optin
14;Universität Duisburg-Essen;JOURNAL OF APPLIED CRYSTALLOGRAPHY;1600-5767;10.1107/S1600576722010858;https://doi.org/10.1107/S1600576722010858;10.11.2022;2750;optin
15;Universität Duisburg-Essen;JOURNAL OF SOFTWARE: EVOLUTION AND PROCESS;2047-7481;10.1002/smr.2451;https://doi.org/10.1002/smr.2451;16.03.2022;2750;optin
16;Universität Duisburg-Essen;FAMILY PROCESS;1545-5300;10.1111/famp.12844;https://doi.org/10.1111/famp.12844;01.11.2022;2750;optin
17;Universität Duisburg-Essen;CHEMISTRY - A EUROPEAN JOURNAL;1521-3765;10.1002/chem.202202481;https://doi.org/10.1002/chem.202202481;28.09.2022;2750;optin
18;Universität Duisburg-Essen;APPLIED COGNITIVE PSYCHOLOGY;1099-0720;10.1002/acp.3973;https://doi.org/10.1002/acp.3973;08.06.2022;2750;optin
19;Universität Duisburg-Essen;CHEMPLUSCHEM;2192-6506;10.1002/cplu.202100487;https://doi.org/10.1002/cplu.202100487;03.02.2022;2750;optin
20;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200016;https://doi.org/10.1002/pamm.202200016;16.10.2022;2750;optin
21;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200232;https://doi.org/10.1002/pamm.202200232;11.10.2022;2750;optin
22;Universität Duisburg-Essen;CHEMELECTROCHEM;2196-0216;10.1002/celc.202200267;https://doi.org/10.1002/celc.202200267;05.05.2022;2750;optin
23;Universität Duisburg-Essen;CHEMCATCHEM;1867-3899;10.1002/cctc.202101785;https://doi.org/10.1002/cctc.202101785;03.02.2022;2750;optin
24;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200030;https://doi.org/10.1002/pamm.202200030;19.10.2022;2750;optin
25;Universität Duisburg-Essen;ADVANCED THEORY AND SIMULATIONS;2513-0390;10.1002/adts.202200619;https://doi.org/10.1002/adts.202200619;27.11.2022;2750;optin
26;Universität Duisburg-Essen;MATHEMATICAL METHODS IN THE APPLIED SCIENCES;1099-1476;10.1002/mma.8242;https://doi.org/10.1002/mma.8242;23.02.2022;2750;optin
27;Universität Duisburg-Essen;CHEMBIOCHEM;1439-7633;10.1002/cbic.202200519;https://doi.org/10.1002/cbic.202200519;30.10.2022;2750;optin
28;Universität Duisburg-Essen;CE/PAPERS;2509-7075;10.1002/cepa.1807;https://doi.org/10.1002/cepa.1807;25.08.2022;2750;optin
29;Universität Duisburg-Essen;ASIAN JOURNAL OF CONTROL;1934-6093;10.1002/asjc.2885;https://doi.org/10.1002/asjc.2885;11.05.2022;2750;optin
30;Universität Duisburg-Essen;CHEMPHYSCHEM;1439-7641;10.1002/cphc.202200033;https://doi.org/10.1002/cphc.202200033;30.03.2022;2750;optin
31;Universität Duisburg-Essen;POPULATION, SPACE AND PLACE;1544-8452;10.1002/psp.2638;https://doi.org/10.1002/psp.2638;23.11.2022;2750;optin
32;Universität Duisburg-Essen;CHEMIE INGENIEUR TECHNIK;1522-2640;10.1002/cite.202100156;https://doi.org/10.1002/cite.202100156;20.01.2022;2750;optin
33;Universität Duisburg-Essen;ADVANCED HEALTHCARE MATERIALS;2192-2659;10.1002/adhm.202102637;https://doi.org/10.1002/adhm.202102637;10.09.2022;2750;optin
34;Universität Duisburg-Essen;ADVANCED MATERIALS INTERFACES;2196-7350;10.1002/admi.202200192;https://doi.org/10.1002/admi.202200192;15.05.2022;2750;optin
35;Universität Duisburg-Essen;RESEARCH SYNTHESIS METHODS;1759-2887;10.1002/jrsm.1555;https://doi.org/10.1002/jrsm.1555;25.02.2022;2750;optin
36;Universität Duisburg-Essen;CHEMELECTROCHEM;2196-0216;10.1002/celc.202101603;https://doi.org/10.1002/celc.202101603;23.01.2022;2750;optin
37;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200138;https://doi.org/10.1002/pamm.202200138;08.11.2022;2750;optin
38;Universität Duisburg-Essen;PROCEEDINGS IN APPLIED MATHEMATICS & MECHANICS;1617-7061;10.1002/pamm.202200033;https://doi.org/10.1002/pamm.202200033;09.10.2022;2750;optin
40;Universität Duisburg-Essen;ADVANCED FUNCTIONAL MATERIALS;1616-3028;10.1002/adfm.202207105;https://doi.org/10.1002/adfm.202207105;28.07.2022;2750;optin
41;Universität Duisburg-Essen;CLADISTICS;1096-0031;10.1111/cla.12520;https://doi.org/10.1111/cla.12520;27.11.2022;2750;optin
