institution;period;"tatsächliche Gesamtkosten";doi;url;is_hybrid;publisher;journal_full_title;issn.1
Duisburg Essen U;2020;1276;10.1038/s41467-019-13785-z;;false;Springer Nature;Nature Communications;2041-1723
Duisburg Essen U;2020;1580,25;10.1042/BSR20191187;;false;Portland Press;Bioscience Reports;1573-4935
Duisburg Essen U;2020;2025,74;10.1364/OE.28.002909;;false;OSA;Optics Express (OpEx) ;1094-4087
Duisburg Essen U;2020;1737,05;10.1371/journal.pone.0227906;;false;PLOS;PloS ONE;1932-6203
Duisburg Essen U;2020;931,71;10.3390/su12020596;;false;MDPI;Sustainability;2071-1050
Duisburg Essen U;2020;1868,3;10.1038/s41598-020-59208-8;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;1734,43;10.1186/s12871-019-0911-7;;false;BioMed;BMC Anesthesiology;1471-2253
Duisburg Essen U;2020;1168,55;10.1128/MRA.01321-19;;false;Cenveo;Microbiology Resource Announcements;2576-098x
Duisburg Essen U;2020;1301,75;10.3390/pathogens9020096;;false;MDPI;Pathogens;2076-0817
Duisburg Essen U;2020;2081,18;10.3389/fimmu.2019.03027;;false;Frontiers;Frontiers in Immunology;1664-3224
Duisburg Essen U;2020;2047,39;10.3389/fimmu.2019.03127;;false;Frontiers;Frontiers in Immunology;1644-3224
Duisburg Essen U;2020;1171,22;10.3389/fmech.2019.00074;;false;Frontiers;Frontiers in Mechanical Engineering;2297-3079
Duisburg Essen U;2020;1789,4;10.1371/journal.pone.0218905;;false;PLOS;PloS ONE;1932-6203
Duisburg Essen U;2020;1868,3;10.1038/s41598-020-59548-5;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;1772,66;10.1371/journal.pone.0229198;;false;PLOS;Plos ONE;1932-6203
Duisburg Essen U;2020;1802,43;10.3390/cancers12020353;;false;MDPI;Cancers;2072-6694
Duisburg Essen U;2020;1601,31;10.3390/w12020566;;false;MDPI;Water;2073-4441
Duisburg Essen U;2020;2001,61;10.3390/nano10020359;;false;MDPI;Nanomaterials;2079-4991
Duisburg Essen U;2020;1722,51;10.1371/journal.pone.0227972 ;;false;PLOS;PloS ONE;1932-6203
Duisburg Essen U;2020;1868,3;10.1038/s41598-020-60819-4;;false;Springer Nature;Scientific Reports;2045-2322
Duisburg Essen U;2020;1082,9;10.1016/j.comppsych.2020.152160;;false;Elsevier;Comprehensive Psychiatry;1532-8384
Duisburg Essen U;2020;1734,43;10.1186/s12957-020-01823-w;;false;BioMed;World Journal of Surgical Oncology;1477-7819
Duisburg Essen U;2020;1811,26;10.3390/vaccines8010110;;false;MDPI;Vaccines;2076-393X
Duisburg Essen U;2020;1955,33;10.3389/fped.2020.00003 ;;false;Frontiers;Frontiers in Pediatrics;2296-2360
Duisburg Essen U;2020;1922,08;10.3389/fmicb.2020.00044;;false;Frontiers;Frontiers in Microbiology;1664-302X
Duisburg Essen U;2020;1922,08;10.3389/fimmu.2020.00120;;false;Frontiers;Frontiers in Immunology;1664-3224
