institution;period;euro;doi;url;is_hybrid;publisher;journal;issn.1;issn.2;Date
Duisburg Essen U;2019;1686;10.3390/ijms20010024;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Jan 19
Duisburg Essen U;2019;699;10.1177/2050313X18823445;;false;SAGE;SAGE Open Medical Case Reports;2050-313X ;;Jan 19
Duisburg Essen U;2019;1419;10.3390/ijms20010154;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Jan 19
Duisburg Essen U;2019;2142;10.1186/s13014-018-1186-8;;false;BioMed Central;Radiation Oncology;1748-717X;;Jan 19
Duisburg Essen U;2019;333;10.3390/sports7010020;;false;MDPI;Sports;2075-4663;;Jan 19
Duisburg Essen U;2019;1170;10.7717/peerj.5894;;false;PeerJ;PeerJ;2167-8359;;Jan 19
Duisburg Essen U;2019;313;10.3390/robotics8010005;;false;MDPI;Robotics;2218-6581;;Jan 19
Duisburg Essen U;2019;738;10.1080/21663831.2019.1570980;;false;Taylor & Francis;Materials Research Letters;2166-3831;;Jan 19
Duisburg Essen U;2019;2034;10.1097/TXD.0000000000000860;;false;Wolters Kluwer Health;Transplantation Direct ;2373-8731;;Jan 19
Duisburg Essen U;2019;952;10.1080/16000889.2018.1554415;;false;Taylor & Francis;Tellus - Series B :  Chemical and Physical Meteorology;1600-0889;;Jan 19
Duisburg Essen U;2019;1623;10.1186/s13063-019-3197-7;;false;BioMed Central;Trials;1468-6694;1745-6215;Feb 19
Duisburg Essen U;2019;1969;10.1155/2019/3926175;;false;Hindawi;Journal of Immunology Research;2314-7156;;Feb 19
Duisburg Essen U;2019;1451;10.1063/1.5077039;;false;AIP;AIP Advances;2158-3226;;Feb 19
Duisburg Essen U;2019;1890;10.3390/cancers11020238;;false;MDPI;Cancers;2072-6694;;Feb 19
Duisburg Essen U;2019;1708;10.1371/journal.pone.0212237;;false;PLoS;PLoS ONE;1932-6203;;Feb 19
Duisburg Essen U;2019;1885;10.3390/v11020191;;false;MDPI;Viruses;1999-4915;;Feb 19
Duisburg Essen U;2019;1031;10.1039/C8RA04594A;;false;Royal Society of Chemistry;RSC Advances;2046-2069;;Feb 19
Duisburg Essen U;2019;2096;10.1177/1756286419833492;;false;SAGE Publications;Therapeutic Advances in Neurological Disorders ;1756-2864;;Mrz 19
Duisburg Essen U;2019;1427;10.1177/1534735419832361;;false;SAGE Publications;Integrative Cancer Therapies;1552-695X;;Mrz 19
Duisburg Essen U;2019;942;10.3390/biom9030093;;false;MDPI;Biomolecules;2218-273X;;Mrz 19
Duisburg Essen U;2019;1699;10.3390/ijerph16050863;;false;MDPI;International Journal of Environmental Research and Public Health ;1660-4601;;Mrz 19
Duisburg Essen U;2019;1699;10.3390/jcm8030348;;false;MDPI;Journal of Clinical Medicine;2077-0383;;Mrz 19
Duisburg Essen U;2019;945;10.3390/cancers11030356;;false;MDPI;Cancers;2072-6694;;Mrz 19
Duisburg Essen U;2019;2052;10.3389/fendo.2019.00165;;false;Frontiers Media;Frontiers in Endocrinology;1664-2392;;Mrz 19
Duisburg Essen U;2019;1066;10.1039/C8RA09975H;;false;RSC;RSC Advances;2046-2069;;Mrz 19
Duisburg Essen U;2019;297;10.13107/jocr.2250-0685.1368;http://www.jocr.co.in/wp/2019/03/10/2250-0685-1368-fulltext/;false;Indian Orthopaedic Research Group;Journal of Orthopaedic Case Reports;2250-0685;;Mrz 19
Duisburg Essen U;2019;1821;10.1080/20013078.2019.1587567;;false;Taylor & Francis;Journal of Extracellular Vesicles;2001-3078;;Mrz 19
Duisburg Essen U;2019;1904;10.1002/ehf2.12428;;false;MPDL / Wiley-VCH-Verl.;ESC Heart Failure;2055-5822;;Mrz 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-41900-z;;false;Springer Nature;Scientific Reports;2045-2322;;Apr 19
Duisburg Essen U;2019;1038;10.3389/feduc.2019.00028;;false;Frontiers Media;Frontiers in Education;2504-284X;;Apr 19
Duisburg Essen U;2019;2052;10.3389/fimmu.2019.00698;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Apr 19
Duisburg Essen U;2019;1721;10.1371/journal.pone.0214434;;false;PLoS;PLoS ONE;1932-6203;;Apr 19
Duisburg Essen U;2019;1721;10.3390/ijms20071642;;false;MDPI;International Journal of Molecular Sciences;1422-0067 ;1661-6596;Apr 19
Duisburg Essen U;2019;2021;10.3389/fmicb.2019.00757;;false;Frontiers Media;Frontiers in Microbiology;1664-302X;;Apr 19
Duisburg Essen U;2019;1715;10.3390/cancers11040546;;false;MDPI;Cancers;2072-6694;;Apr 19
Duisburg Essen U;2019;2455;10.3389/fpsyg.2019.00693;;false;Frontiers Media;Frontiers in Psychology;1664-1078;;Apr 19
Duisburg Essen U;2019;1834;10.3389/fpsyg.2019.00939;;false;Frontiers Media;Frontiers in Psychology;1664-1078;;Apr 19
Duisburg Essen U;2019;1761;10.1186/s12052-019-0104-3;;false;BioMed Central;Evolution: Education and Outreach;1936-6434;;Apr 19
Duisburg Essen U;2019;524;10.3390/plants8040105;;false;MDPI;Plants;2223-7747;;Apr 19
Duisburg Essen U;2019;1623;10.1186/s13014-019-1269-1;;false;BioMed Central;Radiation Oncology;1748-717X;;Apr 19
Duisburg Essen U;2019;1296;10.3390/ijms20071636;;false;MDPI;International Journal of Molecular Sciences ;1422-0067;1661-6596;Apr 19
Duisburg Essen U;2019;1490;10.3390/ijms20092059;;false;MDPI;International Journal of Molecular Sciences;1422-0067;1661-6596;Apr 19
Duisburg Essen U;2019;1714;10.1002/cjp2.129;;false;MPDL / Wiley-VCH-Verl.;The Journal of Pathology: Clinical Research;2056-4538;;Apr 19
Duisburg Essen U;2019;519;10.3390/bioengineering6020035;;false;MDIP;Bioengineering;2306-5354;;Apr 19
Duisburg Essen U;2019;1612;10.12659/AOT.914246;;false;ISI;Annals of Transplantation;2329-0358;;Mai 19
Duisburg Essen U;2019;1999;10.2147/JIR.S197917;;false;Dove Medical Press;Journal of Inflammation Research;1178-7031;;Mai 19
Duisburg Essen U;2019;2035;10.3389/fmicb.2019.00896;;false;Frontiers Media;Frontiers in Microbiology;1664-302X;;Mai 19
Duisburg Essen U;2019;1998;10.1063/1.5093637;;false;AIP;Structural Dynamics;2329-7778;;Mai 19
Duisburg Essen U;2019;2005;10.1530/EC-19-0064;;false;BioScientifica;Endocrine Connections;2049-3614;;Mai 19
Duisburg Essen U;2019;1999;10.3389/fpsyg.2019.00769;;false;Frontiers Media;Frontiers in Psychology;1664-1078;;Mai 19
Duisburg Essen U;2019;1487;10.1042/BSR20182347;;false;Portland Press;Bioscience Reports;1573-4935;;Mai 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-44771-6;;false;Springer Nature;Scientific Reports;2045-2322;;Mai 19
Duisburg Essen U;2019;1623;10.1186/s12882-019-1340-z;;false;BioMed Central;BMC Nephrology;1471-2369;;Mai 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-43856-6;;false;Springer Nature;Scientific Reports;2045-2322;;Mai 19
Duisburg Essen U;2019;331;10.3390/sports7050114;;false;MDPI;Sports;2075-4663;;Mai 19
Duisburg Essen U;2019;1891;10.3390/nu11051085;;false;MDPI;Nutrients;2072-6643;;Mai 19
Duisburg Essen U;2019;405;10.3390/proteomes7020022;;false;MDPI;Proteomes;2227-7382;;Mai 19
Duisburg Essen U;2019;1255;10.1186/s40323-019-0133-z;;false;BioMed Central;Advanced Modeling and Simulation in Engineering Sciences;2213-7467;;Mai 19
Duisburg Essen U;2019;1886;10.1186/s40425-019-0626-9;;false;BioMed Central;Journal for ImmunoTherapy of Cancer;2051-1426;;Mai 19
Duisburg Essen U;2019;1842;10.1186/s13018-019-1206-x;;false;BioMed Central;Journal of Orthopaedic Surgery and Research;1749-799X;;Mai 19
Duisburg Essen U;2019;310;10.1177/0143831X19846333;;true;Sage;Economic and Industrial Democracy;1461-7099;;Mai 19
Duisburg Essen U;2019;1693;10.3390/s19102232;;false;MDPI;Sensors;1424-8220;;Mai 19
Duisburg Essen U;2019;1923;10.1530/EC-19-0068;;false;BioScientifica;Endocrine Connections ;2049-3614;;Mai 19
Duisburg Essen U;2019;1582;10.1002/cam4.2162;;false;MPDL / Wiley-VCH-Verl.;Cancer Medicine;2045-7634;;Mai 19
Duisburg Essen U;2019;1773;10.1038/s41598-019-45259-z;;false;Springer Nature;Scientific Reports;2045-2322;;Jun 19
Duisburg Essen U;2019;1623;10.1186/s12871-019-0767-x;;false;BioMed Central;BMC Anesthesiology;1471-2253;;Jun 19
Duisburg Essen U;2019;735;10.22495/cocv16i3art13;;false;Virtus Interpress;Corporate Ownership & Control;1810-3057;;Jun 19
Duisburg Essen U;2019;2059;10.2196/13651;;false;JMIR;JMIR Research Protocols;1929-0748;;Jun 19
Duisburg Essen U;2019;1444;10.3390/polym11071107;;false;MDPI;Polymers;2073-4360;;Jun 19
Duisburg Essen U;2019;1338;10.3390/en12122417;;false;MDPI;Energies;1996-1073;;Jun 19
Duisburg Essen U;2019;2030;10.3389/fimmu.2019.01386;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Jun 19
Duisburg Essen U;2019;2030;10.3389/fpsyg.2019.01432;;false;Frontiers Media;Frontiers in Psychology;1664-1078;;Jun 19
Duisburg Essen U;2019;2030;10.3389/fimmu.2019.01419;;false;Frontiers Media;Frontiers in Immunology;1664-3224;;Jun 19
Duisburg Essen U;2019;1035;10.1039/c9ra03254a;;false;Royal Society of Chemistry;RSC Advances;2046-2069;;Jun 19
Duisburg Essen U;2019;1147;10.14814/phy2.14146;;false;MPDL / Wiley-VCH-Verl.;Physiological Reports;2051-817X;;Jun 19
Duisburg Essen U;2019;619;10.1016/j.scr.2019.101517;;false;Elsevier;Stem Cell Research;1876-7753;;Jul 19
Duisburg Essen U;2019;300;10.1177/0032329219861237;;true;SAGE;Politics & Society;1552-7514;;Jul 19
