"Institution","Period","Euro","DOI","Publisher","Journal","issn.1","Date"
"Universität Duisburg-Essen",2014,1443,"10.1186/cc13182","BioMed Central","Critical Care",NA,"Jan 14"
"Universität Duisburg-Essen",2014,1443,"10.1186/1471-230X-14-4","BioMed Central","BMC Gastroenterology",NA,"Jan 14"
"Universität Duisburg-Essen",2014,999,"10.1371/journal.pone.0086274","PLoS","PLoS ONE",NA,"Jan 14"
"Universität Duisburg-Essen",2014,981,"10.1371/journal.pone.0086333","PLoS","PLoS ONE",NA,"Jan 14"
"Universität Duisburg-Essen",2014,994,"10.1371/journal.pone.0085350","PLoS","PLoS ONE",NA,"Jan 14"
"Universität Duisburg-Essen",2014,1657,"10.1186/2047-783X-19-11","BioMed Central","European Journal of Medical Research",NA,"Feb 14"
"Universität Duisburg-Essen",2014,1209,"10.1371/journal.pone.0088537","PLoS","PLoS ONE",NA,"Feb 14"
"Universität Duisburg-Essen",2014,238,"10.5117/TET2012.1.BOON ","Amsterdam Univ. Pr.","Taal en Tongval",NA,"Feb 14"
"Universität Duisburg-Essen",2014,1448,"10.1186/1743-422X-11-50","BioMed Central","Virology Journal",NA,"Mrz 14"
"Universität Duisburg-Essen",2014,1428,"10.1186/1471-2474-15-91","BioMed Central","BMC Musculoskeletal Disorders",NA,"Mrz 14"
"Universität Duisburg-Essen",2014,1676,"10.1186/1750-1172-9-40","BioMed Central","Orphanet Journal of Rare Diseases",NA,"Mrz 14"
"Universität Duisburg-Essen",2014,1190,"10.1371/journal.pone.0092104","PLoS","PLoS ONE",NA,"Mrz 14"
"Universität Duisburg-Essen",2014,1323,"10.3390/ijms15033784","MDPI","International Journal of Molecular Sciences",NA,"Mrz 14"
"Universität Duisburg-Essen",2014,1448,"10.1186/1477-7819-12-81","BioMed Central","World Journal of Surgical Oncology",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1381,"10.1186/1756-3305-7-170","BioMed Central","Parasites & Vectors",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1428,"10.1186/1476-4598-13-87","BioMed Central","Molecular Cancer",NA,"Apr 14"
"Universität Duisburg-Essen",2014,990,"10.1038/modpathol.2013.168","PLoS","Modern Pathology",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1190,"10.1371/journal.pone.0092876","PLoS","PLoS ONE",NA,"Apr 14"
"Universität Duisburg-Essen",2014,827,"10.1002/nmi2.44","Wiley","New Microbes and New Infection",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1982,"10.1093/nar/gku298 ","Oxford Uni. Pr.","Nuclear Acid research",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1193,"10.1371/journal.pone.0095340","PLoS","PLoS ONE",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1686,"10.1186/1748-717X-9-98","BioMed Central","Radiation Oncology",NA,"Apr 14"
"Universität Duisburg-Essen",2014,559,"10.1155/2014/143463","Hindawi","Mediators of Inflammation",NA,"Apr 14"
"Universität Duisburg-Essen",2014,608,"10.1088/1367-2630/16/4/045002","IOP","New Journal of Physics",NA,"Apr 14"
"Universität Duisburg-Essen",2014,1443,"10.1186/1471-244X-14-128","BioMed Central","BMC Psychiatry",NA,"Mai 14"
"Universität Duisburg-Essen",2014,1200,"10.1371/journal.pone.0094882","PLoS","PLoS ONE",NA,"Mai 14"
"Universität Duisburg-Essen",2014,1189,"10.1371/journal.pone.0096751","PLoS","PLoS ONE",NA,"Mai 14"
"Universität Duisburg-Essen",2014,960,"10.3389/fonc.2014.00116","Frontiers Media","Frontiers in Oncology",NA,"Mai 14"
"Universität Duisburg-Essen",2014,1206,"10.1063/1.4873157","RightLink","Applied Physics Letters",NA,"Mai 14"
"Universität Duisburg-Essen",2014,762,"10.1055/s-0034-1368091","PubMed","American Journal of Perinatology Reports",NA,"Mai 14"
"Universität Duisburg-Essen",2014,1283,"10.1109/ACCESS.2014.2323299","IEEE","IEEE Access",NA,"Mai 14"
"Universität Duisburg-Essen",2014,1267,"10.1186/1129-2377-15-39","Springer","The Journal of Headache and Pain",NA,"Jun 14"
"Universität Duisburg-Essen",2014,695,"10.1186/1752-1947-8-216","BioMed Central","Journal of Medical Case Reports",NA,"Jun 14"
"Universität Duisburg-Essen",2014,1143,"10.3389/fonc.2014.00169","Frontiers Media","Frontiers in Oncology",NA,"Jun 14"
"Universität Duisburg-Essen",2014,981,"10.1371/journal.pone.0097465","PLoS","PLoS ONE",NA,"Jun 14"
"Universität Duisburg-Essen",2014,1267,"10.1186/1129-2377-15-46","Springer","The Journal of Headache and Pain",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1514,"10.1186/1471-2431-14-194","BioMed Central","BMC Pediatrics",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1135,"10.1155/2014/297073","Hindawi","Journal of Immunology Research",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1212,"10.1371/journal.pone.0101571","PLoS","PLoS ONE",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1213,"10.1371/journal.pone.0102235","PLoS","PLoS ONE",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1118,"10.2196/jmir.3390","JMIR Publ.","Journal of Medical Internet research",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1607,"10.3390/ijms150813401","MDPI","International Journal of Molecular Sciences",NA,"Jul 14"
"Universität Duisburg-Essen",2014,1338,"10.1186/1756-0381-7-14","BioMed Central","BioData Mining",NA,"Aug 14"
"Universität Duisburg-Essen",2014,1476,"10.1186/scrt484","BioMed Central","Stem Cell Research & Therapy",NA,"Aug 14"
"Universität Duisburg-Essen",2014,829,"10.1186/2193-1801-3-489","Springer","SpringerPlus",NA,"Aug 14"
"Universität Duisburg-Essen",2014,1245,"10.1371/journal.pone.0104257 ","PLoS","PLoS ONE",NA,"Aug 14"
"Universität Duisburg-Essen",2014,1257,"10.1371/journal.pone.0104953","PLoS","PLoS ONE",NA,"Aug 14"
"Universität Duisburg-Essen",2014,1245,"10.1038/srep06003","npg","Scientific Reports",NA,"Aug 14"
"Universität Duisburg-Essen",2014,1443,"10.1186/1472-6882-14-328","BioMed Central","BMC Complementary and Alternative Medicine",NA,"Sep 14"
"Universität Duisburg-Essen",2014,1025,"10.1371/journal.pone.0106697","PLoS","PLoS ONE",NA,"Sep 14"
"Universität Duisburg-Essen",2014,1343,"10.1186/s13321-014-0045-3","Chemistry Central Ltd.","Journal of Cheminformatics",NA,"Okt 14"
"Universität Duisburg-Essen",2014,829,"10.1186/2193-1801-3-595 ","Springer","SpringerPlus",NA,"Okt 14"
"Universität Duisburg-Essen",2014,1324,"10.1371/journal.pone.0113882","PLoS","PLoS ONE",NA,"Nov 14"
