"Institution","Period","EURO","doi","Publisher","Journal","issn.1","Date","url"
"Universität Duisburg-Essen",2013,1236,"10.1186/1471-244X-13-32","BioMed Central","BMC Psychiatry",NA,"Jan 13",""
"Universität Duisburg-Essen",2013,1104,"10.1186/1756-3305-6-21","BioMed Central","Parasites & Vectors",NA,"Jan 13",""
"Universität Duisburg-Essen",2013,1096,"10.1186/1748-717X-8-35","BioMed Central","Radiation Oncology",NA,"Feb 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0055980","PLoS","PLoS ONE",NA,"Feb 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0055884","PLoS","PLoS ONE",NA,"Feb 13",""
"Universität Duisburg-Essen",2013,1244,"10.1186/1743-422X-10-72","BioMed Central","Virology Journal",NA,"Mrz 13",""
"Universität Duisburg-Essen",2013,1152,"10.1186/1756-3305-6-64","BioMed Central","Parasites & Vectors",NA,"Mrz 13",""
"Universität Duisburg-Essen",2013,680,"10.1186/1756-0500-6-97","BioMed Central","BMC Research Notes",NA,"Mrz 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0058318","PLoS","PLoS ONE",NA,"Mrz 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0059505","PLoS","PLoS ONE",NA,"Mrz 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0058804","PLoS","PLoS ONE",NA,"Mrz 13",""
"Universität Duisburg-Essen",2013,1080,"10.1186/1748-717X-8-77","BioMed Central","Radiation Oncology",NA,"Apr 13",""
"Universität Duisburg-Essen",2013,1236,"10.1186/1471-230X-13-58","BioMed Central","BMC Gastroenterology",NA,"Apr 13",""
"Universität Duisburg-Essen",2013,1180,"10.1186/1750-1172-8-53","BioMed Central","Orphanet Journal of Rare Diseases",NA,"Apr 13",""
"Universität Duisburg-Essen",2013,1252,"10.1186/1743-422X-10-108","BioMed Central","Virology Journal",NA,"Apr 13",""
"Universität Duisburg-Essen",2013,540,"10.1186/1029-242X-2013-168","Springer","Journal of Inequalities and Applications",NA,"Apr 13",""
"Universität Duisburg-Essen",2013,1032,"10.1186/1748-717X-8-93","BioMed Central","Radiation Oncology",NA,"Apr 13",""
"Universität Duisburg-Essen",2013,1000,"10.1186/1129-2377-14-40","Springer","The Journal of Headache and Pain",NA,"Mai 13",""
"Universität Duisburg-Essen",2013,1056,"10.1186/1746-1596-8-87","BioMed Central","Diagnostic Pathology",NA,"Mai 13",""
"Universität Duisburg-Essen",2013,1268,"10.1186/1744-9081-9-20","BioMed Central","Behavioral and Brain Functions",NA,"Mai 13",""
"Universität Duisburg-Essen",2013,385,"10.12659/AOT.883910","ISL","Annals of Transplantation",NA,"Mai 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0064480","PLoS","PLoS ONE",NA,"Mai 13",""
"Universität Duisburg-Essen",2013,1143,"10.3389/fonc.2013.00113","PubMed","Frontiers in Radiation Oncology",NA,"Mai 13",""
"Universität Duisburg-Essen",2013,1140,"10.1186/1742-4690-10-58","BioMed Central","Retrovirology",NA,"Jun 13",""
"Universität Duisburg-Essen",2013,1044,"10.1186/1748-717X-8-145","BioMed Central","Radiation Oncology",NA,"Jun 13",""
"Universität Duisburg-Essen",2013,1000,"10.1186/1129-2377-14-52","Springer","The Journal of Headache and Pain",NA,"Jun 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0065346","PLoS","PLoS ONE",NA,"Jun 13",""
"Universität Duisburg-Essen",2013,1737,"10.1371/journal.ppat.1003391","PLoS","PLoS Pathogens",NA,"Jun 13",""
"Universität Duisburg-Essen",2013,909,"NA","Univ. of Buckingham Pr.","Hypothesis in the Life Sciences ","2042-8960","Jun 13","http://www.hy-ls.org/index.php/hyls/article/view/103/0.html"
"Universität Duisburg-Essen",2013,1316,"10.1186/1742-9994-10-38","BioMed Central","Frontiers in Zoology",NA,"Jul 13",""
"Universität Duisburg-Essen",2013,1256,"10.1186/1477-7819-11-152","BioMed Central","World Journal of Surgical Oncology",NA,"Jul 13",""
"Universität Duisburg-Essen",2013,1296,"10.1186/1472-6882-13-172","BioMed Central","BMC Complementary and Alternative Medicine",NA,"Jul 13",""
"Universität Duisburg-Essen",2013,1188,"10.1186/1750-1172-8-110","BioMed Central","Orphanet Journal of Rare Diseases",NA,"Jul 13",""
"Universität Duisburg-Essen",2013,1216,"10.1186/1471-2377-13-99","BioMed Central","BMC Neurology",NA,"Jul 13",""
"Universität Duisburg-Essen",2013,243,"10.5430/ijfr.v4n4p11","Sciedu","International Journal of Financial Research",NA,"Jul 13",""
"Universität Duisburg-Essen",2013,1296,"10.1186/1477-7819-11-185","BioMed Central","World Journal of Surgical Oncology",NA,"Aug 13",""
"Universität Duisburg-Essen",2013,1296,"10.1186/1477-7819-11-198","BioMed Central","World Journal of Surgical Oncology",NA,"Aug 13",""
"Universität Duisburg-Essen",2013,1296,"10.1186/1477-7819-11-211","BioMed Central","World Journal of Surgical Oncology",NA,"Aug 13",""
"Universität Duisburg-Essen",2013,680,"10.1186/2193-1801-2-415","Springer","SpringerPlus",NA,"Aug 13",""
"Universität Duisburg-Essen",2013,1180,"10.1186/1750-1172-8-136","BioMed Central","Orphanet Journal of Rare Diseases",NA,"Sep 13",""
"Universität Duisburg-Essen",2013,1180,"10.1186/1750-1172-8-146","BioMed Central","Orphanet Journal of Rare Diseases",NA,"Sep 13",""
"Universität Duisburg-Essen",2013,1377,"10.1371/journal.pone.0072848","PLoS","PLoS ONE",NA,"Sep 13",""
"Universität Duisburg-Essen",2013,1196,"10.1186/1471-2407-13-452","BioMed Central","BMC Cancer",NA,"Okt 13",""
"Universität Duisburg-Essen",2013,1064,"10.1186/1742-4690-10-109","BioMed Central","Retrovirology",NA,"Okt 13",""
"Universität Duisburg-Essen",2013,1634,"10.1371/journal.ppat.1003798","PLoS","PLoS Pathogens",NA,"Okt 13",""
