"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Siegen U",2024,13214.95,"10.11116/9789461665607",FALSE,"Leuven University Press","Pietro Pomponazzi and the Renaissance Theory of the Elements","978-94-6166-560-7","978-94-6166-560-7",NA,NA,TRUE,FALSE
"Siegen U",2023,11498.97,"10.1007/978-3-031-60622-9",FALSE,"Springer International Publishing","Television Drama from Germany","978-3-031-60621-2","978-3-031-60621-2","978-3-031-60622-9","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Siegen U",2024,1910.55,"10.3224/84743017",FALSE,"Verlag Barbara Budrich","Inclusive Localities. Perspectives on Local Social Policies and Practices","978-3-8474-3017-9","978-3-8474-3017-9",NA,"https://creativecommons.org/licenses/by/4.0/deed.de",TRUE,TRUE
"",,,"","","","","","","","","",""
"Siegen U",2024,3980,"10.3262/978-3-7799-8516-7",FALSE,"Beltz","Folgen resozialisierender Maßnahmen","978-3-7799-8516-7",NA,"978-3-7799-8516-7","https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode",TRUE,FALSE
"Siegen U",2024,1957.75,"10.46500/83535633",FALSE,"Wallstein Verlag","Patronage und deutsche Literatur im 18. Jahrhundert","978-3-8353-8065-3","978-3-8353-8065-3",NA,"https://creativecommons.org/licenses/by-nc-nd/4.0/",TRUE,FALSE
"Siegen U",2024,6818.7,"10.14361/9783839472859",FALSE,"transcript Verlag","»Deradikalisierung« als Transitional Work","978-3-8376-7285-5","978-3-8376-7285-5","978-3-8394-7285-9","https://creativecommons.org/licenses/by-sa/4.0/",TRUE,TRUE
"Siegen U",2023,1890,"10.37626/ga9783959872041.0",FALSE,"WTM-Verlag","Digitaler Mathematikunterricht in Forschung und Praxis. Tagungsband zur Vernetzungstagung 2022 in Siegen","978-3-95987-204-1","978-3-95987-204-1",NA,NA,TRUE,FALSE
"Siegen U",2024,2560,"10.37626/ga9783959872942.0",FALSE,"WTM-Verlag","Digitaler Mathematikunterricht in Forschung und Praxis II. Tagungsband zur Vernetzungstagung 2023 in Siegen","978-3-95987-294-2","978-3-95987-294-2",NA,NA,TRUE,FALSE
"Siegen U",2024,5000,"10.25656/01:27968",FALSE,"Lebenshilfe-Verlag","Inklusionsorientierte Dienste zur Unterstützung von Menschen mit Behinderungen. Ein Lehr- und Arbeitsbuch","978-3-88617-700-4",NA,NA,NA,FALSE,FALSE
"Siegen U",2023,2250,"10.31244/9783830997405",FALSE,"Waxmann Verlag","Der Umgang mit religiöser Vielfalt im katholischen Religionsunterricht. Eine explorative Studie im Mixed-Methods-Design","978-3-8309-4740-0","978-3-8309-4740-0",NA,NA,TRUE,FALSE
