pos;institution_name;journal_title;eissn;doi;url;published;accepted;par_fee;article_type;article_group;initial_opt-out
1;Ludwig-Maximilians-Universität München;Palaeobiodiversity and Palaeoenvironments;1867-1608;10.1007/s12549-022-00552-0;https://doi.org/10.1007/s12549-022-00552-0;15.11.2022;15.09.2022;2750;originalpaper;Research Article;optin
2;Ludwig-Maximilians-Universität München;Zoomorphology;1432-234X;10.1007/s00435-022-00556-6;https://doi.org/10.1007/s00435-022-00556-6;04.04.2022;23.03.2022;2750;originalpaper;Research Article;optin
4;Ludwig-Maximilians-Universität München;Metascience;1467-9981;10.1007/s11016-022-00814-9;https://doi.org/10.1007/s11016-022-00814-9;04.10.2022;22.09.2022;917;bookreview;Non Research Article;optin
5;Ludwig-Maximilians-Universität München;Behavior Research Methods;1554-3528;10.3758/s13428-022-01916-2;https://doi.org/10.3758/s13428-022-01916-2;01.08.2022;20.06.2022;2750;originalpaper;Research Article;optin
6;Ludwig-Maximilians-Universität München;Synthese;1573-0964;10.1007/s11229-022-03749-0;https://doi.org/10.1007/s11229-022-03749-0;25.06.2022;17.05.2022;2750;originalpaper;Research Article;optin
7;Ludwig-Maximilians-Universität München;Machine Learning;1573-0565;10.1007/s10994-021-06107-2;https://doi.org/10.1007/s10994-021-06107-2;13.01.2022;17.10.2021;2750;originalpaper;Research Article;optin
8;Ludwig-Maximilians-Universität München;Journal of Neurology;1432-1459;10.1007/s00415-022-11017-x;https://doi.org/10.1007/s00415-022-11017-x;25.02.2022;05.02.2022;2750;originalpaper;Research Article;optin
9;Ludwig-Maximilians-Universität München;KI - Künstliche Intelligenz;1610-1987;10.1007/s13218-022-00766-6;https://doi.org/10.1007/s13218-022-00766-6;12.07.2022;27.05.2022;2750;originalpaper;Research Article;optin
10;Ludwig-Maximilians-Universität München;Review of Accounting Studies;1573-7136;10.1007/s11142-021-09649-x;https://doi.org/10.1007/s11142-021-09649-x;13.06.2022;09.09.2021;2750;originalpaper;Research Article;optin
11;Ludwig-Maximilians-Universität München;Review of Accounting Studies;1573-7136;10.1007/s11142-021-09666-w;https://doi.org/10.1007/s11142-021-09666-w;16.05.2022;19.12.2021;2750;originalpaper;Research Article;optin
12;Ludwig-Maximilians-Universität München;Archives of Toxicology;1432-0738;10.1007/s00204-022-03235-z;https://doi.org/10.1007/s00204-022-03235-z;14.02.2022;20.01.2022;2750;originalpaper;Research Article;optin
13;Ludwig-Maximilians-Universität München;Synthese;1573-0964;10.1007/s11229-022-03698-8;https://doi.org/10.1007/s11229-022-03698-8;04.05.2022;09.04.2022;2750;originalpaper;Research Article;optin
14;Ludwig-Maximilians-Universität München;BioSpektrum;1868-6249;10.1007/s12268-022-1834-2;https://doi.org/10.1007/s12268-022-1834-2;11.10.2022;;2750;reviewpaper;Research Article;optin
15;Ludwig-Maximilians-Universität München;AStA Wirtschafts- und Sozialstatistisches Archiv;1863-8163;10.1007/s11943-022-00303-9;https://doi.org/10.1007/s11943-022-00303-9;15.03.2022;09.02.2022;2750;originalpaper;Research Article;optin
16;Ludwig-Maximilians-Universität München;Synthese;1573-0964;10.1007/s11229-022-03840-6;https://doi.org/10.1007/s11229-022-03840-6;15.09.2022;29.07.2022;2750;originalpaper;Research Article;optin
17;Ludwig-Maximilians-Universität München;Analytical and Bioanalytical Chemistry;1618-2650;10.1007/s00216-022-04344-5;https://doi.org/10.1007/s00216-022-04344-5;01.10.2022;15.09.2022;2750;originalpaper;Research Article;optin
18;Ludwig-Maximilians-Universität München;Infection;1439-0973;10.1007/s15010-022-01828-5;https://doi.org/10.1007/s15010-022-01828-5;26.04.2022;04.04.2022;2750;originalpaper;Research Article;optin
19;Ludwig-Maximilians-Universität München;Acta Analytica;1874-6349;10.1007/s12136-022-00527-y;https://doi.org/10.1007/s12136-022-00527-y;19.09.2022;29.08.2022;2750;originalpaper;Research Article;optin
