"Institution","Period","EURO","publisher","journal_full_title","issn","issn_print","issn_electronic","doi","indexed_in_CrossRef","pmid","pmcid","base.url","record.id","ut","DOAJ","license_ref"
"Muenchen LMU",2014,1266.16,"Springer Science + Business Media","The Journal of Headache and Pain","1129-2377","1129-2377",NA,"10.1186/1129-2377-15-36",TRUE,24916858,"PMC4075938","http://epub.ub.uni-muenchen.de/",22869,NA,TRUE,NA
"Muenchen LMU",2014,1147.16,"Springer Science + Business Media","Genetics Selection Evolution","1297-9686","1297-9686",NA,"10.1186/1297-9686-46-44",TRUE,24993890,"PMC4099407","http://epub.ub.uni-muenchen.de/",22855,NA,TRUE,NA
"Muenchen LMU",2013,1470.84,"Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105",NA,"10.1186/1471-2105-14-119",TRUE,23560875,"PMC3626572","http://epub.ub.uni-muenchen.de/",23091,NA,TRUE,NA
"Muenchen LMU",2013,1447.04,"Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105",NA,"10.1186/1471-2105-14-248",TRUE,23945046,"PMC3843501","http://epub.ub.uni-muenchen.de/",23045,NA,TRUE,NA
"Muenchen LMU",2014,1508.92,"Springer Science + Business Media","BMC Bioinformatics","1471-2105","1471-2105",NA,"10.1186/1471-2105-15-265",TRUE,25099134,"PMC4133627","http://epub.ub.uni-muenchen.de/",22991,NA,TRUE,NA
"Muenchen LMU",2014,1527.96,"Springer Science + Business Media","BMC Cell Biology","1471-2121","1471-2121",NA,"10.1186/1471-2121-15-25",TRUE,24986648,"PMC4120859","http://epub.ub.uni-muenchen.de/",22857,NA,TRUE,NA
"Muenchen LMU",2013,1447.04,"Springer Science + Business Media","BMC Evolutionary Biology","1471-2148","1471-2148",NA,"10.1186/1471-2148-13-177",TRUE,23981276,"PMC3765775","http://epub.ub.uni-muenchen.de/",24195,NA,TRUE,NA
"Muenchen LMU",2014,1475.6,"Springer Science + Business Media","BMC Evolutionary Biology","1471-2148","1471-2148",NA,"10.1186/1471-2148-14-80",TRUE,24725969,"PMC4101843","http://epub.ub.uni-muenchen.de/",22897,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164",NA,"10.1186/1471-2164-14-908",TRUE,24359457,"PMC3878089","http://epub.ub.uni-muenchen.de/",22999,NA,TRUE,NA
"Muenchen LMU",2014,1447.04,"Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164",NA,"10.1186/1471-2164-15-310",TRUE,24767410,"PMC4234485","http://epub.ub.uni-muenchen.de/",22890,NA,TRUE,NA
"Muenchen LMU",2014,1461.32,"Springer Science + Business Media","BMC Genomics","1471-2164","1471-2164",NA,"10.1186/1471-2164-15-74",TRUE,24467841,"PMC3909937","http://epub.ub.uni-muenchen.de/",22926,NA,TRUE,NA
"Muenchen LMU",2013,1447.04,"Springer Science + Business Media","BMC Plant Biology","1471-2229","1471-2229",NA,"10.1186/1471-2229-13-100",TRUE,23841539,"PMC3716789","http://epub.ub.uni-muenchen.de/",23058,NA,TRUE,NA
"Muenchen LMU",2014,1527.96,"Springer Science + Business Media","BMC Cardiovascular Disorders","1471-2261","1471-2261",NA,"10.1186/1471-2261-14-112",TRUE,25179749,"PMC4162970","http://epub.ub.uni-muenchen.de/",22977,NA,TRUE,NA
"Muenchen LMU",2014,1523.2,"Springer Science + Business Media","BMC Medical Research Methodology","1471-2288","1471-2288",NA,"10.1186/1471-2288-14-117",TRUE,25352096,"PMC4271356","http://epub.ub.uni-muenchen.de/",22960,NA,TRUE,NA
"Muenchen LMU",2014,1527.96,"Springer Science + Business Media","BMC Infectious Diseases","1471-2334","1471-2334",NA,"10.1186/1471-2334-14-206",TRUE,24739742,"PMC3991887","http://epub.ub.uni-muenchen.de/",22894,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Medical Genetics","1471-2350","1471-2350",NA,"10.1186/1471-2350-14-92",TRUE,24041033,"PMC3848428","http://epub.ub.uni-muenchen.de/",23034,NA,TRUE,NA
"Muenchen LMU",2013,1461.32,"Springer Science + Business Media","BMC Nephrology","1471-2369","1471-2369",NA,"10.1186/1471-2369-14-93",TRUE,23617360,"PMC3651301","http://epub.ub.uni-muenchen.de/",23081,NA,TRUE,NA
"Muenchen LMU",2013,1451.8,"Springer Science + Business Media","BMC Neurology","1471-2377","1471-2377",NA,"10.1186/1471-2377-13-201",TRUE,24330333,"PMC3878777","http://epub.ub.uni-muenchen.de/",23003,NA,TRUE,NA
"Muenchen LMU",2014,1447.04,"Springer Science + Business Media","BMC Pregnancy and Childbirth","1471-2393","1471-2393",NA,"10.1186/1471-2393-14-351",TRUE,25296625,"PMC4287554","http://epub.ub.uni-muenchen.de/",22966,NA,TRUE,NA
"Muenchen LMU",2013,1470.84,"Springer Science + Business Media","BMC Cancer","1471-2407","1471-2407",NA,"10.1186/1471-2407-13-176",TRUE,23547746,"PMC3626554","http://epub.ub.uni-muenchen.de/",23093,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Cancer","1471-2407","1471-2407",NA,"10.1186/1471-2407-13-361",TRUE,23890049,"PMC3729674","http://epub.ub.uni-muenchen.de/",23054,NA,TRUE,NA
"Muenchen LMU",2013,1442.28,"Springer Science + Business Media","BMC Cancer","1471-2407","1471-2407",NA,"10.1186/1471-2407-13-616",TRUE,24377825,"PMC3898404","http://epub.ub.uni-muenchen.de/",22995,NA,TRUE,NA
"Muenchen LMU",2014,1428,"Springer Science + Business Media","BMC Cancer","1471-2407","1471-2407",NA,"10.1186/1471-2407-14-245",TRUE,24708595,"PMC4021086","http://epub.ub.uni-muenchen.de/",22900,NA,TRUE,NA
"Muenchen LMU",2014,1513.68,"Springer Science + Business Media","BMC Cancer","1471-2407","1471-2407",NA,"10.1186/1471-2407-14-624",TRUE,25164437,"PMC4152581","http://epub.ub.uni-muenchen.de/",22979,NA,TRUE,NA
"Muenchen LMU",2013,1489.88,"Springer Science + Business Media","BMC Psychiatry","1471-244X","1471-244X",NA,"10.1186/1471-244X-13-203",TRUE,NA,NA,"http://epub.ub.uni-muenchen.de/",23052,NA,TRUE,NA
"Muenchen LMU",2013,1299.48,"Springer Science + Business Media","BMC Psychiatry","1471-244X","1471-244X",NA,"10.1186/1471-244X-13-78",TRUE,NA,NA,"http://epub.ub.uni-muenchen.de/",23103,NA,TRUE,NA
"Muenchen LMU",2014,1508.92,"Springer Science + Business Media","BMC Psychiatry","1471-244X","1471-244X",NA,"10.1186/1471-244X-14-130",TRUE,NA,NA,"http://epub.ub.uni-muenchen.de/",22883,NA,TRUE,NA
"Muenchen LMU",2013,1456.56,"Springer Science + Business Media","BMC Public Health","1471-2458","1471-2458",NA,"10.1186/1471-2458-13-137",TRUE,23410010,"PMC3635873","http://epub.ub.uni-muenchen.de/",21988,NA,TRUE,NA
"Muenchen LMU",2013,1456.56,"Springer Science + Business Media","BMC Public Health","1471-2458","1471-2458",NA,"10.1186/1471-2458-13-9",TRUE,23294803,"PMC3546302","http://epub.ub.uni-muenchen.de/",23129,NA,TRUE,NA
"Muenchen LMU",2014,1475.6,"Springer Science + Business Media","BMC Public Health","1471-2458","1471-2458",NA,"10.1186/1471-2458-14-766",TRUE,25074757,"PMC4122785","http://epub.ub.uni-muenchen.de/",22848,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Pulmonary Medicine","1471-2466","1471-2466",NA,"10.1186/1471-2466-13-61",TRUE,24180379,"PMC4228431","http://epub.ub.uni-muenchen.de/",23019,NA,TRUE,NA
"Muenchen LMU",2013,1461.32,"Springer Science + Business Media","BMC Musculoskeletal Disorders","1471-2474","1471-2474",NA,"10.1186/1471-2474-14-22",TRUE,23316791,"PMC3567953","http://epub.ub.uni-muenchen.de/",23127,NA,TRUE,NA
"Muenchen LMU",2013,1442.28,"Springer Science + Business Media","BMC Musculoskeletal Disorders","1471-2474","1471-2474",NA,"10.1186/1471-2474-14-26",TRUE,23324401,"PMC3560198","http://epub.ub.uni-muenchen.de/",23126,NA,TRUE,NA
"Muenchen LMU",2014,1518.44,"Springer Science + Business Media","BMC Musculoskeletal Disorders","1471-2474","1471-2474",NA,"10.1186/1471-2474-15-202",TRUE,24925068,"PMC4064816","http://epub.ub.uni-muenchen.de/",22867,NA,TRUE,NA
"Muenchen LMU",2014,1513.68,"Springer Science + Business Media","BMC Musculoskeletal Disorders","1471-2474","1471-2474",NA,"10.1186/1471-2474-15-246",TRUE,25053374,"PMC4118219","http://epub.ub.uni-muenchen.de/",22849,NA,TRUE,NA
"Muenchen LMU",2014,1513.68,"Springer Science + Business Media","BMC Musculoskeletal Disorders","1471-2474","1471-2474",NA,"10.1186/1471-2474-15-350",TRUE,25323565,"PMC4216837","http://epub.ub.uni-muenchen.de/",22964,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Surgery","1471-2482","1471-2482",NA,"10.1186/1471-2482-13-55",TRUE,24228771,"PMC3830558","http://epub.ub.uni-muenchen.de/",23014,NA,TRUE,NA
"Muenchen LMU",2014,1513.68,"Springer Science + Business Media","BMC Urology","1471-2490","1471-2490",NA,"10.1186/1471-2490-14-62",TRUE,25107528,"PMC4132277","http://epub.ub.uni-muenchen.de/",22989,NA,TRUE,NA
"Muenchen LMU",2013,1470.84,"Springer Science + Business Media","BMC Biotechnology","1472-6750","1472-6750",NA,"10.1186/1472-6750-13-43",TRUE,23688045,"PMC3691671","http://epub.ub.uni-muenchen.de/",23079,NA,TRUE,NA
"Muenchen LMU",2013,1461.32,"Springer Science + Business Media","BMC Biotechnology","1472-6750","1472-6750",NA,"10.1186/1472-6750-13-49",TRUE,23734827,"PMC3728224","http://epub.ub.uni-muenchen.de/",23072,NA,TRUE,NA
"Muenchen LMU",2013,1404.2,"Springer Science + Business Media","BMC Medical Education","1472-6920","1472-6920",NA,"10.1186/1472-6920-13-28",TRUE,23433202,"PMC3598785","http://epub.ub.uni-muenchen.de/",23109,NA,TRUE,NA
"Muenchen LMU",2013,1447.04,"Springer Science + Business Media","BMC Medical Education","1472-6920","1472-6920",NA,"10.1186/1472-6920-13-45",TRUE,23537162,"PMC3639235","http://epub.ub.uni-muenchen.de/",23095,NA,TRUE,NA
"Muenchen LMU",2014,1575.6,"Springer Science + Business Media","BMC Medical Education","1472-6920","1472-6920",NA,"10.1186/1472-6920-14-112",TRUE,24898431,"PMC4057597","http://epub.ub.uni-muenchen.de/",22875,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Medical Ethics","1472-6939","1472-6939",NA,"10.1186/1472-6939-14-20",TRUE,23705623,"PMC3681604","http://epub.ub.uni-muenchen.de/",23076,NA,TRUE,NA
"Muenchen LMU",2013,1428,"Springer Science + Business Media","BMC Medical Ethics","1472-6939","1472-6939",NA,"10.1186/1472-6939-14-55",TRUE,24359531,"PMC3878093","http://epub.ub.uni-muenchen.de/",22998,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","BMC Health Services Research","1472-6963","1472-6963",NA,"10.1186/1472-6963-13-401",TRUE,24103290,"PMC3851860","http://epub.ub.uni-muenchen.de/",23027,NA,TRUE,NA
"Muenchen LMU",2014,1451.8,"Springer Science + Business Media","BMC Health Services Research","1472-6963","1472-6963",NA,"10.1186/1472-6963-14-125",TRUE,24620750,"PMC3984698","http://epub.ub.uni-muenchen.de/",22907,NA,TRUE,NA
"Muenchen LMU",2014,1523.2,"Springer Science + Business Media","BMC Health Services Research","1472-6963","1472-6963",NA,"10.1186/1472-6963-14-433",TRUE,25253542,"PMC4263126","http://epub.ub.uni-muenchen.de/",22968,NA,TRUE,NA
"Muenchen LMU",2013,1356.6,"Springer Science + Business Media","Malaria Journal","1475-2875","1475-2875",NA,"10.1186/1475-2875-12-438",TRUE,24305630,"PMC4234195","http://epub.ub.uni-muenchen.de/",23010,NA,TRUE,NA
"Muenchen LMU",2013,1399.44,"Springer Science + Business Media","Malaria Journal","1475-2875","1475-2875",NA,"10.1186/1475-2875-12-80",TRUE,23446319,"PMC3614516","http://epub.ub.uni-muenchen.de/",23108,NA,TRUE,NA
"Muenchen LMU",2014,1466.08,"Springer Science + Business Media","Malaria Journal","1475-2875","1475-2875",NA,"10.1186/1475-2875-13-155",TRUE,24758172,"PMC4021259","http://epub.ub.uni-muenchen.de/",22893,NA,TRUE,NA
"Muenchen LMU",2014,1442.28,"Springer Science + Business Media","Molecular Cancer","1476-4598","1476-4598",NA,"10.1186/1476-4598-13-122",TRUE,24885690,"PMC4035728","http://epub.ub.uni-muenchen.de/",22877,NA,TRUE,NA
"Muenchen LMU",2014,1428,"Springer Science + Business Media","Molecular Cancer","1476-4598","1476-4598",NA,"10.1186/1476-4598-13-16",TRUE,24468090,"PMC3909296","http://epub.ub.uni-muenchen.de/",22927,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","Lipids in Health and Disease","1476-511X","1476-511X",NA,"10.1186/1476-511X-12-82",TRUE,NA,NA,"http://epub.ub.uni-muenchen.de/",23073,NA,TRUE,NA
"Muenchen LMU",2013,1542.24,"Springer Science + Business Media","Lipids in Health and Disease","1476-511X","1476-511X",NA,"10.1186/1476-511X-12-82",TRUE,NA,NA,"http://epub.ub.uni-muenchen.de/",23073,NA,TRUE,NA
