"institution","period","euro","doi","is_hybrid","publisher","journal_full_title","issn","issn_print","issn_electronic","license_ref","indexed_in_crossref","pmid","pmcid","ut","url","doaj","base.url","record.id"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12909-015-0296-3",FALSE,"Springer Science + Business Media","BMC Medical Education","1472-6920","1472-6920",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25240/","25240"
"Muenchen LMU",2015,1523.2,"dx.doi.org/10.1186/s12917-015-0326-8",FALSE,"Springer Science + Business Media","BMC Veterinary Research","1746-6148","1746-6148",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25241/","25241"
"Muenchen LMU",2015,1523.2,"dx.doi.org/10.1186/s12917-015-0344-6",FALSE,"Springer Science + Business Media","BMC Veterinary Research","1746-6148","1746-6148",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25242/","25242"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12883-015-0262-z",FALSE,"Springer Science + Business Media","BMC Neurology","1471-2377","1471-2377",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/24901/","24901"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12870-015-0445-1",FALSE,"Springer Science + Business Media","BMC Plant Biology","1471-2229","1471-2229",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/24190/","24190"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s12985-015-0252-1",FALSE,"Springer Science + Business Media","Virology Journal","1743-422X","1743-422X",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25266/","25266"
"Muenchen LMU",2015,1594.6,"dx.doi.org/10.1186/s13014-015-0350-7",FALSE,"Springer Science + Business Media","Radiation Oncology","1748-717X","1748-717X",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25267/","25267"
"Muenchen LMU",2015,1549.21,"dx.doi.org/10.1186/s13014-015-0354-3",FALSE,"Springer Science + Business Media","Radiation Oncology","1748-717X",NA,"1748-717X",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25268/","25268"
"Muenchen LMU",2015,1351.84,"dx.doi.org/10.1186/s13010-015-0026-9",FALSE,"Springer Science + Business Media","Philosophy, Ethics, and Humanities in Medicine","1747-5341","1747-5341",NA,NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25269/","25269"
"Muenchen LMU",2015,1408.96,"dx.doi.org/10.1186/s13048-015-0136-4",FALSE,"Springer Science + Business Media","Journal of Ovarian Research","1757-2215",NA,"1757-2215",NA,TRUE,NA,NA,NA,NA,TRUE,"https://epub.ub.uni-muenchen.de/25271/","25271"
