"Institution","Period","EURO","DOI","Publisher","Journal","ISSN.1","ISSN.2","base.url","record.id"
"Muenchen LMU",2008,972,"10.1186/1471-2407-8-265","Springer Science + Business Media","BMC Cancer ","NA","1471-2407","http://epub.ub.uni-muenchen.de/",23645
"Muenchen LMU",2008,956,"10.1186/1471-2261-8-27","Springer Science + Business Media","BMC Cardiovascular Disorders","NA","1471-2261","http://epub.ub.uni-muenchen.de/",23641
"Muenchen LMU",2008,956,"10.1186/1471-2474-9-138","Springer Science + Business Media","BMC Musculoskeletal Disorders","NA","1471-2474","http://epub.ub.uni-muenchen.de/",23640
"Muenchen LMU",2008,964,"10.1186/cc7152","Springer Science + Business Media","Critical Care","NA","1466-609X","http://epub.ub.uni-muenchen.de/",23678
"Muenchen LMU",2008,864,"10.1186/1746-1596-3-46","Springer Science + Business Media","Diagnostic Pathology","NA","1746-1596","http://epub.ub.uni-muenchen.de/",23634
"Muenchen LMU",2008,864,"10.1186/1743-8977-5-14","Springer Science + Business Media","Particle and Fibre Toxicology","NA","1743-8977","http://epub.ub.uni-muenchen.de/",23635
"Muenchen LMU",2009,912,"10.1186/ar2696","Springer Science + Business Media","Arthritis Research and Therapy","NA","1478-6354","http://epub.ub.uni-muenchen.de/",23624
"Muenchen LMU",2009,920,"10.1186/1471-2105-10-279","Springer Science + Business Media","BMC Bioinformatics ","NA","1471-2105","http://epub.ub.uni-muenchen.de/",23583
"Muenchen LMU",2009,912,"10.1186/1471-2105-10-288","Springer Science + Business Media","BMC Bioinformatics ","NA","1471-2105","http://epub.ub.uni-muenchen.de/",23579
"Muenchen LMU",2009,920,"10.1186/1471-2407-9-402","Springer Science + Business Media","BMC Cancer ","NA","1471-2407","http://epub.ub.uni-muenchen.de/",23567
"Muenchen LMU",2009,960,"10.1186/1471-2261-9-54","Springer Science + Business Media","BMC Cardiovascular Disorders","NA","1471-2261","http://epub.ub.uni-muenchen.de/",23561
"Muenchen LMU",2009,960,"10.1186/1471-2148-9-291","Springer Science + Business Media","BMC Evolutionary Biology","NA","1471-2148","http://epub.ub.uni-muenchen.de/",23558
"Muenchen LMU",2009,996,"10.1186/1471-2164-10-171","Springer Science + Business Media","BMC Genomics","NA","1471-2164","http://epub.ub.uni-muenchen.de/",23604
"Muenchen LMU",2009,936,"10.1186/1471-2164-10-591","Springer Science + Business Media","BMC Genomics","NA","1471-2164","http://epub.ub.uni-muenchen.de/",13705
"Muenchen LMU",2009,980,"10.1186/1472-6963-9-110","Springer Science + Business Media","BMC Health Services Research","NA","1472-6963","http://epub.ub.uni-muenchen.de/",23596
"Muenchen LMU",2009,900,"10.1186/1471-2334-9-45","Springer Science + Business Media","BMC Infectious Diseases","NA","1471-2334","http://epub.ub.uni-muenchen.de/",23605
"Muenchen LMU",2009,904,"10.1186/1471-2334-9-141","Springer Science + Business Media","BMC Infectious Diseases","NA","1471-2334","http://epub.ub.uni-muenchen.de/",23584
"Muenchen LMU",2009,956,"10.1186/1471-2288-9-7","Springer Science + Business Media","BMC Medical Research Methodology","NA","1471-2288","http://epub.ub.uni-muenchen.de/",23621
"Muenchen LMU",2009,964,"10.1186/1471-2288-9-9","Springer Science + Business Media","BMC Medical Research Methodology","NA","1471-2288","http://epub.ub.uni-muenchen.de/",23618
"Muenchen LMU",2009,980,"10.1186/1471-2288-9-85","Springer Science + Business Media","BMC Medical Research Methodology","NA","1471-2288","http://epub.ub.uni-muenchen.de/",23556
"Muenchen LMU",2009,868,"10.1186/1471-2377-9-29","Springer Science + Business Media","BMC Neurology","NA","1471-2377","http://epub.ub.uni-muenchen.de/",23594
"Muenchen LMU",2009,900,"10.1186/1471-2202-10-28","Springer Science + Business Media","BMC Neuroscience","NA","1471-2202","http://epub.ub.uni-muenchen.de/",23609
"Muenchen LMU",2009,900,"10.1186/1471-2229-9-47","Springer Science + Business Media","BMC Plant Biology","NA","1471-2229","http://epub.ub.uni-muenchen.de/",23602
"Muenchen LMU",2009,956,"10.1186/1471-2466-9-22","Springer Science + Business Media","BMC Pulmonary Medicine","NA","1471-2466","http://epub.ub.uni-muenchen.de/",24571
"Muenchen LMU",2009,972,"10.1186/1471-2466-9-30","Springer Science + Business Media","BMC Pulmonary Medicine","NA","1471-2466","http://epub.ub.uni-muenchen.de/",24572
"Muenchen LMU",2009,496,"10.1186/1756-0500-2-84","Springer Science + Business Media","BMC Research Notes","NA","1756-0500","http://epub.ub.uni-muenchen.de/",24570
"Muenchen LMU",2009,972,"10.1186/1472-6807-8-47","Springer Science + Business Media","BMC Structural Biology","NA","1472-6807","http://epub.ub.uni-muenchen.de/",23637
"Muenchen LMU",2009,972,"10.1186/1472-6807-9-23","Springer Science + Business Media","BMC Structural Biology","NA","1472-6807","http://epub.ub.uni-muenchen.de/",23606
"Muenchen LMU",2009,936,"10.1186/1475-2840-8-50","Springer Science + Business Media","Cardiovascular Diabetology","NA","1475-2840","http://epub.ub.uni-muenchen.de/",23580
"Muenchen LMU",2009,876,"10.1186/cc7914","Springer Science + Business Media","Critical Care","NA","1466-609X","http://epub.ub.uni-muenchen.de/",23627
"Muenchen LMU",2009,912,"10.1186/1742-9994-6-20","Springer Science + Business Media","Frontiers in Zoology","NA","1742-9994","http://epub.ub.uni-muenchen.de/",23581
"Muenchen LMU",2009,964,"10.1186/1477-7525-7-91","Springer Science + Business Media","Health and Quality of Life Outcomes","NA","1477-7525","http://epub.ub.uni-muenchen.de/",23575
"Muenchen LMU",2009,684,"10.1186/1532-429X-11-41","Springer Science + Business Media","Journal of Cardiovascular Magnetic Resonance","NA","1097-6647","http://epub.ub.uni-muenchen.de/",23571
"Muenchen LMU",2009,860,"10.1186/1742-2094-6-42","Springer Science + Business Media","Journal of Neuroinflammation","NA","1742-2094","http://epub.ub.uni-muenchen.de/",23554
"Muenchen LMU",2009,844,"10.1186/1752-2897-3-11","Springer Science + Business Media","Journal of Trauma Management and Outcomes","NA","1752-2897","http://epub.ub.uni-muenchen.de/",24574
"Muenchen LMU",2009,872,"10.1186/1475-2875-8-244","Springer Science + Business Media","Malaria Journal","NA","1475-2875","http://epub.ub.uni-muenchen.de/",23570
"Muenchen LMU",2009,1008,"10.1186/1476-4598-8-129","Springer Science + Business Media","Molecular Cancer","NA","1476-4598","http://epub.ub.uni-muenchen.de/",23555
"Muenchen LMU",2009,704,"10.1186/1750-1172-4-26","Springer Science + Business Media","Orphanet Journal of Rare Diseases","NA","1750-1172","http://epub.ub.uni-muenchen.de/",23560
"Muenchen LMU",2009,824,"10.1186/1756-3305-2-6","Springer Science + Business Media","Parasites and Vectors","NA","1756-3305","http://epub.ub.uni-muenchen.de/",23622
"Muenchen LMU",2009,784,"10.1186/1754-9493-3-6","Springer Science + Business Media","Patient Safety in Surgery","NA","1754-9493","http://epub.ub.uni-muenchen.de/",24568
"Muenchen LMU",2009,828,"10.1186/1754-9493-3-24","Springer Science + Business Media","Patient Safety in Surgery","NA","1754-9493","http://epub.ub.uni-muenchen.de/",24573
"Muenchen LMU",2009,856,"10.1186/1748-717X-4-6","Springer Science + Business Media","Radiation Oncology","NA","1748-717X","http://epub.ub.uni-muenchen.de/",23619
"Muenchen LMU",2009,844,"10.1186/1748-717X-4-49","Springer Science + Business Media","Radiation Oncology","NA","1748-717X","http://epub.ub.uni-muenchen.de/",23572
