"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","is_hybrid","period","APC paid (Â£) including VAT if charged","Licence"
"King's College London","PMC4298656","","10.1016/j.cortex.2014.10.023","Elsevier","Cortex","","","2014","1529.31","CC BY"
"King's College London","PMC4065330","","10.1016/j.psyneuen.2014.03.010","Elsevier","Psychoneuroendocrinology","","","2014","1604.92","CC BY-NC-ND"
"King's College London","PMC4077538","","10.1353/lm.2014.0002","Johns Hopkins University Press","Literature and Medicine","","","2014","2362","CC BY"
"King's College London","PMC4303431","","10.1371/journal.pone.0116863","Public Library of Science","PLOS ONE","",FALSE,"2014","1066.86","CC BY"
"King's College London","","25183173","10.1002/stem.1822","Wiley-Blackwell","Stem Cells","","","2014","1799.19","Unknown"
"University of Cambridge","","","10.1016/j.celrep.2015.06.011","Cell Press","Cell Reports","","","2014","3816.79","CC BY"
"University of Cambridge","","","10.1016/j.jmr.2015.03.015","Elsevier","Journal of Magnetic Resonance","","","2014","1981.66","CC BY"
"University of Cambridge","","","10.1016/j.ymeth.2015.06.010","Elsevier","Methods","","","2014","2307.36","CC BY"
"University of Cambridge","","","10.1098/rspb.2014.1766","Royal Society","Proceedings of the Royal Society B","","","2014","1440","CC BY"
"University of Cambridge","","","10.1002/ange.201500401","Wiley-Blackwell","Angewandte Chemie","","","2014","2565.17","CC BY"
"University of Cambridge","","","10.1002/jps.24544","Wiley-Blackwell","Journal of Pharmaceutical Sciences","","","2014","2348.64","None"
"University of Cambridge","","","10.1111/1467-9248.12173","Wiley-Blackwell","Political Studies","","","2014","2303.56","None"
"University of Glasgow","","","10.1007/s00220-014-2264-x","Springer","Communications in Mathematical Physics","0010-3616","","2014","1941.46","CC BY"
"University of Huddersfield","PMC4182033","25268118","10.1371/journal.pone.0107433","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2014","839.22","CC BY"
"University of Reading","","","10.1021/bm401640j","American Chemical Society","Biomacromolecules","1525-7797",TRUE,"2014","1510.74","CC BY"
"University of Reading","","","10.1021/bm500246w","American Chemical Society","Biomacromolecules","1525-7797",TRUE,"2014","1473.88","CC BY"
"University of Reading","","","10.1021/bm500950c","American Chemical Society","Biomacromolecules","1525-7797",TRUE,"2014","1288","CC BY"
"University of Reading","","","10.1021/la4029035","American Chemical Society","Langmuir","0743-7463",TRUE,"2014","1450","CC BY"
"University of Reading","","","10.1021/la403447u","American Chemical Society","Langmuir","0743-7463",TRUE,"2014","1156.9","CC BY"
"University of Reading","","","10.1021/mp500332m","American Chemical Society","Molecular Pharmaceutics","1543-8392",TRUE,"2014","1294.72","CC BY"
"University of Reading","","","10.1021/mz500357z","American Chemical Society","ACS Macro Letters","2161-1653",TRUE,"2014","2570.7","CC BY"
"University of Reading","","","10.1175/jamc-d-14-0016.1","American Meteorological Society","Journal of Applied Meteorology and Climatology","1558-8424",TRUE,"2014","631.07","CC BY"
"University of Reading","","","10.1175/jpo-d-13-0264.1","American Meteorological Society","Journal of Physical Oceanography","0022-3670",TRUE,"2014","580.68","CC BY"
"University of Reading","","","10.1175/mwr-d-13-00341.1","American Meteorological Society","Monthly Weather Review","1520-0493",TRUE,"2014","1624.19","CC BY"
"University of Reading","","","10.1175/mwr-d-14-00064.1","American Meteorological Society","Monthly Weather Review","0027-0644",TRUE,"2014","631.88","CC BY"
"University of Reading","","","10.1103/physrevlett.112.225001","American Physical Society","Physical Review Letters","0031-9007",TRUE,"2014","1609.43","CC BY"
"University of Reading","","","10.1145/2514848","Association for Computing Machinery","Transactions on Accessible Computing","1936-7236",TRUE,"2014","987","CC BY"
"University of Reading","","","10.1186/1471-2156-15-37","BioMed Central","BMC Genetics","1471-2156",FALSE,"2014","1608","CC BY"
"University of Reading","","","10.1136/archdischild-2013-303768","BMJ","Archives of Diseases in Childhood","0003-9888",TRUE,"2014","2340","CC BY"
"University of Reading","","","10.1136/bjophthalmol-2013-304533","BMJ","British Journal of Ophthalmology","1468-2079",TRUE,"2014","2343.28","CC BY"
"University of Reading","","","10.1016/j.cub.2014.01.040","Cell Press","Current Biology","0960-9822",TRUE,"2014","3026.35","CC BY"
"","","","","","","","","","",""
"University of Reading","","","10.5194/angeo-32-367-2014","Copernicus","Annales Geophysicae","1432-0576",FALSE,"2014","780.22","CC BY"
"University of Reading","","","10.5194/angeo-32-383-2014","Copernicus","Annales Geophysicae","1432-0576",FALSE,"2014","947.42","CC BY"
"University of Reading","","","10.5194/bg-10-8013-2013","Copernicus","Biogeosciences","1726-4189",FALSE,"2014","1867.32","CC BY"
"University of Reading","","","10.1016/j.appet.2014.08.040","Elsevier","Appetite","0195-6663",TRUE,"2014","1503.14","CC BY"
"University of Reading","","","10.1016/j.chembiol.2014.05.010","Elsevier","Chemistry & Biology","1074-5521",TRUE,"2014","3631.19","CC BY"
"University of Reading","","","10.1016/j.ijpharm.2014.06.007","Elsevier","International Journal of Pharmaceutics","0378-5173",TRUE,"2014","2080","CC BY"
"University of Reading","","","10.1016/j.ijpp.2014.06.003","Elsevier","International Journal of Paleopathology","1879-9817",TRUE,"2014","667.41","CC BY"
"","","","","","","","","","",""
"University of Reading","","","10.1016/j.jaapos.2014.08.009","Elsevier","Journal of American Association for Pediatric Ophthalmology and Strabismus","1091-8531",TRUE,"2014","1708.11","CC BY"
"University of Reading","","","10.1016/j.jad.2014.06.028","Elsevier","Journal of Affective Disorders","0165-0327",TRUE,"2014","1805.93","CC BY"
"University of Reading","","","10.1016/j.jad.2014.09.040","Elsevier","Journal of Affective Disorders","0165-0327",TRUE,"2014","1708.11","CC BY"
"University of Reading","","","10.1016/j.jastp.2014.08.006","Elsevier","Journal of Atmospheric and Solar-Terrestrial Physics","1364-6826",TRUE,"2014","1570","CC BY"
"University of Reading","","","10.1016/j.renene.2014.05.061","Elsevier","Renewable energy","0960-1481",TRUE,"2014","1805.93","CC BY"
"University of Reading","","","10.1016/j.scs.2014.09.007","Elsevier","Sustainable Cities and Society","2210-6707",TRUE,"2014","1904.24","CC BY"
"University of Reading","","","10.1016/j.uclim.2014.03.011","Elsevier","Urban Climate","2212-0955",TRUE,"2014","1884","CC BY"
"University of Reading","","","10.1016/s2213-8587(14)70113-5","Elsevier","Lancet Diabetes and Endocrinology","2213-8587",TRUE,"2014","3613.97","CC BY"
"University of Reading","","","10.3389/fpsyg.2014.00445","Frontiers","Frontiers in Psychology","1664-1078",FALSE,"2014","960","CC BY"
"University of Reading","","","10.1109/lgrs.2014.2303500","IEEE","IEEE Geoscience and Remote Sensing Letters","1545-598X",TRUE,"2014","1059.22","CC BY"
"University of Reading","","","10.1093/scan/nsu010","Oxford University Press","Social Cognitive and Affective Neuroscience","1749-5016",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1371/journal.pcbi.1003597","Public Library of Science","PLOS Computational Biology","1553-7358",FALSE,"2014","1387.8","CC BY"
"University of Reading","","","10.1371/journal.pone.0082996","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2014","854.96","CC BY"
"University of Reading","","","10.1371/journal.pone.0097298","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2014","983.78","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"University of Reading","","","10.1007/s00382-014-2115-7","Springer","Climate Dynamics","0930-7575",TRUE,"2014","2682.52","CC BY"
"University of Reading","","","10.1007/s10531-014-0660-3","Springer","Biodiversity and Conservation","0960-3115",TRUE,"2014","1810.18","CC BY"
"University of Reading","","","10.1007/s10584-013-1034-7","Springer","Climatic Change","0165-0009",TRUE,"2014","2655.47","CC BY"
"University of Reading","","","10.1007/s11252-014-0360-5","Springer","Urban Ecosystems","1083-8155",TRUE,"2014","2661.17","CC BY"
"University of Reading","","","10.1007/s11252-014-0404-x","Springer","Urban Ecosystems","1083-8155",TRUE,"2014","1876","CC BY"
"University of Reading","","","10.1175/jcli-d-12-00573.1","Springer","Climate Dynamics","1520-0442",TRUE,"2014","1885","CC BY"
"University of Reading","","","10.1080/09613218.2014.889490","Taylor & Francis","Building Research & Information","0961-3218",TRUE,"2014","2145.6","CC BY"
"University of Reading","","","10.5127/pr.033213","Textrum","Psychopathology Review","2051-8315",TRUE,"2014","1200","CC BY"
"University of Reading","","","10.1002/2013gl058755","Wiley-Blackwell","Geophysical Research Letters","0094-8276",TRUE,"2014","1350","CC BY"
"University of Reading","","","10.1002/2014gl060962","Wiley-Blackwell","Geophysical Research Letters","0094-8276",TRUE,"2014","1350","CC BY"
"University of Reading","","","10.1002/2014gl061694","Wiley-Blackwell","Geophysical Research Letters","0094-8276",TRUE,"2014","1350","CC BY"
"University of Reading","","","10.1002/2014sw001064","Wiley-Blackwell","Space Weather","1542-7390",TRUE,"2014","2250","CC BY"
"University of Reading","","","10.1002/ajpa.22639","Wiley-Blackwell","American Journal of Physical Anthropology","1096-8644",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/jbm.a.35011","Wiley-Blackwell","Journal of Biomedical Materials Research","1549-3296",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/jsfa.6522","Wiley-Blackwell","Journal of The Science of Food and Agriculture","0022-5142",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/jsfa.6577","Wiley-Blackwell","Journal of The Science of Food and Agriculture","0022-5142",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/mabi.201300313","Wiley-Blackwell","Macromolecular Bioscience (Electronic)","1616-5187",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/met.1487","Wiley-Blackwell","Meteorological Applications","1469-8080",TRUE,"2014","1800","Unknown"
"University of Reading","","","10.1002/psc.2633","Wiley-Blackwell","Journal of Peptide Science","1099-1387",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2207","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2211","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2269","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2287","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2295","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2314","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2352","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2371","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2385","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2393","Wiley-Blackwell","Quarterly Journal of the Royal Meteorological Soci","0035-9009",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2409","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2428","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/qj.2432","Wiley-Blackwell","The Quarterly Journal of the Royal Meteorological Society","1477-870X",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1111/1365-2664.12310","Wiley-Blackwell","Journal of Applied Ecology","0021-8901",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1111/nbu.12086","Wiley-Blackwell","Nutrition Bulletin","1467-3010",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1111/opo.12109","Wiley-Blackwell","Ophthalmic and Physiological Optics","1475-1313",TRUE,"2014","1800","CC BY"
"University of Reading","","","10.1002/2013jc009357","Wiley-Blackwell/American Geophysical Union","Journal of Geophysical Research: Oceans","0148-0227",TRUE,"2014","2250","CC BY"
"University of Reading","","","10.1002/2014ja019970","Wiley-Blackwell/American Geophysical Union","Journal of Geophysical Research: Space Physics","2169-9402",TRUE,"2014","2250","CC BY"
"University of Reading","","","10.1002/2014ja019972","Wiley-Blackwell/American Geophysical Union","Journal of Geophysical Research: Space Physics","2169-9402",TRUE,"2014","2250","CC BY"
"University of Reading","","","10.1002/2014ja019973","Wiley-Blackwell/American Geophysical Union","Journal of Geophysical Research: Space Physics","2169-9402",TRUE,"2014","2250","CC BY"
"University of Reading","","","10.1002/2014jd021927","Wiley-Blackwell/American Geophysical Union","Journal of Geophysical Research","2169-8996",TRUE,"2014","2250","CC BY"
"University of Warwick","","","10.1049/htl.2014.0089","Institution of Engineering and Technology","Healthcare Technology Letters","",TRUE,"2014","744.69","CC BY"
