Institution,PubMed Central (PMC) ID,PubMed ID,DOI,Publisher,Journal,ISSN,is_hybrid,period,euro,Licence
Newcastle University,PMC3929202,,10.1212/WNL.0000000000000066,Wolters Kluwer/Lippincott Williams & Wilkins,Neurology,,FALSE,2015,3735.61,CC BY
Newcastle University,,,10.1017/S095927091400046X,Cambridge University Press,Bird Conservation International,,,2015,3796.39,CC BY
Newcastle University,PMC4291635,,10.1073/pnas.1412817112,PNAS,Proceedings of the National Academy of Sciences USA,,FALSE,2015,1079.03,CC BY
Newcastle University,PMC4256439,,10.1371/journal.pone.0114462,PLOS,PLOS ONE,,FALSE,2015,1456.74,CC BY
Newcastle University,PMC4270488,,10.1371/journal.pgen.1004871,PLOS,PLOS Genetics,,FALSE,2015,2427.21,CC BY
Newcastle University,PMC4280279,,10.1161/CIRCRESAHA.116.304393,Wolters Kluwer/Lippincott Williams & Wilkins,Circulation Research,,FALSE,2015,4760.15,CC BY
Newcastle University,,25568309,10.15252/embj.201490177,Wiley,EMBO,,FALSE,2015,4103.15,CC BY
Newcastle University,,,10.1098/rspb.2014.2568,Royal Society,"Proceedings of the Royal Society of London, Series B",,,2015,1985.04,CC BY
"Queen Mary, University of London",,,10.1210/jc.2013-3844,Endocrine Society,Journal of Clinical Endocrinology and Metabolism,0021-972X,TRUE,2015,2685.99,Unknown
"Queen Mary, University of London",,,10.1073/pnas.1410938111,National Academy of Sciences,Proceedings of the National Academy of Sciences,1091-6490,TRUE,2015,2374.30,CC BY
"Queen Mary, University of London",,,10.1371/journal.pone.0114626,PLOS,PLOS One,1932-6203,FALSE,2015,1183.75,
"Queen Mary, University of London",,,10.1371/journal.pone.0114870,PLOS,PLOS One,1932-6203,FALSE,2015,1232.85,
University of Bristol,,,10.1016/j.neuroimage.2014.11.057,Elsevier,NeuroImage,1053-8119,TRUE,2015,2128.96,CC BY
University of Cambridge,,,10.5334/pia.478,Ubiquity Press,Papers from the Institute of Archaeology,,,2015,413.55,CC BY
University of Cambridge,,,10.1371/journal.pone.0108891,PLOS,PLOS ONE,,,2015,3515.18,CC BY
University of Cambridge,,,10.1097/EDE.0000000000000161,Wolters Kluwer/Lippincott Williams & Wilkins,Epidemiology,,,2015,4022.50,CC BY
