"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","Type of publication","Date of APC payment","APC paid () including VAT if charged","Licence"
"Newcastle University","PMC3929202","","10.1212/WNL.0000000000000066","Wolters Kluwer/Lippincott Williams & Wilkins","Neurology","","FALSE","2015","2709.91","CC BY"
"Newcastle University","","","10.1017/S095927091400046X","Cambridge University Press","Bird Conservation International","","","2015","2754","CC BY"
"Newcastle University","PMC4291635","","10.1073/pnas.1412817112","PNAS","Proceedings of the National Academy of Sciences USA","","FALSE","2015","782.76","CC BY"
"Newcastle University","PMC4256439","","10.1371/journal.pone.0114462","PLOS","PLOS ONE","","FALSE","2015","1056.76","CC BY"
"Newcastle University","PMC4270488","","10.1371/journal.pgen.1004871","PLOS","PLOS Genetics","","FALSE","2015","1760.76","CC BY"
"Newcastle University","PMC4280279","","10.1161/CIRCRESAHA.116.304393","Wolters Kluwer/Lippincott Williams & Wilkins","Circulation Research","","FALSE","2015","3453.14","CC BY"
"Newcastle University","","25568309","10.15252/embj.201490177","Wiley","EMBO","","FALSE","2015","2976.53","CC BY"
"Newcastle University","","","10.1098/rspb.2014.2568","Royal Society","Proceedings of the Royal Society of London, Series B","","","2015","1440","CC BY"
"Queen Mary, University of London","","","10.1210/jc.2013-3844","Endocrine Society","Journal of Clinical Endocrinology and Metabolism","0021-972X","TRUE","2015","1948.49","Unknown"
"Queen Mary, University of London","","","10.1073/pnas.1410938111","National Academy of Sciences","Proceedings of the National Academy of Sciences","1091-6490","TRUE","2015","1722.38","CC BY"
"Queen Mary, University of London","","","10.1371/journal.pone.0114626","PLOS","PLOS One","1932-6203","FALSE","2015","858.72",""
"Queen Mary, University of London","","","10.1371/journal.pone.0114870","PLOS","PLOS One","1932-6203","FALSE","2015","894.34",""
"University of Bristol","","","10.1016/j.neuroimage.2014.11.057","Elsevier","NeuroImage","1053-8119","TRUE","2015","1544.4","CC BY"
"University of Cambridge","","","10.5334/pia.478","Ubiquity Press","Papers from the Institute of Archaeology","","","2015","300","CC BY"
"University of Cambridge","","","10.1371/journal.pone.0108891","PLOS","PLOS ONE","","","2015","2550","CC BY"
"University of Cambridge","","","10.1097/EDE.0000000000000161","Wolters Kluwer/Lippincott Williams & Wilkins","Epidemiology","","","2015","2918.03","CC BY"
"University of Cambridge","","","10.4155/fmc.14.137","FSG","Future Medicinal Chemistry","","","2015","2040",""
"University of Cambridge","","","10.1098/rstb.2013.0541","Royal Society Publishing","Philosophical Transactions of the Royal Society B","","","2015","1260","CC BY"
"University of Cambridge","","","10.1186/s12858-014-0024-3","BioMed Central","BMC Biochemistry","","","2015","1411.5","CC BY"
"University of Cambridge","","","10.1039/C4CE01622J ","Royal Society of Chemistry","CrystEngComm","","","2015","1632","CC BY"
"University of Cambridge","","","10.11646/zootaxa.3905.1.10","Magnolia Presss","Zootaxa","","","2015","94.61","CC BY"
"University of Cambridge","","","10.1111/cei.12434","Wiley","clinical and experimental immunology","","","2015","2303.7",""
"University of Cambridge","","","10.1111/lsi.12093","Wiley","Law & Social Inquiry","","","2015","2303.7",""
"University of Cambridge","","","10.3945/?ajcn.114.087551","American Society for Nutrition","American Journal of Clinical Nutrition","","","2015","3839.51","CC BY"
"University of Cambridge","","","10.1186/s12939-014-0107-1","BioMed Central","International Journal for Equity in Health","","","2015","1524","CC BY"
"University of Cambridge","","","10.1007/s12522-014-0199-8","Springer","Reproductive Medicine and Biology","","","2015","2068.8","CC BY"
"University of Cambridge","","","10.1002/pssb.201451591","Wiley","Physica Status Solidi (b)","","","2015","2373.89",""
"University of Cambridge","","","10.1186/s12875-014-0185-6","BioMed Central","BMC Family Practice","","","2015","1411.5","CC BY"
"University of Cambridge","","","10.1186/s13059-014-0526-8","BioMed Central","GENOME BIOLOGY","","","2015","2094","CC BY"
"University of Cambridge","","","10.1096/fj.14-263004","FASEB","FASEB Journal","","","2015","1919.76",""
"University of Cambridge","","","10.1097/ICU.0000000000000125","Wolters Kluwer/Lippincott Williams & Wilkins","CURRENT OPINION IN OPHTHALMOLOGY","","","2015","3008.11","CC BY"
"University of Cambridge","","","10.1016/j.jpsychores.2014.11.002","Elsevier","Journal of Psychosomatic Research","","","2015","2374.82","CC BY"
"University of Cambridge","","","10.1016/j.jnnfm.2014.09.008","Elsevier","Journal of Non-Newtonian Fluid Mechanics","","","2015","1876.08","CC BY"
"University of Cambridge","","","10.1002/stem.1910","Wiley","Stem Cells","","","2015","1535.81",""
"University of Cambridge","","","10.1016/j.jneb.2014.11.001","Elsevier","Journal of Nutrition Education and Behavior","","","2015","1871.68","CC BY"
"University of Cambridge","","","10.1007/s10659-014-9506-1","Springer","Journal of Elasticity","","","2015","2061.05","CC BY"
"University of Cambridge","","","10.1016/j.epsl.2014.11.034","Elsevier","Earth and Planetary Science Letters","","","2015","1664.45",""
"University of Cambridge","","","10.1007/s00439-014-1515-4","Springer","Human Genetics","","","2015","2068.8","CC BY"
"University of Cambridge","","","10.1016/j.mri.2014.10.010","Elsevier","Magnetic Resonance Imaging","","","2015","2350.91","CC BY"
"University of Cambridge","","","10.1099/vir.0.069591-0","Society for General Microbiology","Journal of General Virology","","","2015","1785","CC BY"
"University of Cambridge","","","10.1186/1471-2407-14-891","BioMed Central","BMC Cancer","","","2015","1411.5","CC BY"
"University of Cambridge","","","10.1007/s00415-014-7598-y","Springer","Journal of Neurology","","","2015","2068.8","CC BY"
"University of Cambridge","","","10.1093/nar/gku1292","Oxford University Press","Nucleic Acids Research","","","2015","1704","CC BY"
"University of Cambridge","","","10.1016/j.str.2014.11.020","Elsevier","Structure","","","2015","3752.15","CC BY"
"University of Cambridge","","","10.1016/j.appet.2014.11.002","Elsevier","Appetite","","","2015","1650.94","CC BY"
"University of Cambridge","","","10.1002/adma.201405044","Wiley","Advanced Materials","","","2015","2357.26","CC BY"
"University of Cambridge","","","10.1080/00102202.2014.902814","Taylor & Francis","Combustion Science and Technology","","","2015","2265.31",""
"University of Cambridge","","","10.1016/j.proci.2014.07.025","Elsevier","Proceedings of the Combustion Institute","","","2015","1500.86","CC BY"
"University of Cambridge","","","10.1088/2050-6120/3/1/014002","IOP Publishing","Methods and Applications in Fluorescence","","","2015","1836","CC BY"
"University of Cambridge","","","10.1007/s00125-014-3434-2","Springer","Diabetologia","","","2015","2068.8",""
"University of Cambridge","","","10.1128/JB.02404-14","American Society for Microbiology","Journal of Bacteriology","","","2015","1536",""
"University of Cambridge","","","10.1016/j.cell.2015.01.006","American Chemical Society","Cell","","","2015","3753.32","CC BY"
"University of Cambridge","","","10.1021/bi5008035","American Chemical Society","Biochemistry","","","2015","1535.8","CC BY"
"University of Cambridge","","","10.1016/j.molcel.2014.12.007","Elsevier","Molecular Cell","","","2015","3752.15","CC BY"
"University of Cambridge","","","10.1371/journal.pone.0115304","PLOS","PLOS ONE","","","2015","1036.67","CC BY"
"University of Cambridge","","","10.1016/j.ceb.2014.12.002","Elsevier","Current Opinion in Cell Biology","","","2015","2879.63","CC BY"
"University of Cambridge","","","10.1007/s00125-014-3483-6","Springer","Diabetologia","","","2015","2018.81","CC BY"
"University of Cambridge","","","10.1111/dom.12427","Wiley","Diabetes, Obesity and Metabolism","","","2015","2374.82",""
"University of Cambridge","","","10.1016/j.automatica.2014.12.026","Elsevier","Automatica","","","2015","2326.33","CC BY"
"University of Cambridge","","","10.1016/j.jcrysgro.2014.11.037","Elsevier","Journal of Crystal Growth","","","2015","1648.62","CC BY"
"University of Cambridge","","","10.5194/acpd-14-30705-2014","Copernicus","Atmospheric Chemistry and Physics Discussions","","","2015","495.35","CC BY"
"University of Cambridge","","","10.1021/nl5041786","American Chemical Society","Nano Letters","","","2015","1535.81","CC BY"
"University of Cambridge","","","10.1002/adma.201404799","Wiley","Advanced Materials","","","2015","2386.16","CC BY"
"University of Cambridge","","","10.1016/j.epsl.2014.12.022","Elsevier","Earth and Planetary Science Letters","","","2015","2246.01","CC BY"
"University of Cambridge","","","10.1186/s13064-014-0028-0","Springer","Neural Development","","","2015","1610.4","CC BY"
"University of Cambridge","","","10.1016/j.colsurfb.2014.12.020","Elsevier","Colloids and Surfaces B: Biointerfaces","","","2015","1951.12","CC BY"
"University of Cambridge","","","10.1042/BJ20141333","Biochemical Society","Biochemical Journal","","","2015","1800",""
"University of Cambridge","","","10.1007/s00442-014-3208-z","Springer","Oecologia","","","2015","2061.37","CC BY"
"University of Cambridge","","","10.15252/embj.201489852","Wiley","The EMBO Journal","","","2015","2303.7","CC BY"
"University of Cambridge","","","10.1021/ja509872y","American Chemical Society","Journal of the American Chemical Society","","","2015","1535.81","CC BY"
"University of Cambridge","","","10.1039/c4ra11891j","Royal Society of Chemistry","RSC Advances","","","2015","1632","CC BY"
"University of Cambridge","","","10.1021/nn5064198","American Chemical Society","ACS Nano","","","2015","1151.86",""
"University of Cambridge","","","10.1016/j.bpj.2014.12.035","Elsevier","Biophysical Journal","","","2015","1347.61","CC BY"
"University of Cambridge","","","10.1080/1081602X.2014.1001768","Taylor & Francis","The History of the Family","","","2015","2145.6","CC BY"
"University of Cambridge","","","10.1016/j.visres.2014.11.012","Elsevier","Vision Research","","","2015","1350.78","CC BY"
