Institution,PubMed Central (PMC) ID,PubMed ID,DOI,Publisher,Journal,ISSN,is_hybrid,period,euro,Licence
Bangor University,,,10.1177/0956797614527830 ,Sage,Psychological Science,,,2014,3226.86,CC BY-NC
Bangor University,,,10.1038/ismej.2014.213 ,Nature Publishing Group,The ISME Journal,,,2014,4170.10,CC BY
Bangor University,,,10.1093/cercor/bhu282 ,Oxford University Press,Cerebral Cortex,,,2014,3729.26,CC BY
Bangor University,,,10.1016/j.ecss.2014.09.019 ,Elsevier,"Estuarine, Coastal and Shelf Science",,,2014,3544.58,CC BY
Bangor University,,,10.1186/s12955-014-0175-3,BioMed Central,Health & Quality of Life Outcomes,,,2014,2047.82,CC BY
Bangor University,,,10.1098/rspb.2014.2336 ,Royal Society,Proceedings of the Royal Society B,0962-8452,TRUE,2014,2382.91,CC BY
Bangor University,,,10.1111/1365-2435.12377 ,Wiley,Functional Ecology,,,2014,2134.69,CC BY
Bangor University,,,10.1111/gcb.12784 ,Wiley,Global Change Biology,1365-2486,TRUE,2014,2085.05,CC BY
Bangor University,,,10.1002/lno.10008,ASLO,Limnology and Oceanography,,,2014,535.09,CC BY
Bangor University,,,10.1016/j.renene.2014.10.029 ,Elsevier,Renewable Energy,0960-1481,TRUE,2014,2171.93,CC BY
Bangor University,,,10.1002/2013jc009240 ,American Geophysical Union,Journal of Geophysical Research: Oceans,2169-9291,TRUE,2014,3244.06,CC BY
Bangor University,,,10.1186/1471-2229-14-51,BioMed Central,BMC Plant Biology,,,2014,1995.69,CC BY
Bangor University,,,10.1371/journal.pone.0090882,PLOS,PLOS One,1932-6203,FALSE,2014,1259.17,CC BY
Bangor University,,,10.1016/j.jmarsys.2014.01.009,Elsevier,Journal of Marine Systems,,,2014,2803.50,CC BY
Bangor University,,,10.1111/psyp.12182,Wiley,Psychophysiology,1469-8986,TRUE,2014,2777.93,CC BY
Bangor University,,,10.1007/s10980-013-9983-9 ,Springer,Landscape Ecology,,,2014,2848.83,CC BY
Bangor University,,,10.1016/j.csr.2013.12.004 ,Elsevier,Continental Shelf Research,0278-4343,,2014,2856.21,CC BY
Bangor University,,,10.1080/13645145.2014.896077 ,Taylor & Francis,Studies in Travel Writing,1755-7550,,2014,2662.90,CC BY
Bangor University,,,10.3389/fpsyg.2014.00222 ,Frontiers,Frontiers in Psychology,1664-1078,FALSE,2014,1654.46,CC BY
Bangor University,,,10.1371/journal.pone.0094015 ,PLOS,PLOS One,1932-6203,FALSE,2014,937.35,CC BY
Bangor University,,,10.1371/journal.pone.0096811 ,PLOS,PLOS One,1932-6203,FALSE,2014,1235.03,CC BY
,,,,,,,,,,
Bangor University,,,10.1523/jneurosci.0665-14.2014 ,Society for Neuroscience,Journal of Neuroscience,0270-6474,TRUE,2014,4134.04,CC BY
Bangor University,,,10.1523/jneurosci.4820-13.2014 ,Society for Neuroscience,Journal of Neuroscience,0270-6474,TRUE,2014,4134.04,CC BY
Bangor University,,,10.3366/cor.2014.0057 ,Edinburgh University Press,Corpora,,,2014,1489.32,CC BY
Bangor University,,,10.1016/j.orgel.2014.03.043 ,Elsevier,Organic Electronics,,,2014,2032.91,CC BY
Bangor University,,,10.1186/1477-7525-12-94 ,BioMed Central,Health & Quality of Life Outcomes,,,2014,1973.35,CC BY
Bangor University,,,10.1037/a0034983 ,APA Journals,Journal of Experimental Psychology: Human Perception and Performance,,,2014,3622.57,CC BY
Bangor University,,,10.1109/ted.2014.2329329 ,IEEE,IEEE Transactions on Electron Devices,,,2014,1574.19,CC BY
Bangor University,,,10.1186/2046-4053-3-91 ,BioMed Central,Systematic Reviews,2046-4053,FALSE,2014,2263.77,CC BY
Bangor University,,,10.1002/2014jc010089 ,Wiley,Journal of Geophysical Research,,TRUE,2014,3787.04,CC BY
Bangor University,,,10.1080/03091929.2014.944909 ,Taylor & Francis,Geophysical and Astrophysical Fluid Dynamics,,,2014,2662.90,CC BY
Bangor University,,,10.1002/2013jc009605 ,Wiley,Journal of Geophysical Research,,TRUE,2014,2658.90,CC BY
Bangor University,,,10.1175/jtech-d-13-00198.1 ,American Meteorological Society,Journal of Atmospheric and Oceanic Technology,,,2014,1656.71,CC BY
Bangor University,,,10.1016/j.dsr.2013.04.006 ,Elsevier,Deep Sea Research Part 1,0967-0637,TRUE,2014,2392.88,CC BY
Bangor University,,,10.1016/j.energy.2014.07.002 ,Elsevier,Energy,0360-5442,TRUE,2014,2240.86,CC BY
Bangor University,,,10.1016/j.gca.2014.05.031 ,Geochimica et Cosmochimica Acta,Geochimica et Cosmochimica Acta,0016-7037,TRUE,2014,2652.69,CC BY
Bangor University,,,10.1016/j.soilbio.2014.07.003 ,Elsevier,Soil Biology and Biochemistry,,,2014,2240.88,CC BY
Bangor University,,,10.1016/j.apenergy.2014.07.023 ,Elsevier,Applied Energy,0306-2619,TRUE,2014,2917.95,CC BY
Bangor University,,,10.1111/geb.12223 ,Wiley,Global Ecology and Biogeography,,,2014,2407.00,CC BY
