"Institution","PubMed Central (PMC) ID","PubMed ID","DOI","Publisher","Journal","ISSN","is_hybrid","period","euro","Licence"
"Aston University","PMC4120706","25994702","10.1121/1.4919344","Acoustical Society of America","Journal of the Acoustical Society of America","0001-4966",TRUE,"2015","2470.27","CC BY"
"Aston University","","","10.1063/1.4918969","American Institute of Physics","AIP Advances","2158-3226",FALSE,"2015","1454.32","CC BY"
"Aston University","PMC4445382","25751040","10.1037/xhp0000038","American Psychological Association","Journal of Experimental Psychology: Human Perception and Performance","0096-1523",TRUE,"2015","4306.43","CC BY"
"Aston University","PMC4505433","","10.1074/jbc.m115.646034","American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","1083-351X",TRUE,"2015","3506.90","CC BY"
"Aston University","","25787999","10.3945/ajcn.114.103713","American Society for Nutrition","American Journal of Clinical Nutrition","0002-9165",TRUE,"2015","4350.55","None"
"Aston University","","","10.1186/s12968-015-0221-2","BioMed Central","Journal of Cardiovascular Magnetic Resonance","1097-6647",FALSE,"2015","1949.20","CC BY"
"Aston University","PMC4690418","","10.1186/s12886-015-0174-0","BioMed Central","BMC Ophthalmology","1471-2415",FALSE,"2015","2153.22","CC BY"
"Aston University","","","10.1016/j.bar.2015.01.002","Elsevier","British Accounting Review","0890-8389",TRUE,"2015","1934.04","CC BY"
"Aston University","","","10.1016/j.bej.2015.06.018","Elsevier","Biochemical Engineering Journal","1369-703X",FALSE,"2015","2952.75","CC BY"
"Aston University","","","10.1016/j.bej.2015.08.003","Elsevier","Biochemical Engineering Journal","1369-703X",TRUE,"2015","2989.97","CC BY"
"Aston University","","","10.1016/j.cpa.2015.01.005","Elsevier","Critical Perspectives On Accounting","1045-2354",TRUE,"2015","1181.37","CC BY-NC-ND"
"Aston University","","","10.1016/j.cpc.2014.12.019","Elsevier","Computer Physics Communications","0010-4655",TRUE,"2015","1774.13","CC BY"
"Aston University","","","10.1016/j.fuproc.2015.05.013","Elsevier","Fuel Processing Technology","0378-3820",TRUE,"2015","3542.75","CC BY"
"Aston University","","25620314","10.1016/j.heares.2015.01.007","Elsevier","Hearing Research","0378-5955",TRUE,"2015","1450.18","CC BY"
"Aston University","","","10.1016/j.indmarman.2015.02.022","Elsevier","Industrial Marketing Management","0019-8501",TRUE,"2015","1181.37","CC BY"
"","","","","","","","","","",""
"Aston University","","","10.1016/j.jcyt.2015.08.002","Elsevier","Cytotherapy","1465-3249",TRUE,"2015","2717.02","CC BY"
"Aston University","","","10.1016/j.jfi.2015.08.001","Elsevier","Journal of Financial Intermediation","1042-9573",TRUE,"2015","1957.47","CC BY"
"Aston University","","","10.1016/j.jwb.2015.09.001","Elsevier","Journal of World Business","1090-9516",TRUE,"2015","1957.47","CC BY-NC-ND"
"Aston University","","","10.1016/j.leaqua.2015.02.002","Elsevier","Leadership Quarterly","1048-9843",TRUE,"2015","1611.47","CC BY"
"Aston University","PMC3181687","25797493","10.1016/j.neuropharm.2015.03.006","Elsevier","Neuropharmacology","0028-3908",TRUE,"2015","1968.50","CC BY"
"Aston University","","25772602","10.1016/j.neuropsychologia.2015.03.007","Elsevier","Neuropsychologia","0028-3932",TRUE,"2015","1934.04","CC BY-NC-ND"
"Aston University","","","10.1016/j.optmat.2015.02.005","Elsevier","Optical Materials","0925-3467",TRUE,"2015","2362.75","CC BY-NC-ND"
"Aston University","","25937536","10.1016/j.pec.2015.04.005","Elsevier","Patient Education and Counselling","0738-3991",TRUE,"2015","3222.93","CC BY"
"Aston University","","","10.1016/j.pursup.2015.04.002","Elsevier","Journal of Purchasing & Supply Management","1478-4092",TRUE,"2015","1181.37","CC BY-NC-ND"
"Aston University","PMC4521084","26037971","10.1016/j.sbi.2015.04.003","Elsevier","Current Opinion in Structural Biology","0959-440X",TRUE,"2015","3356.65","CC BY"
"Aston University","","","10.1108/scm-10-2014-0323","Emerald","Supply Chain Management","1359-8546",TRUE,"2015","1645.93","CC BY"
"","","","","","","","","","",""
"Aston University","","","10.1109/tsg.2015.2389711","IEEE","IEEE Transactions on Smart Grid","1949-3053",TRUE,"2015","1629.39","None"
"Aston University","","","10.1075/dia.32.4.03bre","John Benjamins","Diachronica","0176-4225",TRUE,"2015","2059.48","CC BY-NC"
"Aston University","PMC4528011","25853906","10.1038/jcbfm.2015.58","Nature Publishing Group","Journal of Cerebral Blood Flow and Metabolism","0271-678X",TRUE,"2015","3142.98","CC BY"
"Aston University","","","10.1038/lsa.2015.49","Nature Publishing Group","Light: Science & Applications","2095-5545",FALSE,"2015","4797.18","CC BY"
"Aston University","","","10.1038/lsa.2016.32","Nature Publishing Group","Light: Science & Applications","2095-5545",FALSE,"2015","4797.18","CC BY"
"Aston University","PMC4371104","25800551","10.1038/srep09425","Nature Publishing Group","Scientific Reports","2045-2322",FALSE,"2015","1637.66","CC BY"
"Aston University","PMC4432867","25978651","10.1038/srep09736","Nature Publishing Group","Scientific Reports","2045-2322",FALSE,"2015","1637.66","CC BY"
"Aston University","PMC4568457","26365761","10.1038/srep13947","Nature Publishing Group","Scientific Reports","2045-2322",FALSE,"2015","1637.66","CC BY"
"Aston University","PMC4639810","","10.1038/srep16352","Nature Publishing Group","Scientific Reports","2045-2322",FALSE,"2015","1637.66","CC BY"
"Aston University","","25836830","10.1364/oe.23.006058","Optical Society","Optics Express","1094-4087",FALSE,"2015","2064.99","None"
"Aston University","","26368191","10.1364/oe.23.022181","Optical Society","Optics Express","1094-4087",FALSE,"2015","2127.03","None"
"Aston University","PMC4514925","25810434","10.1093/bioinformatics/btv167","Oxford University Press","Bioinformatics","1367-4803",TRUE,"2015","3473.82","CC BY"
"Aston University","PMC4349811","25738989","10.1371/journal.pone.0118786","Public Library of Science","PLOS ONE","1932-6203",FALSE,"2015","1530.14","CC BY"
"","","","","","","","","","",""
"Aston University","","","10.1039/c4tb01776e","Royal Society of Chemistry","Journal of Materials Chemistry B","2050-750X",TRUE,"2015","2249.71","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Aston University","PMC4674745","","10.1177/0146167215573210","Sage","Personality and Social Psychology Bulletin","0146-1672",TRUE,"2015","661.68","CC BY"
"Aston University","","","10.1177/0261018314545599","Sage","Critical Social Policy","0261-0183",TRUE,"2015","661.68","CC BY"
"Aston University","","","10.1177/0261018315574019","Sage","Critical Social Policy","0261-0183",TRUE,"2015","661.68","CC BY"
"Aston University","","","10.1177/0263774x15605899","Sage","Environment and Planning C: Government and Policy","0263-774X",TRUE,"2015","661.68","CC BY"
"Aston University","","","10.1177/0950017015574824","Sage","Work Employment & Society","0950-0170",TRUE,"2015","330.84","CC BY"
"Aston University","PMC4439527","25697863","10.1007/s00018-015-1850-1","Springer","Cellular and Molecular Life Sciences","1420-682X",TRUE,"2015","2712.89","CC BY"
"Aston University","","","10.1007/s10562-015-1559-7","Springer","Catalysis Letters","1011-372X",FALSE,"2015","1681.77","CC BY"
"Aston University","","","10.1007/s11747-015-0447-4","Springer","Journal of the Academy of Marketing Science","0092-0703",TRUE,"2015","2712.89","None"
"Aston University","","","10.1080/0048721x.2015.1027968","Taylor & Francis","Religion","0048-721X",TRUE,"2015","3330.46","CC BY"
"Aston University","","","10.1080/03075079.2015.1073249","Taylor & Francis","Studies in Higher Education","0307-5079",TRUE,"2015","2956.88","CC BY-NC-ND"
"Aston University","","","10.1080/13645579.2015.1086199","Taylor & Francis","International Journal of Social Research Methodology","1364-5579",TRUE,"2015","3341.48","CC BY"
"Aston University","","","10.1080/23293691.2015.1089150","Taylor & Francis","Women's Reproductive Health","2329-3691",TRUE,"2015","3341.48","CC BY"
"Aston University","","","10.1002/job.2040","Wiley-Blackwell","Journal of Organizational Behavior","0894-3796",TRUE,"2015","2481.30","CC BY"
"Aston University","","","10.1111/1467-8551.12071","Wiley-Blackwell","British Journal of Management","1045-3172",TRUE,"2015","2481.30","CC BY-NC"
"Aston University","","","10.1111/acel.12416","Wiley-Blackwell","Aging Cell","1474-9718",TRUE,"2015","2183.54","CC BY"
"Aston University","","26149453","10.1111/aos.12786","Wiley-Blackwell","Acta Ophthalmologica","1755-375X",TRUE,"2015","2481.30","CC BY-NC-ND"
"Aston University","","","10.1111/ijmr.12071","Wiley-Blackwell","International Journal of Management Reviews","1460-8545",TRUE,"2015","2481.30","None"
"Cardiff University","","","10.5966/sctm.2015-0043","AlphaMed","Stem Cells Translational Medicine","2157-6564",TRUE,"2015","1651.46","None"
"Cardiff University","","","10.4049/jimmunol.1401785","American Association of Immunologists","Journal of Immunology","","","2015","2274.53","CC BY"
"Cardiff University","PMC4671089","26553072","10.4049/jimmunol.1402787","American Association of Immunologists","Journal of Immunology","0022-1767",TRUE,"2015","3330.59","CC BY"
"Cardiff University","","","10.4049/jimmunol.1402956","American Association of Immunologists","Journal of Immunology","","","2015","3416.58","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1021/acs.organomet.5b00546","American Chemical Society","Organometallics","0276-7333",TRUE,"2015","3261.23",""
"Cardiff University","","","10.1021/acs.organomet.5b00753","American Chemical Society","Organometallics","0276-7333",TRUE,"2015","3318.57",""
"Cardiff University","","","10.1021/acscatal.5b00480","American Chemical Society","ACS Catalysis","","","2015","2188.80","Unknown"
"Cardiff University","","","10.1021/jacs.5b09311","American Chemical Society","Journal of the American Chemical Society","0002-7863",TRUE,"2015","3330.59",""
"Cardiff University","","","10.1063/1.4934218","American Institute of Physics","Applied Physics Letters","0003-6951",TRUE,"2015","2424.86","None"
"Cardiff University","","","10.1103/physrevb.92.144512","American Physical Society","Physical Review B","1098-0121",TRUE,"2015","1864.20","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1037/xan0000056","American Psychological Association","Journal of Experimental Psychology: Animal Learning and Cognition","2329-8456",TRUE,"2015","4391.58","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1074/jbc.m114.625939","American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","","","2015","2301.17","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1074/jbc.m115.658443","American Society for Biochemistry and Molecular Biology","Journal of Biological Chemistry","0021-9258",TRUE,"2015","1731.20","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1061/(asce)ee.1943-7870.0001014","American Society of Civil Engineers","Journal of Environmental Engineering","0733-9372",TRUE,"2015","1879.41","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1167/15.1.24","Association for Research in Vision and Ophthalmology","Journal of Vision","","","2015","1522.06","Unknown"
"Cardiff University","","","10.1167/15.3.20","Association for Research in Vision and Ophthalmology","Journal of Vision","","","2015","1812.18","Unknown"
"","","","","","","","","","",""
"Cardiff University","","","10.1186/s12875-015-0359-x","BioMed Central","BMC Family Practice","1471-2296",FALSE,"2015","1926.32","CC BY"
"Cardiff University","","","10.1186/s12885-015-1565-6","BioMed Central","BMC Cancer","1471-2407",FALSE,"2015","2274.53","CC BY"
"Cardiff University","","","10.1186/s12885-015-1598-x","BioMed Central","BMC Cancer","1471-2407",FALSE,"2015","2348.96","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1186/s12967-015-0639-1","BioMed Central","Journal of Translational Medicine","1479-5876",FALSE,"2015","2191.82","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1186/s13104-015-1276-8","BioMed Central","BMC Research Notes","1756-0500",FALSE,"2015","1381.26","CC BY"
"","","","","","","","","","",""
"Cardiff University","","","10.1186/s13326-015-0033-1","BioMed Central","Journal of Biomedical Semantics","2041-1480",FALSE,"2015","2133.92","CC BY"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1136/bmj.h1258","BMJ","BMJ","","","2015","4135.50","Unknown"
"Cardiff University","","","10.1136/bmjopen-2014-006914","BMJ","BMJ Open","","","2015","1860.98","CC BY"
"Cardiff University","","","10.1136/bmjopen-2014-007072","BMJ","BMJ Open","","","2015","1898.19","CC BY"
"Cardiff University","","","10.1136/bmjopen-2015-007910","BMJ","BMJ Open","2044-6055",FALSE,"2015","2233.17","CC BY-NC"
"Cardiff University","","","10.1136/bmjopen-2015-008551","BMJ","BMJ Open","2044-6055",FALSE,"2015","2233.17","CC BY-NC"
"Cardiff University","","","10.1136/bmjopen-2015-009027","BMJ","BMJ Open","2044-6055",FALSE,"2015","2233.17","CC BY"
"Cardiff University","","","10.1136/bmjopen-2015-009079","BMJ","BMJ Open","2044-6055",FALSE,"2015","1654.20","CC BY"
"Cardiff University","","","10.1136/bmjopen-2015-009740","BMJ","BMJ Open","2044-6055",FALSE,"2015","2233.17","CC BY-NC"
"Cardiff University","","","10.1136/bmjsem-2015-000019","BMJ","BMJ Open Sport & Exercise Medicine","2055-7647",FALSE,"2015","2481.30","CC BY-NC"
"Cardiff University","","","10.1136/bmjspcare-2015-000892","BMJ","BMJ Supportive & Palliative Care","2045-435X",TRUE,"2015","2109.11","CC BY-NC"
"Cardiff University","","26350752","10.1136/jclinpath-2015-203097","BMJ","Journal of Clinical Pathology","0021-9746",TRUE,"2015","3225.69","CC BY"
"Cardiff University","","","10.1136/medethics-2015-102777","BMJ","Journal of Medical Ethics","0306-6800",TRUE,"2015","2284.86","CC BY"
"Cardiff University","","","10.1136/oemed-2015-102961","BMJ","Occupational and Environmental Medicine","1351-0711",TRUE,"2015","3225.69","CC BY-NC"
"Cardiff University","","","10.1136/postgradmedj-2015-133353","BMJ","Postgraduate Medical Journal","0032-5473",TRUE,"2015","3225.69","CC BY-NC"
"Cardiff University","","","10.1136/practneurol-2015-001214","BMJ","Practical Neurology","1474-7758",TRUE,"2015","3225.69","CC BY-NC"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Cardiff University","","","10.1017/jfm.2015.547","Cambridge University Press","Journal of Fluid Mechanics","0022-1120",TRUE,"2015","2803.87","CC BY"
"Cardiff University","","","10.1017/s0033291715001671","Cambridge University Press","Psychological Medicine","0033-2917",TRUE,"2015","2803.87","CC BY"
