institution;period;eur;doi;is_hybrid;publisher;journal_full_title;issn;issn_print;issn_electronic;issn_l;license_ref;indexed_in_crossref;pmid;pmcid;ut;url;doaj
University of Debrecen;2023;868,233515;10.3390/designs7010003;false;;;;;;;;;;;;;
University of Debrecen;2023;3081,088533;10.3389/fneur.2023.1080046;false;;;;;;;;;;;;;
University of Debrecen;2023;3066,104616;10.3389/fchem.2023.1086267;false;;;;;;;;;;;;;
University of Debrecen;2023;1676,697932;10.3390/diagnostics13010014;false;;;;;;;;;;;;;
University of Debrecen;2023;1977,47294;10.1038/s41598-022-26909-1;false;;;;;;;;;;;;;
University of Debrecen;2023;2320,992896;10.3390/ijerph20085491;false;;;;;;;;;;;;;
University of Debrecen;2023;634,2928622;10.1590/1519-6984.270680;false;;;;;;;;;;;;;
University of Debrecen;2023;1815,7235;10.1016/j.jbc.2023.102896;false;;;;;;;;;;;;;
University of Debrecen;2023;1635,056554;10.3390/ijerph20032054;false;;;;;;;;;;;;;
University of Debrecen;2023;1945,81952;10.3390/biomedicines11020349;false;;;;;;;;;;;;;
University of Debrecen;2023;699,2836904;10.3390/ijms24032581;false;;;;;;;;;;;;;
University of Debrecen;2023;1709,768374;10.3390/w15010030;false;;;;;;;;;;;;;
University of Debrecen;2023;1302,32311;10.3390/educsci13020109;false;;;;;;;;;;;;;
University of Debrecen;2023;1518,320548;10.3390/catal13010197;false;;;;;;;;;;;;;
University of Debrecen;2023;1963,652509;10.3390/cells12030463;false;;;;;;;;;;;;;
University of Debrecen;2023;2142,164572;10.3390/cancers15030898;false;;;;;;;;;;;;;
University of Debrecen;2023;2753,471868;10.7554/eLife.83976;false;;;;;;;;;;;;;
University of Debrecen;2023;1618,94129;10.3390/diagnostics13030556;false;;;;;;;;;;;;;
University of Debrecen;2023;1110,784321;10.3390/horticulturae9020205;false;;;;;;;;;;;;;
University of Debrecen;2023;1428,156944;10.3390/plants12040743;false;;;;;;;;;;;;;
University of Debrecen;2023;1686,017236;10.3390/ijerph20032702;false;;;;;;;;;;;;;
University of Debrecen;2023;2338,471864;10.3390/pharmaceutics15020491;false;;;;;;;;;;;;;
University of Debrecen;2023;1703,059073;10.1016/j.heliyon.2023.e13406;false;;;;;;;;;;;;;
University of Debrecen;2023;1195,129174;10.1530/etj-22-0134;false;;;;;;;;;;;;;
University of Debrecen;2023;1352,525167;10.3390/toxins15020140;false;;;;;;;;;;;;;
University of Debrecen;2023;1391,835197;10.3390/socsci12020088;false;;;;;;;;;;;;;
University of Debrecen;2023;2925,897963;10.3389/fnmol.2023.1115685;false;;;;;;;;;;;;;
University of Debrecen;2023;1655,782191;10.1016/j.heliyon.2023.e13717;false;;;;;;;;;;;;;
University of Debrecen;2023;1197,46612;10.3390/plants12040969;false;;;;;;;;;;;;;
University of Debrecen;2023;1874,889207;10.3389/fendo.2023.1095815;false;;;;;;;;;;;;;
University of Debrecen;2023;979,4801133;10.21511/ppm.21(1).2023.38;false;;;;;;;;;;;;;
University of Debrecen;2023;1306,141248;10.3390/su15043852;false;;;;;;;;;;;;;
University of Debrecen;2023;723,7737506;10.3390/w15050884;false;;;;;;;;;;;;;
University of Debrecen;2023;1593,935279;10.3390/life13030652;false;;;;;;;;;;;;;
University of Debrecen;2023;2971,343689;10.3389/fimmu.2023.1139204;false;;;;;;;;;;;;;
University of Debrecen;2023;2207,061155;10.3390/ijms24054566;false;;;;;;;;;;;;;
University of Debrecen;2023;2961,7935;10.3389/fimmu.2023.1103097;false;;;;;;;;;;;;;
University of Debrecen;2023;1951,633891;10.3390/biom13030401;false;;;;;;;;;;;;;
University of Debrecen;2023;1658,183141;10.1016/j.heliyon.2023.e14045;false;;;;;;;;;;;;;
University of Debrecen;2023;2707,137751;10.1371/journal.pstr.0000053;false;;;;;;;;;;;;;
University of Debrecen;2023;230,4727867;10.5194/aab-66-103-2023;false;;;;;;;;;;;;;
University of Debrecen;2023;1903,382738;10.3390/ijms24054789;false;;;;;;;;;;;;;
University of Debrecen;2023;2095,983943;10.3390/genes14030666;false;;;;;;;;;;;;;
University of Debrecen;2023;1915,636799;10.3390/w15061062;false;;;;;;;;;;;;;
University of Debrecen;2023;2960,476233;10.3389/fmicb.2023.1153106;false;;;;;;;;;;;;;
University of Debrecen;2023;5015,772235;10.1038/s41467-023-37017-7;false;;;;;;;;;;;;;
University of Debrecen;2023;1354,491639;10.3390/ijms24065209;false;;;;;;;;;;;;;
University of Debrecen;2023;1953,953234;10.3390/ijms24065269;false;;;;;;;;;;;;;
University of Debrecen;2023;1008,735832;10.32604/ijmhp.2023.027319;false;;;;;;;;;;;;;
University of Debrecen;2023;835,6614418;10.3897/neobiota.83.95680;false;;;;;;;;;;;;;
University of Debrecen;2023;1913,645154;10.3390/plants12061287;false;;;;;;;;;;;;;
University of Debrecen;2023;2100,110055;10.3390/jcm12062238;false;;;;;;;;;;;;;
University of Debrecen;2023;1177,627787;10.3390/agriculture13030689;false;;;;;;;;;;;;;
University of Debrecen;2023;1708,817523;10.1016/j.heliyon.2023.e14550;false;;;;;;;;;;;;;
University of Debrecen;2023;542,9921883;10.32479/ijeep.14164;false;;;;;;;;;;;;;
University of Debrecen;2023;936,9562443;10.33225/jbse/23.22.470;false;;;;;;;;;;;;;
University of Debrecen;2023;1236,515041;10.3390/socsci12030174;false;;;;;;;;;;;;;
University of Debrecen;2023;1662,029405;10.3390/life13030824;false;;;;;;;;;;;;;
University of Debrecen;2023;1211,050291;10.3390/toxins15030227;false;;;;;;;;;;;;;
University of Debrecen;2023;452,0831206;10.1371/journal.pone.0283093;false;;;;;;;;;;;;;
University of Debrecen;2023;646,7915858;10.1590/1519-6984.272093;false;;;;;;;;;;;;;
University of Debrecen;2023;4584,907587;https://www.rpd-online.com/index.php/rpd/article/view/1326;false;;;;;;;;;;;;;
University of Debrecen;2023;1697,636322;10.1371/journal.pone.0280849;false;;;;;;;;;;;;;
University of Debrecen;2023;1636,073529;10.3390/horticulturae9030413;false;;;;;;;;;;;;;
University of Debrecen;2023;2979,741269;10.3389/fmicb.2023.1085818;false;;;;;;;;;;;;;
University of Debrecen;2023;1667,60747;10.3390/polym15071758;false;;;;;;;;;;;;;
University of Debrecen;2023;596,9175125;10.3390/agriculture13040760;false;;;;;;;;;;;;;
University of Debrecen;2023;1276,538255;10.3390/pharmaceutics15041146;false;;;;;;;;;;;;;
University of Debrecen;2023;2887,285561;10.3389/fmed.2023.1168359;false;;;;;;;;;;;;;
University of Debrecen;2023;1451,306994;10.3390/en16073209;false;;;;;;;;;;;;;
University of Debrecen;2023;97,25824569;https://seaopenresearch.eu/Journals/articles/NIS_21_1.pdf;false;;;;;;;;;;;;;
University of Debrecen;2023;1933,780354;10.3390/w15081514;false;;;;;;;;;;;;;
University of Debrecen;2023;2186,188545;10.3390/ijms24086942;false;;;;;;;;;;;;;
University of Debrecen;2023;2186,188545;10.3390/ijms24086943;false;;;;;;;;;;;;;
University of Debrecen;2023;2012,573048;10.3390/ijms24076124;false;;;;;;;;;;;;;
University of Debrecen;2023;240,6948841;10.15159/ar.23.028;false;;;;;;;;;;;;;
University of Debrecen;2023;2232,82408;10.3390/ijerph20021502;false;;;;;;;;;;;;;
University of Debrecen;2023;489,3098764;10.37256/cm.4420232397;false;;;;;;;;;;;;;
University of Debrecen;2023;1164,722935;10.3390/pr11041243;false;;;;;;;;;;;;;
University of Debrecen;2023;557,0203206;10.14254/2071-8330.2023/16-1/6;false;;;;;;;;;;;;;
University of Debrecen;2023;2183,860291;10.3390/ijms24087400;false;;;;;;;;;;;;;
University of Debrecen;2023;278,2150516;10.11591/ijai.v12.i4.pp1619-1627;false;;;;;;;;;;;;;
University of Debrecen;2023;1927,223083;10.3390/su15086759;false;;;;;;;;;;;;;
University of Debrecen;2023;2087,72899;10.1080/0886022X.2023.2203776;false;;;;;;;;;;;;;
University of Debrecen;2023;1943,272282;10.3390/ijerph20095650;false;;;;;;;;;;;;;
University of Debrecen;2023;849,0579559;10.3390/biomedicines11041218;false;;;;;;;;;;;;;
University of Debrecen;2023;1401,377259;10.1080/27669645.2023.2200330;false;;;;;;;;;;;;;
University of Debrecen;2023;1881,434273;10.3390/ijms24087562;false;;;;;;;;;;;;;
University of Debrecen;2023;1001,725089;10.3846/tede.2023.18871;false;;;;;;;;;;;;;
University of Debrecen;2023;1668,084249;10.3390/bioengineering10050521;false;;;;;;;;;;;;;
University of Debrecen;2023;2053,578556;10.3390/pharmaceutics15051365;false;;;;;;;;;;;;;
University of Debrecen;2023;2005,550608;10.3390/molecules28083571;false;;;;;;;;;;;;;
University of Debrecen;2023;2068,974267;10.1080/17538947.2023.2210312;false;;;;;;;;;;;;;
University of Debrecen;2023;2789,643112;10.3389/fmed.2023.1125530;false;;;;;;;;;;;;;
University of Debrecen;2023;1717,350184;10.3390/biom13050795;false;;;;;;;;;;;;;
University of Debrecen;2023;1802,097161;10.1016/j.aoas.2023.06.002;false;;;;;;;;;;;;;
University of Debrecen;2023;1534,214934;10.3390/su15097476;false;;;;;;;;;;;;;
University of Debrecen;2023;1747,831964;10.3390/jpm13050780;false;;;;;;;;;;;;;
University of Debrecen;2023;1223,363117;10.3390/educsci13050483;false;;;;;;;;;;;;;
University of Debrecen;2023;1138,864315;10.3390/jof9050570;false;;;;;;;;;;;;;
University of Debrecen;2023;1993,563259;10.31083/j.rcm2406177;false;;;;;;;;;;;;;
University of Debrecen;2023;2012,520642;10.3390/genes14051033;false;;;;;;;;;;;;;
University of Debrecen;2023;1874,069298;10.3390/agronomy13051297;false;;;;;;;;;;;;;
University of Debrecen;2023;1112,727691;10.3390/ijms24108901;false;;;;;;;;;;;;;
University of Debrecen;2023;1561,61161;10.1371/journal.pone.0281453;false;;;;;;;;;;;;;
University of Debrecen;2023;2000,807177;10.3390/ma16103861;false;;;;;;;;;;;;;
University of Debrecen;2023;2033,663331;10.31083/j.rcm2406171;false;;;;;;;;;;;;;
University of Debrecen;2023;1620,336067;10.3390/foods12102010;false;;;;;;;;;;;;;
University of Debrecen;2023;2129,756094;10.3390/antiox12061149;false;;;;;;;;;;;;;
University of Debrecen;2023;1937,861593;10.3390/molecules28114406;false;;;;;;;;;;;;;
University of Debrecen;2023;1774,798342;10.3390/children10060983;false;;;;;;;;;;;;;
University of Debrecen;2023;2853,777571;10.3389/fcell.2023.1155673;false;;;;;;;;;;;;;
University of Debrecen;2023;2787,83187;10.3389/fcvm.2023.1168339;false;;;;;;;;;;;;;
University of Debrecen;2023;1732,219442;10.3390/pr11061720;false;;;;;;;;;;;;;
University of Debrecen;2023;2790,137088;10.3389/fendo.2023.1187725;false;;;;;;;;;;;;;
University of Debrecen;2023;1258,903853;10.3390/cancers15123081;false;;;;;;;;;;;;;
University of Debrecen;2023;1758,396099;10.3390/cimb45060315;false;;;;;;;;;;;;;
University of Debrecen;2023;1831,652487;10.3390/math11122603;false;;;;;;;;;;;;;
University of Debrecen;2023;1420,887369;10.1515/tnsci-2022-0293;false;;;;;;;;;;;;;
University of Debrecen;2023;2840,275579;10.3389/fneur.2023.1188137;false;;;;;;;;;;;;;
University of Debrecen;2023;2839,369958;10.3389/fimmu.2023.1169560;false;;;;;;;;;;;;;
University of Debrecen;2023;1597,691336;10.1371/journal.pone.0286192;false;;;;;;;;;;;;;
University of Debrecen;2023;1656,575072;10.3390/plants12122308;false;;;;;;;;;;;;;
University of Debrecen;2023;1707,723825;10.3390/ijms241210281;false;;;;;;;;;;;;;
University of Debrecen;2023;729,7215968;10.3390/ijms24108793;false;;;;;;;;;;;;;
