institution;period (year);euro;doi;is_hybrid;publisher;journal_full_title;issn;url
Charles University;2021;2047,46;10.3390/ijms22020646;FALSE;;;;
Charles University;2021;910,37;10.3390/biomedicines9010025;FALSE;;;;
Charles University;2021;1563,71;10.3390/nano11010230;FALSE;;;;
Charles University;2021;671,01;10.33549/physiolres.934806;FALSE;;;;
Charles University;2021;1967,48;10.3390/ijms22031046;FALSE;;;;
Charles University;2021;426,59;;FALSE;Charles University - First Faculty of Medicine;Folia Biologica;"2533-7602";https://fb.cuni.cz/file/5940/fb2020a0026.pdf
Charles University;2021;1503,75;10.3390/pr9020383;FALSE;;;;
Charles University;2021;2055,28;10.3390/cells10020196 ;FALSE;;;;
Charles University;2021;280,06;10.3390/biomedicines9020170;FALSE;;;;
Charles University;2021;2231,56;10.3390/pharmaceutics13030301;FALSE;;;;
Charles University;2021;818,51;10.21873/invivo.12397;FALSE;;;;
Charles University;2021;59,01;10.32725/kont.2021.013;FALSE;;;;
Charles University;2021;3100,27;10.1007/s11051-021-05164-x;TRUE;;;;
Charles University;2021;2020,57;10.3390/ijms22052650;FALSE;;;;
Charles University;2021;1795;10.1155/2021/6689834;FALSE;;;;
Charles University;2021;2320,48;10.3390/nu13030804;FALSE;;;;
Charles University;2021;5176,63;10.1177/03000605211002024;FALSE;;;;
Charles University;2021;364,67;10.35198/01-2020-002-0009;FALSE;;;;
Charles University;2021;919,21;10.3390/microorganisms9030559;FALSE;;;;
Charles University;2021;362,52;10.35198/01-2020-002-0004;FALSE;;;;
Charles University;2021;362,79;10.35198/01-2021-001-0002;FALSE;;;;
Charles University;2021;648,94;10.21873/cgp.20254;FALSE;;;;
Charles University;2021;364,11;10.35198/01-2020-002-0003;FALSE;;;;
Charles University;2021;670,95;10.1002/acn3.51332;FALSE;;;;
Charles University;2021;367,49;10.35198/01-2020-003-0001;FALSE;;;;
Charles University;2021;38,43;10.21101/hygiena.a1775;FALSE;;;;
Charles University;2021;1966,57;10.3390/ijms22083810;FALSE;;;;
Charles University;2021;386,03;10.33549/physiolres.934673;FALSE;;;;
Charles University;2021;1944,03;10.1136/bmjopen-2020-047028;FALSE;;;;
Charles University;2021;2363,33;10.3390/nu13051462;FALSE;;;;
Charles University;2021;986,58;10.3390/genes12050677;FALSE;;;;
Charles University;2021;967,31;10.33549/physiolres.934625;FALSE;;;;
Charles University;2021;1203,32;10.3390/biology10050418;FALSE;;;;
Charles University;2021;3229,93;10.3389/fphar.2021.716460;FALSE;;;;
Charles University;2021;100,12;10.11152/mu-2931;FALSE;;;;
Charles University;2021;147,78;;FALSE;Maghira & Maas Publications;Neuroendocrinology Letters;2354-4716;https://www.nel.edu/userfiles/articlesnew/1617742680_41_78_kozler_392-pdf.pdf
Charles University;2021;2172,64;10.3390/cancers13102360;FALSE;;;;
Charles University;2021;2109,18;10.1136/bmjopen-2020-043037;FALSE;;;;
Charles University;2021;436,15;;FALSE;Charles University - First Faculty of Medicine;Folia Biologica;"2533-7602";https://fb.cuni.cz/file/5942/fb2021a0002.pdf
Charles University;2021;3132,88;10.1016/j.amjcard.2021.03.042;TRUE;;;;
Charles University;2021;2416,44;10.1186/s12890-021-01501-x;FALSE;;;;
Charles University;2021;2002;10.3390/ma14123271 ;FALSE;;;;
Charles University;2021;1763,38;10.3390/pathogens10060750;FALSE;;;;
Charles University;2021;1963,46;10.3390/ijms22126551;FALSE;;;;
Charles University;2021;3772,75;10.1016/j.yfrne.2021.100926;TRUE;;;;
Charles University;2021;1820,88;10.1253/circj.CJ-20-0192;FALSE;;;;
Charles University;2021;3948,88;10.12659/MSM.933766;FALSE;;;;
Charles University;2021;2208,6;10.3390/cancers13133304;FALSE;;;;
Charles University;2021;2317;10.1186/s12886-021-02013-2;FALSE;;;;
Charles University;2021;1941,47;10.3390/ijms22147270;FALSE;;;;
Charles University;2021;709,43;10.33549/physiolres.934736;FALSE;;;;
Charles University;2021;1308,05;10.3390/ijms22137204;FALSE;;;;
Charles University;2021;2119,75;10.3389/fcell.2021.660617;FALSE;;;;
Charles University;2021;39,05;10.21101/hygiena.a1781;FALSE;;;;
Charles University;2021;2064,54;10.3390/genes12071087;FALSE;;;;
Charles University;2021;145,48;;FALSE;Maghira & Maas Publications;Neuroendocrinology Letters;2354-4716;https://www.nel.edu/userfiles/articlesnew/1626715220_42_2_skalicky_87-pdf.pdf
Charles University;2021;2160,32;10.3390/pharmaceutics13081156;FALSE;;;;
Charles University;2021;188,44;10.21101/cejph.a6111;FALSE;;;;
Charles University;2021;2008,93;10.3390/ijms22158209;FALSE;;;;
Charles University;2021;2249,95;10.3390/ijerph18168561;FALSE;;;;
Charles University;2021;1906,73;10.3389/fpsyt.2021.720082;TRUE;;;;
Charles University;2021;2664,06;10.12659/MSM.933017;TRUE;;;;
Charles University;2021;62,05;10.32725/kont.2021.022;FALSE;;;;
Charles University;2021;655,42;10.3390/curroncol28050294;FALSE;;;;
Charles University;2021;119,53;;FALSE;Maghira & Maas Publications;Neuroendocrinology Letters;2354-4716;https://www.nel.edu/x-linked-adrenoleukodystrophy-phenotype-genotype-correlation-in-hemizygous-males-and-heterozygous-females-with-abcd1-mutations-2793/
Charles University;2021;2980,57;10.3389/fpsyt.2021.717255;TRUE;;;;
Charles University;2021;2037,25;10.1186/s12859-021-04374-3;FALSE;;;;
Charles University;2021;2001,94;10.3390/ijms221810157;FALSE;;;;
Charles University;2021;3013,99;10.3389/fimmu.2021.726215;FALSE;;;;
Charles University;2021;2155,21;10.3390/nano11092457;FALSE;;;;
Charles University;2021;1041,46;10.33549/physiolres.934706;FALSE;;;;
Charles University;2021;1813,22;10.1016/j.rehab.2021.101545;TRUE;;;;
