institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,doaj,url
Charles University,2023,"3757,15",10.3389/fneur.2023.1289429,FALSE,Frontiers Media SA,Frontiers in Neurology,1664-2295,        TRUE,
Charles University,2023,"403,20",10.35198/01-2023-001-0002,FALSE,"SCAN, z.s.",Adiktologie,2570-8112,FALSE,
Charles University,2023,"5133,77",10.1016/j.ejmech.2023.115611,TRUE,ELSEVIER B.V.,European Journal of Medicinal Chemistry,1768-3254,        TRUE,
Charles University,2023,"944,68",10.21873/invivo.13525,FALSE,International Institute of Anticancer Research,In Vivo,1791-7549,        TRUE,
Charles University,2023,"3023,61",10.1186/s13000-023-01317-9,FALSE,Springer Nature,Diagnostic Pathology,1746-1596,        TRUE,
Charles University,2023,"3022,70",10.1186/s13000-023-01300-4,FALSE,Springer Nature,Diagnostic Pathology,1746-1596,        TRUE,
Charles University,2023,"2423,94",10.1002/open.202300147,FALSE,Wiley,ChemistryOpen,2191-1363,        TRUE,
Charles University,2023,"1213,99",NA,FALSE,Amsterdam University Press,Journal of European landscapes,2452-1051,FALSE,https://www.aup-online.com/content/journals/10.5117/JEL2024.1.001.JANO
Charles University,2023,"2753,67",10.3390/biomedicines11123229,FALSE,MDPI AG,Biomedicines,2227-9059,        TRUE,
Charles University,2023,"2420,00",10.1002/mgg3.2154,FALSE,Wiley,Molecular Genetics and Genomic Medicine,2324-9269,        TRUE,
Charles University,2023,"2053,21",10.1080/26410397.2023.2257075,FALSE,Taylor & Francis,Sexual and Reproductive Health Matters,2641-0397,        TRUE,
Charles University,2023,"494,58",10.33963/KP.a2023.0065,FALSE,Via Medica,Polish Heart Journal,1897-4279,        TRUE,
Charles University,2023,"3068,89",10.12659/MSM.941079,FALSE,International Scientific Information,Medical Science Monitor,1643-3750,        TRUE,
Charles University,2023,"2777,41",10.1016/j.jopan.2023.10.019,TRUE,ELSEVIER B.V.,Journal of PeriAnesthesia Nursing,1532-8473,        TRUE,
Charles University,2023,"1260,74",10.3390/sports11080141,FALSE,MDPI AG,Sports,2075-4663,        TRUE,
Charles University,2023,"1727,05",10.3390/sports11030050,FALSE,MDPI AG,Sports,2075-4663,        TRUE,
Charles University,2023,"906,39",10.3390/app13063586,FALSE,MDPI AG,Applied Sciences,2076-3417,        TRUE,
Charles University,2023,"494,24",10.1016/j.mmcr.2023.05.001,FALSE,ELSEVIER B.V.,Medical Mycology Case Reports,2211-7539,        TRUE,
Charles University,2023,"2352,90",10.3390/genes14020296,FALSE,MDPI AG,Genes,2073-4425,        TRUE,
Charles University,2023,"2105,12",10.1186/s40529-023-00374-z,FALSE,Springer Nature,Botanical Studies,1999-3110,        TRUE,
Charles University,2023,"1267,57",10.3390/sports11080148,FALSE,MDPI AG,Sports,2075-4663,        TRUE,
Charles University,2023,"969,96",10.3389/fphar.2023.1120419,FALSE,Frontiers Media SA,Frontiers in Pharmacology,1663-9812,        TRUE,
Charles University,2023,"2376,94",10.1364/OE.495459,FALSE,Optica publishing group,Optics Express,1094-4087,        TRUE,
Charles University,2023,"2350,90",10.1016/j.heliyon.2023.e19050,FALSE,ELSEVIER B.V.,Heliyon,2405-8440,        TRUE,
Charles University,2023,"3836,91",10.1093/bioinformatics/btac701,FALSE,Oxford University Press,Bioinformatics,1367-4811,        TRUE,
Charles University,2023,"4276,93",10.1016/j.taap.2023.116676,TRUE,ELSEVIER B.V.,Toxicology and Applied Pharmacology,1096-0333,        TRUE,
Charles University,2023,"2912,88",10.1080/14767058.2023.2214838,FALSE,Taylor & Francis,The Journal of Maternal-Fetal & Neonatal Medicine,1476-4954,        TRUE,
Charles University,2023,"986,55",10.33549/physiolres.935226,FALSE,Institute of Physiology CAS,Physiological Research,1802-9973,        TRUE,
Charles University,2023,"3441,18",10.1016/j.matdes.2023.112474,FALSE,ELSEVIER B.V.,Materials & Design,1873-4197,        TRUE,
Charles University,2023,"3632,56",10.3389/fnagi.2023.1134096,FALSE,Frontiers Media SA,Frontiers in Aging Neuroscience,1663-4365,        TRUE,
Charles University,2023,"2551,05",10.1530/EC-23-0238,FALSE,Bioscientifica,Endocrine connections,2049-3614,        TRUE,
Charles University,2023,"365,00",10.35198/01-2022-004-0006,FALSE,"SCAN, z.s.",Adiktologie,2570-8112,FALSE,
Charles University,2023,"474,03",10.1093/ehjcr/ytad465,FALSE,Oxford University Press,European heart journal. Case reports.,2514-2119,        TRUE,
Charles University,2023,"2426,82",10.1186/s13102-023-00657-9,FALSE,Springer Nature,"BMC Sports Science, Medicine and Rehabilitation",2052-1847,        TRUE,
