institution,year,doi,is_hybrid,publisher,journal_full_title,agreement
Charles University,2023,10.1145/3539618.3592056,TRUE,Association for Computing Machinery (ACM),Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval,CzechELib ACM agreement
Charles University,2023,10.1145/3563359.3597386,TRUE,Association for Computing Machinery (ACM),"Adjunct Proceedings of the 31st ACM Conference on User Modeling, Adaptation and Personalization",CzechELib ACM agreement
Charles University,2023,10.1145/3564246.3585152,TRUE,Association for Computing Machinery (ACM),Proceedings of the 55th Annual ACM Symposium on Theory of Computing,CzechELib ACM agreement
Charles University,2023,10.1145/3564246.3585239,TRUE,Association for Computing Machinery (ACM),Proceedings of the 55th Annual ACM Symposium on Theory of Computing,CzechELib ACM agreement
Charles University,2023,10.1145/3578245.3585025,TRUE,Association for Computing Machinery (ACM),Companion of the 2023 ACM/SPEC International Conference on Performance Engineering,CzechELib ACM agreement
Charles University,2023,10.1145/3587102.3588861,TRUE,Association for Computing Machinery (ACM),Proceedings of the 2023 Conference on Innovation and Technology in Computer Science Education V. 1,CzechELib ACM agreement
Charles University,2023,10.1145/3604915.3608827,TRUE,Association for Computing Machinery (ACM),Seventeenth ACM Conference on Recommender Systems,CzechELib ACM agreement
Charles University,2023,10.1145/3617891,TRUE,Association for Computing Machinery (ACM),Journal of the ACM,CzechELib ACM agreement
Charles University,2023,10.1145/3625135.3625143,TRUE,Association for Computing Machinery (ACM),10th International Conference on Digital Libraries for Musicology,CzechELib ACM agreement
Charles University,2023,10.1021/acs.jpclett.3c03000,TRUE,American Chemical Society (ACS),The Journal of Physical Chemistry Letters,CzechELib ACS agreement
Charles University,2023,10.1021/acs.jmedchem.3c00925,TRUE,American Chemical Society (ACS),Journal of Medicinal Chemistry,CzechELib ACS agreement
Charles University,2023,10.1021/acs.inorgchem.3c02970,TRUE,American Chemical Society (ACS),Inorganic Chemistry,CzechELib ACS agreement
Charles University,2023,10.1021/acs.jctc.3c00930,TRUE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,CzechELib ACS agreement
Charles University,2023,10.1021/acsanm.3c03662,FALSE,American Chemical Society (ACS),ACS Applied Nano Materials,CzechELib ACS agreement
Charles University,2023,10.1021/acs.joc.3c01929,TRUE,American Chemical Society (ACS),The Journal of Organic Chemistry,CzechELib ACS agreement
Charles University,2023,10.1021/acs.molpharmaceut.3c00648,TRUE,American Chemical Society (ACS),Molecular Pharmaceutics,CzechELib ACS agreement
Charles University,2023,10.1021/acs.chemrestox.3c00203,TRUE,American Chemical Society (ACS),Chemical Research in Toxicology,CzechELib ACS agreement
Charles University,2023,10.1021/acs.nanolett.3c02727,TRUE,American Chemical Society (ACS),Nano Letters,CzechELib ACS agreement
Charles University,2023,10.1021/acsanm.3c03259,FALSE,American Chemical Society (ACS),ACS Applied Nano Materials,CzechELib ACS agreement
Charles University,2023,10.1021/acs.inorgchem.3c02075,TRUE,American Chemical Society (ACS),Inorganic Chemistry,CzechELib ACS agreement
Charles University,2023,10.1021/acs.analchem.3c01772,TRUE,American Chemical Society (ACS),Analytical Chemistry,CzechELib ACS agreement
Charles University,2023,10.1021/acs.jctc.3c00391,TRUE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,CzechELib ACS agreement
Charles University,2023,10.1021/acsomega.3c01950,FALSE,American Chemical Society (ACS),ACS Omega,CzechELib ACS agreement
Charles University,2023,10.1021/jacs.3c00423,TRUE,American Chemical Society (ACS),Journal of the American Chemical Society,CzechELib ACS agreement
Charles University,2023,10.1021/jacs.2c12987,TRUE,American Chemical Society (ACS),Journal of the American Chemical Society,CzechELib ACS agreement
Charles University,2023,10.1021/acs.joc.2c02478,TRUE,American Chemical Society (ACS),The Journal of Organic Chemistry,CzechELib ACS agreement
Charles University,2023,10.1021/acsnano.2c08320,TRUE,American Chemical Society (ACS),ACS Nano,CzechELib ACS agreement
Charles University,2023,10.1021/acs.cgd.2c01453,TRUE,American Chemical Society (ACS),Crystal Growth & Design,CzechELib ACS agreement
Charles University,2023,10.1021/acs.jctc.2c01262,TRUE,American Chemical Society (ACS),Journal of Chemical Theory and Computation,CzechELib ACS agreement
Charles University,2023,10.1063/5.0142348,TRUE,AIP Publishing,Journal of Chemical Physics,CzechELib AIP agreement
Charles University,2023,10.1063/5.0139027,TRUE,AIP Publishing,Review of Scientific Instruments,CzechELib AIP agreement
Charles University,2023,10.1063/5.0145864,TRUE,AIP Publishing,Physics of Fluids,CzechELib AIP agreement
Charles University,2023,10.1116/6.0002374,TRUE,AIP Publishing,JVST: A,CzechELib AIP agreement
Charles University,2023,10.1063/5.0149110,TRUE,AIP Publishing,Journal of Chemical Physics,CzechELib AIP agreement
Charles University,2023,10.1063/5.0145058,TRUE,AIP Publishing,Physics of Fluids,CzechELib AIP agreement
Charles University,2023,10.1063/5.0164401,TRUE,AIP Publishing,Journal of Chemical Physics,CzechELib AIP agreement
Charles University,2023,10.1063/5.0131510,TRUE,AIP Publishing,Journal of Chemical Physics,CzechELib AIP agreement
Charles University,2023,10.1063/5.0170332,TRUE,AIP Publishing,Applied Physics Letters,CzechELib AIP agreement
Charles University,2023,10.1063/5.0160766,TRUE,AIP Publishing,Journal of Applied Physics,CzechELib AIP agreement
Charles University,2023,10.1063/5.0185585,TRUE,AIP Publishing,Physics of Fluids,CzechELib AIP agreement
Charles University,2023,10.1017/S0022149X23000949,TRUE,Cambridge University Press (CUP),Journal of Helminthology,CzechELib CUP agreement
