"institution","period","euro","doi","is_hybrid"
"Technische Universität München",2019,3248.20,"10.1002/adma.201906762","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/adma.201905458","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/adom.201901969","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/qute.201900007","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/adts.201900178","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/aic.16808","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201914559","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201914613","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201911158","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201909551","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201912241","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201912075","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201906908","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201912247","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201906630","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201908209","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201907929","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/anie.201907127","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/aqc.3208","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/bit.27166","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cbic.201900477","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cbic.201900515","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cbic.201900405","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cctc.201901331","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cctc.201901255","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cctc.201900456","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/ceat.201900372","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cite.201900101","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cite.201900041","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cite.201800220","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/chem.201902919","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/chem.201904199","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/chem.201904545","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/asia.201900748","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/syst.201900052","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/syst.201900044","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/syst.201900016","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cyto.a.23964","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/eff.12500","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/ente.201900840","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/1462-2920.14768","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/ejh.13354","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/eji.201848011","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/ejic.201901173","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/ejic.201901043","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/ejlt.201900101","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/ejss.12927","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/1365-2435.13508","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/gamm.202000004","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/gwat.12970","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/gwat.12936","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/hbm.24784","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/hyp.13565","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/cnm.3253","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/nme.6309","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/nme.6205","TRUE"
"Technische Universität München",2019,3248.20,"10.1107/S1600576719010720","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/jam.14484","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/jbi.13699","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/jbi.13696","TRUE"
"Technische Universität München",2019,3248.20,"10.1002/jmri.27032","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/joms.12546","TRUE"
"Technische Universität München",2019,3248.20,"10.1111/jne.12797","TRUE"
