institution,period,euro,doi,backlist_oa,publisher,book_title,isbn_1,isbn_2,isbn_3
lu,2025, 7395.20,10.1007/978-3-031-63697-4,FALSE,Springer Nature,The Politics of Feminist Foreign Policy and Digital Diplomacy,9783031636974,,
lu,2025, 7502.25,10.1007/978-3-031-69852-1,FALSE,Springer Nature,Political Leadership and Agricultural Transformation,9783031698521,,
lu,2025, 8304.53,10.1007/978-3-031-77880-3,FALSE,Springer Nature,Transformative-Emancipatory Pedagogy (TEP) to Reimagine Education,9783031778803,,
lu,2025,14237.92,10.1007/978-3-031-81720-5,FALSE,Springer Nature,"Julian Huxley, Evolutionism and the History of Transhumanism",9783031817205,,
lu,2025,13684.58,10.1007/978-3-031-83475-2,FALSE,Springer Nature,Bridging Divides Through Gender-Just Citizenship,9783031834752,,
lu,2025,13524.14,10.1007/978-3-031-85016-5,FALSE,Springer Nature,Weirding Landscapes,9783031850165,,
lu,2025,13453.13,10.1007/978-3-031-93365-3,FALSE,Springer Nature,Taxation in the Digital Era,9783031933653,,
lu,2025, 7481.80,10.1007/978-3-032-10853-1,FALSE,Springer Nature,"Backlash Against the Women, Peace and Security Agenda",9783032108531,,
lu,2025,13553.94,10.1007/978-981-96-1583-4,FALSE,Springer Nature,The Republic of Turkey and its Unresolved Issues,9789819615834,,
lu,2025,12533.46,10.1017/9781009580588,FALSE,University of Cambridge,The question of solidarity in law and politics,9781009580588,,
lu,2025,12637.24,10.1163/9789004761483,FALSE,Brill,Beyond Islamic Studies,9789004761483,,
lu,2025, 4548.02,10.1515/9783111636726,FALSE,De Gruyter,History of Intellectual Culture 4/2025,9783111636726,,
lu,2025, 8655.04,10.1525/luminos.275,FALSE,University of California,Public Law in a Hybrid State,9780520402270,,
lu,2025, 8664.49,10.3726/b21476,FALSE,Peter Lang,Saints in the Slavic Christian World,9781636677811,,
lu,2025, 5863.94,10.4324/9780203884294,FALSE,Taylor & Francis,Branding cities,9780203884294,,
lu,2025,12273.08,10.4324/9781003289142,FALSE,Taylor & Francis,The End of Law,9781003289142,,
lu,2025,12490.33,10.4324/9781003344643,FALSE,Taylor & Francis,The Digital Courtroom,9781003344643,,
lu,2025,11600.06,10.4324/9781003344667,FALSE,Taylor & Francis,Sustainable Entrepreneurship and the Global South,9781003344667,,
lu,2025, 5839.66,10.4324/9781003462743,FALSE,Taylor & Francis,Classical Rhetorical Argumentation for the Rhetorical Critic,9781003462743,,
lu,2025,11992.21,10.4324/9781003582137,FALSE,Taylor & Francis,Education in Youth Detention Homes,9781003582137,,
lu,2025,11873.14,10.4324/9781003613718,FALSE,Taylor & Francis,Myths about Sustainable Consumption: Dispelled,9781003613718,,
lu,2025,11102.15,10.5040/9781350535824,FALSE,Bloomsbury Publishing Plc,GenAI in Higher Education,9781350535787,,
lu,2025,11604.08,10.5040/9781509986620,FALSE,Bloomsbury Publishing Plc,Systemic Economic Offences as International Crimes,9781509986590,,
lu,2025, 5842.55,10.51952/9781529221473,FALSE,University of Bristol,Mundania,9781529221459,,
lu,2025,16418.84,,FALSE,Oxford University Press (OUP),The Legal Reasoning of the Court of Justice of the EU: A Normative Assessment,9780198982982,,
lu,2025,11740.28,,FALSE,Boomsbury Publishing Plc,Engaging Werner G. Jeanrond's Theological Thinking,9780567719270,,
lu,2025, 7662.58,,FALSE,Taylor & Francis,The Routledge Handbook of Memory in East,9781003326090,,
lu,2025,12111.18,,FALSE,Taylor & Francis,Conspiracy Theories in the European Digital Sphere,9781003667223,,
lu,2025,14931.07,,FALSE,Taylor & Francis,"Tourism , Place and Mobility",9781003756125,,
lu,2025, 9409.76,,FALSE,Edinburgh University Press,Agonistic Memory and Peace,9781399545792,,
lu,2025,11471.44,,FALSE,Bloomsbury Publishing Plc,The Limits of Positive Obligations in Human Rights Law,9781509991457,,
lu,2025,11298.97,,FALSE,The University of Manchester,Elites in Civil Society: A comparative perspective,9781526191656,,
lu,2025, 3164.00,,FALSE,Dokument Press 26 AB,Urban Creativity,9789188369925,,
lu,2025, 7014.32,,FALSE,Edward Elgar Publishing,"The geography of poverty: Theories, data and Methods, and Case Studies",978 1 0353 3959 4,,
lu,2025,11598.72,,FALSE,Edward Elgar Publishing,How to Govern a University Effectively,978 1 0353 4199 3,,
lu,2025, 4305.93,,FALSE,Edward Elgar Publishing,Feminist and Queer Imaginaries of Hope in a Turbulent Era,978 1 03533 683 8,,
lu,2025,13454.24,,FALSE,Springer Nature,"Swedish Slavery, Diplomacy, and Culture in the Early Modern Mediterranean",9783032096678,,
lu,2025,13797.05,,FALSE,Springer Nature,The Political Economy of Migration,9783032200372,,
lu,2025, 8767.10,,FALSE,Brill,Phlebotomy by Abu Bakr Muhammad ibn Zakariyya al-Razi,9789004268692,,
lu,2024, 7365.92,,FALSE,Bloomsbury Publishing Plc,Ethics of Reproductive Technologies and the family,9781350525191,,
lu,2024, 9406.77,,FALSE,Edinburgh University Press,Islamic Aid and Gulf States in Contemporary Crises,9781399548335,,
lu,2024, 6227.19,10.30861/9781407358208,FALSE,British Archaeological Reports Ltd,Patrones de asentamiento en la Bética romana,9781407358208,,
lu,2024,11509.89,,FALSE,University of Florida,The Archaeology of Seafaring in Small-Scale Societies: Negotiating Watery Worlds,9780813079493,9780813081274,
