"institution","period","euro","doi","backlist_oa","publisher","book_title","isbn","isbn_print","isbn_electronic","license_ref","indexed_in_crossref","doab"
"Lund University",2024,13369.39,NA,FALSE,"Oxford University Press (OUP)","Global Antitrust and Sustainability","978-0-19-286450-5",NA,NA,NA,FALSE,FALSE
"Lund University",2024,9860.11,"10.1163/9789004691377",FALSE,"Brill","Shiʿi Materiality Beyond Karbala","978-90-04-69137-7","978-90-04-69133-9","978-90-04-69137-7",NA,TRUE,FALSE
"Lund University",2024,11451.29,"10.51952/9781529225402",FALSE,"Bristol University Press","Remaking Money for a Sustainable Future","978-1-5292-2540-2","978-1-5292-2537-2","978-1-5292-2540-2",NA,TRUE,FALSE
"Lund University",2024,11463.9,"10.4324/9780429952968",FALSE,"Routledge","Law, Society and Corruption","978-0-429-95296-8",NA,"978-0-429-95296-8","http://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,11811.01,"10.4324/9781003351092",FALSE,"Routledge","Serving Aristocracy","978-1-003-35109-2",NA,"978-1-003-35109-2","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Lund University",2024,12550.65,"10.1007/978-3-031-46057-9",FALSE,"Springer International Publishing","Women’s Drug Use in Everyday Life","978-3-031-46056-2","978-3-031-46056-2","978-3-031-46057-9","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,46372.34,"10.4337/9781802204667",FALSE,"Edward Elgar Publishing","Research Handbook on Sustainability and Competition Law","978-1-80220-466-7","978-1-80220-465-0","978-1-80220-466-7",NA,TRUE,FALSE
"Lund University",2024,13040.19,"10.7765/9789198557824",FALSE,"Manchester University Press","Raoul Wallenberg","978-91-985578-2-4","978-91-985578-2-4",NA,NA,TRUE,FALSE
"Lund University",2024,17398.76,"10.37852/oblu.260",FALSE,"Nordic Academic Press","Genusvetenskapliga forskningsmetoder","978-91-8104-112-5","978-91-89361-81-2","978-91-8104-112-5",NA,TRUE,FALSE
"Lund University",2024,7162.49,"10.1017/9781009161114",FALSE,"Cambridge University Press","Phonetics in the Brain","978-1-009-16111-4","978-1-009-50744-8","978-1-009-16111-4","https://www.cambridge.org/core/terms",TRUE,FALSE
"Lund University",2024,12647.01,"10.1017/9781009498838",FALSE,"Cambridge University Press","The Family in EU Law","978-1-009-49883-8","978-1-009-49882-1","978-1-009-49883-8","https://www.cambridge.org/core/terms",TRUE,FALSE
"Lund University",2024,7866.75,"10.1163/9789004714366",FALSE,"Brill","The Politics of Multifaith","978-90-04-71436-6","978-90-04-71435-9","978-90-04-71436-6",NA,TRUE,FALSE
"Lund University",2024,12920.16,"10.1007/978-3-031-67117-3",FALSE,"Springer International Publishing","Credit Networks in The Preindustrial World","978-3-031-67116-6","978-3-031-67116-6","978-3-031-67117-3","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,6866.27,"10.1007/978-3-031-65304-9",FALSE,"Springer International Publishing","The Economic Impact of Christian Missionaries in Zambia","978-3-031-65303-2","978-3-031-65303-2","978-3-031-65304-9","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,11970.71,"10.4324/9781003514930",FALSE,"Routledge","Why We Worry","978-1-003-51493-0",NA,"978-1-003-51493-0","http://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Lund University",2024,10071.25,"10.1163/9789004681033",FALSE,"Brill","Recovering Environmental and Economic Traditions in the Islamic World","978-90-04-68103-3","978-90-04-68102-6","978-90-04-68103-3",NA,TRUE,FALSE
"Lund University",2024,13092.62,"10.1007/978-3-031-65381-0",FALSE,"Springer International Publishing","New Directions in Digitalisation","978-3-031-65380-3","978-3-031-65380-3","978-3-031-65381-0","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,12844.12,"10.1007/978-3-031-56019-4",FALSE,"Springer International Publishing","Dissenting Church","978-3-031-56018-7","978-3-031-56018-7","978-3-031-56019-4","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,22273.43,"10.1007/978-981-99-9655-1",FALSE,"Springer Nature Singapore","The Palgrave Handbook of Political Norms in Southeast Asia","978-981-99-9654-4","978-981-99-9654-4","978-981-99-9655-1","https://creativecommons.org/licenses/by-nc-nd/4.0",TRUE,FALSE
"Lund University",2024,12871.1,"10.1007/978-3-031-53233-7",FALSE,"Springer International Publishing","Justice and Recovery for Victimised Children","978-3-031-53232-0","978-3-031-53232-0","978-3-031-53233-7","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,1424.18,NA,FALSE,"Routledge","Critical Children’s Rights Studies","978-1-003-51028-4",NA,NA,NA,FALSE,FALSE
"Lund University",2024,3704.2,NA,FALSE,"Cambridge University Press","Sustainability and EU Migration Law","978-1-009-57312-2",NA,NA,NA,FALSE,FALSE
"Lund University",2024,13908.93,"10.1007/978-3-031-71444-3",FALSE,"Springer International Publishing","Civil Society Elites in the Italian Third Sector","978-3-031-71443-6","978-3-031-71443-6","978-3-031-71444-3","https://creativecommons.org/licenses/by/4.0",TRUE,FALSE
"Lund University",2024,2559.38,"10.4324/9781003530411",TRUE,"Routledge","The Production of Gendered Knowledge of War","978-1-003-53041-1",NA,"978-1-003-53041-1",NA,TRUE,FALSE
"Lund University",2024,7166.25,"10.4324/9781003327707",FALSE,"Routledge","Hip Heritage and Museum Practices in Contemporary Hybrid Markets","978-1-003-32770-7",NA,"978-1-003-32770-7",NA,TRUE,FALSE
