institution,period,euro,doi,is_hybrid,publisher,journal_full_title,issn,issn_print,issn_electronic,url,colour charge,cover charge,page charge,permission,reprint,submission fee,payment fee,fast track,reproduce two figures,printing cost,image charges
lu,2024,2211.3,10.3390/pathogens13010042,False,MDPI AG,Pathogens,,,,,,,,,,,,,,,
lu,2024,1650.6,10.1371/journal.pone.0294323,False,Plos - Public Library of Science,PLOS ONE,,,,,,,,,,,,,,,
lu,2024,1765.84,10.1371/journal.pone.0294741,False,Plos - Public Library of Science,PLOS ONE,,,,,,,,,,,,,,,
lu,2024,2886.19,10.1128/spectrum.02981-23,False,ASM Journals,Microbiology Spectrum,,,,,,,,,,,,,,,
lu,2024,1790.77,10.1044/2024_JSLHR-23-00092,True,ASHA Journals,"Journal of Speech, Language, and Hearing Research",,,,,,,,,,,,,,,
lu,2024,1942.06,10.1364/OE.510800,False,Optica Publishing Group,Optics Express,,,,,,,,,,,,,,,
lu,2024,4009.6,10.1128/aem.01489-23,True,ASM Journals,Applied and Environmental Microbiology,,,,,,,,,,,,,,,
lu,2024,2686.42,10.14336/AD.2024.0110,False,JKL International LLC,Aging and disease,,,,,,,,,,,,,,,
lu,2024,1787.36,10.1044/2023_JSLHR-22-00637,True,ASHA Journals,"Journal of Speech, Language, and Hearing Research",,,,,,,,,,,,,,,
lu,2024,973.35,10.34067/KID.0000000000000358,False,Wolters Kluwer,Kidney360,,,,,,,,,,,,,,,
lu,2024,2187.41,10.3390/microorganisms12010200,False,MDPI AG,Microorganisms,,,,,,,,,,,,,,,
lu,2024,2463.48,10.3390/nano14020224,False,MDPI AG,Nanomaterials,,,,,,,,,,,,,,,
lu,2024,1784.47,10.1109/JXCDC.2024.3355949,False,IEEE,IEEE Journal on Exploratory Solid-State Computational Devices and Circuits,,,,,,,,,,,,,,,
lu,2024,2444.75,10.1103/PhysRevResearch.5.043182,False,American Physical Society,Physical Review Research,,,,,,,,,,,,,,,
lu,2024,2444.75,10.1103/PhysRevResearch.5.043017,False,American Physical Society,Physical Review Research,,,,,,,,,,,,,,,
lu,2024,2444.75,10.1103/PhysRevResearch.5.013205,False,American Physical Society,Physical Review Research,,,,,,,,,,,,,,,
lu,2024,1366.57,10.3960/jslrt.23037,False,The Japanese Society for Lymphoreticular Tissue Research,Journal of Clinical and Experimental Hematopathology,,,,,,,,,,,,,,,
lu,2024,2628.39,10.1136/bmjopen-2022-069694,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,1883.75,10.1364/BOE.506492,False,Optica Publishing Group,Biomedical Optics Express,,,,,,,,,,,,,,,
lu,2024,2189.33,10.3390/buildings14020405,False,MDPI AG,Buildings,,,,,,,,,,,,,,,
lu,2024,2496.22,10.1371/journal.pcbi.1011480,False,Plos - Public Library of Science,PLOS Computational Biology,,,,,,,,,,,,,,,
lu,2024,1585.95,10.1371/journal.pone.0295796,False,Plos - Public Library of Science,PLOS ONE,,,,,,,,,,,,,,,
lu,2024,1696.65,10.1371/journal.pone.0296016,False,Plos - Public Library of Science,PLOS ONE,,,,,,,,,,,,,,,
lu,2024,2143.82,10.1136/bmjopen-2023-076131,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,1914.03,10.3390/cells13040331,False,MDPI AG,Cells,,,,,,,,,,,,,,,
lu,2024,4754.31,10.1161/HYPERTENSIONAHA.123.22081,True,American Heart Association,Hypertension,,,,,,,,,,,,,,,
lu,2024,5594.39,10.1038/S41467-024-45570-Y,False,Springer Nature,Nature Communications,,,,,,,,,,,,,,,
lu,2024,395.46,10.3324/haematol.2023.284095,False,Ferrata Storti Foundation,Haematologica,,,,,,,,,,,,,,,
lu,2024,2597.96,10.1136/bmjopen-2023-077421,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,1987.65,10.1158/2767-9764.CRC-23-0396,False,Cancer Research Communications,Cancer Research Communications,,,,,,,,,,,,,,,
lu,2024,1563.97,10.5194/gmd-17-1729-2024,False,Copernicus,Geoscientific Model Development,,,,,,,,,,,,,,,
lu,2024,1831.64,10.1109/ACCESS.2024.3366808,False,IEEE,IEEE Access,,,,,,,,,,,,,,,
lu,2024,4108.21,10.1126/sciadv.adk9315,False,AAAS,Science Advances,,,,,,,,,,,,,,,
lu,2024,2001.65,10.3390/app14051726,False,MDPI AG,Applied Sciences,,,,,,,,,,,,,,,
lu,2024,1475.25,10.5194/acp-24-1249-2024,False,Copernicus,Atmospheric Chemistry and Physics,,,,,,,,,,,,,,,
lu,2024,2781.45,10.1186/S12939-024-02123-5,False,Springer Nature,International Journal for Equity in Health,,,,,,,,,,,,,,,
lu,2024,3523.89,10.1136/jme-2023-109814,True,BMJ,Journal of Medical Ethics,,,,,,,,,,,,,,,
lu,2024,3038.7,10.1038/s41375-024-02149-2,True,Springer Nature,Leukemia,,,,,,,,,,,,,,,
lu,2024,4838.58,10.1073/pnas.2312621121,True,National Academy of Sciences,Proceedings of the National Academy of Sciences,,,,,,,,,,,,,,,
lu,2024,1418.99,10.1109/OJAP.2024.3374350,False,IEEE,IEEE Open Journal of Antennas and Propagation,,,,,,,,,,,,,,,
lu,2024,2202.81,10.5194/bg-21-1093-2024,False,Copernicus,Biogeosciences,,,,,,,,,,,,,,,
lu,2024,2617.48,10.1136/bmjsem-2023-001877,False,BMJ,BMJ Open Sport & Exercise Medicine,,,,,,,,,,,,,,,
lu,2024,2617.48,10.1136/bmjph-2023-000437,False,BMJ,BMJ Public Health,,,,,,,,,,,,,,,
lu,2024,5418.96,10.1523/JNEUROSCI.0538-23.2024,True,Society For Neuroscience,The Journal of Neuroscience,,,,,,,,,,,,,,,
lu,2024,1281.79,10.3390/ijgi13030099,False,MDPI AG,ISPRS International Journal of Geo-Information,,,,,,,,,,,,,,,
lu,2024,2807.79,10.1080/08940886.2024.2329536,True,Taylor & Francis,Synchrotron Radiation News,,,,,,,,,,,,,,,
lu,2024,2368.45,10.3390/ijms25063446,False,MDPI AG,International Journal of Molecular Sciences,,,,,,,,,,,,,,,
lu,2024,3066.44,10.2337/db23-0531,True,American Diabetes Association,Diabetes,,,,,,,,,,,,,,,
lu,2024,2052.75,10.1126/sciadv.ado0668,False,AAAS,Science Advances,,,,,,,,,,,,,,,
lu,2024,2408.35,10.1186/S13023-024-03123-Y,True,Springer Nature,Orphanet Journal of Rare Diseases,,,,,,,,,,,,,,,
lu,2024,2380.44,10.3390/nu16070931,False,MDPI AG,Nutrients,,,,,,,,,,,,,,,
lu,2024,2223.99,10.3390/microorganisms12030625,False,MDPI AG,Microorganisms,,,,,,,,,,,,,,,
lu,2024,2728.16,10.1182/bloodadvances.2023011909,False,Elsevier BV,Blood Advances,,,,,,,,,,,,,,,
lu,2024,2458.66,10.1136/bmjopen-2023-078622,False,BMJ,BMJ Open,,,,,,,,,,,,,,,
lu,2024,2624.65,10.1136/rmdopen-2023-003960,False,BMJ,RMD Open,,,,,,,,,,,,,,,
lu,2024,1537.72,10.3390/jcm13071884,False,MDPI AG,Journal of Clinical Medicine,,,,,,,,,,,,,,,
lu,2024,2708.3,10.3847/1538-4357/ad22dc,False,Iop Publishing Ltd/Institute O,The Astrophysical Journal,,,,,,,,,,,,,,,
lu,2024,102.72,10.3847/1538-4357/ad12cb,False,Iop Publishing Ltd/Institute O,The Astrophysical Journal,,,,,,,,,,,,,,,
lu,2024,2401.88,10.3390/nu16071026,False,MDPI AG,Nutrients,,,,,,,,,,,,,,,
lu,2024,2350.37,10.1089/neu.2023.0099,True,Mary Ann Liebert Inc.,Journal of Neurotrauma,,,,,695.37,,,,,,,,,,
lu,2024,2212.16,10.3390/rs16081345,False,MDPI AG,Remote Sensing,,,,,,,,,,,,,,,
lu,2024,1331.35,10.3390/c10020038,False,MDPI AG,C - Journal of Carbon Research,,,,,,,,,,,,,,,
lu,2024,2247.58,10.3390/healthcare12080851,False,MDPI AG,Healthcare,,,,,,,,,,,,,,,
lu,2024,2412.13,10.3390/ijms25073945,False,MDPI AG,International Journal of Molecular Sciences,,,,,,,,,,,,,,,
lu,2024,2129.9,10.3390/d16040241,False,MDPI AG,Diversity,,,,,,,,,,,,,,,
lu,2024,1478.44,10.3390/nursrep14020069,False,MDPI AG,Nursing Reports,,,,,,,,,,,,,,,
lu,2024,2174.99,10.3390/jcm13082415,False,MDPI AG,Journal of Clinical Medicine,,,,,,,,,,,,,,,
lu,2024,2176.32,10.3390/s24082625,False,MDPI AG,Sensors,,,,,,,,,,,,,,,
lu,2024,7198.33,10.1038/s41467-024-47563-3,False,Springer Nature,Nature Communications,,,,,,,,,,,,,,,
