"institution";"period";"euro";"doi";"is_hybrid";"publisher";"journal_full_title";"issn/isbn";"issn_print";"issn_electronic";"url"
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;1654,00;"10.1016/j.jocs.2023.102056";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;1305,00;"10.1016/j.polgeo.2023.102975";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2553,00;"10.1093/eurpub/ckad161";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;1460,00;"10.1093/isagsq/ksad006";"FALSE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;3954,00;"10.1093/ia/iiad290";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2743,00;"10.1177/00031224231190942";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2390,00;"10.1007/s11158-023-09589-0";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2645,00;"10.1007/s42597-023-00100-3";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2895,00;"10.1080/23736992.2023.2193970";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2895,00;"10.1080/1600910X.2023.2221398";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;3190,00;"10.1080/00963402.2023.2199577";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;3385,00;"10.1080/01402390.2023.2290441";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2017,00;"10.3368/jhr.1121-12014R2";"TRUE";;;;;;
"Sciences Po Paris - Institut d&apos;Etudes Politiques de Paris";2023;2500,00;;;"Boydell & Brower";;"978-1-648-25070-5";;;"https://openaccess.boydellandbrewercms.com/?fileid=-36835"
