"Institution";"DOI";"is_hybrid";"period"
"University Medical Center Utrecht";"10.1007/s11886-016-0725-x";TRUE;2016
"Leiden University";"10.1007/s11214-016-0247-2";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00467-016-3362-0";TRUE;2016
"Leiden University";"10.1007/s12160-016-9795-7";TRUE;2016
"University of Groningen";"10.1007/s12671-016-0518-8";TRUE;2016
"Radboud University Medical Center";"10.1007/s40262-016-0399-y";TRUE;2016
"Radboud University Medical Center";"10.1007/s40262-016-0401-8";TRUE;2016
"University of Groningen";"10.1007/s13194-016-0146-0";TRUE;2016
"Leiden University";"10.1007/s11007-016-9373-5";TRUE;2016
"Erasmus MC";"10.1007/s10554-016-0889-x";TRUE;2016
"Utrecht University";"10.1007/s11269-016-1327-5";TRUE;2016
"VU University Amsterdam";"10.3758/s13414-016-1107-6";TRUE;2016
"Radboud University";"10.1007/s10817-016-9369-1";TRUE;2016
"Erasmus MC";"10.1007/s10654-016-0149-3";TRUE;2016
"Delft University of Technology";"10.1007/s10489-016-0795-x";TRUE;2016
"University of Groningen";"10.1007/s12281-016-0255-4";TRUE;2016
"Maastricht University";"10.1007/s00426-016-0771-4";TRUE;2016
"Utrecht University";"10.1007/s40272-016-0176-2";TRUE;2016
"Erasmus MC";"10.1007/s00259-016-3382-9";TRUE;2016
"University of Groningen";"10.1007/s00253-016-7516-6";TRUE;2016
"University of Amsterdam";"10.1007/s10584-016-1674-5";TRUE;2016
"Delft University of Technology";"10.1007/s00158-016-1447-9";TRUE;2016
"Wageningen University";"10.1007/s11947-016-1731-0";TRUE;2016
"Radboud University Medical Center";"10.1007/s00330-016-4363-x";TRUE;2016
"Erasmus MC";"10.1007/s10897-016-9960-y";TRUE;2016
"University of Twente";"10.1007/s00221-016-4655-z";TRUE;2016
"Utrecht University";"10.1007/s10701-016-0014-y";TRUE;2016
"Erasmus University";"10.1007/s10554-016-0895-z";TRUE;2016
"University Medical Center Groningen (UMCG)";"10.1007/s10802-016-0160-x";TRUE;2016
"University of Groningen";"10.1007/s40264-016-0422-0";TRUE;2016
"University Medical Center Groningen (UMCG)";"10.1007/s00405-016-4061-y";TRUE;2016
"VU University Medical Center (VUmc)";"10.1007/s00415-016-8127-y";TRUE;2016
"University Medical Center Groningen (UMCG)";"10.1007/s00018-016-2228-8";TRUE;2016
"Delft University of Technology";"10.1007/s11661-016-3525-4";TRUE;2016
"VU University Medical Center (VUmc)";"10.1007/s00464-016-4931-9";TRUE;2016
"University of Groningen";"10.1007/s00165-016-0377-z";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00395-016-0554-5";TRUE;2016
"Tilburg University";"10.1007/s13347-016-0219-1";TRUE;2016
"Erasmus MC";"10.1007/s10096-016-2647-3";TRUE;2016
"Wageningen University";"10.1007/s11104-016-2900-7";TRUE;2016
"Academisch Centrum Tandheelkunde Amsterdam (ACTA)";"10.1007/s00248-016-0775-z";TRUE;2016
"Wageningen University";"10.1007/s13593-016-0370-1";TRUE;2016
"Tilburg University";"10.1007/s00357-016-9199-1";TRUE;2016
"Leiden University";"10.1007/s00723-016-0783-7";TRUE;2016
"Radboud University";"10.1007/s13524-016-0476-8";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s10545-016-9939-8";TRUE;2016
"University of Groningen";"10.1007/s10745-016-9826-9";TRUE;2016
"Netherlands Institute for Neuroscience";"10.1007/s00429-016-1228-7";TRUE;2016
"Delft University of Technology";"10.1007/s11569-016-0262-5";TRUE;2016
"Utrecht University";"10.1007/s10610-016-9312-3";TRUE;2016
"Utrecht University";"10.1007/s00204-016-1724-9";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s10792-016-0236-1";TRUE;2016
"Radboud University";"10.1007/s11205-016-1344-z";TRUE;2016
"Radboud University Medical Center";"10.1007/s11605-016-3156-5";TRUE;2016
"Tilburg University";"10.1007/s00520-016-3226-y";TRUE;2016
"Maastricht University Medical Center (UMC+)";"10.1007/s00431-016-2725-7";TRUE;2016
"Tilburg University";"10.1007/s10926-016-9643-4";TRUE;2016
"University Medical Center Utrecht";"10.1007/s00018-016-2239-5";TRUE;2016
"Utrecht University";"10.3758/s13414-016-1123-6";TRUE;2016
"VU University Medical Center (VUmc)";"10.1007/s10433-016-0375-2";TRUE;2016
"Eindhoven University of Technology";"10.1007/s10955-016-1529-5";TRUE;2016
"Eindhoven University of Technology";"10.1007/s10639-016-9494-9";TRUE;2016
"Maastricht University";"10.1007/s11121-016-0653-4";TRUE;2016
"Eindhoven University of Technology";"10.1007/s00161-016-0504-3";TRUE;2016
"University Medical Center Utrecht";"10.1007/s00784-016-1828-x";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00134-016-4355-y";TRUE;2016
"Academic Medical Center (AMC)";"10.1007/s00428-016-1945-6";TRUE;2016
"University of Groningen";"10.1007/s10551-016-3180-0";TRUE;2016
"University of Groningen";"10.1007/s00018-016-2245-7";TRUE;2016
"University Medical Center Groningen (UMCG)";"10.1007/s11255-016-1306-z";TRUE;2016
"Utrecht University";"10.1007/s12560-016-9239-3";TRUE;2016
"Leiden University Medical Center (LUMC)";"10.1007/s10554-016-0901-5";TRUE;2016
"Leiden University Medical Center (LUMC)";"10.1007/s11892-016-0752-4";TRUE;2016
"Wageningen University";"10.1007/s00216-016-9595-8";TRUE;2016
"University of Amsterdam";"10.1007/s10964-016-0493-3";TRUE;2016
"Delft University of Technology";"10.1007/s11244-016-0559-1";TRUE;2016
"VU University Amsterdam";"10.1007/s40839-016-0022-4";TRUE;2016
"Leiden University";"10.1007/s10750-016-2790-y";TRUE;2016
"Leiden University";"10.1007/s11218-016-9340-3";TRUE;2016
"University Medical Center Utrecht";"10.1007/s00401-016-1575-8";TRUE;2016
