DOI,period,Institution,is_hybrid
10.1007/s00604-017-2086-6,2017,University Medical Center Groningen (UMCG),TRUE
10.1208/s12248-016-0031-y,2017,Leiden University,TRUE
10.1007/s10439-017-1794-8,2017,VU University Amsterdam,TRUE
10.1007/s00784-016-2045-3,2017,VU University Amsterdam,TRUE
10.1007/s10654-016-0224-9,2017,Erasmus MC,TRUE
10.1007/s10842-016-0243-y,2017,Tilburg University,TRUE
10.1007/s00401-017-1671-4,2017,Radboud University Medical Center,TRUE
10.1007/s11136-016-1492-2,2017,Academic Medical Center (AMC),TRUE
10.1007/s12350-017-0782-6,2017,Academic Medical Center (AMC),TRUE
10.1007/s10554-017-1061-y,2017,University Medical Center Utrecht,TRUE
10.1007/s10668-017-9916-x,2017,Utrecht University,TRUE
10.1007/s10964-017-0638-z,2017,Utrecht University,TRUE
10.1007/s10802-016-0258-1,2017,Utrecht University,TRUE
10.3758/s13423-016-1224-1,2017,Leiden University,TRUE
10.1007/s40264-016-0502-1,2017,VU University Medical Center (VUmc),TRUE
10.1007/s11625-016-0417-x,2017,Maastricht University,TRUE
10.1007/s11134-016-9511-0,2017,Eindhoven University of Technology,TRUE
10.1007/s10781-016-9311-1,2017,Leiden University,TRUE
10.1007/s11134-016-9512-z,2017,University of Twente,TRUE
10.1007/s10459-016-9742-1,2017,Radboud University Medical Center,TRUE
10.1007/s00296-016-3643-8,2017,VU University Medical Center (VUmc),TRUE
10.1007/s00431-016-2842-3,2017,University Medical Center Utrecht,TRUE
10.1007/s11060-016-2363-y,2017,VU University Medical Center (VUmc),TRUE
10.1007/s00259-017-3613-8,2017,University Medical Center Utrecht,TRUE
10.1007/s11134-016-9513-y,2017,Erasmus University,TRUE
10.1007/s10964-016-0627-7,2017,Tilburg University,TRUE
10.1007/s00423-017-1549-x,2017,University Medical Center Groningen (UMCG),TRUE
10.1007/s10111-016-0400-4,2017,University of Twente,TRUE
10.3758/s13423-016-1225-0,2017,University of Groningen,TRUE
10.1007/s00779-016-0998-5,2017,Eindhoven University of Technology,TRUE
10.1007/s10566-016-9388-4,2017,Erasmus MC,TRUE
10.1007/s11764-016-0594-8,2017,VU University Amsterdam,TRUE
10.1007/s10459-017-9756-3,2017,Maastricht University,TRUE
10.1007/s10290-017-0276-2,2017,Erasmus University,TRUE
10.1007/s11187-016-9829-3,2017,Utrecht University,TRUE
10.1007/s10696-016-9268-0,2017,University of Twente,TRUE
10.1007/s00223-016-0221-8,2017,VU University Medical Center (VUmc),TRUE
10.1007/s40134-017-0199-7,2017,Radboud University Medical Center,TRUE
10.1007/s00268-016-3853-y,2017,University Medical Center Utrecht,TRUE
10.1007/s11159-017-9617-6,2017,VU University Amsterdam,TRUE
10.1007/s10336-016-1427-2,2017,University of Groningen,TRUE
10.1007/s10459-016-9745-y,2017,VU University Medical Center (VUmc),TRUE
10.1007/s00113-016-0302-1,2017,Radboud University Medical Center,TRUE
10.1007/s10096-016-2897-0,2017,Leiden University Medical Center (LUMC),TRUE
10.1007/s00181-016-1225-y,2017,University of Groningen,TRUE
10.1007/s40520-016-0703-6,2017,Maastricht University,TRUE
10.1007/s00330-016-4726-3,2017,VU University Medical Center (VUmc),TRUE
10.1007/s11145-016-9717-x,2017,University of Amsterdam,TRUE
10.1007/s11214-016-0319-3,2017,Radboud University,TRUE
10.1007/s40262-017-0507-7,2017,University Medical Center Groningen (UMCG),TRUE
10.1007/s00253-016-8065-8,2017,Radboud University,TRUE
10.1007/s10928-016-9500-2,2017,Leiden University,TRUE
10.1007/s10546-016-0225-y,2017,Delft University of Technology,TRUE
10.1007/s00330-016-4720-9,2017,Academic Medical Center (AMC),TRUE
10.1007/s10645-016-9287-y,2017,University of Amsterdam,TRUE
10.1007/s11081-016-9346-x,2017,Delft University of Technology,TRUE
10.1007/s13394-016-0187-x,2017,Utrecht University,TRUE
10.1007/s10886-016-0807-7,2017,Wageningen University,TRUE
10.1007/s00208-016-1510-2,2017,University of Amsterdam,TRUE
10.1007/s00330-017-4737-8,2017,University Medical Center Utrecht,TRUE
10.1007/s10964-017-0633-4,2017,Utrecht University,TRUE
10.1007/s11102-016-0785-3,2017,Leiden University Medical Center (LUMC),TRUE
10.1007/s00267-016-0811-2,2017,Netherlands Institute of Ecology,TRUE
10.1007/s10926-016-9694-6,2017,Academic Medical Center (AMC),TRUE
10.1007/s11032-016-0610-8,2017,Wageningen University,TRUE
10.1007/s40279-016-0670-2,2017,Maastricht University,TRUE
10.1007/s10546-016-0226-x,2017,Delft University of Technology,TRUE
10.1007/s00161-016-0550-x,2017,Eindhoven University of Technology,TRUE
10.1007/s40264-017-0505-6,2017,Utrecht University,TRUE
10.1007/s00428-017-2076-4,2017,Academic Medical Center (AMC),TRUE
10.1007/s00228-017-2204-8,2017,University Medical Center Utrecht,TRUE
10.1007/s10784-016-9342-9,2017,Utrecht University,TRUE
10.1007/s41604-016-0001-7,2017,University of Twente,TRUE
10.1007/s10545-016-0001-7,2017,Radboud University Medical Center,TRUE
10.1007/s00165-016-0407-x,2017,University of Groningen,TRUE
10.1007/s10926-017-9696-z,2017,Utrecht University,TRUE
10.1007/s13644-016-0282-1,2017,Erasmus University,TRUE
10.1007/s11013-016-9514-7,2017,University of Amsterdam,TRUE
10.1007/s12520-016-0456-3,2017,Leiden University,TRUE
10.1007/s10992-016-9423-9,2017,Utrecht University,TRUE
10.1007/s10151-016-1570-z,2017,VU University Medical Center (VUmc),TRUE
10.1007/s10340-017-0831-6,2017,Wageningen University,TRUE
10.1007/s10704-017-0181-7,2017,Delft University of Technology,TRUE
10.1007/s00213-016-4519-z,2017,Maastricht University,TRUE
10.1007/s10548-016-0542-y,2017,Radboud University,TRUE
10.1007/s11192-016-2226-5,2017,University of Amsterdam,TRUE
10.1007/s11089-017-0753-5,2017,University of Twente,TRUE
10.1007/s10198-016-0862-6,2017,Tilburg University,TRUE
10.1007/s00296-017-3653-1,2017,University Medical Center Utrecht,TRUE
10.1007/s40279-017-0681-7,2017,Radboud University Medical Center,TRUE
10.1007/s12015-017-9719-3,2017,Utrecht University,TRUE
10.1007/s11077-017-9277-1,2017,Eindhoven University of Technology,TRUE
10.1007/s10549-017-4117-8,2017,Maastricht University Medical Center (UMC+),TRUE
10.1007/s10646-017-1765-8,2017,VU University Amsterdam,TRUE
10.1007/s12152-016-9293-4,2017,Radboud University,TRUE
10.1007/s11077-017-9276-2,2017,VU University Amsterdam,TRUE
10.1007/s10640-016-0106-3,2017,Wageningen University,TRUE
10.1007/s11199-016-0727-6,2017,Radboud University,TRUE
10.1007/s00330-016-4708-5,2017,University of Amsterdam,TRUE
10.1007/s00428-016-2060-4,2017,Radboud University Medical Center,TRUE
10.1007/s10670-017-9875-5,2017,University of Amsterdam,TRUE
10.1007/s12671-016-0672-z,2017,Radboud University Medical Center,TRUE
10.1007/s10578-016-0708-6,2017,VU University Medical Center (VUmc),TRUE
10.1007/s40279-017-0678-2,2017,Erasmus MC,TRUE
10.1007/s10664-016-9493-x,2017,Eindhoven University of Technology,TRUE
10.1007/s10957-016-1057-0,2017,VU University Amsterdam,TRUE
10.1007/s12640-017-9700-6,2017,Maastricht University Medical Center (UMC+),TRUE
10.1007/s11548-017-1524-6,2017,Radboud University Medical Center,TRUE
10.1007/s00601-016-1198-6,2017,University of Groningen,TRUE
10.3758/s13414-017-1279-8,2017,University of Amsterdam,TRUE
10.1007/s13399-017-0241-2,2017,University of Twente,TRUE
10.1007/s10565-017-9382-0,2017,University Medical Center Utrecht,TRUE
10.1007/s40262-017-0509-5,2017,Radboud University Medical Center,TRUE
