"institution","DOI","is_hybrid","period"
"Erasmus MC","10.1007/s40264-016-0433-x",TRUE,2016
"Maastricht University","10.1007/s10461-016-1438-2",TRUE,2016
"Erasmus MC","10.1007/s00415-016-8170-8",TRUE,2016
"Wageningen University","10.1007/s10745-016-9830-0",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00270-016-1367-5",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00261-016-0802-z",TRUE,2016
"University of Twente","10.1007/s00224-016-9686-0",TRUE,2016
"Radboud University","10.1007/s10339-016-0772-7",TRUE,2016
"Erasmus MC","10.1007/s11307-016-0972-7",TRUE,2016
"Wageningen University","10.1007/s00484-016-1193-0",TRUE,2016
"Academic Center for Dentistry Amsterdam (ACTA)","10.1007/s00784-016-1876-2",TRUE,2016
"Utrecht University","10.1007/s00285-016-1037-x",TRUE,2016
"University of Amsterdam","10.1007/s11225-016-9677-9",TRUE,2016
"University of Amsterdam","10.1007/s10503-016-9404-8",TRUE,2016
"University of Groningen","10.1208/s12248-016-9937-7",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s10439-016-1679-2",TRUE,2016
"University of Twente","10.1007/s11249-016-0701-z",TRUE,2016
"Radboud University Medical Center","10.1007/s13402-016-0284-6",TRUE,2016
"Eindhoven University of Technology","10.1007/s11265-016-1152-3",TRUE,2016
"University of Groningen","10.1007/s00165-016-0381-3",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s00467-016-3399-0",TRUE,2016
"Radboud University Medical Center","10.1007/s40262-016-0407-2",TRUE,2016
"Utrecht University","10.1007/s10790-016-9560-y",TRUE,2016
"Academic Medical Center (AMC)","10.1007/s00330-016-4401-8",TRUE,2016
"Delft University of Technology","10.1007/s10596-016-9576-1",TRUE,2016
"University of Groningen","10.3758/s13428-016-0741-1",TRUE,2016
"University Medical Center Groningen (UMCG)","10.1007/s11606-016-3742-y",TRUE,2016
"University of Amsterdam","10.3758/s13428-016-0739-8",TRUE,2016
