"Institution";"DOI";"period";"is_hybrid"
"University Medical Center Utrecht";"10.1007/s12265-015-9612-x";2015;TRUE
"University of Twente";"10.1007/s10853-015-8844-0";2015;TRUE
"University Medical Center Utrecht";"10.1007/s10519-015-9708-8";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s00415-015-7652-4";2015;TRUE
"University of Amsterdam";"10.1007/s10551-015-2556-x";2015;TRUE
"Erasmus University";"10.1007/s11187-015-9642-4";2015;TRUE
"Leiden University";"10.1007/s10886-015-0551-4";2015;TRUE
"Radboud University Medical Center";"10.1007/s12035-015-9103-8";2015;TRUE
"Delft University of Technology";"10.1007/s11269-015-0942-x";2015;TRUE
"Leiden University";"10.1007/s10566-015-9306-1";2015;TRUE
"Radboud University Medical Center";"10.1007/s13365-015-0324-4";2015;TRUE
"Academic Medical Center (AMC)";"10.1007/s10096-015-2312-2";2015;TRUE
"University Medical Center Utrecht";"10.1007/s00784-015-1407-6";2015;TRUE
"Leiden University";"10.1245/s10434-015-4385-7";2015;TRUE
"Radboud University";"10.1007/s00340-015-6035-y";2015;TRUE
"VU University Amsterdam";"10.1007/s11145-015-9551-6";2015;TRUE
"Erasmus University";"10.1007/s11205-015-0899-4";2015;TRUE
"Erasmus University";"10.1007/s11205-015-0898-5";2015;TRUE
"University of Amsterdam";"10.1007/s10849-015-9215-6";2015;TRUE
"University of Twente";"10.1007/s00028-015-0272-8";2015;TRUE
"VU University Amsterdam";"10.1007/s12076-015-0139-1";2015;TRUE
"Erasmus University";"10.1007/s11307-015-0834-8";2015;TRUE
"Wageningen University";"10.1007/s11027-015-9637-0";2015;TRUE
"Maastricht University";"10.1007/s11187-015-9640-6";2015;TRUE
"University of Twente";"10.1007/s11571-015-9331-7";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s13402-015-0218-8";2015;TRUE
"Leiden University";"10.1007/s11239-015-1180-z";2015;TRUE
"University Medical Center Groningen (UMCG)";"10.1007/s10926-015-9569-2";2015;TRUE
"VU University Medical Center (VUmc)";"10.1007/s00586-015-3803-7";2015;TRUE
"Leiden University";"10.1007/s11605-015-2764-9";2015;TRUE
"Utrecht University";"10.1007/s00429-015-0999-6";2015;TRUE
"University of Twente";"10.1007/s10236-015-0813-2";2015;TRUE
"Erasmus MC";"10.1007/s00787-015-0681-9";2015;TRUE
"Maastricht University";"10.1007/s11307-015-0831-y";2015;TRUE
