"Institution";"DOI";"is_hybrid";"period"
"University of Groningen";"10.1007/s40273-015-0327-2";TRUE;2015
"Leiden University";"10.1007/s11095-015-1832-x";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s11540-015-9305-5";TRUE;2015
"Erasmus MC";"10.1007/s00402-015-2377-5";TRUE;2015
"Leiden University";"10.1007/s11302-015-9485-0";TRUE;2015
"VU University Amsterdam";"10.1007/s10158-015-0184-x";TRUE;2015
"Erasmus University";"10.1007/s11229-015-0967-y";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s00330-015-4110-8";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s00330-015-4109-1";TRUE;2015
"University of Twente";"10.1007/s00170-015-8143-6";TRUE;2015
"University of Groningen";"10.1007/s10458-015-9317-1";TRUE;2015
"Netherlands Institute of Ecology";"10.1007/s10452-015-9556-x";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s00125-015-3822-2";TRUE;2015
"Wageningen UR (University & Research Centre)";"10.1007/s00606-015-1264-4";TRUE;2015
"Leiden University Medical Center (LUMC)";"10.1007/s10067-015-3145-1";TRUE;2015
"Utrecht University";"10.1007/s00426-015-0736-z";TRUE;2015
"Erasmus MC";"10.1007/s10654-015-0094-6";TRUE;2015
"Delft University of Technology";"10.1007/s10596-015-9546-z";TRUE;2015
"Utrecht University";"10.1007/s10708-015-9692-9";TRUE;2015
"Leiden University";"10.1007/s10212-015-0277-2";TRUE;2015
"Leiden University Medical Center (LUMC)";"10.1007/s10554-015-0820-x";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s00268-015-3328-6";TRUE;2015
"Erasmus MC";"10.1007/s12020-015-0810-8";TRUE;2015
"Erasmus MC";"10.1007/s10654-015-0105-7";TRUE;2015
"Leiden University Medical Center (LUMC)";"10.1007/s00787-015-0805-2";TRUE;2015
"Delft University of Technology";"10.1007/s12525-015-0211-0";TRUE;2015
"Delft University of Technology";"10.1007/s11661-015-3285-6";TRUE;2015
"University of Twente";"10.1007/s10959-015-0659-z";TRUE;2015
"Utrecht University";"10.1007/s11024-015-9287-0";TRUE;2015
"Tilburg University";"10.1007/s00520-015-3052-7";TRUE;2015
"University of Groningen";"10.1007/s11095-015-1846-4";TRUE;2015
"Tilburg University";"10.1007/s10100-015-0432-5";TRUE;2015
"Utrecht University";"10.1007/s40264-015-0383-8";TRUE;2015
