"Institution";"DOI";"is_hybrid";"period"
"Utrecht University";"10.1007/s10988-015-9173-0";TRUE;2015
"Delft University of Technology";"10.1007/s10596-015-9509-4";TRUE;2015
"University of Amsterdam";"10.1007/s00500-015-1802-6";TRUE;2015
"Wageningen University";"10.1007/s10592-015-0765-6";TRUE;2015
"Maastricht University";"10.1007/s11926-015-0533-0";TRUE;2015
"Radboud University Medical Center";"10.1007/s00464-015-4454-9";TRUE;2015
"Leiden University";"10.1007/s00213-015-4027-6";TRUE;2015
"Eindhoven University of Technology";"10.1007/s11090-015-9640-y";TRUE;2015
"Tilburg University";"10.1007/s10623-015-0127-x";TRUE;2015
"Maastricht University";"10.1007/s10746-015-9360-6";TRUE;2015
"University of Twente";"10.1007/s00296-015-3336-8";TRUE;2015
"Leiden University";"10.1007/s00406-015-0623-z";TRUE;2015
"Utrecht University";"10.1007/s00334-015-0543-x";TRUE;2015
"Academic Medical Center (AMC)";"10.1007/s10545-015-9880-2";TRUE;2015
"Delft University of Technology";"10.1007/s10458-015-9307-3";TRUE;2015
"Leiden University";"10.1007/s00281-015-0522-4";TRUE;2015
"Leiden University Medical Center (LUMC)";"10.1007/s10554-015-0749-0";TRUE;2015
"Radboud University Medical Center";"10.1007/s00405-015-3746-y";TRUE;2015
"Wageningen University";"10.1007/s10806-015-9566-7";TRUE;2015
"Utrecht University";"10.1007/s00428-015-1833-5";TRUE;2015
"Leiden University";"10.1007/s11211-015-0249-3";TRUE;2015
"University of Amsterdam";"10.1007/s10803-015-2559-6";TRUE;2015
"University of Amsterdam";"10.1007/s40802-015-0036-8";TRUE;2015
"Erasmus University";"10.1007/s10551-015-2780-4";TRUE;2015
"VU University Amsterdam";"10.1007/s10519-015-9738-2";TRUE;2015
"Radboud University";"10.1007/s10964-015-0343-8";TRUE;2015
"Erasmus University";"10.1007/s10198-015-0722-9";TRUE;2015
"University Medical Center Groningen (UMCG)";"10.1007/s00018-015-2019-7";TRUE;2015
"Netherlands Institute of Ecology";"10.1007/s10886-015-0605-7";TRUE;2015
"Utrecht University";"10.1007/s10067-015-3035-6";TRUE;2015
"Utrecht University";"10.1007/s11136-015-1093-5";TRUE;2015
"University of Twente";"10.1007/s11135-015-0255-4";TRUE;2015
"University of Amsterdam";"10.1007/s11244-015-0414-9";TRUE;2015
"University Medical Center Utrecht";"10.1007/s10897-015-9869-x";TRUE;2015
"University Medical Center Utrecht";"10.1007/s10916-015-0274-7";TRUE;2015
