"APC paid (actual currency) including VAT if charged","APC paid (£) including VAT (calculated)","APC paid (£) including VAT if charged","Currency of APC",DOI,"Date of APC payment","Date of initial application by author",ISSN0,Institution,Journal,Licence,"PubMed Central (PMC) ID","PubMed ID",Publisher,"TCO year","Type of publication",Drop?,"Year of publication","Article title"
"","",1738.35,"","",2014-04-28,2014-02-24,"","Bangor University","International Journal of Corpus Linguistics","CC BY","","","John Benjamins Publishing Company",2014,"",0,"","Formulaic Sequences in Native and Non-native Argumentative Writing in German: A Corpus-driven Comparison"
"","","","","","",2014-12-10,"","University of Bath","Proc. 2015 ACM/IEEE International Conference on Human-Robot Interaction (HRI2015)","","","",ACM,2014,"Journal Article/Review",0,"","Shaking Hands and Cooperation in Tele-present Human-Robot Negotiation"
"","","","","","",2014-11-06,1361-648X,"University of Bath","Journal of Physics: Condensed Matter","","","","IOP Publishing",2014,"Journal Article/Review",0,"","Networks under pressure:The development of \textit{in situ} high-pressure neutron diffraction for glassy and liquid materials"
"","","","","","",2014-11-27,0957-0233,"University of Bath","Measurement Science and Technology","","","","IOP Publishing",2014,"Journal Article/Review",0,"","Uncertainty Evaluation Method for Axi-Symmetric Measurement Machines"
1851,1875,1875,EUR,"","","",0947-6539,"University of Bath","Chemistry - A European Journal","","","",Wiley-Blackwell,2014,"",0,"","Solid State Interconversions: Unique 100% Reversible Transformations between the Ground and Metastable States in Single-crystals of a Series of Nickel (II)Complexes"
1351.5,1351.5,1351.5,GBP,"",2014,2014-05-07,"","University of Birmingham","Journal of Neuroengineering and Rehabilitation","","","","Springer Nature",2014,"Journal Article/Review",0,"","Auditory cueing effects on kinematics of gait after hemiparetic stroke"
945.6,945.6,945.6,GBP,"",2014,2014-06-16,"","University of Birmingham","Nursing Open","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","What are health professionals' intentions toward using research in clinical practice: a systematic review and narrative synthesis"
5040,3324.86,3324.86,USD,"",2014,2014-07-01,"","University of Birmingham","Journal of Visualized Experiments","","","","JoVE Corporation",2014,"Journal Article/Review",0,"","Modulating cognition using transcranial direct current stimulation of the cerebellum"
1416,1416,1416,GBP,"",2014,2014-07-15,"","University of Birmingham","Clinical Ophthalmology","","","","Dove Medical Press",2014,"Journal Article/Review",0,"","Social deprivation as a risk factor for late presentation of proliferative diabetic retinopathy"
1162.8,1162.8,1162.8,GBP,"",2014,2014-08-11,"","University of Birmingham","Pilot and Feasibility Studies","","","","Springer Nature",2014,"Journal Article/Review",0,"","A randomised controlled trial of family and social network intervention for young people who misuse alcohol and drugs: a feasibility study (Y-SBNT)"
2304,0,0,EUR,"",2014,2014-09-26,"","University of Birmingham","Systematic Reviews","","","","Springer Nature",2014,"Journal Article/Review",0,"","Meta-analysis of test accuracy studies: an exploratory method for investigating the impact of missing thresholds"
166.8,166.8,166.8,GBP,"",2014,2014-09-29,"","University of Birmingham",PeerJ,"","","",PeerJ,2014,"Journal Article/Review",0,"","X-Ray Synchroton Microtomoghraphy of a silifcified Jurassic Cheirolepidiacea cone: revealing and reconstructing the internal structure of an extinct conifer"
1351.5,1351.5,1351.5,GBP,"",2014,2014-09-30,"","University of Birmingham","BMC Health Service Research","","","","Springer Nature",2014,"Journal Article/Review",0,"","A critique of the design, implementation, and delivery of a culturally-tailored self-management education intervention: a mixed methods evaluation"
1351.5,1351.5,1351.5,GBP,"",2014,2014-10-07,"","University of Birmingham","Arthritis, research & therapy","","","","Springer Nature",2014,"Journal Article/Review",0,"","Subjective and objective measured physical activity and their association with cardio-respiratory fitness in rheumatoid arthritis patients"
1371.9,1371.9,1371.9,GBP,"",2014,2014-10-15,"","University of Birmingham","World Journal of Surgical Oncology","","","","Springer Nature",2014,"Journal Article/Review",0,"","Predictors of Early Recurrence after Resection of Colorectal Liver Metastases"
1550.4,1550.4,1550.4,GBP,"",2014,2014-10-23,"","University of Birmingham","Journal of Neurodevelopmental Disorders","","","","Springer Nature",2014,"Journal Article/Review",0,"","Face scanning and spontaneous emotion discrimination in Cornelia de Lange syndrome and Rubinstein-Taybi syndrome"
3000,0,0,USD,"",2014,2014-10-31,"","University of Birmingham","Current Opinion in Psychiatry","","","","Wolters Kluwer/Lippincott Williams & Wilkins",2014,"Journal Article/Review",0,"","Costs and benefits of realism and optimism"
1590,1590,1590,GBP,"",2014,2014-11-12,"","University of Birmingham",Trials,"","","","Springer Nature",2014,"Journal Article/Review",0,"","Core outcome sets for use in effectiveness trials involving people with bipolar and schizophrenia in a community based setting (PARTNERS2): study protocol for the development of two core outcome sets"
2040,2040,2040,GBP,"",2014,2014-11-13,"","University of Birmingham","BMJ Open Respiratory Research","","","","BMJ Group",2014,"Journal Article/Review",0,"","Predicting risk of COPD in primary care: development and validation of a clinical risk score"
1800,1800,1800,GBP,"",2014,2014-11-19,"","University of Birmingham","Environment and Planning A","","","",Pion,2014,"Journal Article/Review",1,"","Children living with ‘sustainable’ urban architectures"
2040,2040,2040,GBP,"",2014,2014-12-03,"","University of Birmingham","British Journal of General Practice","","","","Royal College of General Practitioners",2014,"Journal Article/Review",0,"","Receptionist rECognition and rEferral of Patients with Stroke (RECEPTS): unannounced simulated patient telephone call study"
1351.5,1351.5,1351.5,GBP,"",2014,2014-12-10,"","University of Birmingham","Arthritis Research & Therapy","","","","Springer Nature",2014,"Journal Article/Review",0,"","Differential glucocorticoid metabolism in patients with persistent versus resolving inflammatory arthritis"
1244.4,1244.4,1244.4,GBP,"",2014,2014-12-19,"","University of Birmingham","International Journal for Equity in Health","","","","Springer Nature",2014,"Journal Article/Review",0,"","Health care financing and the sustainability of health systems"
"","",960,"","",2014-09-25,2014-05-13,1740-2360,"University of Bristol","History of Psychiatry","","","","SAGE Publications",2014,"Journal Article/Review",0,"","Photography and Radical Psychiatry in Italy in the 1960s. The case of the photobook Morire di Classe (1969)"
"","",1051.2,"","",2014-07-16,2014-07-16,0340-7004,"University of Bristol","Cancer Immunology, Immunotherapy","","","",Wiley-Blackwell,2014,"Journal Article/Review",1,"","The B subunit of E. coli enterotoxin (EtxB) helps control the in vivo growth of solid tumors expressing the Epstein-Barr virus latent membrane protein 2A"
3800,2814.82,2814.82,USD,"",2014-10-20,2014-10-09,0263-6352,"University of Bristol","Journal of Hypertension","","","","Ovid Technologies (Wolters Kluwer Health)",2014,"Journal Article/Review",0,2014,"The association of non-alcoholic fatty liver disease with central and peripheral blood pressure in adolescence: findings from a cross-sectional study"
"","",852,"","",2014-10-14,2014-10-13,1362-4962,"University of Bristol","Nucleic Acids Research","CC BY","","","Oxford University Press (OUP)",2014,"Journal Article/Review",0,2014,"The SUPERFAMILY 1.75 database in 2014: a doubling of data"
"","",852,"","",2014-11-14,2014-11-11,0305-1048,"University of Bristol","Nucleic Acids Research","","","","Oxford University Press (OUP)",2014,"Journal Article/Review",0,"","DNA cleavage by CgII and NgoAVII requires interaction between N- and R-proteins and extensive nucleotide hydrolysis"
"","",1800,"","",2014-12-09,2014-11-17,2041-479X,"University of Bristol","Journal of the Geological Society","","","","Geological Society of London",2014,"Journal Article/Review",0,"","An inclined Vulcanian exPLOSion and associated products"
"","",932.4,"","",2014-11-16,2014-11-19,2045-7758,"University of Bristol","Ecology and Evolution","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","Ecological and evolutionary response of marine plankton to habitat formation and destruction in the marine environment"
1826.15,1732.73,1732.73,EUR,"",2014-11-20,2014-11-20,0165-0327,"University of Bristol","Journal of Affective disorders","","","","Elsevier BV",2014,"Journal Article/Review",0,"","Cognitive styles and future depressed mood in early adulthood"
"","",3000,"","",2014-11-20,2014-11-20,0007-1250,"University of Bristol","British Journal of Psychiatry","","","","Royal College of Psychiatrists",2014,"Journal Article/Review",0,"","Youth Mental Health After Civil War: The importance of Daily Stressors'"
"","",932.4,"","",2014-11-25,2014-11-25,2045-7758,"University of Bristol","Ecology and Evolution","","","",Wiley-Blackwell,2014,"Journal Article/Review",0,"","Multi-cue environments favour the evolution of plasticity of dauer larva developmental arrest in the nematode Caenorhabditis elegans"
2629.66,2043.88,2043.88,EUR,"",2014-11-27,2014-11-27,1574-7891,"University of Bristol","Molecular Oncology","","","","Elsevier BV",2014,"Journal Article/Review",0,"","Protein arginine methyltransferase 5 is a key regulator of the MYCN oncoprotein in neuroblastoma cells"
"","",2100,"","",2014-12-03,2014-12-01,1464-374X,"University of Bristol","Journal of Environmental Law","","","","Oxford University Press (OUP)",2014,"Journal Article/Review",0,"","Rethinking participation in environmental decision-making: epistemologies of marine conservation in South-East England"
1350,995.14,995.14,USD,"",2014-12-04,2014-12-04,1932-6203,"University of Bristol","PLOS One","","","","Public Library of Science (PLoS)",2014,"Journal Article/Review",0,"","Investigating glutamatergic mechanism in attention and impulse control using rats in a modified 5-ch"
"","",1262.4,"","",2014-12-15,2014-12-15,1361-9209,"University of Bristol","Transportation Research D: Transport and Environment","","","","Elsevier BV",2014,"Journal Article/Review",0,"","An aircraft performance model implementation for the estimation of global and regional commercial aviation fuel burn and emissions"
3235,2433.98,2433.98,USD,"",2014-12-15,2014-12-15,1872-7972,"University of Bristol","Journal of Neurochemistry","","","","Society for Neuroscience",2014,"Journal Article/Review",0,"","The role of Brain Derived Neurotrophic Factor (BDNF) in the development of neurogenic detrusor overactivity (NDO)"
"","",1020,"","",2015-01-13,2014-12-17,1744-8298,"University of Bristol","Future Cardiology","","","","Future Medicine Ltd",2014,"Journal Article/Review",1,"","A life course approach to Cardiovascular Ageing"
"","","","","","",2014-03-03,"","University of Cambridge","Urban Water Journal","","","","Informa UK Limited",2014,"",0,"","System interactions of stormwater management using Sustainable Urban Drainage Systems and Green Infrastructure"
"","","","","","",2014-03-13,"","University of Cambridge","BMC Family Practice","","","","Springer Nature",2014,"",0,"","Does the availability of a South Asian language in practices improve reports of doctor-patient communication from South Asian patients? Cross sectional analysis of a national patient survey in English general practices"
"","",2140.31,"","",2014-06-24,2014-03-25,"","University of Cambridge","Advanced Energy Materials","","","",Wiley-Blackwell,2014,"",0,"","The Influence of Quantum Dot Aggregates on Photovoltaic Performance in Nanocrystal – Polymer Bulk Heterojunction Solar Cells"
"","",1381.93,"","",2014-07-11,2014-04-18,"","University of Cambridge","Journal of Vertebrate Paleontology","","","","Informa UK Limited",2014,"",1,"","Extraordinarily preserved talpids (Mammalia, Lipotyphla) and the evolution of fossoriality"
"","","","","","",2014-05-01,"","University of Cambridge","Earth and Planetary Science Letters","","","","Elsevier BV",2014,"",0,"","An Atlantic-Pacific ventilation seesaw across the last deglaciation"
"","","","","","",2014-06-04,"","University of Cambridge","Oxford Journal of Archaeology","","","","Oxford University Press (OUP)",2014,"",0,"","The Roman city as articulated through terra sigillata"
"","",2100,"","",2014-11-03,2014-06-17,"","University of Cambridge","The Library","","","","Oxford University Press (OUP)",2014,"",0,"","Book Buying and the Grand Tour: the Italian Books at Belton House in Lincolnshire"
"","",2687.89,"","",2014-08-13,2014-07-15,"","University of Cambridge","Medicine & Science in Sports & Exercise","","","","Wolters Kluwer/Lippincott Williams & Wilkins",2014,"",0,"","Television Viewing, Walking Speed and Grip Strength in a Prospective Cohort Study"
"","","","","","",2014-09-02,"","University of Cambridge","The History of the Family","","","","Informa UK Limited",2014,"",1,"","A Two-Tiered Demographic System: “Insiders” and “Outsiders” in Three Swabian Communities, 1558-1914"
"","",2145.6,"","",2015-01-29,2014-09-04,"","University of Cambridge","Colonial Latin American Review","","","","Informa UK Limited",2014,"",0,"","Sumatran rice and miracle herbs: Local and international natural knowledge in late-colonial Guatemala"
"","",2250.42,"","",2014-11-03,2014-10-08,"","University of Cambridge",Medicine,"","","","Elsevier BV",2014,"",1,"","Epidemiology of diabetes"
"","",2040,"","",2014-10-25,2014-10-11,"","University of Cambridge","Superconductor Science and Technology","","","","IOP Publishing",2014,"",1,"","Effect of the size of GBCO-Ag secondary magnet on the static forces performance of linear synchronous motors"
"","",1519.99,"","",2014-11-15,2014-10-20,"","University of Cambridge","Advances in Biological Regulation","","","","Elsevier BV",2014,"",1,"","Exploring phosphatidylinositol 5-phosphate 4-kinase function"
"","","","","","",2014-10-23,"","University of Cambridge",Neurology,"","","","Wolters Kluwer/Lippincott Williams & Wilkins",2014,"",0,"","Sleep Duration And Risk Of Fatal And Non-Fatal Stroke: A Prospective Study And Meta-Analysis"
"","","","","","",2014-10-24,"","University of Cambridge","American Mineralogist","","","","Mineralogical Society of America",2014,"",1,"","Effect of pores and grain size on the elastic and piezoelectric properties of quartz based materials"
"","","","","","",2014-10-27,"","University of Cambridge","Computers in Human Behavior","","","","",2014,"",1,"","Reading this may harm your computer: the psychology of malware warnings"
"","","","","","",2014-11-11,"","University of Cambridge","British Journal of Psychiatry","","","","Royal College of Psychiatrists",2014,"",1,"","Hedonic and disgust perceptions of sweet and bitter tastes in borderline personality disorder and depression"
"","",1620,"","",2015-01-26,2014-11-12,"","University of Cambridge","BMJ Open","","","","BMJ Group",2014,"",1,"","The feasibility of meeting the World Health Organization guidelines for sodium and potassium: a cross-national comparison study"
"","","","","","",2014-11-12,"","University of Cambridge","BMC Public Health","","","","Springer Nature",2014,"",1,"","The Medical Research Council Cognitive Function and Ageing Study"
"","","","","","",2014-11-17,"","University of Cambridge",Fuel,"","","","Elsevier BV",2014,"",1,"","Large-Eddy Simulation of Pulverized Coal Jet Flame -Effect of Oxygen Concentration on NOx formation"
"","",2299.14,"","",2014-12-23,2014-11-19,"","University of Cambridge","Biometrical Journal","","","",Wiley-Blackwell,2014,"",1,"","The estimation and use of predictions for the assessment of model performance using large samples with multiply imputed data"
"","",1620,"","",2014-12-10,2014-11-21,"","University of Cambridge","BMJ Open","","","","BMJ Group",2014,"",1,"","The pathway to diagnosis of type 1 diabetes in children: a questionnaire study"
"","","","","","",2014-11-28,"","University of Cambridge","Applied Immunohistochemistry & Molecular Morphology","","","","Wolters Kluwer/Lippincott Williams & Wilkins",2014,"",0,"","Decline in antigenicity of tumour markers by storage time using pathology sections cut from tissue micro-arrays"
"","","","","","",2014-12-01,"","University of Cambridge","Light: Science and Applications","","","","Springer Nature",2014,"",0,"","High Resolution Optically Addressed Spatial Light Modulator based on ZnO Nanoparticles"
"","",2120.88,"","",2014-12-23,2014-12-03,"","University of Cambridge","Alzheimers Research & Therapy","","","","Springer Nature",2014,"",0,"","Re-examining tau-immunoreactive pathology in the Cambridge City over 75s Cohort: granulovacuolar degeneration and neurofibrillary tangles"
"","",1411.5,"","",2015-01-08,2014-12-04,"","University of Cambridge","Breast Cancer Research","","","","Springer Nature",2014,"",1,"","Associations of common breast cancer susceptibility alleles with risk of breast cancer subtypes in BRCA1 and BRCA2 mutation carriers"
"","","","","","",2014-12-05,"","University of Cambridge","Early Medieval Europe","","","",Wiley-Blackwell,2014,"",1,"","The politics of being Norman in the reign of Richard the Fearless, Duke of Normandy (r. 942-996)"
"","","","","","",2014-12-08,"","University of Cambridge","Physics in Medicine and Biology","","","","IOP Publishing",2014,"",1,"","Defining robustness protocols: a method to include and evaluate robustness in clinical plans"
"","",2473.24,"","",2015-01-30,2014-12-08,"","University of Cambridge","Journal of Neuroscience","","","","Society for Neuroscience",2014,"",1,"","Value-based choices reveal probability distortion in macaque monkeys"
"","","","","","",2014-12-12,"","University of Cambridge","Design Studies","","","","Elsevier BV",2014,"",1,"","Fixation and creativity in concept development: the attitudes and practices of expert designers"
"","","","","","",2014-12-15,"","University of Cambridge","Classical annd Quantum Gravity","","","","IOP Publishing",2014,"",1,"","Minimal Massive 3D Gravity Unitarity Redux"
"","","","","","",2014-12-16,"","University of Cambridge","Nature Communications","","","","Springer Nature",2014,"",1,"","Capturing the cloud of MRSA diversity after transmission and during infection reveals complex and heterogenous carriage and transmission"
"","","","","","",2014-12-16,"","University of Cambridge","Inventiones Mathematicae","","","","Springer Nature",2014,"",1,"","The triviality problem for profinite completions"
"","",2370.13,"","",2015-01-19,2014-12-17,"","University of Cambridge","The Economic History Review","","","",Wiley-Blackwell,2014,"",1,"","Urban inoculation and the decline of smallpox in eighteenth century cities - a reply to Razzell"
"","","","","","",2014-12-28,"","University of Cambridge","Journal of the American Statistical Association","","","","Informa UK Limited",2014,"",1,"","Unifying Amplitude and Phase Analysis]{ Unifying Amplitude and Phase Analysis: \\A Compositional Data Approach to Functional Multivariate Mixed-Effects Modeling of Mandarin Chinese"
"","","","","","",2014-04-24,0043-1354,"Cranfield University","Water Resources Research",Unspecified/unclear,"","","American Geophysical Union ",2014,"Journal Article/Review",0,"","Effect of modeller selection of baseline meteorological data products on uncertainty in simulated hydrological impacts of climate change"
"","","","","","",2014-05-06,0022-1694,"Cranfield University","Journal of Hydrology","CC BY","","","Elsevier BV",2014,"Journal Article/Review",0,"","Modeling flood characterizations with parametric minimum information pair "
"","","","","","",2014-09-09,0733-8724,"Cranfield University","Journal of Lightwave Technology","CC BY","","","Institute of Electrical and Electronics Engineers (IEEE)",2014,"Journal Article/Review",0,"","An optical fibre hydrogen sensor using a palladium coated ball lens"
"","","","","","",2014-11-04,0946-2171,"Cranfield University","Applied Physics B","CC BY","","","Springer Nature",2014,"Journal Article/Review",0,"","Engineering Photonics: Development and Application of Instrumentation and Sensors"
"","","","","","",2014-11-28,1932-6203,"Cranfield University","PLOS ONE","CC BY","","","Public Library of Science (PLoS)",2014,"Journal Article/Review",0,"","An in-vitro to in-vivo translational pharmacokinetic -pharmacodynamic model for Temozolomide"
"","","","","","",2014-12-22,1064-3389,"Cranfield University","Critical Reviews in Environmental Science and Technology","CC BY","","","Informa UK Limited",2014,"Journal Article/Review",0,"","The characterisation of faeces and urine"
666.42,559.37,559.37,EUR,"",2014-05-27,2013-12-09,0304-4149,"University of Durham","Stochastic Processes and their Applications","CC BY","","","Elsevier BV",2014,"Journal Article/Review",0,2014,"Non-homogeneous random walks on a semi-infinite strip"
"","",2040,"","","",2014-01-02,"","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing",2014,"",0,"","Cryogenic and room temperature strength of sapphire jointed by hydroxide catalysis bonding"
"","",423.17,"","","",2014-01-06,"","University of Glasgow","Neglected Tropical Diseases","","","","Public Library of Science (PLoS)",2014,"",0,"","A repurposing strategy for Hsp90 inhibitors demonstrates their potency against filarial nematodes"
"","",1500,"","","",2014-01-14,"","University of Glasgow","Journal of Business Finance and Accounting","","","",Wiley-Blackwell,2014,"",0,"","Market Implied Ratings and Financing Constraints: Evidence from US Firms"
2640,2191.2,2191.2,EUR,"","",2014-01-17,"","University of Glasgow","Biological Cybernetics","","","","Springer Nature",2014,"",0,"","Intermittent Control Models of Human Standing: Similarities and Differences"
"","",2390.11,EUR,"","",2014-01-17,"","University of Glasgow","Dyes and Pigments","","","","Elsevier BV",2014,"",0,"","Facile synthesis of metal-free organic dyes featuring a thienylethynyl spacer for dye sensitized solar cells"
"","",2040,"","","",2014-01-22,"","University of Glasgow","Classical and Quantum Gravity ","","","","IOP Publishing",2014,"",0,"","Experimental Results for Nulling the Effective Thermal Expansion Coefficient of Fused Silica Fibres Under a Static Stress"
"","",1260,"","","",2014-01-23,"","University of Glasgow","Biology Letters","","","","Royal Society of London",2014,"",0,"","Prior hormetic priming is costly under environmental mismatch"
"","",1500,"","","",2014-01-27,"","University of Glasgow","British Journal of Pharmacology","","","",Wiley-Blackwell,2014,"",0,"","Epac and HARBS-PDE4 modulate neurite outgrowth and myelination using an in vitro spinal cord injury model"
"","",2404.45,EUR,"","",2014-01-28,"","University of Glasgow","Applied Energy","","","","Elsevier BV",2014,"",0,"","The Effect of Temperature Mismatch on Thermoelectric Generators Electrically Connected in Series and Parallel (APEN-D-13-04628R1)"
