"period","euro","publisher","journal_full_title","issn","doi","is_hybrid","base_url"
2019,"1,696","Frontiers Research Foundation (Switzerland)","Frontiers in Genetics","1664-8021 ","https://doi.org/10.3389/fgene.2019.00365",FALSE,"https://edoc.mdc-berlin.de/18220/"
2019,"1,435","Frontiers Research Foundation (Switzerland)","Frontiers in Synaptic Neuroscience","1663-3563 "," https://doi.org/10.3389/fnsyn.2019.00015 ",FALSE,"https://edoc.mdc-berlin.de/18233/"
2019,662,"Frontiers Research Foundation (Switzerland)","Frontiers in Cell and Developmental Biology","2296-634X ","https://doi.org/10.3389/fcell.2019.00065",FALSE,"https://edoc.mdc-berlin.de/18231/"
2019,"1,380","Frontiers Research Foundation (Switzerland)","Frontiers in Physiology","1664-042X","https://doi.org/10.3389/fphys.2018.01930",FALSE,"https://edoc.mdc-berlin.de/18002/"
2019,"2,228","Frontiers Reserach Foundation (Switzerland)","Frontiers in Genetics","1664-8021 ","https://doi.org/10.3389/fgene.2019.00625",FALSE,"https://edoc.mdc-berlin.de/18327/"
2019,"1,420","Frontiers Research Foundation (Switzerland)","Frontiers in Molecular Neuroscience","1662-5099","https://doi.org/10.3389/fnmol.2019.00288",FALSE,"https://edoc.mdc-berlin.de/18569/"
2019,"1,988","BioMed Central (U.K.)","Genome Biology","1474-760X","https://doi.org/10.1186/s13059-019-1654-y",FALSE,"http://edoc.mdc-berlin.de/18062/"
2019,"1,396","BioMed Central (U.K.)","BMC Geriatrics","1471-2318","https://doi.org/10.1186/s12877-019-1073-7",FALSE,"https://edoc.mdc-berlin.de/18105/"
2019,"1,352","BioMed Central (U.K.)","BMC Bioinformatics","1471-2105","https://doi.org/10.1186/s12859-019-3043-7",FALSE,"https://edoc.mdc-berlin.de/18417/"
2019,"1,396","BioMed Central (U.K.)","BMC Medical Genomics","1755-8794","https://doi.org/10.1186/s12920-019-0611-7",FALSE,"https://edoc.mdc-berlin.de/18497/"
2019,"4,365","Cold Spring Harbor Laboratory Press (U.S.A.)","Genes & Development","0890-9369","https://doi.org/10.1101/gad.322818.118",TRUE,"https://edoc.mdc-berlin.de/18113/"
2019,"2,160","Elsevier ","Current Opinion in Systems Biology","2452-3100","https://doi.org/10.1016/j.coisb.2018.11.004",TRUE,"https://edoc.mdc-berlin.de/17926/"
2019,"4,480","Cell Press","Cell Systems","2405-4712","https://doi.org/10.1016/j.cels.2019.07.009",TRUE,"https://edoc.mdc-berlin.de/18434/"
