"Institution","Period","EURO","publisher","journal_full_title","issn","issn_print","issn_electronic","doi","indexed_in_CrossRef","pmid","pmcid","base_url","repo_id","ut","DOAJ","license_ref","is_hybrid"
"MDC",2014,"490.58","Wiley-Blackwell","Hepatology",2709139,"NA","NA","10.1002/hep.27016","TRUE",24443059,"PMC4231978","http://edoc.mdc-berlin.de/",13834,"NA","FALSE","NA","TRUE"
"MDC",2014,"2535.02","Elsevier BV","Cell Reports",22111247,22111247,"NA","10.1016/j.celrep.2014.01.001","TRUE",24462290,"NA","http://edoc.mdc-berlin.de/",13841,"NA","TRUE","http://www.elsevier.com/tdm/userlicense/1.0/;http://creativecommons.org/licenses/by-nc-nd/3.0/","FALSE"
"MDC",2014,"4011.45","Elsevier BV","Cell Reports",22111247,22111247,"NA","10.1016/j.celrep.2014.11.014","TRUE",25482563,"NA","http://edoc.mdc-berlin.de/",14500,"NA","TRUE","http://www.elsevier.com/tdm/userlicense/1.0/;http://creativecommons.org/licenses/by-nc-nd/3.0/","FALSE"
"MDC",2014,1756,"Elsevier BV","Neuropharmacology",283908,283908,"NA","10.1016/j.neuropharm.2014.12.007","TRUE","NA","NA","http://edoc.mdc-berlin.de/",14522,"NA","FALSE","http://www.elsevier.com/tdm/userlicense/1.0/","TRUE"
"MDC",2014,"1221.41","Ovid Technologies (Wolters Kluwer Health)","Pain","0304-3959","0304-3959","NA","10.1016/j.pain.2014.03.010","TRUE",24662807,"NA","http://edoc.mdc-berlin.de/",13958,"NA","FALSE","http://www.elsevier.com/tdm/userlicense/1.0/","TRUE"
"MDC",2014,"1314.83","Elsevier BV","Developmental Biology",121606,121606,"NA","10.1016/j.ydbio.2014.09.005","TRUE",25220152,"NA","http://edoc.mdc-berlin.de/",14353,"NA","FALSE","http://www.elsevier.com/tdm/userlicense/1.0/;http://creativecommons.org/licenses/by-nc-nd/3.0/","TRUE"
"MDC",2014,3425,"Nature Publishing Group","Nature Communications","2041-1723","NA","2041-1723","10.1038/ncomms4520","TRUE",24662763,"PMC3973071","http://edoc.mdc-berlin.de/",13959,"NA","FALSE","NA","FALSE"
"MDC",2014,1800,"Oxford University Press (OUP)","Bioinformatics","1367-4803;1460-2059","1367-4803","1460-2059","10.1093/bioinformatics/btu028","TRUE",24451624,"PMC4016701","http://edoc.mdc-berlin.de/",13837,"NA","FALSE","NA","TRUE"
"MDC",2014,2130,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048;1362-4962","0305-1048","1362-4962","10.1093/nar/gku1083","TRUE",25389269,"PMC4245949","http://edoc.mdc-berlin.de/",14445,"NA","TRUE","NA","FALSE"
"MDC",2014,2130,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048;1362-4962","0305-1048","1362-4962","10.1093/nar/gku1180","TRUE",25416797,"PMC4383974","http://edoc.mdc-berlin.de/",14454,"NA","TRUE","NA","FALSE"
"MDC",2014,"2156.5","Oxford University Press (OUP)","Nucleic Acids Research","0305-1048;1362-4962","0305-1048","1362-4962","10.1093/nar/gku229","TRUE",24688060,"PMC4027202","http://edoc.mdc-berlin.de/",13965,"NA","TRUE","NA","FALSE"
"MDC",2014,2130,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048;1362-4962","0305-1048","1362-4962","10.1093/nar/gku231","TRUE",24728992,"PMC4027192","http://edoc.mdc-berlin.de/",13986,"NA","TRUE","NA","FALSE"
"MDC",2014,1065,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048;1362-4962","0305-1048","1362-4962","10.1093/nar/gku432","TRUE",24838570,"PMC4086102","http://edoc.mdc-berlin.de/",14263,"NA","TRUE","NA","FALSE"
"MDC",2014,2130,"Oxford University Press (OUP)","Nucleic Acids Research","0305-1048;1362-4962","0305-1048","1362-4962","10.1093/nar/gku810","TRUE",25294828,"PMC4231734","http://edoc.mdc-berlin.de/",14382,"NA","TRUE","NA","FALSE"
"MDC",2014,"4699.61","Cold Spring Harbor Laboratory Press","Genes & Development","0890-9369","0890-9369","NA","10.1101/gad.230045.113","TRUE",24493648,"PMC3923970","http://edoc.mdc-berlin.de/",13851,"NA","FALSE","NA","TRUE"
"MDC",2014,"2192.76","Wiley-Blackwell","European Journal of Neuroscience","0953816X","NA","NA","10.1111/ejn.12466","TRUE",24494677,"PMC4232910","http://edoc.mdc-berlin.de/",13854,"NA","FALSE","NA","TRUE"
"MDC",2014,3000,"Wiley-Blackwell","The Journal of Physiology",223751,"NA","NA","10.1113/jphysiol.2013.258657","TRUE",24247984,"PMC3934701","http://edoc.mdc-berlin.de/",13658,"NA","FALSE","NA","TRUE"
"MDC",2014,"772.86","American Physiological Society","Physiological Genomics","1094-8341;1531-2267","1094-8341","1531-2267","10.1152/physiolgenomics.00004.2014","TRUE",24790086,"PMC4060037","http://edoc.mdc-berlin.de/",14007,"NA","FALSE","NA","TRUE"
"MDC",2014,"3399.55","American Society for Clinical Investigation","Journal of Clinical Investigation","0021-9738","0021-9738","NA","10.1172/JCI63992","TRUE",25157816,"PMC4191042","http://edoc.mdc-berlin.de/",14324,"NA","FALSE","NA","FALSE"
"MDC",2014,"4563.59","American Society for Clinical Investigation","Journal of Clinical Investigation","0021-9738","0021-9738","NA","10.1172/JCI71472","TRUE",24430185,"PMC3904623","http://edoc.mdc-berlin.de/",13824,"NA","FALSE","NA","FALSE"
"MDC",2014,1212,"Springer Science + Business Media","BMC Medical Genetics","1471-2350","1471-2350","NA","10.1186/1471-2350-15-48","TRUE",24773605,"PMC4038115","http://edoc.mdc-berlin.de/",14137,"NA","TRUE","NA","FALSE"
"MDC",2014,"725.14","Springer Science + Business Media","Cancer & Metabolism","2049-3002","2049-3002","NA","10.1186/2049-3002-2-9","TRUE",25035808,"PMC4101711","http://edoc.mdc-berlin.de/",14265,"NA","TRUE","NA","FALSE"
"MDC",2014,"1482.54","The Company of Biologists","Disease Models & Mechanisms","1754-8403;1754-8411","1754-8403","1754-8411","10.1242/dmm.012500","TRUE",24159188,"PMC3882054","http://edoc.mdc-berlin.de/",13496,"NA","TRUE","NA","FALSE"
"MDC",2014,1000,"Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0084949","TRUE",24416318,"PMC3885627","http://edoc.mdc-berlin.de/",13817,"NA","TRUE","NA","FALSE"
"MDC",2014,"989.98","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0087638","TRUE",24505300,"PMC3914813","http://edoc.mdc-berlin.de/",13856,"NA","TRUE","NA","FALSE"
"MDC",2014,"767.6","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0091318","TRUE",24621588,"PMC3951399","http://edoc.mdc-berlin.de/",13926,"NA","TRUE","NA","FALSE"
"MDC",2014,"978.78","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0092166","TRUE",24637697,"PMC3956911","http://edoc.mdc-berlin.de/",13944,"NA","TRUE","NA","FALSE"
"MDC",2014,"1094.33","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0093743","TRUE",24710077,"PMC3977876","http://edoc.mdc-berlin.de/",13977,"NA","TRUE","NA","FALSE"
"MDC",2014,"767.59","Public Library of Science (PLoS)","PLoS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0094654","TRUE",24728341,"PMC3984237","http://edoc.mdc-berlin.de/",13987,"NA","TRUE","NA","FALSE"
"MDC",2014,"1103.81","Public Library of Science (PLoS)","PLOS ONE","1932-6203","NA","1932-6203","10.1371/journal.pone.0117095","TRUE",25621491,"PMC4306482","http://edoc.mdc-berlin.de/",14591,"NA","TRUE","NA","FALSE"
"MDC",2014,980,"EMBO","EMBO reports","1469-221X;1469-3178","1469-221X","1469-3178","10.15252/embr.201438553","TRUE",24820037,"NA","http://edoc.mdc-berlin.de/",14235,"NA","FALSE","NA","TRUE"
"MDC",2014,575,"Frontiers Media SA","Frontiers in Cellular Neuroscience","1662-5102","NA","1662-5102","10.3389/fncel.2014.00164","TRUE",24987332,"PMC4060558","http://edoc.mdc-berlin.de/",14160,"NA","TRUE","NA","FALSE"
"MDC",2014,"1091.47","Frontiers Media SA","Frontiers in Psychiatry","1664-0640","NA","1664-0640","10.3389/fpsyt.2014.00067","TRUE",24982640,"PMC4055866","http://edoc.mdc-berlin.de/",14246,"NA","TRUE","NA","FALSE"
"MDC",2014,"1382.16","Informa UK Limited","Cell Cycle","1538-4101;1551-4005","1538-4101","1551-4005","10.4161/cc.28513","TRUE",24621504,"PMC4049953","http://edoc.mdc-berlin.de/",13927,"NA","FALSE","NA","TRUE"
