"institution","period","Euro","Publisher","journal_full_title","issn","doi","is_hybrid","base_url"
"MDC",2018,1291,"Public Library of Science (U.S.A.)","PloS ONE","1932-6203","https://doi.org/10.1371/journal.pone.0198492",FALSE,"https://edoc.mdc-berlin.de/17494/"
"MDC",2018,1215,"Public Library of Science (U.S.A.)","PLoS ONE","1932-6203","https://doi.org/10.1371/journal.pone.0191423",FALSE,"https://edoc.mdc-berlin.de/17062/"
"MDC",2018,1974,"Elsevier (The Netherlands)","Molecular Metabolism","2212-8778","https://doi.org/10.1016/j.molmet.2017.11.010",FALSE,"https://edoc.mdc-berlin.de/16969/"
"MDC",2018,1974,"Elsevier (The Netherlands)","Molecular Metabolism","2212-8778","https://doi.org/10.1016/j.molmet.2017.12.013",FALSE,"https://edoc.mdc-berlin.de/17022/"
"MDC",2018,2006,"eLife Sciences Publications (U.K.)","eLife","2050-084X","https://doi.org/10.7554/eLife.31037",FALSE,"https://edoc.mdc-berlin.de/17080/"
"MDC",2018,4419,"Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2018.01.059",FALSE,"https://edoc.mdc-berlin.de/17104/"
"MDC",2018,4419,"Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2018.02.094",FALSE,"https://edoc.mdc-berlin.de/17220/"
"MDC",2018,4419,"Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2018.08.001",FALSE,"https://edoc.mdc-berlin.de/17743/"
"MDC",2018,4419,"Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2018.08.088",FALSE,"https://edoc.mdc-berlin.de/17776/"
"MDC",2018,"3,017","Cell Press / Elsevier (U.S.A.)","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2018.11.003",FALSE,"https://edoc.mdc-berlin.de/17904/"
"MDC",2018,1138,"MDPI (Switzerland)","International Journal of Molecular Sciences","1422-0067","https://doi.org/10.3390/ijms19020391",FALSE,"https://edoc.mdc-berlin.de/17072/"
"MDC",2018,1370,"Nature Publishing Group (U.K.)","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-018-26579-y",FALSE,"https://edoc.mdc-berlin.de/17478/"
"MDC",2018,1370,"Nature Publishing Group (U.K.)","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-018-27394-1",FALSE,"https://edoc.mdc-berlin.de/17498/"
"MDC",2018,3850,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-04353-y",FALSE,"https://edoc.mdc-berlin.de/17427/"
"MDC",2018,3850,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-06962-z",FALSE,"https://edoc.mdc-berlin.de/17848/"
"MDC",2018,3094,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-03995-2",FALSE,"https://edoc.mdc-berlin.de/17368/"
"MDC",2018,3850,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-07474-6",FALSE,"https://edoc.mdc-berlin.de/17915/"
"MDC",2018,3700,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-03502-7",FALSE,"https://edoc.mdc-berlin.de/17203/"
"MDC",2018,3850,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-04402-6",FALSE,"https://edoc.mdc-berlin.de/17432/"
"MDC",2018,3700,"Nature Publishing Group (U.K.)","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-018-04566-1",FALSE,"https://edoc.mdc-berlin.de/17486/"
"MDC",2018,1396,"BioMed Central (U.K.)","BMC Public Health","1471-2458","https://doi.org/10.1186/s12889-018-5814-x",FALSE,"https://edoc.mdc-berlin.de/17658/"
"MDC",2018,1396,"BioMed Central (U.K.)","BMC Public Health","1471-2458","https://doi.org/10.1186/s12889-018-5415-8",FALSE,"https://edoc.mdc-berlin.de/17370/"
"MDC",2018,1936,"BioMed Central (U.K.)","BMC Genomics","1471-2164","https://doi.org/10.1186/s12864-018-4540-1",FALSE,"https://edoc.mdc-berlin.de/17121/"
"MDC",2018,1988,"BioMed Central (U.K.)","Genome Biology","1474-760X","https://doi.org/10.1186/s13059-018-1521-2",FALSE,"https://edoc.mdc-berlin.de/17859/"
