"institution","period","euro","publisher","journal_full_title","issn","doi",,"base_url","is_hybrid"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,944,"BioMed Central","BMC Research Notes","1756-0500","https://doi.org/10.1186/s13104-020-4919-3",,"https://edoc.mdc-berlin.de/18699/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1937,"Frontiers Media SA","Frontiers in Systems Neuroscience","1662-5137","https://doi.org/10.3389/fnsys.2020.00008",,"https://edoc.mdc-berlin.de/18773/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1400,"Frontiers Media SA","Frontiers in Physiology","1664-042X","https://doi.org/10.3389/fphys.2020.00203",,"https://edoc.mdc-berlin.de/18815/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2138,"Frontiers Media SA","Frontiers in Physiology","1664-042X","https://doi.org/10.3389/fphys.2020.00896",,"https://edoc.mdc-berlin.de/19175/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2127,"Frontiers Media SA","Frontiers in Cell and Developmental Biology","2296-634X","https://doi.org/10.3389/fcell.2020.590540",,"https://edoc.mdc-berlin.de/19224/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2090,"Frontiers Media SA","Frontiers in Immunology","1664-3224","https://doi.org/10.3389/fimmu.2020.602868",,"https://edoc.mdc-berlin.de/19371/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2067,"Frontiers Media SA","Frontuers in Immunology","1664-3224","https://doi.org/10.3389/fimmu.2020.591741",,"https://edoc.mdc-berlin.de/19225/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1490,"Nature Publishing Group","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-020-57648-w",,"https://edoc.mdc-berlin.de/18681/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1011,"PeerJ Inc","PeerJ","2167-8359","https://doi.org/10.7717/peerj.8607",,"https://edoc.mdc-berlin.de/18767/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4380,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-14777-0",,"https://edoc.mdc-berlin.de/18748/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4480,"Cell Press / Elsevier","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2020.01.083",,"https://edoc.mdc-berlin.de/18745/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4380,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-14700-7",,"https://edoc.mdc-berlin.de/18730/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4480,"Cell Press / Elsevier","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2020.107741",,"https://edoc.mdc-berlin.de/19043/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1570,"Nature Publishing Group","Scientific Reports","2045-2322","https://doi.org/10.1038/s41598-020-66095-6",,"https://edoc.mdc-berlin.de/18914/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1443,"Public Library of Science","PLoS ONE","1932-6203","https://doi.org/10.1371/journal.pone.0233719",,"https://edoc.mdc-berlin.de/18996/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1841,"MPDI","Cancers","2072-6694","https://doi.org/10.3390/cancers12061371",,"https://edoc.mdc-berlin.de/18998/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1887,"MPDI","Cancers","2072-6694","https://doi.org/10.3390/cancers12061380",,"https://edoc.mdc-berlin.de/18975/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4480,"Cell Press / Elsevier","Cell Reports","2211-1247","https://doi.org/10.1016/j.celrep.2020.107667",,"https://edoc.mdc-berlin.de/18962/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,1725,"Taylor & Francis","International Journal of Hyperthermia","0265-6736","https://doi.org/10.1080/02656736.2020.1761462",,"https://edoc.mdc-berlin.de/18913/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4380,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-16929-8",,"https://edoc.mdc-berlin.de/19071/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,4380,"Nature Publishing Group","Nature Communications","2041-1723","https://doi.org/10.1038/s41467-020-17155-y",,"https://edoc.mdc-berlin.de/19130/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2083,"PLoS Computational Biology","Public Library of Science","1553-734X","https://doi.org/10.1371/journal.pcbi.1007901",,"https://edoc.mdc-berlin.de/19090/","FALSE"
"Max Delbrück Center for Molecular Medicine (MDC)",2020,2190,"Neurobiology of Disease","Elsevier","0969-9961","https://doi.org/10.1016/j.nbd.2020.105030",,"https://edoc.mdc-berlin.de/19169/","FALSE"
