institution;period;doi;is_hybrid;journal_full_title
Institute of Science and Technology (IST Austria);2016;10.1007/s00440-015-0692-y;TRUE;Probability Theory and Related Fields
Austrian Science Fund (FWF);2016;10.1007/s00259-016-3308-6;TRUE;European Journal of Nuclear Medicine and Molecular Imaging
Medical University of Vienna;2016;10.1007/s00717-015-0290-5;TRUE;Spektrum der Augenheilkunde
Paracelsus Medical University;2016;10.1007/s00134-016-4222-x;TRUE;Intensive Care Medicine
Austrian Science Fund (FWF);2016;10.1007/s00605-015-0860-2;TRUE;Monatshefte für Mathematik
Vienna University of Economics and Business (WU);2016;10.1007/s40926-016-0027-9;TRUE;Philosophy of Management
Medical University of Graz;2016;10.1007/s00284-016-0994-z;TRUE;Current Microbiology
Austrian Science Fund (FWF);2016;10.1007/s10270-015-0512-y;TRUE;Software & Systems Modeling
Austrian Science Fund (FWF);2016;10.1007/s00253-015-7218-5;TRUE;Applied Microbiology and Biotechnology
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s10354-015-0429-7;TRUE;Wiener Medizinische Wochenschrift
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00740-016-0097-2;TRUE;Wiener klinisches Magazin
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s12688-015-0055-x;TRUE;rheuma plus
Medical University of Vienna;2016;10.1007/s40137-016-0128-3;TRUE;Current Surgery Reports
Paracelsus Medical University;2016;10.1007/s12326-015-0177-x;TRUE;hautnah
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s10750-016-2652-7;TRUE;Hydrobiologia
Medical University of Vienna;2016;10.1007/s10354-016-0439-0;TRUE;Wiener Medizinische Wochenschrift
Austrian Science Fund (FWF);2016;10.1007/s11225-016-9651-6;TRUE;Studia Logica
Austrian Science Fund (FWF);2016;10.1007/s00706-015-1653-y;TRUE;Monatshefte für Chemie - Chemical Monthly
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00115-016-0098-9;TRUE;Der Nervenarzt
Medical University of Vienna;2016;10.1007/s00432-016-2134-3;TRUE;Journal of Cancer Research and Clinical Oncology
TU Wien (TUW);2016;10.1007/s00253-016-7380-4;TRUE;Applied Microbiology and Biotechnology
TU WIen (TUW);2016;10.1007/s00012-016-0372-5;TRUE;Algebra universalis
Johannes Kepler University Linz;2016;10.1007/s10703-016-0241-z;TRUE;Formal Methods in System Design
Austrian Science Fund (FWF);2016;10.1007/s10100-016-0437-8;TRUE;Central European Journal of Operations Research
Medical University of Vienna;2016;10.1007/s10353-016-0386-4;TRUE;European Surgery
University of Vienna;2016;10.1007/s12667-016-0190-z;TRUE;Energy Systems
TU Wien (TUW);2016;10.1007/s11740-016-0665-8;TRUE;Production Engineering
Austrian Science Fund (FWF);2016;10.1007/s13225-016-0356-y;TRUE;Fungal Diversity
University of Vienna;2016;10.1007/s11229-016-1041-0;TRUE;Synthese
Austrian Science Fund (FWF);2016;10.1007/s11307-016-0931-3;TRUE;Molecular Imaging and Biology
Institute of Science and Technology (IST Austria);2016;10.1007/s10955-016-1479-y;TRUE;Journal of Statistical Physics
Austrian Science Fund (FWF);2016;10.1007/s10712-016-9365-3;TRUE;Surveys in Geophysics
University of Innsbruck and Medical University of Innsbruck;2016;10.1007/s00214-016-1819-7;TRUE;Theoretical Chemistry Accounts
University of Graz;2016;10.1007/s00115-016-0070-8;TRUE;Der Nervenarzt
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s10570-016-0887-0;TRUE;Cellulose
University of Natural Resources and Life Sciences Vienna (BOKU);2016;10.1007/s11104-015-2771-3;TRUE;Plant and Soil
TU WIen (TUW);2016;10.1007/s00339-016-9625-6;TRUE;Applied Physics A
