institution;period;euro;doi;is_hybrid;journal_full_title
Vienna University of Economics and Business (WU);2018;NA;10.1177/1471082X17739058;TRUE;Statistical Modelling
University of Vienna;2018;NA;10.1177/1354856517750366;TRUE;Convergence
Vienna University of Economics and Business (WU);2018;NA;10.1177/1368431017754057;TRUE;European Journal of Social Theory
University of Innsbruck;2018;NA;10.1177/0304375418762048;TRUE;Alternatives
Medical University of Vienna;2018;NA;10.1177/0962280218768326;TRUE;Statistical Methods in Medical Research
Johannes Kepler University Linz;2018;NA;10.1177/0019793918771360;TRUE;ILR Review
Paris Lodron University of Salzburg;2018;NA;10.1177/1556264618759877;TRUE;Journal of Empirical Research on Human Research Ethics
University of Innsbruck;2018;NA;10.1177/1369148118772247;TRUE;The British Journal of Politics and International Relations 
University of Graz;2018;NA;10.1177/0305735618775806;TRUE;Psychology of Music
Medical University of Vienna;2018;NA;10.1177/0962280218777538;TRUE;Statistical Methods in Medical Research
Medical University of Vienna;2018;NA;10.1177/0962280218777896;TRUE;Statistical Methods in Medical Research
University of Graz;2018;NA;10.1177/2397002218791408;TRUE;German Journal of Human Resource Management
University of Vienna;2018;NA;10.1177/0959683618788651;TRUE;The Holocene
Medical University of Innsbruck;2018;NA;10.1177/1479164118795559;TRUE;Diabetes and Vascular Disease Research
Vienna University of Economics and Business (WU);2018;NA;10.1177/0022526618790443;TRUE;The Journal of Transport History
Johannes Kepler University Linz;2018;NA;10.1177/1475921718805963;TRUE;Structural Health Monitoring
University of Vienna;2018;NA;10.1177/0093650218803276;TRUE;Communication Research
University of Vienna;2018;NA;10.1177/0192512118791585;TRUE;International Political Science Review
