publisher,journal_full_title,issn,count,is_hybrid
Wiley-Blackwell,Australian & New Zealand Journal of Statistics,1369-1473,1,TRUE
Informa UK Limited,Australian Historical Studies,1031-461X,1,NA
SAGE Publications,Australian Journal of Management,0312-8962,1,NA
Wiley-Blackwell,Australian Journal of Psychology,0004-9530,1,TRUE
Informa UK Limited,Azania: Archaeological Research in Africa,0067-270X,1,NA
Springer Nature,BMC Rheumatology,2520-1026,1,NA
BMJ,BMJ Innovations,2055-8074,1,NA
BMJ,BMJ Paediatrics Open,2399-9772,1,NA
BMJ,BMJ Simulation and Technology Enhanced Learning,2056-6697,1,NA
Informa UK Limited,BSHM Bulletin: Journal of the British Society for the History of Mathematics,1749-8430,1,NA
Institute of Mathematical Statistics,Bayesian Analysis,1936-0975,1,NA
Informa UK Limited,Behavioral Sciences of Terrorism and Political Aggression,1943-4472,1,NA
Informa UK Limited,Behaviour & Information Technology,0144-929X,1,NA
Elsevier BV,Best Practice & Research Clinical Rheumatology,1521-6942,1,NA
Cambridge University Press (CUP),Bilingualism: Language and Cognition,1366-7289,1,NA
Informa UK Limited,BioArchitecture,1949-0992,1,NA
Future Science, LTD,Bioanalysis,1757-6180,1,NA
Scitechnol Biosoft Pvt. Ltd.,Biochemistry & Molecular Biology Journal,2471-8084,1,NA
Springer Science + Business Media,Biodegradation,0923-9820,1,NA
Elsevier BV,Bioelectrochemistry,1567-5394,1,NA
Elsevier BV,Biotribology,2352-5738,1,NA
Cambridge University Press (CUP),Bird Conservation International,0959-2709,1,NA
Elsevier BV,Body Image,1740-1445,1,NA
Berghahn Books,Boyhood Studies,2375-9240,1,NA
Springer Nature,British Dental Journal,0007-0610,1,NA
Emerald,British Food Journal,0007-070X,1,NA
Wiley-Blackwell,British Journal of Educational Psychology,0007-0998,1,TRUE
Wiley-Blackwell,British Journal of Educational Technology,0007-1013,1,TRUE
Mark Allen Group,British Journal of Healthcare Management,1358-0574,1,NA
Mark Allen Group,British Journal of Hospital Medicine,1750-8460,1,NA
Wiley-Blackwell,British Journal of Mathematical and Statistical Psychology,0007-1102,1,TRUE
Informa UK Limited,British Journal of Middle Eastern Studies,1353-0194,1,NA
Cambridge University Press (CUP),British Journal of Music Education,0265-0517,1,NA
Wiley-Blackwell,British Journal of Special Education,0952-3383,1,TRUE
Informa UK Limited,British Poultry Science,0007-1668,1,NA
Oxford University Press (OUP),British Yearbook of International Law,0068-2691,1,NA
Alexandrine Press,Built Environment,0263-7960,1,NA
Wiley-Blackwell,Bulletin of Economic Research,0307-3378,1,TRUE
SAGE Publications,Bulletin of Science, Technology & Society,0270-4676,1,NA
Oxford University Press (OUP),Bulletin of the London Mathematical Society,0024-6093,1,NA
Seismological Society of America (SSA),Bulletin of the Seismological Society of America,0037-1106,1,NA
Cambridge University Press (CUP),Business History Review,0007-6805,1,NA
Ovid Technologies (Wolters Kluwer Health),CIN: Computers, Informatics, Nursing,1538-2931,1,NA
Cambridge University Press (CUP),CNS Spectrums,1092-8529,1,NA
Informa UK Limited,Cambridge Review of International Affairs,0955-7571,1,NA
Informa UK Limited,Canadian Journal of African Studies / Revue canadienne des études africaines,0008-3968,1,NA
Informa UK Limited,Canadian Journal of Development Studies/Revue canadienne d'études du développement,0225-5189,1,NA
Canadian Science Publishing,Canadian Journal of Fisheries and Aquatic Sciences,0706-652X,1,NA
Elsevier BV,Canadian Journal of Ophthalmology,0008-4182,1,NA
Cambridge University Press (CUP),Canadian Journal of Political Science,0008-4239,1,NA
Informa UK Limited,Canadian Journal of Science, Mathematics and Technology Education,1492-6156,1,NA
Informa UK Limited,Canadian Slavonic Papers,0008-5006,1,NA
Informa UK Limited,Cancer Biology & Therapy,1538-4047,1,NA
International Institute of Anticancer Research,Cancer Genomics & Proteomics,1790-6245,1,NA
Ovid Technologies (Wolters Kluwer Health),Cancer Nursing,0162-220X,1,NA
Mary Ann Liebert Inc,Cannabis and Cannabinoid Research,2378-8763,1,NA
Elsevier BV,Carbohydrate Polymers,0144-8617,1,NA
Informa UK Limited,Caucasus Survey,2376-1199,1,NA
Wiley-Blackwell,Cell Biology International,1065-6995,1,TRUE
Informa UK Limited,Changing English,1358-684X,1,NA
Elsevier BV,Chemical Engineering and Processing: Process Intensification,0255-2701,1,NA
Oxford University Press (OUP),Chemical Senses,0379-864X,1,NA
Wiley-Blackwell,Chemical Vapor Deposition,0948-1907,1,TRUE
Wiley-Blackwell,Chemie Ingenieur Technik,0009-286X,1,TRUE
S. Karger AG,Chemotherapy,0009-3157,1,NA
Informa UK Limited,Child Neuropsychology,0929-7049,1,NA
Wiley-Blackwell,China & World Economy,1671-2234,1,TRUE
Oxford University Press (OUP),Chinese Journal of International Law,1540-1650,1,NA
Ovid Technologies (Wolters Kluwer Health),Circulation: Cardiovascular Interventions,1941-7640,1,NA
Ovid Technologies (Wolters Kluwer Health),Circulation: Cardiovascular Quality and Outcomes,1941-7713,1,NA
Ubiquity Press, Ltd.,Citizen Science: Theory and Practice,2057-4991,1,NA
Informa UK Limited,Citizenship Studies,1362-1025,1,NA
Informa UK Limited,Civil Wars,1369-8249,1,NA
Oxford University Press (OUP),Classical Receptions Journal,1759-5134,1,NA
Mineralogical Society,Clay Minerals,0009-8558,1,NA
Informa UK Limited,Climacteric,1369-7137,1,NA
Wiley-Blackwell,Clinical & Experimental Ophthalmology,1442-6404,1,TRUE
American Association for Clinical Chemistry (AACC),Clinical Chemistry,0009-9147,1,NA
Informa UK Limited,Clinical Gerontologist,0731-7115,1,NA
IOS Press,Clinical Hemorheology and Microcirculation,1386-0291,1,NA
Informa UK Limited,Clinical Linguistics & Phonetics,0269-9206,1,NA
Elsevier BV,Clinical Lung Cancer,1525-7304,1,NA
Wiley-Blackwell,Clinical Obesity,1758-8103,1,TRUE
Ovid Technologies (Wolters Kluwer Health),Clinical Orthopaedics and Related Research,0009-921X,1,NA
Wiley-Blackwell,Clinical Transplantation,0902-0063,1,TRUE
SAGE Publications,Clinical and Applied Thrombosis/Hemostasis,1076-0296,1,NA
Informa UK Limited,Coastal Engineering Journal,2166-4250,1,NA
Elsevier BV,Cognitive Systems Research,1389-0417,1,NA
Informa UK Limited,Comedy Studies,2040-610X,1,NA
SAGE Publications,Communication & Sport,2167-4795,1,NA
Springer Nature,Communications Chemistry,2399-3669,1,NA
Springer Nature,Communications Physics,2399-3650,1,NA
World Scientific Pub Co Pte Lt,Communications in Contemporary Mathematics,0219-1997,1,NA
Informa UK Limited,Communications in Statistics - Theory and Methods,0361-0926,1,NA
Elsevier BV,Communist and Post-Communist Studies,0967-067X,1,NA
Oxford University Press (OUP),Community Development Journal,0010-3802,1,NA
Informa UK Limited,Community, Work & Family,1366-8803,1,NA
SAGE Publications,Competition & Change,1024-5294,1,NA
Wiley-Blackwell,Computer Animation and Virtual Worlds,1546-4261,1,TRUE
Informa UK Limited,Computer Methods in Biomechanics and Biomedical Engineering,1025-5842,1,NA
Informa UK Limited,Computer Science Education,0899-3408,1,NA
Elsevier BV,Computers & Education,0360-1315,1,NA
Elsevier BV,Computers & Industrial Engineering,0360-8352,1,NA
Wiley-Blackwell,Concurrency and Computation: Practice and Experience,1532-0626,1,TRUE
Informa UK Limited,Conservation and Management of Archaeological Sites,1350-5033,1,NA
Liverpool University Press,Contemporary French Civilization,0147-9156,1,NA
Brill,Contemporary Pragmatism,1572-3429,1,NA
Informa UK Limited,Contemporary South Asia,0958-4935,1,NA
Cambridge University Press (CUP),Continuity and Change,0268-4160,1,NA
Elsevier BV,Control Engineering Practice,0967-0661,1,NA
Wiley-Blackwell,Corporate Governance: An International Review,0964-8410,1,TRUE
Wiley-Blackwell,Corporate Social Responsibility and Environmental Management,1535-3958,1,TRUE
Informa UK Limited,Corrosion Engineering, Science and Technology,1478-422X,1,NA
SAGE Publications,Crime & Delinquency,0011-1287,1,NA
Nature Publishing Group,Crime Prevention and Community Safety,1460-3780,1,NA
Informa UK Limited,Criminal Justice Ethics,0731-129X,1,NA
SAGE Publications,Criminology & Criminal Justice,1748-8958,1,NA
Wiley-Blackwell,Criminology & Public Policy,1538-6473,1,TRUE
Informa UK Limited,Critical African Studies,2168-1392,1,NA
Informa UK Limited,Critical Discourse Studies,1740-5904,1,NA
Informa UK Limited,Critical Review,0891-3811,1,NA
Elsevier BV,Critical Reviews in Oncology/Hematology,1040-8428,1,NA
SAGE Publications,Critical Sociology,0896-9205,1,NA
Informa UK Limited,Critical Studies on Terrorism,1753-9153,1,NA
Crop Science Society of America,Crop Science,0011-183X,1,NA
SAGE Publications,Cultural Studies ? Critical Methodologies,1532-7086,1,NA
Informa UK Limited,Cultural and Social History,1478-0038,1,NA
Informa UK Limited,Culture and Religion,1475-5610,1,NA
Wiley-Blackwell,Culture, Agriculture, Food and Environment,2153-9553,1,TRUE
Informa UK Limited,Culture, Health & Sexuality,1369-1058,1,NA
Springer Science + Business Media,Current Bladder Dysfunction Reports,1931-7212,1,NA
SAGE Publications,Current Directions in Psychological Science,0963-7214,1,NA
Elsevier BV,Current Opinion in Chemical Engineering,2211-3398,1,NA
Ovid Technologies (Wolters Kluwer Health),Current Opinion in Clinical Nutrition and Metabolic Care,1363-1950,1,NA
Elsevier BV,Current Opinion in Food Science,2214-7993,1,NA
Ovid Technologies (Wolters Kluwer Health),Current Opinion in Organ Transplantation,1087-2418,1,NA
Ovid Technologies (Wolters Kluwer Health),Current Opinion in Pediatrics,1040-8703,1,NA
Elsevier BV,Current Opinion in Psychology,2352-250X,1,NA
Elsevier BV,Current Opinion in Solid State and Materials Science,1359-0286,1,NA
Ovid Technologies (Wolters Kluwer Health),Current Opinion in Supportive and Palliative Care,1751-4258,1,NA
Elsevier BV,Current Opinion in Toxicology,2468-2020,1,NA
Bentham Science Publishers Ltd.,Current Pediatric Reviews,1573-3963,1,NA
Bentham Science Publishers Ltd.,Current Pharmaceutical Design,1381-6128,1,NA
Springer Science + Business Media,Current Respiratory Care Reports,2161-332X,1,NA
Juniper Publishers,Current Trends in Fashion Technology & Textile Engineering,2577-2929,1,NA
Mary Ann Liebert Inc,Cyberpsychology, Behavior, and Social Networking,2152-2715,1,NA
Informa UK Limited,Death Studies,0748-1187,1,NA
Wiley-Blackwell,Decision Sciences,0011-7315,1,TRUE
Japanese Society for Dental Materials and Devices,Dental Materials Journal,0287-4547,1,NA
MIT Press - Journals,Design Issues,0747-9360,1,NA
Wiley-Blackwell,Design Management Journal,1942-5074,1,TRUE
Elsevier BV,Design Studies,0142-694X,1,NA
Elsevier BV,Development Engineering,2352-7285,1,NA
Wiley-Blackwell,Development Policy Review,0950-6764,1,NA
Informa UK Limited,Development Southern Africa,0376-835X,1,NA
Wiley-Blackwell,Developmental Psychobiology,0012-1630,1,NA
Informa UK Limited,Deviant Behavior,0163-9625,1,NA
Elsevier BV,Diabetes & Metabolism,1262-3636,1,NA
SAGE Publications,Diabetes and Vascular Disease Research,1479-1641,1,NA
Wiley-Blackwell,Diagnostic Cytopathology,8755-1039,1,NA
Wiley-Blackwell,Dialectica,0012-2017,1,NA
S. Karger AG,Digestive Diseases,0257-2753,1,NA
Elsevier BV,Digital Investigation,1742-2876,1,NA
Informa UK Limited,Disability and Rehabilitation: Assistive Technology,1748-3107,1,NA
Emerald,Disaster Prevention and Management: An International Journal,0965-3562,1,NA
SAGE Publications,Discourse & Society,0957-9265,1,NA
Elsevier BV,Discourse, Context & Media,2211-6958,1,NA
Elsevier BV,Discrete Optimization,1572-5286,1,NA
American Institute of Mathematical Sciences (AIMS),Discrete and Continuous Dynamical Systems,1078-0947,1,NA
Informa UK Limited,Distinktion: Scandinavian Journal of Social Theory,1600-910X,1,NA
Wiley-Blackwell,Drug Development Research,0272-4391,1,NA
American Society for Pharmacology & Experimental Therapeutics (ASPET),Drug Metabolism and Disposition,1521-009X,1,NA
Informa UK Limited,Drugs: Education, Prevention and Policy,0968-7637,1,NA
Elsevier BV,Dyes and Pigments,0143-7208,1,NA
Elsevier BV,Dynamics of Atmospheres and Oceans,0377-0265,1,NA
EDP Sciences,ESAIM: Control, Optimisation and Calculus of Variations,1292-8119,1,NA
Ovid Technologies (Wolters Kluwer Health),Ear and Hearing,0196-0202,1,NA
Elsevier BV,Early Childhood Research Quarterly,0885-2006,1,NA
American Meteorological Society,Earth Interactions,1087-3562,1,NA
Springer Nature,East Asia,1096-6838,1,NA
Informa UK Limited,East European Politics,2159-9165,1,NA
SAGE Publications,East European Politics and Societies,0888-3254,1,NA
Informa UK Limited,Eastern African Literary and Cultural Studies,2327-7408,1,NA
Informa UK Limited,Eating Disorders,1064-0266,1,NA
Wiley-Blackwell,Ecography,0906-7590,1,NA
Elsevier BV,Ecological Informatics,1574-9541,1,NA
Wiley-Blackwell,Ecology,0012-9658,1,NA
Informa UK Limited,Econometric Reviews,0747-4938,1,NA
Wiley-Blackwell,Economic Geography,0013-0095,1,NA
Society of Economic Geologists,Economic Geology,0361-0128,1,NA
SAGE Publications,Economic and Industrial Democracy,0143-831X,1,NA
Elsevier BV,Economics of Transportation,2212-0122,1,NA
Informa UK Limited,Education 3-13,0300-4279,1,NA
Informa UK Limited,Education for Primary Care,1473-9879,1,NA
SAGE Publications,Educational Management Administration & Leadership,1741-1432,1,NA
Informa UK Limited,Educational Psychology,0144-3410,1,NA
Elsevier BV,Educational Research Review,1747-938X,1,NA
Informa UK Limited,Electric Power Components and Systems,1532-5008,1,NA
Informa UK Limited,Emotional and Behavioural Difficulties,1363-2752,1,NA
Wiley-Blackwell,Endocrinology, Diabetes & Metabolism,2398-9238,1,NA
Elsevier BV,Energy Storage Materials,2405-8297,1,NA
Elsevier BV,Energy Strategy Reviews,2211-467X,1,NA
Elsevier BV,Engineering Applications of Artificial Intelligence,0952-1976,1,NA
Informa UK Limited,Engineering Studies,1937-8629,1,NA
Informa UK Limited,English Studies,0013-838X,1,NA
Elsevier BV,Entertainment Computing,1875-9521,1,NA
Informa UK Limited,Entrepreneurship & Regional Development,0898-5626,1,NA
SAGE Publications,Environment and Planning C: Politics and Space,2399-6544,1,NA
Informa UK Limited,Environment: Science and Policy for Sustainable Development,0013-9157,1,NA
Informa UK Limited,Environmental Communication,1752-4032,1,NA
Elsevier BV,Environmental Development,2211-4645,1,NA
Informa UK Limited,Environmental Forensics,1527-5922,1,NA
Thomas Telford Ltd.,Environmental Geotechnics,2051-803X,1,NA
Informa UK Limited,Environmental Hazards,1747-7891,1,NA
Wiley-Blackwell,Environmental Policy and Governance,1756-932X,1,NA
Cambridge University Press (CUP),Ergodic Theory and Dynamical Systems,0143-3857,1,NA
Informa UK Limited,Ergonomics,0014-0139,1,NA
Oxford University Press (OUP),Essays in Criticism,0014-0856,1,NA
Informa UK Limited,Estudios de Psicología,0210-9395,1,NA
SAGE Publications,Ethnography,1466-1381,1,NA
Informa UK Limited,Ethnomusicology Forum,1741-1912,1,NA
Informa UK Limited,Eurasian Geography and Economics,1538-7216,1,NA
Informa UK Limited,European Education,1056-4934,1,NA
Wiley-Blackwell,European Financial Management,1354-7798,1,NA
SAGE Publications,European Journal of Communication,0267-3231,1,NA
SAGE Publications,European Journal of Cultural Studies,1367-5494,1,NA
Wiley-Blackwell,European Journal of Dental Education,1396-5883,1,NA
Wiley-Blackwell,European Journal of Education,0141-8211,1,NA
Ovid Technologies (Wolters Kluwer Health),European Journal of Gastroenterology & Hepatology,0954-691X,1,NA
Wiley-Blackwell,European Journal of Haematology,0902-4441,1,NA
Springer Nature,European Journal of Hybrid Imaging,2510-3636,1,NA
SAGE Publications,European Journal of Industrial Relations,0959-6801,1,NA
Informa UK Limited,European Journal of Information Systems,0960-085X,1,NA
Cambridge University Press (CUP),European Journal of International Security,2057-5637,1,NA
Liverpool University Press,European Journal of Language Policy,1757-6822,1,NA
SAGE Publications,European Journal of Mass Spectrometry,1469-0667,1,NA
Elsevier BV,European Journal of Mechanics - A/Solids,0997-7538,1,NA
Ubiquity Press, Ltd.,European Journal of Molecular & Clinical Medicine,2515-8260,1,NA
Wiley-Blackwell,European Journal of Philosophy,0966-8373,1,NA
Wiley-Blackwell,European Journal of Political Research Political Data Yearbook,2047-8844,1,NA
Wiley-Blackwell,European Journal of Social Psychology,0046-2772,1,NA
Elsevier BV,European Journal of Surgical Oncology (EJSO),0748-7983,1,NA
Wiley-Blackwell,European Management Review,1740-4754,1,NA
Hogrefe Publishing Group,European Psychologist,1016-9040,1,NA
Informa UK Limited,European Security,0966-2839,1,NA
SAGE Publications,European Urban and Regional Studies,0969-7764,1,NA
Elsevier BV,Evaluation and Program Planning,0149-7189,1,NA
Wiley-Blackwell,Evolution Letters,2056-3744,1,NA
American Psychological Association (APA),Experimental and Clinical Psychopharmacology,1936-2293,1,NA
Informa UK Limited,Expert Review of Hematology,1747-4086,1,NA
Informa UK Limited,Expert Review of Proteomics,1478-9450,1,NA
Informa UK Limited,Fatigue: Biomedicine, Health & Behavior,2164-1846,1,NA
SAGE Publications,Feminist Theory,1464-7001,1,NA
SAGE Publications,Field Methods,1525-822X,1,NA
Elsevier BV,Finance Research Letters,1544-6123,1,NA
Wiley-Blackwell,Financial Markets, Institutions & Instruments,0963-8008,1,NA
Elsevier BV,Finite Fields and Their Applications,1071-5797,1,NA
Wiley-Blackwell,Fiscal Studies,0143-5671,1,NA
Elsevier BV,Fisheries Research,0165-7836,1,NA
Elsevier BV,Flow Measurement and Instrumentation,0955-5986,1,NA
S. Karger AG,Folia Phoniatrica et Logopaedica,1021-7762,1,NA
S. Karger AG,Folia Primatologica,0015-5713,1,NA
Royal Society of Chemistry (RSC),Food & Function,2042-6496,1,NA
Elsevier BV,Food Microbiology,0740-0020,1,NA
Elsevier BV,Food Policy,0306-9192,1,NA
Elsevier BV,Food Structure,2213-3291,1,NA
Informa UK Limited,Footwear Science,1942-4280,1,NA
Elsevier BV,Forest Policy and Economics,1389-9341,1,NA
Informa UK Limited,Forum for Development Studies,0803-9410,1,NA
Berghahn Books,French Politics, Culture & Society,1537-6370,1,NA
Wiley-Blackwell,Frontiers in Ecology and the Environment,1540-9295,1,NA
Elsevier BV,Fungal Ecology,1754-5048,1,NA
Informa UK Limited,Fusion Science and Technology,1536-1055,1,NA
Future Medicine Ltd,Future Neurology,1479-6708,1,NA
Society of Exploration Geophysicists,GEOPHYSICS,0016-8033,1,NA
Wiley-Blackwell,Gender & History,0953-5233,1,NA
SAGE Publications,Gender and the Genome,2470-2897,1,NA
Elsevier BV,General Hospital Psychiatry,0163-8343,1,NA
Springer Nature,Genes & Immunity,1466-4879,1,NA
Elsevier BV,Geoderma Regional,2352-0094,1,NA
Informa UK Limited,Geodinamica Acta,0985-3111,1,NA
Informa UK Limited,Geografiska Annaler: Series B, Human Geography,0435-3684,1,NA
Wiley-Blackwell,Geographical Analysis,0016-7363,1,NA
Cambridge University Press (CUP),Geological Magazine,0016-7568,1,NA
Wiley-Blackwell,Geology Today,0266-6979,1,NA
Elsevier BV,Geomechanics for Energy and the Environment,2352-3808,1,NA
Elsevier BV,Geothermics,0375-6505,1,NA
Elsevier BV,Global Food Security,2211-9124,1,NA
Wiley-Blackwell,Global Networks,1470-2266,1,NA
Brill Academic Publishers,Global Responsibility to Protect,1875-9858,1,NA
Informa UK Limited,Globalisation, Societies and Education,1476-7724,1,NA
Elsevier BV,Gondwana Research,1342-937X,1,NA
Wiley-Blackwell,Greenhouse Gases: Science and Technology,2152-3878,1,NA
SAGE Publications,HERD: Health Environments Research & Design Journal,1937-5867,1,NA
Walter de Gruyter GmbH,HUMOR,0933-1719,1,NA
Wiley-Blackwell,Headache: The Journal of Head and Face Pain,0017-8748,1,NA
SAGE Publications,Health Education & Behavior,1090-1981,1,NA
SAGE Publications,Health Informatics Journal,1460-4582,1,NA
Wiley-Blackwell,Health Information & Libraries Journal,1471-1834,1,NA
Informa UK Limited,Health Systems,2047-6965,1,NA
Informa UK Limited,Health, Risk & Society,1369-8575,1,NA
Wiley-Blackwell,Hemodialysis International,1492-7535,1,NA
Informa UK Limited,Heritage & Society,2159-032X,1,NA
Mary Ann Liebert Inc,High Altitude Medicine & Biology,1527-0297,1,NA
Elsevier BV,Historia Mathematica,0315-0860,1,NA
Informa UK Limited,Historical Biology,0891-2963,1,NA
Informa UK Limited,History and Technology,0734-1512,1,NA
Informa UK Limited,History of Education,0046-760X,1,NA
Informa UK Limited,History of Photography,0308-7298,1,NA
American Psychological Association (APA),History of Psychology,1939-0610,1,NA
Informa UK Limited,Housing Policy Debate,1051-1482,1,NA
SAGE Publications,Human Factors: The Journal of the Human Factors and Ergonomics Society,0018-7208,1,NA
Mary Ann Liebert Inc,Human Gene Therapy Methods,1946-6536,1,NA
Elsevier BV,Human Immunology,0198-8859,1,NA
Elsevier BV,Human Movement Science,0167-9457,1,NA
Wiley-Blackwell,Human Psychopharmacology: Clinical and Experimental,0885-6222,1,NA
Liverpool University Press,Hunter Gatherer Research,1476-4261,1,NA
IWA Publishing,Hydrology Research,0029-1277,1,NA
Elsevier BV,Hydrometallurgy,0304-386X,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Journal of Oceanic Engineering,0364-9059,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Journal of Quantum Electronics,0018-9197,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Microwave and Wireless Components Letters,1531-1309,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Power and Energy Technology Systems Journal,2332-7707,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Reviews in Biomedical Engineering,1937-3333,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Robotics and Automation Letters,2377-3766,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Applied Superconductivity,1051-8223,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Cognitive Communications and Networking,2332-7731,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Control of Network Systems,2325-5870,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Dielectrics and Electrical Insulation,1070-9878,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Engineering Management,0018-9391,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Radiation and Plasma Medical Sciences,2469-7311,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE Transactions on Signal and Information Processing over Networks,2373-776X,1,NA
Institute of Electrical & Electronics Engineers (IEEE),IEEE/ACM Transactions on Networking,1063-6692,1,NA
Institution of Engineering and Technology (IET),IET Circuits, Devices & Systems,1751-858X,1,NA
Institution of Engineering and Technology (IET),IET Control Theory & Applications,1751-8644,1,NA
Institution of Engineering and Technology (IET),IET Electrical Systems in Transportation,2042-9738,1,NA
Institution of Engineering and Technology (IET),IET Intelligent Transport Systems,1751-956X,1,NA
Institution of Engineering and Technology (IET),IET Signal Processing,1751-9675,1,NA
Institution of Engineering and Technology (IET),IET Wireless Sensor Systems,2043-6386,1,NA
SAGE Publications,IFLA Journal,0340-0352,1,NA
Oxford University Press (OUP),IMA Journal of Numerical Analysis,0272-4979,1,NA
Elsevier BV,ISA Transactions,0019-0578,1,NA
Informa UK Limited,Identity,1528-3488,1,NA
SAGE Publications,Illness, Crisis & Loss,1054-1373,1,NA
Oxford University Press (OUP),Ima Journal Of Numerical Analysis,0272-4979,1,NA
Elsevier BV,Image and Vision Computing,0262-8856,1,NA
Informa UK Limited,Immigrants & Minorities,0261-9288,1,NA
The American Association of Immunologists,ImmunoHorizons,2573-7732,1,NA
Informa UK Limited,Impact Assessment and Project Appraisal,1461-5517,1,NA
Informa UK Limited,India Review,1473-6489,1,NA
Informa UK Limited,Industrial Archaeology Review,0309-0728,1,NA
Oxford University Press (OUP),Industrial Law Journal,0305-9332,1,NA
Informa UK Limited,Informatics for Health and Social Care,1753-8157,1,NA
SAGE Publications,Information Development,0266-6669,1,NA
Emerald,Information Technology & People,0959-3845,1,NA
Elsevier BV,Information and Organization,1471-7727,1,NA
Elsevier BV,Information and Software Technology,0950-5849,1,NA
Elsevier BV,Infrared Physics & Technology,1350-4495,1,NA
Thomas Telford Ltd.,Infrastructure Asset Management,2053-0242,1,NA
Informa UK Limited,Innovation and Development,2157-930X,1,NA
Informa UK Limited,Intelligent Buildings International,1750-8975,1,NA
Springer Nature,Interchange,0826-4805,1,NA
Informa UK Limited,Interdisciplinary Science Reviews,0308-0188,1,NA
Oxford University Press (OUP),International Affairs,0020-5850,1,NA
Ovid Technologies (Wolters Kluwer Health),International Clinical Psychopharmacology,0268-1315,1,NA
Brill Academic Publishers,International Criminal Law Review,1567-536X,1,NA
Oxford University Press (OUP),International Data Privacy Law,2044-3994,1,NA
Liverpool University Press,International Development Planning Review,1474-6743,1,NA
Informa UK Limited,International Geology Review,0020-6814,1,NA
Informa UK Limited,International Interactions,0305-0629,1,NA
Hogrefe Publishing Group,International Journal for Vitamin and Nutrition Research,0300-9831,1,NA
Wiley-Blackwell,International Journal of Applied Ceramic Technology,1546-542X,1,NA
Wiley-Blackwell,International Journal of Applied Glass Science,2041-1286,1,NA
World Scientific Pub Co Pte Lt,International Journal of Applied Mechanics,1758-8251,1,NA
Wiley-Blackwell,International Journal of Art & Design Education,1476-8062,1,NA
Whioce Publishing Pte Ltd,International Journal of Bioprinting,2424-8002,1,NA
Elsevier BV,International Journal of Child-Computer Interaction,2212-8689,1,NA
Wiley-Blackwell,International Journal of Circuit Theory and Applications,0098-9886,1,NA
SAGE Publications,International Journal of Comparative Sociology,0020-7152,1,NA
Inderscience Publishers,International Journal of Complexity in Applied Science and Technology,1740-0546,1,NA
Informa UK Limited,International Journal of Computational Fluid Dynamics,1061-8562,1,NA
Informa UK Limited,International Journal of Computer Mathematics,0020-7160,1,NA
Informa UK Limited,International Journal of Control,0020-7179,1,NA
Wiley-Blackwell,International Journal of Cosmetic Science,0142-5463,1,NA
SAGE Publications,International Journal of Cultural Studies,1367-8779,1,NA
SAGE Publications,International Journal of Damage Mechanics,1056-7895,1,NA
Elsevier BV,International Journal of Developmental Neuroscience,0736-5748,1,NA
Informa UK Limited,International Journal of Electronic Commerce,1086-4415,1,NA
Informa UK Limited,International Journal of Environmental Analytical Chemistry,0306-7319,1,NA
Avestia Publishing,International Journal of Environmental Pollution and Remediation,1929-2732,1,NA
Wiley-Blackwell,International Journal of Food Science & Technology,0950-5423,1,NA
Informa UK Limited,International Journal of Food Sciences and Nutrition,0963-7486,1,NA
Inderscience Publishers,International Journal of Happiness and Development,2049-2790,1,NA
Informa UK Limited,International Journal of Housing Policy,1949-1247,1,NA
Inderscience Publishers,International Journal of Human Factors Modelling and Simulation,1742-5549,1,NA
Emerald,International Journal of Human Rights in Healthcare,2056-4902,1,NA
Informa UK Limited,International Journal of Inclusive Education,1360-3116,1,NA
Elsevier BV,International Journal of Industrial Ergonomics,0169-8141,1,NA
Elsevier BV,International Journal of Information Management,0268-4012,1,NA
Elsevier BV,International Journal of Law, Crime and Justice,1756-0616,1,NA
World Scientific Pub Co Pte Lt,International Journal of Mathematics,0129-167X,1,NA
IGI Global,International Journal of Mobile Human Computer Interaction,1942-390X,1,NA
World Scientific Pub Co Pte Lt,International Journal of Modern Physics B,0217-9792,1,NA
Springer Nature,International Journal of Multimedia Information Retrieval,2192-6611,1,NA
Elsevier BV,International Journal of Non-Linear Mechanics,0020-7462,1,NA
World Scientific Pub Co Pte Lt,International Journal of Number Theory,1793-0421,1,NA
Elsevier BV,International Journal of Nursing Studies,0020-7489,1,NA
Emerald,International Journal of Operations & Production Management,0144-3577,1,NA
Wiley-Blackwell,International Journal of Osteoarchaeology,1047-482X,1,NA
Wiley-Blackwell,International Journal of Paediatric Dentistry,0960-7439,1,NA
Elsevier BV,International Journal of Pediatric Otorhinolaryngology,0165-5876,1,NA
