"Institution";Publisher;APC price;Currency;DOI;Payment year;
"University of Helsinki";MDPI;1113.9;EUR;10.3390/microorganisms9020320;2021;
"University of Helsinki";MDPI;2000.37;EUR;10.3390/rs13040598;2021;
"University of Helsinki";MDPI;1295.94;EUR;10.3390/genes12020318;2021;
"University of Helsinki";MDPI;1407.02;EUR;10.3390/biology10020167;2021;
"University of Helsinki";MDPI;829.42;EUR;10.3390/ijgi10020103;2021;
"University of Helsinki";MDPI;1658.83;EUR;10.3390/ijms22052517;2021;
"University of Helsinki";MDPI;1907.96;EUR;10.3390/ijerph18052524;2021;
"University of Helsinki";MDPI;1556.53;EUR;10.3390/su13052948;2021;
"University of Helsinki";MDPI;1802.29;EUR;10.3390/cancers13051170;2021;
"University of Helsinki";MDPI;813.3;EUR;10.3390/f12030324;2021;
"University of Helsinki";MDPI;1789.26;EUR;10.3390/v13030483;2021;
"University of Helsinki";MDPI;1457.5;EUR;10.3390/ani11030865;2021;
"University of Helsinki";MDPI;1352.08;EUR;10.3390/nano11030796;2021;
"University of Helsinki";MDPI;1460.25;EUR;10.3390/ani11030874;2021;
"University of Helsinki";MDPI;1460.25;EUR;10.3390/agronomy11030592;2021;
"University of Helsinki";MDPI;1460.25;EUR;10.3390/jof7030234;2021;
"University of Helsinki";MDPI;1536.24;EUR;10.3390/pharmaceutics13040481;2021;
"University of Helsinki";MDPI;1626.6;EUR;10.3390/biom11030478;2021;
"University of Helsinki";MDPI;1789.26;EUR;10.3390/cancers13071530;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/microorganisms9040750;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/diagnostics11040662;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/nano11041010;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/diagnostics11040711;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/jcm10081751;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/children8040312;2021;
"University of Helsinki";MDPI;1947.7;EUR;10.3390/rs13081599;2021;
"University of Helsinki";MDPI;901.71;EUR;10.3390/cells10050978;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/v13050750;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/w13091261;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/cells10051085;2021;
"University of Helsinki";MDPI;973.85;EUR;10.3390/jrfm14050202;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/dj9050052;2021;
"University of Helsinki";MDPI;1442.74;EUR;10.3390/genes12050714;2021;
"University of Helsinki";MDPI;991.88;EUR;10.3390/jcm10092000;2021;
"University of Helsinki";MDPI;946.8;EUR;10.3390/educsci11050240;2021;
"University of Helsinki";MDPI;811.54;EUR;10.3390/philosophies6020041;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph18126428;2021;
"University of Helsinki";MDPI;1947.7;EUR;10.3390/rs13102010;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/antiox10060850;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/jcm10122705;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/pathogens10060666;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/educsci11060272;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/ijms22126630;2021;
"University of Helsinki";MDPI;1808.44;EUR;10.3390/cancers13122907;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/children8060510;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13112811;2021;
"University of Helsinki";MDPI;1442.74;EUR;10.3390/microorganisms9061226;2021;
"University of Helsinki";MDPI;1476.89;EUR;10.3390/ph14060544;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13133124;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph18136814;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/f12070835;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13133235;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/molecules26133941;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/foods10071517;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph18137064;2021;
"University of Helsinki";MDPI;1623.08;EUR;10.3390/vaccines9070728;2021;
"University of Helsinki";MDPI;1866.55;EUR;10.3390/ijerph18137160;2021;
"University of Helsinki";MDPI;1136.13;EUR;10.3390/environments8070064;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13143408;2021;
"University of Helsinki";MDPI;1947.7;EUR;10.3390/md19070400;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/v13071396;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/agronomy11071425;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/pharmaceutics13071100;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/e23080943;2021;
"University of Helsinki";MDPI;1442.74;EUR;10.3390/microorganisms9081583;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/f12080999;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ph14080770;2021;
"University of Helsinki";MDPI;1298.47;EUR;10.3390/healthcare9081025;2021;
"University of Helsinki";MDPI;1172.23;EUR;10.3390/ph14080773;2021;
"University of Helsinki";MDPI;1785.39;EUR;10.3390/cancers13164049;2021;
"University of Helsinki";MDPI;1136.16;EUR;10.3390/dj9080096;2021;
"University of Helsinki";MDPI;1460.78;EUR;10.3390/ph14080814;2021;
