"PublicationID","Article Title","DOI","PMC ID","Publication Date","Article URL","Open Access Status","Copyright License","Type","Journal Title","Publisher","APC Amount","Other Payments","Entry Point","Publication Year"
"0CDCEE6D-AF30-4141-911D-A20BE237B8F0","Overexpression of Arabidopsis FLOWERING LOCUS T (FT) gene improves floral development in cassava (Manihot esculenta, Crantz)","10.1371/journal.pone.0181460","PMC5533431",7/28/2027,"http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0181460","gold","CC-BY","Journal article","PLOS ONE","Public Library of Science",1495,0,"APC Request",2027
"06AC437F-4196-416D-AEC7-5B79A297E863","Examining Security and Privacy Research in Developing Regions","10.1145/3209811.3209818","Pending Publisher Submission",6/20/2020,"https://dl.acm.org/citation.cfm?doid=3209811.3209818","hybrid","CC-BY","Journal article","ACM SIGCAS Conference on Computing and Sustainable Societies  (COMPASS)","Association for Computing Machinery",700,0,"APC Request",2020
"EE53D984-BB6B-47DD-8D0E-F7D3EB2A9365","Symptoms associated with influenza vaccination and experimental human pneumococcal colonisation of the nasopharynx","10.1016/j.vaccine.2020.01.070","Pending Publisher Submission",2/5/2020,"https://www.sciencedirect.com/science/article/pii/S0264410X20301122?via%3Dihub","hybrid","CC-BY","Journal article","Vaccine","Elsevier",0,0,"Post submission",2020
"0A6DC601-547E-46DC-8158-EB902137A18E","Holistic process development to mitigate proteolysis of a subunit rotavirus vaccine candidate produced in Pichia pastoris by means of an acid pH pulse during fed-batch fermentation","10.1002/btpr.2966","Pending Publisher Submission",2/3/2020,"https://aiche.onlinelibrary.wiley.com/doi/abs/10.1002/btpr.2966","hybrid","CC-BY",,"Biotechnology Progress","Wiley",3700,0,"Journal Finder",2020
"A3DBE693-82B9-49D6-AA55-C16AA27B438E","Cause-specific mortality of children younger than 5 years in communities receiving biannual mass azithromycin treatment in Niger: verbal autopsy results from a cluster-randomised controlled trial","10.1016/S2214-109X(19)30540-6","Pending Publisher Submission",2/1/2020,"https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(19)30540-6/fulltext","hybrid","CC-BY","Journal article","The Lancet Global Health","Elsevier",5000,0,"APC Request",2020
"96E2DAA0-3B46-4C39-9346-7A220C33351B","Science-based decision support for formulating crop fertilizer recommendations in sub-Saharan Africa","10.1016/j.agsy.2020.102790","Pending Publisher Submission",1/31/2020,"https://www.sciencedirect.com/science/article/pii/S0308521X19309540","hybrid","CC-BY","Journal article","Agricultural Systems","Elsevier",3900,0,"Post submission",2020
"F2E9B816-9E84-49BD-BCFA-BE456E6F5108","ERP markers are associated with neurodevelopmental outcomes in 1-5 month old infants in rural Africa and the UK","10.1016/j.neuroimage.2020.116591","Pending Publisher Submission",1/30/2020,"https://www.sciencedirect.com/science/article/pii/S1053811920300781","hybrid","CC-BY",,"NeuroImage","Elsevier",3250,0,"Journal Finder",2020
"D9D0E00B-8E31-46FB-8427-23EB64E05693","The K562 erythroleukemia line as a possible reticulocyte source to culture Plasmodium vivax and its surrogates","10.1016/j.exphem.2020.01.012","Pending Publisher Submission",1/30/2020,"https://www.sciencedirect.com/science/article/pii/S0301472X20300333","hybrid","CC-BY","Journal article","Experimental Hematology","Elsevier",2650,0,"Post submission",2020
"EEAD41F2-6060-448F-91B1-ACE9CF437F18","Patching a leak in the HIV care cascade: assessing linkage between HIV testing and care in Tanzania","10.3389/fpubh.2019.00406","Pending Publisher Submission",1/30/2020,"https://www.frontiersin.org/articles/10.3389/fpubh.2019.00406/abstract","gold","CC-BY","Journal article","Frontiers in Public Health","Frontiers Media",2490,0,"APC Request",2020
"0BDDADBE-E79E-4965-9DE3-DE3A59BBA63C","Optimisation of the internal structure of ceramic membranes for electricity production in urine-fed microbial fuel cells","10.1016/j.jpowsour.2020.227741","Pending Publisher Submission",1/30/2020,"https://www.sciencedirect.com/science/article/pii/S0378775320300446","hybrid","CC-BY","Journal article","Journal of Power Sources","Elsevier",3650,0,"Post submission",2020
"5B908D6F-ECF4-41AA-A4A3-378D40B22537","Formulation and preclinical studies with a trivalent rotavirus P2-VP8* subunit vaccine","10.1080/21645515.2019.1710412","Pending Publisher Submission",1/29/2020,"https://www.tandfonline.com/doi/full/10.1080/21645515.2019.1710412",,,"Journal article","Human Vaccines & Immunotherapeutics","Taylor & Francis",865,1320,"Post submission",2020
