PublicationID,Title,Publisher,Journal title,Currency,APC,Color Charg,Page Charge,Admin Fee,Supplementary Charge,Author Alterations,Figure Reshoots,Other,Amount paid,Date Payment Completed,Date Published
4E88EB8A-5134-4E6A-A20B-1E7EE9D2BBAA,Sweet potato seed exchange systems and knowledge on sweet potato viruses among local farmers in Acholi sub region-northern Uganda,Academic Journals,African Journal of Agricultural Research,USD,600,0,0,0,0,0,0,0,600,2018-09-26T11:37:00.000+02:00,
337B99C8-A3F7-49C7-87F0-E47F182709FB,IN SILICO PREDICTION AND SEGREGATION ANALYSIS OF PUTATIVE VIRUS DEFENSE GENES BASED ON SSR MARKERS IN SWEETPOTATO F1 PROGENIES OF CULTIVARS â€˜NEW KAWOGOâ€™ AND â€˜RESISTOâ€™,Academic Journals,African Journal of Biotechnology,USD,650,0,0,0,0,0,0,0,650,2019-03-27T03:05:00.000+01:00,2019-03-22T03:05:00.000+01:00
4ECF360C-8CB7-4D04-A4E2-097ED426D607,Evaluation of locally available nutrients for tissue culture mass production of Tanzanian cassava landraces,Academic Journals,African Journal of Biotechnology,USD,650,0,0,0,0,0,0,0,650,2018-05-18T14:28:35.830+02:00,
F7AAAB05-CE69-4288-B2E5-911468C3D2BD,Sensory quality of orange-fleshed sweetpotato cultivars as affected by curing and household-level storage methods,Academic Journals,African Journal of Food Sciences,USD,550,0,0,0,0,0,0,0,550,2016-10-01T23:00:00.000+02:00,2016-09-07T00:00:00.000+02:00
2DC7FFAC-B26F-4C23-A355-67E57B8DB930,Open Data Kit 2.0: A Services Based Application Framework for Disconnected Data Management,ACM MobiSys2016,MobiSys2017,USD,900,0,0,0,0,0,0,0,900,2017-07-03T23:00:00.000+02:00,2017-06-19T00:00:00.000+02:00
45CFF06B-9E36-4AF8-AD54-6734AA5C4546,A fully automated approach for baby cry signal segmentation and boundary detection of expiratory and inspiratory episodes,Acoustical Society of America,Journal of the Acoustical Society of America,USD,2200,0,160,0,0,0,0,0,2360,2017-10-09T23:00:00.000+02:00,2017-09-01T00:00:00.000+02:00
978B19E5-D3A5-4CDA-8783-751A46FDB263,Ghee-Making in the Cattle Corridor of Uganda,African Journals Online ,"African Journal of Food, Agriculture, Nutrition and Development",USD,300,0,0,0,0,0,0,0,300,2017-06-15T21:06:00.000+02:00,2017-03-01T00:00:00.000+01:00
73BC4E83-1157-4C3E-BE0D-23562203B095,Evaluation of the mycotoxin content in soybean grown in Rwanda by enzymelinked immunosorbent assay and by liquid chromasography-mass spectrometry,African Journals Online ,"African Journal of Food, Agriculture, Nutrition and Development",USD,300,0,0,0,0,0,0,0,300,2018-12-19T01:30:00.000+01:00,2018-12-01T01:24:00.000+01:00
06766FAC-9882-430A-A10D-F1B518202C7C,The Cost-Effectiveness of Visual Triage of Human Papillomavirus-Positive Women in Three Low- and Middle-Income Countries,American Association for Cancer Research,Cancer Epidemiology Biomarkers and Prevention,USD,3000,0,0,0,0,0,0,0,3000,2017-08-28T23:00:00.000+02:00,2017-07-14T00:00:00.000+02:00
54B7D0BC-5588-4839-BDB4-002D7103946D,Short-Term Stabilities of 21 Amino Acids in Dried Blood Spots,American Association for Clinical Chemistry,Clinical Chemistry,USD,3500,1500,0,0,0,0,0,0,5000,2018-04-20T03:10:00.000+02:00,2017-11-01T00:00:00.000+01:00
