"Publisher","Journal title","Currency","APC","Date Payment Completed","institution","period","euro","doi","is_hybrid"
"Academic Journals","African Journal of Agricultural Research","USD","600","2018-09-26T11:37:00.000+02:00","Bill & Melinda Gates Foundation","2018","511.2","10.5897/AJAR2018.13384",""
"Academic Journals","African Journal of Biotechnology","USD","650","2019-03-27T03:05:00.000+01:00","Bill & Melinda Gates Foundation","2019","577.21","10.5897/AJB2018.16724",""
"","","","","","","","","",""
"Academic Journals","African Journal of Food Sciences","USD","550","2016-10-01T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2016","489.5","10.5897/AJFS2016.1487",""
"ACM MobiSys2016","MobiSys2017","USD","900","2017-07-03T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","791.63","10.1145/3081333.3081365",""
"Acoustical Society of America","Journal of the Acoustical Society of America","USD","2200","2017-10-09T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","1872.98","10.1121/1.5001491",""
"African Journals Online ","African Journal of Food, Agriculture, Nutrition and Development","USD","300","2017-06-15T21:06:00.000+02:00","Bill & Melinda Gates Foundation","2017","268.67","10.18697/ajfand.77.16000",""
"African Journals Online ","African Journal of Food, Agriculture, Nutrition and Development","USD","300","2018-12-19T01:30:00.000+01:00","Bill & Melinda Gates Foundation","2018","263.04","10.18697/ajfand.83.17710",""
"American Association for Cancer Research","Cancer Epidemiology Biomarkers and Prevention","USD","3000","2017-08-28T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","2515.72","10.1158/1055-9965.EPI-16-0787",""
"American Association for Clinical Chemistry","Clinical Chemistry","USD","3500","2018-04-20T03:10:00.000+02:00","Bill & Melinda Gates Foundation","2018","2843.45","10.1373/clinchem.2017.278457",""
"American Association for the Advancement of Science","Science Advances","USD","5300","2018-08-07T10:32:00.000+02:00","Bill & Melinda Gates Foundation","2018","4568.18","10.1126/sciadv.aau8529",""
"American Association for the Advancement of Science","Science Advances","USD","4922","2017-11-21T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2017","4200.38","10.1126/sciadv.aao1551",""
"American Association for the Advancement of Science","Science Advances","USD","3692","2017-04-17T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","3456.28","10.1126/sciadv.1601964",""
"American Association for the Advancement of Science","Science Advances","USD","4500","2019-04-25T02:54:00.000+02:00","Bill & Melinda Gates Foundation","2019","4045.67","10.1126/sciadv.aax4899",""
"American Association of Immunologists","Journal of Immunology","USD","2500","2018-08-07T01:42:00.000+02:00","Bill & Melinda Gates Foundation","2018","2154.8","10.4049/jimmunol.1800323",""
"","","","","","","","","",""
"American Chemical Society","Accounts of Chemical Research","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acs.accounts.7b00445",""
"American Chemical Society","Accounts of Chemical Research","USD","3000","2017-08-25T00:18:22.427+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/acs.accounts.6b00631",""
"American Chemical Society","ACS Applied Energy Materials","USD","3000","2018-10-09T02:54:00.000+02:00","Bill & Melinda Gates Foundation","2018","2623.52","10.1021/acsaem.8b01360",""
"American Chemical Society","ACS applied materials & interfaces","USD","3000","2019-04-08T04:30:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acsami.8b21465",""
"American Chemical Society","ACS applied materials & interfaces","USD","3000","2017-08-25T00:11:31.070+02:00","Bill & Melinda Gates Foundation","2017","2540.65","10.1021/acsami.7b01462",""
"American Chemical Society","ACS applied materials & interfaces","USD","3000","2017-08-24T23:57:43.273+02:00","Bill & Melinda Gates Foundation","2017","2541.08","10.1021/acsami.7b01614",""
"American Chemical Society","ACS applied materials & interfaces","USD","3000","2017-05-18T23:00:00.000+02:00","Bill & Melinda Gates Foundation","2017","2695.66","10.1021/acsami.7b00575",""
"American Chemical Society","ACS Applied Nano Materials","USD","3000","2018-04-20T12:51:00.000+02:00","Bill & Melinda Gates Foundation","2018","2437.24","10.1021/acsanm.7b00025",""
"American Chemical Society","ACS Applied Nano Materials","USD","3000","2018-07-16T01:52:00.000+02:00","Bill & Melinda Gates Foundation","2018","2559.73","10.1021/acsanm.8b00234",""
"American Chemical Society","ACS Biomaterials Science & Engineering","USD","3000","2018-01-04T23:00:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acsbiomaterials.7b00794",""
"","","","","","","","","",""
"American Chemical Society","ACS Central Science","USD","1000","2017-08-25T00:20:50.980+02:00","Bill & Melinda Gates Foundation","2017","846.88","10.1021/acscentsci.7b00019",""
"American Chemical Society","ACS Central Science","USD","1000","2019-04-08T04:31:00.000+02:00","Bill & Melinda Gates Foundation","2019","889.21","10.1021/acscentsci.8b00588",""
"American Chemical Society","ACS chemical biology","USD","3000","2018-01-04T15:14:00.000+01:00","Bill & Melinda Gates Foundation","2018","2486.53","10.1021/acschembio.7b00797",""
"American Chemical Society","ACS Combinatorial Science","USD","3000","2019-04-08T04:30:00.000+02:00","Bill & Melinda Gates Foundation","2019","2667.62","10.1021/acscombsci.8b00116",""
