Institution,"Period (Fiscal Year 2021-2021, published date)",Full APC Cost in $,DOI,is_Hybrid
Thomas Jefferson University,9/20/2021,"1,872.50",http://doi.org/10.2196/27063,FALSE
Thomas Jefferson University,7/26/2021,"2,145.00",https://doi.org/10.1111/cts.13111,FALSE
Thomas Jefferson University,10/6/2021,"2,950.00",https://doi.org/10.3389/fnhum.2021.729677,FALSE
Thomas Jefferson University,8/12/2021,"3,000.00",https://doi.org/10.7554/eLife.70619 ,FALSE
Thomas Jefferson University,4/1/2019,"5,100.00",https://doi.org/10.1038/s41467-019-09397-2,FALSE
Thomas Jefferson University,9/9/2021,"2,170.00",https://doi.org/10.1186/s12909-021-02906-2,FALSE
Thomas Jefferson University,9/14/2021,"2,245.00",https://doi.org/10.1186/s12909-021-02925-z,FALSE
Thomas Jefferson University,7/1/2021,"2,350.00",https://doi.org/10.1371/journal.pntd.0009559,FALSE
Thomas Jefferson University,1/20/2022,690.00,https://doi.org/10.21037/mhealth-21-16,FALSE
Thomas Jefferson University,4/5/2022,"3,105.00",https://doi.org/10.1182/bloodadvances.2021005453,FALSE
Thomas Jefferson University,10/14/2021,"1,990.00",https://doi.org/10.1038/s41598-021-99292-y,FALSE
Thomas Jefferson University,10/1/2021,"1,000.00",Https://doi.org/10.1016/j.jseint.2021.09.006,FALSE
Thomas Jefferson University,10/1/2021,"1,765.00",https://doi.org/10.1093/noajnl/vdab153,FALSE
Thomas Jefferson University,11/21/2021,"2,950.00", https://doi.org/10.3389/fimmu.2021.667834,FALSE
Thomas Jefferson University,12/1/2021,"1,869.82",https://doi.org/10.3390/cancers13246195,FALSE
Thomas Jefferson University,1/1/2022,"1,850.00",https://doi.org/10.3389/fonc.2021.773397,FALSE
Thomas Jefferson University,1/18/2022,"1,000.00",https://doi.org/10.1177/23333936211073116.,FALSE
Thomas Jefferson University,12/21/2021,"2,939.00",https://doi.org/10.1093/molbev/msab369,FALSE
Thomas Jefferson University,2/4/2022,"1,125.00",https://doi.org/10.1177/20552076221076257,FALSE
Thomas Jefferson University,1/24/2022,"2,575.00", https://doi.org/10.1371/journal.ppat.1010255,FALSE
Thomas Jefferson University,2/19/2022,"1,540.00",https://doi.org/10.1080/15384047.2022.2030622,FALSE
Thomas Jefferson University,3/1/2022,"3,190.00",https://doi.org/10.1038/s41531-022-00289-9.,FALSE
Thomas Jefferson University,8/29/2021,"1,806.08",https://doi.org/10.3390/genes12091355,FALSE
Thomas Jefferson University,11/9/2021,"5,560.00",https://doi.org/10.1038/s41467-021-26810-x,FALSE
Thomas Jefferson University,7/23/2021,750.00,https://doi.org/10.1177/23247096211034036,FALSE
Thomas Jefferson University,9/7/2021,"2,195.00",https://doi.org/10.1097/GOX.0000000000003813,FALSE
Thomas Jefferson University,2/17/2022,900.00,https://doi.org/10.1016/j.case.2022.01.008,FALSE
Thomas Jefferson University,9/29/2021,"1,900.00",https://doi.org/10.1055/s-0041-1735904,FALSE
Thomas Jefferson University,1/3/2022,995.00,https://doi.org/10.12659/AJCR.934943,FALSE
Thomas Jefferson University,12/16/2021,"2,836.00",https://doi.org/10.2147/IDR.S339972,FALSE
Thomas Jefferson University,3/1/2022,900.00,https://doi.org/10.1302/2633-1462.33.BJO-2021-0202.R1,FALSE
Thomas Jefferson University,1/6/2022,"2,245.00",https://doi.org/10.1186/s12909-021-03058-z,FALSE
Thomas Jefferson University,5/16/2022,"1,355.00",https://journals.sagepub.com/doi/10.1177/23821205221077063,FALSE
Thomas Jefferson University,2/15/2022,"1,500.00",https://doi.org/10.1177/11795476221078532,FALSE
Thomas Jefferson University,2/3/2022,"1,350.00", https://doi.org/10.1111/anec.12935,FALSE
Thomas Jefferson University,2/21/2022,"1,200.00",https://doi.org/10.1080/23311908.2022.2038936,FALSE
Thomas Jefferson University,12/1/2021,300.00,"https://doi.org/10.5070/D3271256704",FALSE
Thomas Jefferson University,3/15/2022,"1,500.00",https://doi.org/10.1001/jamanetworkopen.2022.2423,FALSE
Thomas Jefferson University,9/29/2021,"2,000.00",https://doi.org/10.1016/j.adro.2021.100811,FALSE
Thomas Jefferson University,10/29/2021,"1,750.00",https://doi.org/10.1371/journal.pone.0259364,FALSE
Thomas Jefferson University,3/16/2022,"5,790.00",https://doi.org/10.1038/s41467-022-28801-y,FALSE
Thomas Jefferson University,2/24/2022,"1,355.00",https://doi.org/10.1177/23821205221080701,FALSE
Thomas Jefferson University,3/23/2022,"2,950.00",https://doi.org/10.3389/fneur.2022.849918,FALSE
Thomas Jefferson University,2/23/2022,"2,124.80",https://doi.org/10.3390/cells11050779,FALSE
Thomas Jefferson University,2/19/2022,"4,040.00",https://doi.org/10.1080/15384047.2022.2030622,FALSE
Thomas Jefferson University,4/7/2022,800.00,https://doi.org/10.1128/jmbe.00269-21,
Thomas Jefferson University,3/14/2022,"2,950.00",https://doi.org/10.3389/fonc.2022.842579,FALSE
Thomas Jefferson University,4/5/2022,"1,656.37",https://doi.org/10.1186/s13104-022-06015-1,FALSE
Thomas Jefferson University,3/19/2022,"2,565.00",https://doi.org/10.1186/s12890-022-01877-4.,FALSE
Thomas Jefferson University,7/15/2020,"1,950.00",https://journals.lww.com/md-journal/Fulltext/2022/07150/Echocardiographic_predictors_of_symptomatic.48.aspx   (doi not working),FALSE
Thomas Jefferson University,6/14/2022,900.00,https://doi.org/10.1177/23247096221103384,FALSE
Thomas Jefferson University,6/10/2022,"1,766.25",https://doi.org/10.3390/cancers14122872,FALSE
Thomas Jefferson University,7/4/2022,"2,490.00",https://doi.org/10.3389/fsurg.2022.908745,FALSE
