is_hybrid;institution;issn;journal_full_title;publisher;euro;period;DOI
FALSE;Universität Salzburg;2504-284X;Frontiers in Education;Frontiers;€ 2 269,40;2025;10.3389/feduc.2025.1677827
FALSE;Universität Salzburg;1660-4601;International Journal of Environmental Research and Public Health;MDPI;€ 2 263,06;2025;10.3390/ijerph22111681
FALSE;Universität Salzburg;2041-1723;Nature Communications;Springer;€ 7 068,00;2025;10.1038/s41467-025-63479-y
FALSE;Universität Salzburg;2297-7775;Frontiers in Sociology;Frontiers;€ 851,10;2025;10.3389/fsoc.2025.1601359
FALSE;Universität Salzburg;1438-8871;Journal of Medical Internet Research;JMIR;€ 3 708,11;2025;10.2196/75785
FALSE;Universität Salzburg;2673-995X;Youth;MDPI;€ 901,26;2025;10.3390/youth6010006
FALSE;Universität Salzburg;1664-1078;Frontiers in Psychology-Educational Psychology;Frontiers;€ 3 311,05;2025;10.3389/fpsyg.2025.1525850_Möller
FALSE;Universität Salzburg;1664-1078;Frontiers in Psychology;Frontiers;€ 2 967,67;2025;10.3389/fdgth.2025.1665457
FALSE;Universität Salzburg;2072-4292;Remote Sensing;MDPI;€ 2 770,44;2025;10.3390/rs17183194
FALSE;Universität Salzburg;1664-0640;Frontiers in Psychiatry;Frontiers;€ 3 665,95;2025;10.3389/fpsyt.2025.1669524
FALSE;Universität Salzburg;2297-900X;Frontiers in Communication - Health Communication;Frontiers;€ 836,55;2025;10.3389/fcomm.2025.1676277
FALSE;Universität Salzburg;1664-1078;Frontiers in Psychology, Personality and Social Psychology;Frontiers;€ 3 634,62;2025;10.3389/fpsyg.2025.1677265
FALSE;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers;€ 2 269,39;2025;10.3389/fspor.2025.1679343
FALSE;Universität Salzburg;2079-8954;Systems;MDPI;€ 2 177,02;2025;10.3390/systems13110971
FALSE;Universität Salzburg;2414-4169;GW-Unterricht ;Institut für Georgraphie und Regionalforschung;€ 540,00;2025;10.1553/gw-unterricht179s44
FALSE;Universität Salzburg;1932-6203;PLOS ONE;PLOS;€ 824,07;2025;10.1371/journal.pone.0331681
FALSE;Universität Salzburg;2072-4292;Remote Sensing;MDPI;€ 2 427,52;2025;10.3390/rs17193354
FALSE;Universität Salzburg;2624-9367;Frontiers in Sports and Active Living;Frontiers;€ 2 250,00;2025;10.3389/fspor.2025.1688078
FALSE;Universität Salzburg;1697-2600;International Journal of Clinical and Health Psychology;Elsevier;€ 2 534,40;2025;10.1016/j.ijchp.2025.100646
