;Einrichtung;Link zum Artikel
1;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s11192-022-04554-9
2;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s11135-022-01489-4
3;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s11577-022-00840-9
4;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s11615-022-00437-z
5;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s11615-022-00436-0
6;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s43545-022-00320-z
7;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s41358-022-00332-4
8;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s12108-022-09537-0
9;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s00799-022-00326-1
10;GESIS – Leibniz-Institut für Sozialwissenschaften e.V.;https://doi.org/10.1007/s10680-022-09613-8
