"Top-level organisation which covered the reported costs, e.g. ""Bielefeld University""";Year of APC payment (YYYY);The amount that was paid in EURO. Includes VAT and additional fees;Digital Object Identifier;Determines if the article has been published in a hybrid journal (TRUE) or in fully/Gold OA journal (FALSE)
institution;period;euro ;doi;is_hybrid
èbo Akademi University;2021;1302;10.3391/ai.2022.17.1.04;FALSE
èbo Akademi University;2021;33,13;10.54500/2790-1203.110.4.2021.45-52;FALSE
èbo Akademi University;2021;3360,40;10.1016/j.enconman.2020.113172;TRUE
èbo Akademi University;2021;713,99;https://doi.org/10.1177/14747049211046162;FALSE
èbo Akademi University;2021;3175,76;https://doi.org/10.3389/fnagi.2021.614809;FALSE
èbo Akademi University;2021;1036,21;https://doi.org/10.3390/socsci10020038;FALSE
èbo Akademi University;2021;991,89;https://doi.org/10.3389/feduc.2021.683672;FALSE
èbo Akademi University;2021;2319,53;https://doi.org/10.3390/ijerph18073415;FALSE
èbo Akademi University;2021;860;https://doi.org/10.22495/cocv19i1art3;FALSE
èbo Akademi University;2021;1911,99;https://doi.org/10.3390/su13137231;FALSE
èbo Akademi University;2021;1565,38;https://doi.org/10.3390/environments8080083;FALSE
èbo Akademi University;2021;1757,8;https://doi.org/10.3390/pharmaceutics12121239;FALSE
èbo Akademi University;2021;2077,59;https://doi.org/10.3390/ijms22094678;FALSE
èbo Akademi University;2021;5580;https://doi.org/10.1016/j.celrep.2021.109716;FALSE
èbo Akademi University;2021;1357,80;https://doi.org/10.1016/j.jbc.2021.100593;FALSE
èbo Akademi University;2021;1231,90;https://doi.org/10.3389/fceng.2021.723429;FALSE
èbo Akademi University;2021;3358,87;https://doi.org/10.1089/ten.tec.2020.0327;TRUE
èbo Akademi University;2021;1867,56;https://doi.org/10.3390/pharmaceutics13010011;FALSE
èbo Akademi University;2021;1207,09;https://doi.org/10.3389/fpubh.2021.556648;FALSE
èbo Akademi University;2021;4061;https://doi.org/10.1093/bib/bbab510;TRUE
èbo Akademi University;2021;1091,2;https://doi.org/10.1080/02673843.2021.1883075;FALSE
èbo Akademi University;2021;2012,62;https://doi.org/10.3390/en14102863;FALSE
èbo Akademi University;2021;1028,48;https://doi.org/10.3390/en14051314;FALSE
èbo Akademi University;2021;1116;https://doi.org/10.17645/pag.v9i4.4562;FALSE
èbo Akademi University;2021;2673,66;https://doi.org/10.3389/fevo.2021.637561;FALSE
èbo Akademi University;2021;1017,68;https://doi.org/10.3389/fcomm.2021.709045;FALSE
èbo Akademi University;2021;1246,2;https://doi.org/10.1016/j.ultsonch.2021.105503;FALSE
èbo Akademi University;2021;3174,33;https://doi.org/10.3389/fpsyg.2021.730421;FALSE
èbo Akademi University;2021;3177,59;https://doi.org/10.3389/fpsyg.2021.719996;FALSE
èbo Akademi University;2021;1039,89;https://doi.org/10.3389/fpos.2021.791467;FALSE
èbo Akademi University;2021;3297,67;https://doi.org/10.3389/fpsyg.2021.797269;FALSE
èbo Akademi University;2021;1005,13;https://doi.org/10.3389/fpos.2021.672362;FALSE
èbo Akademi University;2021;988,96;https://doi.org/10.3389/fpos.2021.692913;FALSE
èbo Akademi University;2021;2012,62;https://doi.org/10.3390/ma14174834;FALSE
èbo Akademi University;2021;1911,99;https://doi.org/10.3390/su14010355;FALSE
èbo Akademi University;2021;1911,99;https://doi.org/10.3390/su131910539;FALSE
èbo Akademi University;2021;1789;https://doi.org/10.3390/cryst11101174;FALSE
èbo Akademi University;2021;2012,62;https://doi.org/10.3390/ijms22157784;FALSE
èbo Akademi University;2021;2415,15;https://doi.org/10.3390/rs13112104;FALSE
èbo Akademi University;2021;2012,62;https://doi.org/10.3390/ijms22126225;FALSE
èbo Akademi University;2021;2416,24;https://doi.org/10.3390/ijerph181910133;FALSE
èbo Akademi University;2021;2262,65;https://doi.org/10.3390/cancers13051120;FALSE
èbo Akademi University;2021;620;https://doi.org/10.1515/opphil-2020-0193;FALSE
èbo Akademi University;2021;2438,01;https://doi.org/10.3390/rs13050988;FALSE
èbo Akademi University;2021;1100,23;https://doi.org/10.1080/23311908.2021.1878980;FALSE
èbo Akademi University;2021;1860;https://doi.org/10.1080/02813432.2021.1935516;FALSE
èbo Akademi University;2021;1091,2;https://doi.org/10.1080/02673843.2021.1908903;FALSE
èbo Akademi University;2021;4402;https://doi.org/10.1002/admi.202101480;TRUE
èbo Akademi University;2021;1630,95;https://doi.org/10.1016/j.sna.2021.112541;TRUE
èbo Akademi University;2021;1819,99;https://doi.org/10.1109/ICSTW55395.2022.00020 ;FALSE
èbo Akademi University;2021;750,18;https://doi.org/10.1145/3404835.3463019;TRUE
èbo Akademi University;2021;116,06;https://doi.org/10.5281/zenodo.5804956 ;FALSE
èbo Akademi University;2021;2535,8;https://doi.org/10.1186/s12912-021-00780-3 ;FALSE
èbo Akademi University;2021;4074,64;https://doi.org/10.1080/00131881.2021.2000338;TRUE
èbo Akademi University;2021;4074,64;https://doi.org/10.1080/14729679.2021.2011338;TRUE
èbo Akademi University;2021;1000,25;10.11648/j.ss.20211006.2;FALSE
èbo Akademi University;2021;2926,59;https://doi.org/10.1016/j.molcel.2021.03.007;TRUE
èbo Akademi University;2021;2314,52;https://doi.org/10.3390/ijerph19010073;FALSE
