institution;period;euro;doi;is_hybrid;;;
Åbo Akademi University;2019;5555,20;10.1016/j.celrep.2019.12.037;FALSE;;;
Åbo Akademi University;2019;3517,53;10.1249/MSS.0000000000002112;TRUE;;;
Åbo Akademi University;2019;3408,13;10.1037/lhb0000342;TRUE;;;
Åbo Akademi University;2019;3171,61;10.3389/fgene.2019.00852;FALSE;;;
Åbo Akademi University;2019;3171,61;10.3389/fmicb.2019.01711;FALSE;;;
Åbo Akademi University;2019;3100,00;https://doi.org/10.1111/1467-923X.12790;TRUE;;;
Åbo Akademi University;2019;2812,85;10.3389/fmars.2019.00464;FALSE;;;
Åbo Akademi University;2019;2812,98;https://doi.org/10.1123/jtpe.2019-0088;TRUE;;;
Åbo Akademi University;2019;2582,92;10.1111/scs.12813;TRUE;;;
Åbo Akademi University;2019;2101,57;10.1152/japplphysiol.00900.2018;TRUE;;;
Åbo Akademi University;2019;1847,60;10.1038/s41598-019-48218-w;FALSE;;;
Åbo Akademi University;2019;1833,64;10.3390/en12244812;FALSE;;;
Åbo Akademi University;2019;1788,39;10.3390/s19112505;FALSE;;;
Åbo Akademi University;2019;1840,38;10.1016/j.ecss.2019.106272;TRUE;;;
Åbo Akademi University;2019;1765,50;10.3390/e21040395;FALSE;;;
Åbo Akademi University;2019;1670,68;10.1371/journal.pone.0212339;FALSE;;;
Åbo Akademi University;2019;1726,30;10.1371/journal.pone.0222814;FALSE;;;
Åbo Akademi University;2019;1828,91;10.1371/journal.pone.0222020;FALSE;;;
Åbo Akademi University;2019;1745,88;10.3390/su11216080;FALSE;;;
Åbo Akademi University;2019;1592,22;10.3390/en12030351;FALSE;;;
Åbo Akademi University;2019;1587,20;10.1002/nop2.438;FALSE;;;
Åbo Akademi University;2019;1234,55;10.1080/23311908.2019.1632047;FALSE;;;
Åbo Akademi University;2019;1482,41;10.3390/molecules24020335;FALSE;;;
Åbo Akademi University;2019;1472,19;10.3390/ijms20143408;FALSE;;;
Åbo Akademi University;2019;1116,00;10.17645/pag.v7i2.1811;FALSE;;;
Åbo Akademi University;2019;982,94;10.3390/pharmaceutics11040149;FALSE;;;
Åbo Akademi University;2019;818,71;10.1016/j.ssmph.2019.100528;FALSE;;;
Åbo Akademi University;2019;749,17;10.23865/up.v13.1973;FALSE;;;
Åbo Akademi University;2019;648,12;10.18862/ps.2019.501.3;FALSE;;;
Åbo Akademi University;2019;272,80;10.26417/ejser.v6i3.p7-22;FALSE;;;
Åbo Akademi University;2019;191,32;10.3390/chemosensors7020023;FALSE;;;
Åbo Akademi University;2019;1778,36;10.1371/journal.pone.0209230;FALSE;;;
Åbo Akademi University;2019;2604,00;10.1057/s41304-019-00230;TRUE;;;
Åbo Akademi University;2019;1638,36;10.3390/su11123405;FALSE;;;
Åbo Akademi University;2019;1002,32;10.3390/pharmaceutics11070334;FALSE;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
