institution;period;euro;doi;is_hybrid;journal_full_title
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10143-017-0811-6;TRUE;Neurosurgical Review
Austrian Science Fund (FWF);2017;NA;10.1007/s00709-016-1068-6;TRUE;Protoplasma
Medical University of Vienna;2017;NA;10.1007/s10339-016-0789-y;TRUE;Cognitive Processing
Austrian Science Fund (FWF);2017;NA;10.1007/s13137-016-0091-2;TRUE;GEM - International Journal on Geomathematics
TU Wien (TUW);2017;NA;10.1007/s10817-016-9402-4;TRUE;Journal of Automated Reasoning
Medical University of Graz;2017;NA;10.1007/s11812-016-0080-2;TRUE;Wiener klinische Wochenschrift Education
Medical University of Graz;2017;NA;10.1007/s00508-016-1157-8;TRUE;Wiener klinische Wochenschrift
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s10354-016-0539-x;TRUE;Wiener Medizinische Wochenschrift
Montanuniversität Leoben;2017;NA;10.1007/s00501-016-0569-0;TRUE;BHM Berg- und Hüttenmännische Monatshefte
Carinthia University of Applied Sciences (CUAS);2017;NA;10.1007/s00482-016-0184-8;TRUE;Der Schmerz
Paracelsus Medical University;2017;NA;10.1007/s00066-016-1095-4;TRUE;Strahlentherapie und Onkologie
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s12662-016-0433-0;TRUE;German Journal of Exercise and Sport Research
Austrian Science Fund (FWF);2017;NA;10.1007/s00418-016-1537-1;TRUE;Histochemistry and Cell Biology
Medical University of Vienna;2017;NA;10.1007/s00330-016-4707-6;TRUE;European Radiology
Medical University of Graz;2017;NA;10.1007/s00739-016-0372-4;TRUE;psychopraxis. neuropraxis
Austrian Science Fund (FWF);2017;NA;10.1007/s00601-016-1195-9;TRUE;Few-Body Systems
University of Veterinary Medicine Vienna;2017;NA;10.1007/s00436-017-5379-0;TRUE;Parasitology Research
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s12399-017-0614-4;TRUE;Zeitschrift für Außen- und Sicherheitspolitik
Austrian Science Fund (FWF);2017;NA;10.1007/s11139-016-9873-2;TRUE;The Ramanujan Journal
Montanuniversität Leoben;2017;NA;10.1007/s00501-017-0574-y;TRUE;BHM Berg- und Hüttenmännische Monatshefte
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00117-016-0203-x;TRUE;Der Radiologe
Graz University of Technology;2017;NA;10.1007/s10035-016-0695-0;TRUE;Granular Matter
Austrian Science Fund (FWF);2017;NA;10.1007/s00601-016-1197-7;TRUE;Few-Body Systems
Medical University of Graz;2017;NA;10.1007/s00270-017-1565-9;TRUE;CardioVascular and Interventional Radiology
Medical University of Vienna;2017;NA;10.1007/s12254-016-0307-z;TRUE;memo - Magazine of European Medical Oncology
Austrian Science Fund (FWF);2017;NA;10.1007/s10703-016-0264-5;TRUE;Formal Methods in System Design
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s11069-017-2754-1;TRUE;Natural Hazards
Austrian Science Fund (FWF);2017;NA;10.3758/s13423-016-1202-7;TRUE;Psychonomic Bulletin & Review
Austrian Science Fund (FWF);2017;NA;10.1007/s10753-016-0499-8;TRUE;Inflammation
University of Innsbruck and Medical University of Innsbruck;2017;NA;10.1007/s00337-017-0236-x;TRUE;Manuelle Medizin
Austrian Science Fund (FWF);2017;NA;10.1007/s10999-016-9360-3;TRUE;International Journal of Mechanics and Materials in Design
Paracelsus Medical University;2017;NA;10.1007/s15010-016-0978-8;TRUE;Infection
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s10570-016-1166-9;TRUE;Cellulose
University of Natural Resources and Life Sciences Vienna (BOKU);2017;NA;10.1007/s00506-016-0365-9;TRUE;Österreichische Wasser- und Abfallwirtschaft
Austrian Science Fund (FWF);2017;NA;10.1007/s12549-016-0265-9;TRUE;Palaeobiodiversity and Palaeoenvironments
TU Wien (TUW);2017;NA;10.1007/s11004-016-9669-3;TRUE;Mathematical Geosciences
Medical University of Vienna;2017;NA;10.1007/s00508-016-1162-y;TRUE;Wiener klinische Wochenschrift
Medical University of Graz;2017;NA;10.1007/s00508-016-1164-9;TRUE;Wiener klinische Wochenschrift
Medical University of Graz;2017;NA;10.1007/s00608-016-0440-2;TRUE;Pädiatrie & Pädologie
Medical University of Vienna;2017;NA;10.1007/s12254-016-0308-y;TRUE;memo - Magazine of European Medical Oncology
Medical University of Graz;2017;NA;10.1007/s10096-016-2891-6;TRUE;European Journal of Clinical Microbiology & Infectious Diseases
Medical University of Vienna;2017;NA;10.1007/s12254-016-0309-x;TRUE;memo - Magazine of European Medical Oncology
Austrian Science Fund (FWF);2017;NA;10.1007/s10270-017-0576-y;TRUE;Software & Systems Modeling
