institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2024,939.0697186056278,10.3897/fr.28.131671,A new Archaeopteryx from the lower Tithonian Mörnsheim Formation at Mühlheim (Late Jurassic),2024-12-18,Fossil Record,Pensoft Publishers,FALSE,894.37,0.9524,2000006465,NA,174040,Chronoshub
Swiss National Science Foundation (SNSF),2024,3532.5913481730363,10.1242/dmm.052126,DOSE-DEPENDENT EFFECTS OF NRF2 ON THE EPIDERMIS IN CHRONIC SKIN INFLAMMATION,2024-12-18,Disease Models and Mechanisms,The Company of Biologists,FALSE,3364.44,0.9524,APC600608500,NA,212212,Chronoshub
Swiss National Science Foundation (SNSF),2024,3259.1138177236453,10.1111/ene.16556,"The rise and fall of Queckenstedt''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''''s test between 1916 and 1970, a milestone in spinal cord diagnostics and why it matters",2024-12-18,European Journal of Neurology,Wiley Open Access,TRUE,3103.98,0.9524,Reimbursement 9100184680,NA,10002350,Chronoshub
Swiss National Science Foundation (SNSF),2024,2520.3800923981516,10.1136/openhrt-2024-002837,Right ventricular strain impairment due to hypoxia in patients with COPD – a post-hoc analysis of two randomized controlled trials,2024-12-18,Open Heart,BMJ Publishing Group,FALSE,2400.41,0.9524,APC600604842,NA,219199,Chronoshub
Swiss National Science Foundation (SNSF),2024,6081.268374632507,10.1038/s41467-024-54944-1,Low-carbon indoor humidity regulation via 3D-printed superhygroscopic building components,2024-12-18,Nature Communications,Springer Verlag,FALSE,5791.8,0.9524,2939943062,NA,169359,Chronoshub
Swiss National Science Foundation (SNSF),2024,3262.3792524149517,10.1038/s41537-024-00534-5,Psychomotor slowing in schizophrenia is associated with aberrant postural control,2024-12-17,npj Schizophrenia,Nature Research,FALSE,3107.09,0.9524,2939925186,NA,182469,Chronoshub
Swiss National Science Foundation (SNSF),2024,2833.8198236035278,10.1186/s12870-024-05875-y,Priming Grapevines through Oregano Essential Oil Vapour Results in a Metabolomic Shift Eliciting Resistance against Downy Mildew,2024-12-17,BMC Plant Biology,BioMed Central,FALSE,2698.93,0.9524,2939931559,NA,189896,Chronoshub
Swiss National Science Foundation (SNSF),2024,6096.1885762284755,10.1038/s41467-024-54870-2,Moiré magnetism in CrBr3 multilayers emerging from differential strain,2024-12-17,Nature Communications,Springer Verlag,FALSE,5806.01,0.9524,2939925105,NA,"178891, 211296",Chronoshub
Swiss National Science Foundation (SNSF),2024,6096.1885762284755,10.1038/s41467-024-54947-y,Concurrent optoacoustic tomography and magnetic resonance imaging of resting-state functional connectivity in the mouse brain,2024-12-17,Nature Communications,Springer Verlag,FALSE,5806.01,0.9524,2939938638,NA,192757,Chronoshub
Swiss National Science Foundation (SNSF),2024,6096.1885762284755,10.1038/s41467-024-55136-7,The mycobacterial ABC transporter IrtAB employs a membrane-facing crevice for siderophore-mediated iron uptake,2024-12-17,Nature Communications,Springer Verlag,FALSE,5806.01,0.9524,2939944025,NA,"170625, 188817",Chronoshub
Swiss National Science Foundation (SNSF),2024,6096.1885762284755,10.1038/s41467-024-53581-y,Non-Amontons Frictional Behaviors of Grain Boundaries at Layered Material Interfaces,2024-12-17,Nature Communications,Springer Verlag,FALSE,5806.01,0.9524,2939936033,NA,10001697,Chronoshub
