"institution",period,euro,"doi","journal_full_title","publisher","is_hybrid","issn","url",chf,conversion_rate,invoice_original_amount,"invoice_original_currency",snsf_voucher_number,"grant_snsf","grant_snsf_related"
"Swiss National Science Foundation (SNSF)",2011,896.45,"10.1371/journal.pone.0024555","PLoS ONE","Public Library of Science (PLoS)","FALSE",,,1105.82,1.23355,1215.00,"USD",,"3100A0B-128675","128675"
"Swiss National Science Foundation (SNSF)",2012,929.92,"10.1371/journal.pntd.0001889","PLoS Neglected Tropical Diseases","Public Library of Science (PLoS)","FALSE",,,1120.84,1.20531,1125.00,"USD",,"IZ70Z0_123900","123900"
"Swiss National Science Foundation (SNSF)",2012,1784.42,"10.1371/journal.ppat.1002976","PLoS Pathogens","Public Library of Science (PLoS)","FALSE",,,2150.78,1.20531,2250.00,"USD",,"31003A_141222","141222"
"Swiss National Science Foundation (SNSF)",2012,972.18,"10.3389/fmicb.2012.00106","Frontiers in Microbiology","Frontiers Media SA","FALSE",,,1171.78,1.20531,972.00,"EUR",,"PDFMP2-123048","123048"
"Swiss National Science Foundation (SNSF)",2012,1254.45,"10.3390/ijms14010684","International Journal of Molecular Sciences","MDPI AG","FALSE",,,1512.00,1.20531,1512.00,"CHF",,"315230_122478","122478"
"Swiss National Science Foundation (SNSF)",2013,838.95,,"American Journal of Nuclear Medicine and Molecular Imaging","e-Century Publishing Corporation","FALSE","2160-8407","http://ajnmmi.us/1209003A.html",1032.58,1.2308,980.00,"USD",,"IZ73Z0_127978","127978"
"Swiss National Science Foundation (SNSF)",2013,1354.12,"10.1002/mbo3.98","MicrobiologyOpen","Wiley-Blackwell","FALSE",,,1666.65,1.2308,1320.00,"EUR",,"PZ00P2_131851","131851"
"Swiss National Science Foundation (SNSF)",2013,1958.69,"10.1007/s11356-012-1228-y","Environmental Science and Pollution Research","Springer Nature","TRUE",,,2410.76,1.2308,2000.00,"EUR",,"205321_129618","129618"
"Swiss National Science Foundation (SNSF)",2013,1351.15,"10.1016/j.emospa.2013.12.003","Emotion, Space and Society","Elsevier BV","TRUE",,,1663.00,1.2308,1324.89,"EUR",,"PP00P1_128577","128577"
"Swiss National Science Foundation (SNSF)",2013,1916.83,"10.1016/j.epsl.2013.09.017","Earth and Planetary Science Letters","Elsevier BV","TRUE",,,2359.24,1.2308,2400.00,"USD",,"200020_146889","146889"
"Swiss National Science Foundation (SNSF)",2013,1368.78,"10.1016/j.jmb.2013.12.020","Journal of Molecular Biology","Elsevier BV","TRUE",,,1684.70,1.2308,1324.89,"EUR",,"31003A_141084","141084"
"Swiss National Science Foundation (SNSF)",2013,674.17,"10.1186/1742-9994-10-49","Frontiers in Zoology","Springer Nature","FALSE",,,829.77,1.2308,556.00,"GBP",,"PP00P3_123520","123520"
"Swiss National Science Foundation (SNSF)",2013,1718.96,"10.1371/journal.pgen.1004027","PLoS Genetics","Public Library of Science (PLoS)","FALSE",,,2115.70,1.2308,2250.00,"USD",,"31003A_149499","149499"
"Swiss National Science Foundation (SNSF)",2013,1708.63,"10.1371/journal.pntd.0002475","PLoS Neglected Tropical Diseases","Public Library of Science (PLoS)","FALSE",,,2102.98,1.2308,2250.00,"USD",,"31003A_135746","135746"
"Swiss National Science Foundation (SNSF)",2013,918.56,"10.1371/journal.pone.0069473","PLoS ONE","Public Library of Science (PLoS)","FALSE",,,1130.56,1.2308,1215.00,"USD",,"31003A_141225","141225"
"Swiss National Science Foundation (SNSF)",2013,1013.28,"10.1371/journal.pone.0072876","PLoS ONE","Public Library of Science (PLoS)","FALSE",,,1247.14,1.2308,1350.00,"USD",,"PP00P3_123346","123346"
"Swiss National Science Foundation (SNSF)",2013,927.44,"10.1371/journal.pone.0074249","PLoS ONE","Public Library of Science (PLoS)","FALSE",,,1141.49,1.2308,1215.00,"USD",,"310030_141067","141067"
"Swiss National Science Foundation (SNSF)",2013,1020.07,"10.1371/journal.pone.0082741","PLoS ONE","Public Library of Science (PLoS)","FALSE",,,1255.50,1.2308,1350.00,"USD",,"PP00P3_146344","146344"
"Swiss National Science Foundation (SNSF)",2013,1736.14,"10.3389/fnana.2013.00034","Frontiers in Neuroanatomy","Frontiers Media SA","FALSE",,,2136.84,1.2308,1728.00,"EUR",,"31003A_141244","141244"
"Swiss National Science Foundation (SNSF)",2013,1076.54,"10.3389/fnhum.2013.00418","Frontiers in Human Neuroscience","Frontiers Media SA","FALSE",,,1325.01,1.2308,1036.80,"EUR",,"PZ00P1_140060","140060"
"Swiss National Science Foundation (SNSF)",2013,1038.74,"10.3389/fnhum.2014.00381","Frontiers in Human Neuroscience","Frontiers Media SA","FALSE",,,1278.48,1.2308,1036.80,"EUR",,"31003A_149315","149315"
"Swiss National Science Foundation (SNSF)",2013,1155.35,"10.3390/molecules18055104","Molecules","MDPI AG","FALSE",,,1422.00,1.2308,1422.00,"CHF",,"IZ73Z0_127978","127978"
"Swiss National Science Foundation (SNSF)",2013,710.76,"10.4172/2155-9872.S1-007","Journal of Analytical & Bioanalytical Techniques","OMICS Publishing Group","FALSE",,,874.80,1.2308,919.00,"USD",,"205321_126834","126834"
"Swiss National Science Foundation (SNSF)",2013,1160.38,"10.5194/acpd-13-23325-2013","Atmospheric Chemistry and Physics Discussions","Copernicus GmbH","FALSE",,,1428.20,1.2308,1363.00,"EUR",,"PZ00P2_131673","131673"
"Swiss National Science Foundation (SNSF)",2013,1407.70,"10.5194/amt-6-3225-2013","Atmospheric Measurement Techniques","Copernicus GmbH","FALSE",,,1732.60,1.2308,1128.00,"EUR",,"PZ00P2_131673","131673"
"Swiss National Science Foundation (SNSF)",2013,1041.96,"10.5194/amt-6-3649-2013","Atmospheric Measurement Techniques","Copernicus GmbH","FALSE",,,1282.45,1.2308,1015.00,"EUR",,"PZ00P2_131673","131673"
"Swiss National Science Foundation (SNSF)",2013,391.09,"10.7717/peerj.188","PeerJ","PeerJ","FALSE",,,481.35,1.2308,497.00,"USD",,"PP00P2_133598","133598"
"Swiss National Science Foundation (SNSF)",2014,2463.15,"10.1002/hbm.22599","Human Brain Mapping","Wiley-Blackwell","TRUE",,,2991.82,1.21463,3000.00,"USD",,"PP00P2_146318","146318"
"Swiss National Science Foundation (SNSF)",2014,2207.83,"10.1002/qua.24686","International Journal of Quantum Chemistry","Wiley-Blackwell","TRUE",,,2681.70,1.21463,3000.00,"USD",,"200020_144458","144458"
"Swiss National Science Foundation (SNSF)",2014,2262.38,"10.1007/s00477-014-0906-3","Stochastic Environmental Research and Risk Assessment","Springer Nature","TRUE",,,2747.95,1.21463,2200.00,"EUR",,"CR23I2_138104","138104"
"Swiss National Science Foundation (SNSF)",2014,2232.74,"10.1007/s12520-014-0221-4","Archaeological and Anthropological Sciences","Springer Nature","TRUE",,,2711.95,1.21463,,,,"CR13I3_149583","149583"
"Swiss National Science Foundation (SNSF)",2014,1693.36,"10.1016/j.neuroscience.2013.12.051","Neuroscience","Elsevier BV","TRUE",,,2056.80,1.21463,1619.31,"EUR",,"31003A_140754","140754"
"Swiss National Science Foundation (SNSF)",2014,1595.59,"10.1016/j.toxlet.2014.09.004","Toxicology Letters","Elsevier BV","TRUE",,,1938.05,1.21463,1607.01,"EUR",,"205321_135678","135678"
"Swiss National Science Foundation (SNSF)",2014,2048.45,"10.1017/S0007123413000495","British Journal of Political Science","Cambridge University Press (CUP)","TRUE",,,2488.11,1.21463,2700.00,"USD",,"PP00P1_139035","139035"
"Swiss National Science Foundation (SNSF)",2014,854.17,"10.1038/jcbfm.2014.112","Journal of Cerebral Blood Flow & Metabolism","SAGE Publications","TRUE",,,1037.50,1.21463,1134.00,"USD",,"PMPDP3_145470","145470"
"Swiss National Science Foundation (SNSF)",2014,2614.28,"10.1038/mp.2014.145","Molecular Psychiatry","Springer Nature","TRUE",,,3175.38,1.21463,2600.00,"EUR",,"PP00P3_144902","144902"
"Swiss National Science Foundation (SNSF)",2014,471.02,"10.1038/sdata.2014.22","Scientific Data","Springer Nature","FALSE",,,572.12,1.21463,470.00,"EUR",,"PP00P2_138932","138932"
"Swiss National Science Foundation (SNSF)",2014,1065.67,"10.1063/1.4905265","AIP Advances","AIP Publishing","FALSE",,,1294.40,1.21463,1350.00,"USD",,"200020_153177","153177"
"Swiss National Science Foundation (SNSF)",2014,1462.98,"10.1093/gbe/evu099","Genome Biology and Evolution","Oxford University Press (OUP)","FALSE",,,599.09,1.21463,1463.00,"EUR",,"PZ00P3_131726","131726"
"Swiss National Science Foundation (SNSF)",2014,1089.49,"10.1093/nar/gku1059","Nucleic Acids Research","Oxford University Press (OUP)","FALSE",,,1323.33,1.21463,1065.00,"EUR",,"31003A_138367","138367"
"Swiss National Science Foundation (SNSF)",2014,1101.75,"10.1093/nar/gku131","Nucleic Acids Research","Oxford University Press (OUP)","FALSE",,,1338.22,1.21463,1065.00,"EUR",,"310030B_138667","138667"
"Swiss National Science Foundation (SNSF)",2014,1533.97,"10.1093/nar/gku537","Nucleic Acids Research","Oxford University Press (OUP)","FALSE",,,1863.20,1.21463,1515.00,"EUR",,"CR32I2_146331","146331"
"Swiss National Science Foundation (SNSF)",2014,2193.87,"10.1093/nar/gku759","Nucleic Acids Research","Oxford University Press (OUP)","FALSE",,,2664.74,1.21463,2130.00,"EUR",,"31003A_138367","138367"
"Swiss National Science Foundation (SNSF)",2014,1306.16,"10.1093/sysbio/syv001","Systematic Biology","Oxford University Press (OUP)","TRUE",,,1586.50,1.21463,1300.00,"EUR",,"PZ00P3_136820","136820"
"Swiss National Science Foundation (SNSF)",2014,1869.76,"10.1098/rstb.2013.0592","Philosophical Transactions of the Royal Society B: Biological Sciences","The Royal Society","TRUE",,,2271.07,1.21463,1440.00,"GBP",,"31003A_140999","140999"
