institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,issn,url,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2021,1559.9509713228492,10.5194/acp-21-10273-2021,Characterization of primary and aged wood burning and coal combustion organic aerosols in an environmental chamber and its implications for atmospheric aerosols,2021-12-28,Atmospheric Chemistry and Physics,Copernicus GmbH,FALSE,NA,NA,1686.307,1.081,Reimbursement ACP-PUC-2021-539,NA,172923,Chronoshub
Swiss National Science Foundation (SNSF),2021,1887.372802960222,10.1088/1748-9326/ac36f9,Reducing climate risks with fast and complete energy transitions: applying the precautionary principle to the Paris agreement,2021-12-28,Environmental Research Letters,IOP Publishing,FALSE,NA,NA,2040.25,1.081,Reimbursement 8189006,NA,172471,Chronoshub
Swiss National Science Foundation (SNSF),2021,1741.4625346901018,10.3389/fpain.2021.750523,Placebo Responses and Their Clinical Implications in Fibromyalgia: A Meta-Analysis Using SSRI and SNRI Trials,2021-12-28,Frontiers in Pain Research,Frontiers Media,FALSE,NA,NA,1882.521,1.081,2021-0447733-5,NA,194536,Chronoshub
Swiss National Science Foundation (SNSF),2021,2703.8492136910268,10.3389/fimmu.2021.794077,NK Cells and Innate-like T Cells after Autologous Hematopoietic 1 Stem Cell Transplantation in Multiple Sclerosis,2021-12-28,Frontiers in Immunology,Frontiers Media,FALSE,NA,NA,2922.861,1.081,2021-0489026-3,NA,185003,Chronoshub
Swiss National Science Foundation (SNSF),2021,1434.6716003700278,10.3390/ani11123598,Utero-Placental Immune Milieu during Normal and Aglepristone-Induced Parturition in the Dog,2021-12-28,Animals,MDPI,FALSE,NA,NA,1550.88,1.081,1477913,NA,182481,Chronoshub
Swiss National Science Foundation (SNSF),2021,1096.1526364477336,10.1186/s13358-021-00241-z,Evolutionary development  of the cephalopod arm armature: a review,2021-12-28,Swiss Journal of Palaeontology,Springer Nature,FALSE,NA,NA,1184.941,1.081,6106536160,NA,169627,Chronoshub
Swiss National Science Foundation (SNSF),2021,996.299722479186,10.3390/gels8010022,Degradable 2-hydroxyethyl methacrylate\/gelatin\/alginate hydrogels infused by nanocolloidal graphene oxide as promising drug delivery and scaffolding biomaterials,2021-12-28,Gels,MDPI,FALSE,NA,NA,1077,1.081,1517269,NA,152327,Chronoshub
Swiss National Science Foundation (SNSF),2021,2880.8556891766884,10.1093/braincomms/fcab209,Blinded study: prospectively defined high frequency oscillations predict seizure outcome in individual patients,2021-12-22,Brain Communications,Oxford University Press,FALSE,NA,NA,3114.205,1.081,E14927546,NA,"176222, 192749",Chronoshub
Swiss National Science Foundation (SNSF),2021,3019.5652173913045,10.1038/s42003-021-02652-7,"Action video game play facilitates \\""learning to learn\\""",2021-12-22,Communications Biology,Springer Nature,FALSE,NA,NA,3264.15,1.081,Reimbursement 2676271209,NA,178814,Chronoshub
Swiss National Science Foundation (SNSF),2021,1480.1110083256244,10.3390/ijms222312878,Phosphodiesterase-4 Inhibition Reduces Cutaneous Inflammation and IL-1β Expression in a Psoriasiform Mouse Model but Does Not Inhibit Inflammasome Activation,2021-12-22,International Journal of Molecular Sciences,MDPI,FALSE,NA,NA,1600,1.081,1453899,NA,176035,Chronoshub
