institution,period,euro,doi,title,payment_date,journal_full_title,publisher,is_hybrid,chf,conversion_rate,snsf_voucher_number,grant_snsf,grant_snsf_related,origin
Swiss National Science Foundation (SNSF),2022,2620.690684713376,10.1186/s12874-022-01800-9,Combinational Regularity Analysis (CORA) – A New Method for Uncovering Complex Causation in Medical and Health Research,2022-12-12,BMC Medical Research Methodology,BioMed Central,FALSE,2633.27,1.0048,6106624582,NA,202676,Chronoshub
Swiss National Science Foundation (SNSF),2022,1234.2456210191085,10.1186/s13010-022-00127-z,Normality in medicine: an empirical elucidation,2022-12-12,"Philosophy, Ethics, and Humanities in Medicine",BioMed Central,FALSE,1240.17,1.0048,6106625370,NA,190251,Chronoshub
Swiss National Science Foundation (SNSF),2022,2513.505175159236,10.1186/s12877-022-03548-9,Multimorbidity and long-term disability and physical functioning decline in middle-aged and older Americans: an observational study,2022-11-23,BMC Geriatrics,BioMed Central,FALSE,2525.57,1.0048,6106621873,NA,"184042, 201672",Chronoshub
Swiss National Science Foundation (SNSF),2022,1763.206608280255,10.1186/s12910-022-00845-1,Acceptable objectives of empirical research in bioethics: a qualitative exploration of researchers'''''''''''''''' views,2022-11-23,BMC Medical Ethics,BioMed Central,FALSE,1771.67,1.0048,6106615538,NA,190015,Chronoshub
Swiss National Science Foundation (SNSF),2022,2622.8304140127393,10.1186/s12916-022-02607-7,The combined impact of persistent infections and human genetic variation on C-reactive protein levels,2022-10-26,BMC Medicine,BioMed Central,FALSE,2635.42,1.0048,6106612979,NA,175603,Chronoshub
Swiss National Science Foundation (SNSF),2022,3156.6182324840765,10.1038/s42003-022-04013-4,An anti-influenza combined therapy assessed by single cell RNA-sequencing,2022-10-11,Communications Biology,Springer Nature,FALSE,3171.77,1.0048,2938647315,NA,180323,Chronoshub
Swiss National Science Foundation (SNSF),2022,695.6309713375797,10.1186/s42409-022-00041-2,Religiousness Worldwide: Translation of the Duke University Religion Index into 20 Languages and Validation across 27 Nations,2022-09-28,Measurement Instruments for the Social Sciences,BioMed Central,FALSE,698.97,1.0048,6106607386,NA,179458,Chronoshub
Swiss National Science Foundation (SNSF),2022,3446.0590167197456,10.1126/sciadv.abl4064,Transcriptional control of mycobacterial DNA damage response by sigma adaptation,2022-09-15,Science Advances,American Association for the Advancement of Science,FALSE,3462.6001,1.0048,1300300088,NA,185250,Chronoshub
Swiss National Science Foundation (SNSF),2022,3370.989251592357,10.1186/s13054-022-04166-y,Different epidemiology of bloodstream infections in COVID-19 compared to non-COVID-19 critically ill patients: a descriptive analysis of the Eurobact II study,2022-09-15,Critical Care,BioMed Central,FALSE,3387.17,1.0048,6106605731,NA,194449,Chronoshub
Swiss National Science Foundation (SNSF),2022,1214.171974522293,10.1055/a-1932-0463,Recent concepts for supramolecular 2D materials,2022-09-01,Organic Materials,GEORG THIEME VERLAG KG,FALSE,1220,1.0048,APC600343823,NA,180101,Chronoshub
Swiss National Science Foundation (SNSF),2022,2835.0617038216565,10.1186/s12915-022-01386-0,Rapid increase in transferrin receptor recycling promotes adhesion during T cell activation,2022-08-25,BMC Biology,BioMed Central,FALSE,2848.67,1.0048,6106598630,NA,172969,Chronoshub
Swiss National Science Foundation (SNSF),2022,3906.9167993630576,10.1186/s40168-022-01344-6,Strain-Level Resolution and Pneumococcal Carriage Dynamics by Single Molecule Real Time (SMRT) Sequencing of The Plyncr Marker: A Longitudinal Study In Swiss Infants,2022-08-25,Microbiome,BioMed Central,FALSE,3925.67,1.0048,6106597278,NA,197083,Chronoshub
Swiss National Science Foundation (SNSF),2022,3906.9167993630576,10.1186/s40168-022-01328-6,Extensive diversity and rapid turnover of phage defense repertoires in cheese-associated bacterial communities,2022-07-28,Microbiome,BioMed Central,FALSE,3925.67,1.0048,6106592177,NA,"180575, 160345",Chronoshub
Swiss National Science Foundation (SNSF),2022,492.86425159235677,10.1186/s12968-022-00871-3,Free-Running Cardiac and Respiratory Motion-Resolved 5D Whole-Heart Coronary MR Angiography in Pediatric Cardiac Patients Using Ferumoxytol,2022-06-16,Journal of Cardiovascular Magnetic Resonance,BioMed Central,FALSE,495.23,1.0048,6106582556,NA,"173129, 201292",Chronoshub
Swiss National Science Foundation (SNSF),2022,1886.4649681528663,10.3390/cells11111820,Alveolar basal cells differentiate towards secretory epithelial- and aberrant basaloid-like cells in vitro,2022-06-16,Cells,MDPI,FALSE,1895.52,1.0048,1674384,NA,192536,Chronoshub
