"institution",period,euro,"doi","journal_full_title","publisher","is_hybrid","issn","url",chf,conversion_rate,invoice_original_amount,"invoice_original_currency","snsf_voucher_number","grant_snsf",grant_snsf_related
"Swiss National Science Foundation (SNSF)",2020,2974.61,"10.1001/jamanetworkopen.2020.7940","JAMA Network Open","American Medical Association (AMA)","FALSE","2574-3805",,3184.47,1.07055,,,"101424 - 10815 - 29.04.2020","32AC-0_197988",143875
"Swiss National Science Foundation (SNSF)",2020,3536.09,"10.1002/1878-0261.12828","Molecular Oncology","Wiley","FALSE","1574-7891,1878-0261",,3785.56,1.07055,,,"104191 - 10764 - 27.10.2020","PZAC-3_201287",154751
"Swiss National Science Foundation (SNSF)",2020,1456.63,"10.1002/2211-5463.12967","FEBS Open Bio","Wiley","FALSE","2211-5463,2211-5463",,1559.40,1.07055,,,"103461 - 11198 - 17.09.2020","P2AC-3_199795",162156
"Swiss National Science Foundation (SNSF)",2020,4687.18,"10.1002/adfm.202002949","Advanced Functional Materials","Wiley","FALSE","1616-301X,1616-3028",,5017.86,1.07055,,,"101604 - 10764 - 13.05.2020","20AC-1_198175",188392
"Swiss National Science Foundation (SNSF)",2020,4788.11,"10.1002/adma.202004804","Advanced Materials","Wiley","FALSE","0935-9648,1521-4095",,5125.91,1.07055,,,"103489 - 10764 - 18.09.2020","20AC-1_199799",188392
"Swiss National Science Foundation (SNSF)",2019,3222.56,"10.1002/bies.201800191","BioEssays","Wiley","TRUE","0265-9247,1521-1878",,3585.00,1.11247,,,,"PP00P3_181037",181037
"Swiss National Science Foundation (SNSF)",2020,1823.36,"10.1002/cjp2.158","The Journal of Pathology: Clinical Research","Wiley","FALSE","2056-4538,2056-4538",,1952.00,1.07055,,,"100250 - 10669 - 31.01.2020","32AC-0_194040",172675
"Swiss National Science Foundation (SNSF)",2020,2077.75,"10.1002/clc.23503","Clinical Cardiology","Wiley","FALSE","0160-9289,1932-8737",,2224.33,1.07055,1900.00,"EUR","104317 - 10764 - 03.11.2020","33AC-0_201332",177520
"Swiss National Science Foundation (SNSF)",2020,1980.57,"10.1002/ece3.6479","Ecology and Evolution","Wiley","FALSE","2045-7758,2045-7758",,2120.30,1.07055,,,"101933 - 10764 - 12.06.2020","PPAC-3_198579",179089
"Swiss National Science Foundation (SNSF)",2020,1830.58,"10.1002/ece3.6711","Ecology and Evolution","Wiley","FALSE","2045-7758,2045-7758",,1959.73,1.07055,,,"102934 - 11164 - 20.08.2020","P2AC-3_199172",184003
"Swiss National Science Foundation (SNSF)",2020,1724.10,"10.1002/evl3.166","Evolution Letters","Wiley","FALSE","2056-3744,2056-3744",,1845.74,1.07055,,,"100909 - 10764 - 17.03.2020","P2AC-3_194865",128386
"Swiss National Science Foundation (SNSF)",2019,2274.22,"10.1002/evl3.v3.6","Evolution Letters","Wiley","FALSE","2056-3744,2056-3744",,2530.00,1.11247,,,"100343 - 10674 - 07.02.2020","PPAC-3_194096",165835
"Swiss National Science Foundation (SNSF)",2019,3446.66,"10.1002/hbm.24893","Human Brain Mapping","Wiley","FALSE","1065-9471,1097-0193",,3834.31,1.11247,,,"100268 - 10915 - 03.02.2020","PPAC-1_193998",183711
"Swiss National Science Foundation (SNSF)",2020,3164.41,"10.1002/hbm.25159","Human Brain Mapping","Wiley","FALSE","1065-9471,1097-0193",,3387.66,1.07055,,,"102546 - 10764 - 28.07.2020","CRAC-5_199046",180365
"Swiss National Science Foundation (SNSF)",2020,2383.80,"10.1002/jia2.25546","Journal of the International AIDS Society","Wiley","FALSE","1758-2652,1758-2652",,2551.98,1.07055,,,"101979 - 10764 - 17.06.2020","32AC-0_198661",189498
"Swiss National Science Foundation (SNSF)",2020,2407.74,"10.1002/jia2.25615","Journal of the International AIDS Society","Wiley","FALSE","1758-2652,1758-2652",,2577.61,1.07055,,,"103365 - 10764 - 14.09.2020","PPAC-3_199594",163878
"Swiss National Science Foundation (SNSF)",2020,2154.29,"10.1002/jia2.25631","Journal of the International AIDS Society","Wiley","FALSE","1758-2652,1758-2652",,2306.28,1.07055,,,"104199 - 10764 - 27.10.2020","P2AC-3_201314",178602
"Swiss National Science Foundation (SNSF)",2020,1702.77,"10.1002/lol2.10172","Limnology and Oceanography Letters","Wiley","FALSE","2378-2242,2378-2242",,1822.90,1.07055,,,"104198 - 10764 - 27.10.2020","PZAC-2_201294",161339
"Swiss National Science Foundation (SNSF)",2020,2310.67,"10.1002/mpr.1843","International Journal of Methods in Psychiatric Research","Wiley","FALSE","1049-8931,1557-0657",,2473.69,1.07055,,,"101858 - 10764 - 08.06.2020","10AC--_198513",165572
"Swiss National Science Foundation (SNSF)",2020,1743.30,"10.1002/pld3.258","Plant Direct","Wiley","FALSE","2475-4455,2475-4455",,1866.29,1.07055,,,"102722 - 10764 - 12.08.2020","31AC-0_199148",162555
"Swiss National Science Foundation (SNSF)",2020,2310.74,"10.1007/978-981-15-4976-2_2","Immobility and Medicine","Springer Singapore","FALSE",,,2473.76,1.07055,,,"101613 - 10783 - 14.05.2020","P1AC-1_198167",149368
"Swiss National Science Foundation (SNSF)",2020,1305.21,"10.1016/j.aeaoa.2020.100065","Atmospheric Environment: X","Elsevier BV","FALSE","2590-1621",,1397.29,1.07055,,,"102336 - 10477 - 14.07.2020","20AC-1_198922",162448
"Swiss National Science Foundation (SNSF)",2020,1316.51,"10.1016/j.aeaoa.2020.100094","Atmospheric Environment: X","Elsevier BV","FALSE","2590-1621",,1409.39,1.07055,,,"104194 - 10822 - 27.10.2020","20AC-1_201309",166255
"Swiss National Science Foundation (SNSF)",2020,4769.51,"10.1016/j.celrep.2019.09.041","Cell Reports","Elsevier BV","FALSE","2211-1247",,5106.00,1.07055,,,"103109 - 10670 - 02.09.2020","31AC-0_198957",159721
"Swiss National Science Foundation (SNSF)",2020,4895.61,"10.1016/j.celrep.2019.12.029","Cell Reports","Elsevier BV","FALSE","2211-1247",,5241.00,1.07055,,,"101612 - 10676 - 14.05.2020","BSAC-0_198161",150681
"Swiss National Science Foundation (SNSF)",2020,4799.67,"10.1016/j.celrep.2019.12.070","Cell Reports","Elsevier BV","FALSE","2211-1247",,5138.29,1.07055,,,"101587 - 10362 - 11.05.2020","31AC-0_198097",182583
"Swiss National Science Foundation (SNSF)",2020,4779.79,"10.1016/j.celrep.2020.01.005","Cell Reports","Elsevier BV","FALSE","2211-1247",,5117.00,1.07055,,,"100784 - 10675 - 06.03.2020","CRAC-3_194767",160766
