DOI;apc;colour charge;cover charge;page charge;permission;reprint;submission fee;payment fee;other;unknown;précision
10.1002/2017GL074173;2400;;;;;;;;;101,25;
10.1002/2017JB015162;3600;;;717;;;;;;;
10.1002/ana.25833;2500;;;;;;;;;1285,86;
10.1002/anie.202011548;4000;1980;;;;;;;;;
10.1002/cnma.201600124;1200;;1008,4;;;;;;;;
10.1002/elsa.202000019;1785;;;;;;;;;1559,4;
10.1002/hep.31312;2300;3500;;;;;;;;;
10.1002/ijc.31921;3281;1000;;;;;;;;;
10.1002/ijc.32120;3281;1344;;;;;;;;;
10.1002/open.201700044;1800;;;;;;;;;298;
10.1002/pmic.202000305;3300;;;;;;;;;392;
10.1002/qj.4591;3290;;;;;;;;;1000;
10.1002/stem.2858;1500;;;1607,05;;;;;;;
10.1002/tpg2.20290;1889;;;939,1;;;;;;;
10.1007/s00018-020-03719-0;3060;;;;;;;;;612;
10.1007/s00122-017-3003-4;2200;;;;;;;;;324;
10.1016/j.biomaterials.2022.121380;2561,28;1770;;;;;;;;;
10.1016/j.biosystemseng.2022.05.012;1607,47;1959,4;;;;;;;;;
10.1016/j.bpj.2020.01.022;2160;2798,4;;2357,44;;;;;;5155,84;
10.1016/j.contraception.2021.12.002;1867,6;489,84;;;;;;;;;
10.1016/j.ctrv.2021.102294;2314;200;;;;;;;;;
10.1016/j.cub.2019.12.047;1185,85;1185,85;;;;;;;;;
10.1016/j.cub.2020.10.054;4550;1469,52;;;;;;;;;
10.1016/j.cub.2020.11.019;4550;1959,36;;;;;;;;;
10.1016/j.cyto.2018.08.018;3605,58;;;;;;;;;720;
10.1016/j.devcel.2021.05.006;4550;1714,44;;;;;;;;;
10.1016/j.elecom.2022.107258;1136,96;360;;;;;;;;;
10.1016/j.foodcont.2018.03.022;3093,02;295;;;;;;;;;
10.1016/j.ijpara.2020.03.005;1365,39;;;;;;;;;534,61;
10.1016/j.ijrobp.2021.11.019;3150;1024,21;;;;;;;;;
10.1016/j.immuni.2019.02.022;4480;2285,46;;;;;;;;;
10.1016/j.immuni.2021.04.026;4550;;;;;;;;;399;
10.1016/j.jecp.2020.104859;2290;1942,5;;;;;;;;;
10.1016/j.jmoldx.2021.02.007;1972,5;;;983,64;;;;;;;
10.1016/j.jviromet.2019.04.020;1980;450;;;;;;;;;
10.1016/j.landurbplan.2021.104332;1830;295;;;;;;;;;
10.1016/j.molcel.2018.08.020;4595,35;;;;;;;;;2341,84;
10.1016/j.molcel.2018.09.010;4595,35;2341,84;;;;;;;;;
10.1016/j.radmeas.2021.106695;1474,07;3894;;;;;;;;;
10.1016/j.stem.2021.03.014;4550;1959;;;;;;;;;
10.1016/j.str.2021.07.008;7600;1714,44;;;;;;;;;
10.1016/j.yjmcc.2020.05.004;2807,2;1050;;;;;;;;;
