institution;period;CHF;DOI;is hybrid
University of Bern;26.01.2024;2.514,94 CHF;10.1136/rmdopen-2023-003652;false
University of Bern;26.01.2024;2.682,06 CHF;10.1136/openhrt-2023-002583;false
University of Bern;09.02.2024;2.484,46 CHF;10.1186/s12903-023-03732-2;false
University of Bern;16.02.2024;863,71 CHF;10.5334/joc.338;false
University of Bern;06.03.2024;1.997,68 CHF;not published yet;false
University of Bern;09.02.2024;1.895,52 CHF;10.3390/ brainsci14010077;false
University of Bern;02.02.2024;2.687,69 CHF;10.1186/S12889-024-17727-3;false
University of Bern;09.02.2024;2.182,16 CHF;10.1186/s12913-024-10555-6;false
University of Bern;02.02.2024;1.812,83 CHF;10.1525/elementa.2023.00063;false
University of Bern;14.02.2024;1.173,64 CHF;10.5194/acp-24-1571-2024;false
University of Bern;06.03.2024;2.498,64 CHF;10.3390/cancers16030671;false
University of Bern;01.03.2024;872,37 CHF;10.3390/biom14020203;false
University of Bern;16.02.2024;2.382,85 CHF;10.1038/s41598-024-53706-9;false
University of Bern;23.02.2024;2.382,85 CHF;10.1038/s41598-024-53500-7;false
University of Bern;27.02.2024;2.376,55 CHF;10.1038/s41598-024-53314-7;false
University of Bern;23.02.2024;1.595,33 CHF;10.1111/csp2.13095;false
University of Bern;17.04.2024;1.829,40 CHF;10.1227/neuprac.0000000000000091;false
University of Bern;17.05.2024;1.094,55 CHF;10.1177/20503121241233427;false
University of Bern;23.02.2024;2.248,48 CHF;10.20944/preprints202401.1197.v1;false
University of Bern;28.02.2024;2.337,12 CHF;10.1029/2023GC011145;false
University of Bern;28.02.2024;2.190,79 CHF;0.5194/tc-18-719-2024;false
University of Bern;06.03.2024;1.836,92 CHF;10.1371/journal.pone.0297079;false
University of Bern;01.03.2024;2.283,07 CHF;10.1128/spectrum.03214-23;false
University of Bern;28.03.2024;1.875,23 CHF;10.1186/s40635-024-00604-z;false
University of Bern;19.04.2024;2.723,63 CHF;10.1186/s12245-024-00611-7;false
University of Bern;28.03.2024;2.433,55 CHF;10.21203/rs.3.rs-3010432/v1;false
University of Bern;15.03.2024;2.403,06 CHF;10.1002/ece3.10941;false
University of Bern;15.03.2024;2.283,24 CHF;10.3390/ijms25063143;false
University of Bern;19.04.2024;1.989,04 CHF;10.7554/eLife.96678;false
University of Bern;05.04.2024;2.433,55 CHF;10.1038/s41598-024-56449-9;false
University of Bern;22.03.2024;2.326,32 CHF;10.3390/cells13060543;false
University of Bern;27.03.2024;2.067,84 CHF;10.3390/ children11010096;false
University of Bern;19.04.2024;1.507,80 CHF;https://doi.org/10.20944/preprints202312.1150.v1;false
University of Bern;10.04.2024;2.509,60 CHF;10.1038/S41598-024-58408-W;false
University of Bern;19.04.2024;2.075,52 CHF;10.3390/ani14071103;false
University of Bern;19.04.2024;2.735,69 CHF;bmjopen-2024-084560.R1;false
University of Bern;19.04.2024;969,65 CHF;10.1525/collabra.117096;false
University of Bern;26.04.2024;867,92 CHF;JAHA/2023/033210-T;false
University of Bern;26.04.2024;567,45 CHF;10.5334/johd.184 ;false
University of Bern;08.05.2024;2.334,96 CHF;10.3390/healthcare12090920;false
University of Bern;08.05.2024;2.248,48 CHF;10.3390/ma17092128;false
University of Bern;08.05.2024;2.248,48 CHF;10.3390/ma17102261;false
University of Bern;31.07.2024;1.776,52 CHF;10.1371/journal.pone.0302454;false
University of Bern;05.06.2024;2.248,48 CHF;10.3390/jcm13092706;false
University of Bern;15.05.2024;2.399,82 CHF;10.3390/ijms25105162;false
University of Bern;29.05.2024;1.613,55 CHF;10.2196/48262;false
University of Bern;05.06.2024;2.509,60 CHF;10.1038/s41598-024-62364-w;false
University of Bern;05.06.2024;824,04 CHF;10.5194/acp-24-5837-2024;false
University of Bern;19.07.2024;1.820,34 CHF;10.7717/peerj.17432;false
University of Bern;14.06.2024;1.439,41 CHF;10.1186/s00015-024-00461-8;false
University of Bern;07.08.2024;2.458,90 CHF;10.1038/s41598-024-63797-z;false
University of Bern;17.07.2024;2.507,92 CHF;10.3390/ijms25116257;false
