"institution","period","CHF","DOI","is hybrid","currency","euro"
"University of Bern","2024-01-26","2.514,94","10.1136/rmdopen-2023-003652","false","CHF","2676.61"
"University of Bern","2024-01-26","2.682,06","10.1136/openhrt-2023-002583","false","CHF","2854.47"
"University of Bern","2024-02-09","2.484,46","10.1186/s12903-023-03732-2","false","CHF","2634.08"
"University of Bern","2024-02-16","863,71","10.5334/joc.338","false","CHF","910.03"
"University of Bern","2024-03-06","1.997,68","10.1371/journal.pgph.0002800","false","CHF","2076.81"
"University of Bern","2024-02-09","1.895,52","10.3390/brainsci14010077","false","CHF","2009.67"
"University of Bern","2024-02-02","2.687,69","10.1186/S12889-024-17727-3","false","CHF","2885.34"
"University of Bern","2024-02-09","2.182,16","10.1186/s12913-024-10555-6","false","CHF","2313.57"
"University of Bern","2024-02-02","1.812,83","10.1525/elementa.2023.00063","false","CHF","1946.14"
"University of Bern","2024-02-14","1.173,64","10.5194/acp-24-1571-2024","false","CHF","1236.32"
"University of Bern","2024-03-06","2.498,64","10.3390/cancers16030671","false","CHF","2597.61"
"University of Bern","2024-03-01","872,37","10.3390/biom14020203","false","CHF","910.43"
"University of Bern","2024-02-16","2.382,85","10.1038/s41598-024-53706-9","false","CHF","2510.64"
"University of Bern","2024-02-23","2.382,85","10.1038/s41598-024-53500-7","false","CHF","2502.47"
"University of Bern","2024-02-27","2.376,55","10.1038/s41598-024-53314-7","false","CHF","2490.1"
"University of Bern","2024-02-23","1.595,33","10.1111/csp2.13095","false","CHF","1675.41"
"University of Bern","2024-04-17","1.829,40","10.1227/neuprac.0000000000000091","false","CHF","1887.34"
"University of Bern","2024-05-17","1.094,55","10.1177/20503121241233427","false","CHF","1110.65"
"University of Bern","2024-02-23","2.248,48","10.20944/preprints202401.1197.v1","false","CHF","2361.35"
"University of Bern","2024-02-28","2.337,12","10.1029/2023GC011145","false","CHF","2454.96"
"University of Bern","2024-02-28","2.190,79","10.5194/tc-18-719-2024","false","CHF","2301.25"
"University of Bern","2024-03-06","1.836,92","10.1371/journal.pone.0297079","false","CHF","1909.68"
"University of Bern","2024-03-01","2.283,07","10.1128/spectrum.03214-23","false","CHF","2382.67"
"University of Bern","2024-03-28","1.875,23","10.1186/s40635-024-00604-z","false","CHF","1920.16"
"University of Bern","2024-04-19","2.723,63","10.1186/s12245-024-00611-7","false","CHF","2813.67"
"University of Bern","2024-03-28","2.433,55","10.21203/rs.3.rs-3010432/v1","false","CHF","2491.86"
"University of Bern","2024-03-15","2.403,06","10.1002/ece3.10941","false","CHF","2499.8"
"University of Bern","2024-03-15","2.283,24","10.3390/ijms25063143","false","CHF","2375.16"
"University of Bern","2024-04-19","1.989,04","10.7554/eLife.96678","false","CHF","2054.79"
"University of Bern","2024-04-05","2.433,55","10.1038/s41598-024-56449-9","false","CHF","2484.99"
"University of Bern","2024-03-22","2.326,32","10.3390/cells13060543","false","CHF","2391.12"
"University of Bern","2024-03-27","2.067,84","10.3390/children11010096","false","CHF","2107.68"
