INSTITUTION;PERIOD;EURO;DOI;IS_HYBRID;PUBLISHER;JOURNAL_FULL_TITLE;ISSN;url
Università degli studi di Modena e Reggio Emilia;2022;2763,06;10.1016/j.jid.2021.12.024;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1347,08;10.1109/TBME.2023.3327617;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1468,27;10.1109/TIM.2023.3298392;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2989;10.1016/j.jmb.2023.167950;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2163,06;10.1016/j.lwt.2023.114745;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3769,93;10.1016/j.humpath.2023.03.012;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1223,78;10.1109/TCOMM.2023.3280562;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2075,22;10.1016/j.matlet.2023.133975;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2426,58;10.1016/j.ejcb.2023.151302;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;620,87;10.1094/PDIS-10-22-2398-PDN;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1503,61;10.1109/TGRS.2023.3293270;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;4233,4;10.1016/j.cep.2023.109383;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;902,7;10.21873/invivo.13020;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2799,9;10.1016/j.matdes.2023.111751;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;4562,8;10.1016/j.canlet.2023.216262;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;500;10.23750/abm.v94i2.14118;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;400;10.23750/abm.v94i4.14317;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;499,96;10.23750/abm.v94i5.14522;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;500;10.23750/abm.v94i5.14825;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;600;10.23750/abm.v94i5.15069;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;600;10.23750/abm.v94i5.15174;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;500;10.23750/abm.v94i6.14750;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;300;10.23750/abm.v94i6.15003;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;4812,9;10.1007/s10654-023-01009-0;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;287,24;10.1109/JLT.2023.3265167;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;4812,9;10.1038/s41375-023-01867-3;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3958,9;10.1007/s12185-023-03638-3;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;262,08;10.2143/SID.32.2.3291405;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2946,3;10.1080/09513590.2023.2276163;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1671,4;10.1016/j.nbd.2023.106106;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;486,37;10.1109/TKDE.2023.3269592;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;283,45;10.1109/TCST.2022.3225732;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1556,7;10.1164/rccm.202210-1848LE;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3637,11;10.1177/10888683231203141;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3041,46;10.2147/PPA.S437116;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;646,6;10.1016/j.ijid.2022.12.027;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2452,2;10.1016/j.ijid.2023.04.004;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3721;10.1111/ene.16177;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3958,9;10.1186/s13054-023-04682-5;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2439,73;10.3390/molecules28041671;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1172,42;10.3390/d15020208;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3525,8;10.1016/j.jcyt.2023.02.008;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3195;10.1093/arisup/akad002;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2860,9;10.1186/s12859-023-05560-1;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2982,9;10.1186/s12871-023-02187-w;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3348,9;10.1186/s12913-023-10465-z;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3004,74;10.1097/MCD.0000000000000474;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;195,72;10.1109/JSEN.2023.3296158;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;593,27;10.1109/TASE.2023.3276233;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3281,52;10.1093/oncolo/oyac227;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;807,63;10.2215/CJN.01760222;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2982,9;10.1186/s10195-023-00736-0;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3958,9;10.1007/s10238-022-00968-0;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3348,9;10.1007/s10098-022-02441-8;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2476,81;10.3390/ijms24108544;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2485,65;10.3390/ijms24108699;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1570,54;10.3390/ijms24119684;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3128,08;10.3390/ijms241411370;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2702,91;10.3390/ijms241512519;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2523,27;10.3389/fnins.2023.1097857;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3628,27;10.3389/fnins.2023.1234286;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2967,43;10.3389/fnins.2023.1248622;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2794,22;10.3389/fphys.2023.1258932;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3695,76;10.3389/fpsyg.2023.1055054;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3052,42;10.3389/fpsyg.2023.1192653;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3570,65;10.3389/fpsyg.2023.1201581;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3603,68;10.3389/fpsyg.2023.1206323;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3671,96;10.3389/fendo.2023.1172743;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3612,29;10.3389/fendo.2023.1179079;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3664,43;10.3389/fendo.2023.1201696;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2017,88;10.3389/fendo.2023.1268704;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3681,92;10.3389/fimmu.2022.1082036;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3693,33;10.3389/fimmu.2023.1123724;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3564,18;10.3389/fimmu.2023.1123807;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3779,88;10.3389/fimmu.2023.1279390;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2724,26;10.5194/acp-23-14841-2023;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1567,94;10.1186/s13052-023-01471-2;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1567,94;10.1186/s13052-023-01472-1;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3489,2;10.1111/iwj.14164;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;2738,9;10.1186/s13006-023-00554-4;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1634,8;10.1186/s13256-023-03756-w;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1708;10.1186/s13256-023-04211-6;TRUE;;;;
Università degli studi di Modena e Reggio Emilia;2023;1762,9;10.1186/s13104-023-06353-8;FALSE;;;;
Università degli studi di Modena e Reggio Emilia;2023;3592,9;10.1186/s13046-023-02737-7;TRUE;;;;
