INSTITUTION;PERIOD;EURO;DOI;BASCKLIST_OA;PUBLISHER;BOOK_TITLE;ISBN;ISBN_PRINT;ISBN_ELECTRONIC;LICENSE_REF;indexed_in_crossref;DOAB
Università degli studi di Modena e Reggio Emilia;2024;1098,00;;FALSE;Hellenic Semiotics Society;Chernobyl Calling. Narrative, Intermediality and Cultural Memory of a Docu-fiction;9786188218444;;;;;
Università degli studi di Modena e Reggio Emilia;2024;10900,00;;FALSE;Brill; Migration Narratives in the Early Modern Mediterranean (1450–1850);9789004755925;;;;;
Università degli studi di Modena e Reggio Emilia;2025;928,51;10.6093/978-88-6887-336-3;FALSE;FedOA - Federico II University Press ; I gesuiti nell’età della soppressione e della restaurazione: religione, educazione e società tra antica e nuova Compagnia (1773-1832);9788868873363;;;;;
Università degli studi di Modena e Reggio Emilia;2025;1800,00;;FALSE;Mucchi Editore;Oltre i confini. Linee guida sull’educazione alla cittadinanza globale;9791281716414;;;;;
Università degli studi di Modena e Reggio Emilia;2025;1220,00;;FALSE;Giappichelli Editore;"Donne, impresa, lavoro. Una raccolta di saggi";9791221181852;;;;;
Università degli studi di Modena e Reggio Emilia;2025;4900,00;;FALSE;Edizioni Centro Studi Erickson S.p.A.;Verso una cultura della disabilità, Storia, metodi e pratiche per tutor universitari;9788859043096;;;;;
Università degli studi di Modena e Reggio Emilia;2025;960,00;;FALSE;Mucchi Editore;Crescere. Ricerche multidisciplinari sullo sviluppo della persona;9791281716452;;;;;
Università degli studi di Modena e Reggio Emilia;2025;7500,00;;FALSE;Giappichelli Editore;Giovani in rete. Guida per un uso consapevole delle tecnologie;9791221115512;;;;;
Università degli studi di Modena e Reggio Emilia;2025;2288,00;;FALSE;Edizioni ETS;Le sfide dell’insegnamento-apprendimento della matematica in carcere. Riflessioni e proposte per una didattica inclusiva;9788846773234;;;;;
Università degli studi di Modena e Reggio Emilia;2025;192,76;;FALSE;Edizioni ETS;Leo Strauss. Profeti e filosofi nella città giusta. Saggi su Maimonide;9788846773869;;;;;
Università degli studi di Modena e Reggio Emilia;2025;1295,00;;FALSE;Ledizioni;Fortuna dell'epigramma in Italia dal Cinquecento al Novecento;9791256004768;;;;;
Università degli studi di Modena e Reggio Emilia;2025;1450,00;;FALSE;Mucchi Editore;Vulnerabilità aumentata. Diritto, cura e algoritmi nell'era della salute digitale;9791281716698;;;;;
Università degli studi di Modena e Reggio Emilia;2025;6032,00;;FALSE;Mucchi Editore;The Family (R)evolution. Insights into Rising Parenthood Issues;9791281716490;;;;;
Università degli studi di Modena e Reggio Emilia;2025;12500,00;;FALSE;Mucchi Editore;“Minori Stranieri Non Accompagnati” ed esercizio dei diritti. Sicurezza, consapevolezza, uso delle tecnologie;9791281716612;;;;;
Università degli studi di Modena e Reggio Emilia;2025;780,01;;FALSE;Leo S. Olschki; Ferdinand Tönnies - Thomas Hobbes. La vita e il pensiero;9788822295385;;;;;
