Institution name;APC Payment Year;Date of Submission;Date of Acceptance;DOI;DOI URL;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN(s);Journal ISSN print;Journal ISSN electronic;journal_issn_l ;Article License;agreement
Bern University of Applied Sciences;2024;25.10.2023;25.01.2024;10.1177/10497315241232120;https://doi.org/10.1177/10497315241232120;TRUE;Hybrid;Sage Publications;Research on Social Work Practice;1552-7581;;;;CC BY-NC 4.0;Switzerland2023
Bern University of Applied Sciences;2024;19.10.2023;23.03.2024;10.1177/13591053241253233;https://doi.org/10.1177/13591053241253233;TRUE;Hybrid;Sage Publications;Journal of Health Psychology;1461-7277;;;;CC BY-NC 4.0;Switzerland2023
Bern University of Applied Sciences;2024;09.04.2024;03.06.2024;10.1177/00302228241263133;https://doi.org/10.1177/00302228241263133;TRUE;Hybrid;Sage Publications;OMEGA - Journal of Death and Dying;1541-3764;;;;CC BY 4.0;Switzerland2023
Bern University of Applied Sciences;2024;14.12.2023;27.05.2024;10.1177/01939459241263011;https://doi.org/10.1177/01939459241263011;TRUE;Hybrid;Sage Publications;Western Journal of Nursing Research;1552-8456;;;;CC BY 4.0;Switzerland2023
Bern University of Applied Sciences;2024;18.01.2024;12.07.2024;10.1177/23779608241272641;https://doi.org/10.1177/23779608241272641;FALSE;Gold;Sage Publications;SAGE Open Nursing;2377-9608;;;;CC BY 4.0;Switzerland2023
Bern University of Applied Sciences;2024;12.03.2024;08.08.2024;10.1177/20552076241277671;https://doi.org/10.1177/20552076241277671;FALSE;Gold;Sage Publications;Digital Health;2055-2076;;;;CC BY 4.0;Switzerland2023
Bern University of Applied Sciences;2024;19.08.2024;23.08.2024;10.1177/02690942241282273;https://doi.org/10.1177/02690942241282273;TRUE;Hybrid;Sage Publications;Local Economy;1470-9325;;;;CC BY 4.0;Switzerland2023
Bern University of Applied Sciences;2024;21.08.2024;12.10.2024;10.1177/00307270241295763;https://doi.org/10.1177/00307270241295763;TRUE;Hybrid;Sage Publications;Outlook on Agriculture;2043-6866;;;;CC BY 4.0;Switzerland2023
Bern University of Applied Sciences;2024;30.04.2023;15.10.2024;10.1177/00187267241309792;https://doi.org/10.1177/00187267241309792;TRUE;Hybrid;Sage Publications;Human Relations;1741-282X;;;;CC BY 4.0;Switzerland2023
Eawag - Swiss Federal Institute of Aquatic Science and Technology;2024;10.02.2023;11.02.2024;10.1177/00420980241236077;https://doi.org/10.1177/00420980241236077;TRUE;Hybrid;Sage Publications;Urban Studies;1360-063X;;;;CC BY-NC 4.0;Switzerland2023
ETH Zurich;2024;01.05.2023;27.12.2023;10.1177/16094069241226528;https://doi.org/10.1177/16094069241226528;FALSE;Gold;Sage Publications;International Journal of Qualitative Methods;1609-4069;;;;CC BY-NC 4.0;Switzerland2023
ETH Zurich;2024;19.12.2023;03.01.2024;10.1177/1478422X241227829;https://doi.org/10.1177/1478422X241227829;TRUE;Hybrid;Sage Publications;Corrosion Engineering, Science and Technology;1743-2782;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;19.01.2023;02.01.2024;10.1177/00223433241227759;https://doi.org/10.1177/00223433241227759;TRUE;Hybrid;Sage Publications;Journal of Peace Research;1460-3578;;;;CC BY-NC 4.0;Switzerland2023
ETH Zurich;2024;07.04.2022;13.06.2023;10.1177/00220027241228184;https://doi.org/10.1177/00220027241228184;TRUE;Hybrid;Sage Publications;Journal of Conflict Resolution;1552-8766;;;;CC BY-NC 4.0;Switzerland2023
ETH Zurich;2024;03.02.2024;03.02.2024;10.1177/1536867X241233641;https://doi.org/10.1177/1536867X241233641;TRUE;Hybrid;Sage Publications;Stata Journal, The;1536-8734;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;07.06.2023;08.03.2024;10.1177/23998083241242883;https://doi.org/10.1177/23998083241242883;TRUE;Hybrid;Sage Publications;Environment and Planning B;2399-8091;;;;CC BY-NC 4.0;Switzerland2023
ETH Zurich;2024;18.03.2024;18.03.2024;10.1177/10591478241245977;https://doi.org/10.1177/10591478241245977;TRUE;Hybrid;Sage Publications;Production and Operations Management;19375956;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;28.11.2022;16.03.2024;10.1177/02783649241246847;https://doi.org/10.1177/02783649241246847;TRUE;Hybrid;Sage Publications;International Journal of Robotics Research;1741-3176;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;05.07.2023;04.04.2024;10.1177/00031224241253268;https://doi.org/10.1177/00031224241253268;TRUE;Hybrid;Sage Publications;American Sociological Review;1939-8271;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;22.09.2023;17.05.2024;10.1177/17454999241258928;https://doi.org/10.1177/17454999241258928;TRUE;Hybrid;Sage Publications;Research in Comparative and International Education;1745-4999;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;06.11.2023;14.05.2024;10.1177/87552930241261486;https://doi.org/10.1177/87552930241261486;TRUE;Hybrid;Sage Publications;Earthquake Spectra;1944-8201;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;31.01.2024;20.06.2024;10.1177/17442591241266553;https://doi.org/10.1177/17442591241266553;TRUE;Hybrid;Sage Publications;Journal of Building Physics;1530-8073;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;06.02.2024;03.09.2024;10.1177/20552076241285090;https://doi.org/10.1177/20552076241285090;FALSE;Gold;Sage Publications;Digital Health;2055-2076;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;02.02.2024;16.08.2024;10.1177/09713557241281795;https://doi.org/10.1177/09713557241281795;TRUE;Hybrid;Sage Publications;Journal of Entrepreneurship;0973-0745;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;18.05.2024;12.09.2024;10.1177/00202940241287638;https://doi.org/10.1177/00202940241287638;FALSE;Gold;Sage Publications;Measurement + Control;2051-8730;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;25.09.2024;25.09.2024;10.1177/09717218241281941;https://doi.org/10.1177/09717218241281941;TRUE;Hybrid;Sage Publications;Science Technology and Society;0973-0796;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;12.01.2024;04.11.2024;10.1177/23998083241303198;https://doi.org/10.1177/23998083241303198;TRUE;Hybrid;Sage Publications;Environment and Planning B;2399-8091;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;23.08.2024;31.10.2024;10.1177/00037028241302355;https://doi.org/10.1177/00037028241302355;TRUE;Hybrid;Sage Publications;Applied Spectroscopy;1943-3530;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;11.03.2024;04.10.2024;10.1177/00220094241306985;https://doi.org/10.1177/00220094241306985;TRUE;Hybrid;Sage Publications;Journal of Contemporary History;1461-7250;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;05.12.2023;18.10.2024;10.1177/00220027241309299;https://doi.org/10.1177/00220027241309299;TRUE;Hybrid;Sage Publications;Journal of Conflict Resolution;1552-8766;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;29.10.2023;26.11.2024;10.1177/00420980241309737;https://doi.org/10.1177/00420980241309737;TRUE;Hybrid;Sage Publications;Urban Studies;1360-063X;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;06.11.2023;16.12.2024;10.1177/09622802241311455;https://doi.org/10.1177/09622802241311455;TRUE;Hybrid;Sage Publications;Statistical Methods in Medical Research;1477-0334;;;;CC BY 4.0;Switzerland2023
ETH Zurich;2024;07.09.2023;18.10.2024;10.1177/00220027241312624;https://doi.org/10.1177/00220027241312624;TRUE;Hybrid;Sage Publications;Journal of Conflict Resolution;1552-8766;;;;CC BY 4.0;Switzerland2023
Graduate Institute of International and Development Studies;2024;13.01.2023;16.02.2024;10.1177/00323217241238125;https://doi.org/10.1177/00323217241238125;TRUE;Hybrid;Sage Publications;Political Studies;1467-9248;;;;CC BY 4.0;Switzerland2023
Graduate Institute of International and Development Studies;2024;03.08.2023;13.12.2023;10.1177/09240519241253103;https://doi.org/10.1177/09240519241253103;FALSE;Gold;Sage Publications;Netherlands Quarterly of Human Rights;2214-7357;;;;CC BY 4.0;Switzerland2023
Graduate Institute of International and Development Studies;2024;20.07.2023;27.05.2024;10.1177/00323217241261229;https://doi.org/10.1177/00323217241261229;TRUE;Hybrid;Sage Publications;Political Studies;1467-9248;;;;CC BY 4.0;Switzerland2023
Graduate Institute of International and Development Studies;2024;23.11.2023;31.10.2024;10.1177/00221856241300714;https://doi.org/10.1177/00221856241300714;TRUE;Hybrid;Sage Publications;Journal of Industrial Relations;1472-9296;;;;CC BY 4.0;Switzerland2023
Graduate Institute of International and Development Studies;2024;03.05.2024;01.11.2024;10.1177/20563051241303362;https://doi.org/10.1177/20563051241303362;FALSE;Gold;Sage Publications;Social Media and Society;2056-3051;;;;CC BY 4.0;Switzerland2023
Graduate Institute of International and Development Studies;2024;05.02.2024;15.11.2024;10.1177/00220027241305076;https://doi.org/10.1177/00220027241305076;TRUE;Hybrid;Sage Publications;Journal of Conflict Resolution;1552-8766;;;;CC BY 4.0;Switzerland2023
Lucerne University of Applied Sciences and Arts;2024;04.08.2023;31.05.2024;10.1177/02557614241262798;https://doi.org/10.1177/02557614241262798;TRUE;Hybrid;Sage Publications;International Journal of Music Education;1744-795X;;;;CC BY 4.0;Switzerland2023
Lucerne University of Applied Sciences and Arts;2024;22.12.2023;17.11.2024;10.1177/20551029241308777;https://doi.org/10.1177/20551029241308777;FALSE;Gold;Sage Publications;Health Psychology Open;2055-1029;;;;CC BY 4.0;Switzerland2023
OST University of Applied Science of Eastern Switzerland;2024;07.02.2024;29.07.2024;10.1177/15333175241276443;https://doi.org/10.1177/15333175241276443;FALSE;Gold;Sage Publications;American Journal of Alzheimer's Disease & Other Dementias;1938-2731;;;;CC BY 4.0;Switzerland2023
Università della Svizzera italiana;2024;12.01.2021;11.08.2022;10.1177/17427665241251448;https://doi.org/10.1177/17427665241251448;TRUE;Hybrid;Sage Publications;Global Media and Communication;1742-7673;;;;CC BY-NC 4.0;Switzerland2023
Università della Svizzera italiana;2024;16.11.2023;18.04.2024;10.1177/20552076241253085;https://doi.org/10.1177/20552076241253085;FALSE;Gold;Sage Publications;Digital Health;2055-2076;;;;CC BY 4.0;Switzerland2023
Università della Svizzera italiana;2024;07.02.2022;18.07.2024;10.1177/01492063241271197;https://doi.org/10.1177/01492063241271197;TRUE;Hybrid;Sage Publications;Journal of Management;1557-1211;;;;CC BY-NC 4.0;Switzerland2023
Università della Svizzera italiana;2024;26.06.2023;08.08.2024;10.1177/02637758241278426;https://doi.org/10.1177/02637758241278426;TRUE;Hybrid;Sage Publications;Environment and Planning D;1472-3433;;;;CC BY 4.0;Switzerland2023
Università della Svizzera italiana;2024;15.01.2024;06.08.2024;10.1177/27538699241281758;https://doi.org/10.1177/27538699241281758;TRUE;Hybrid;Sage Publications;Possibility Studies & Society;2753-8699;;;;CC BY 4.0;Switzerland2023
Università della Svizzera italiana;2024;04.01.2023;06.02.2024;10.1177/08933189241254096;https://doi.org/10.1177/08933189241254096;TRUE;Hybrid;Sage Publications;Management Communication Quarterly;1552-6798;;;;CC BY 4.0;Switzerland2023
Università della Svizzera italiana;2024;15.09.2022;27.08.2024;10.1177/01708406241286287;https://doi.org/10.1177/01708406241286287;TRUE;Hybrid;Sage Publications;Organization Studies;1741-3044;;;;CC BY 4.0;Switzerland2023
Università della Svizzera italiana;2024;27.06.2024;25.11.2024;10.1177/13548565241308749;https://doi.org/10.1177/13548565241308749;TRUE;Hybrid;Sage Publications;Convergence;1748-7382;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Northwestern Switzerland;2024;01.03.2024;16.04.2024;10.1177/00472395241252139;https://doi.org/10.1177/00472395241252139;TRUE;Hybrid;Sage Publications;Journal of Educational Technology Systems;1541-3810;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts of Southern Switzerland;2024;04.12.2023;05.12.2023;10.1177/00472441241235142;https://doi.org/10.1177/00472441241235142;TRUE;Hybrid;Sage Publications;Journal of European Studies;1740-2379;;;;CC BY-NC 4.0;Switzerland2023
University of Applied Sciences and Arts of Southern Switzerland;2024;13.12.2023;15.07.2024;10.1177/23779608241274210;https://doi.org/10.1177/23779608241274210;FALSE;Gold;Sage Publications;SAGE Open Nursing;2377-9608;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts of Southern Switzerland;2024;18.04.2024;01.08.2024;10.1177/09388982241292304;https://doi.org/10.1177/09388982241292304;TRUE;Hybrid;Sage Publications;Learning Disabilities Research & Practice;15405826;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts of Southern Switzerland;2024;20.04.2023;12.11.2024;10.1177/08948453241304328;https://doi.org/10.1177/08948453241304328;TRUE;Hybrid;Sage Publications;Journal of Career Development;1556-0856;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;17.10.2023;23.12.2023;10.1177/19389655241226557;https://doi.org/10.1177/19389655241226557;TRUE;Hybrid;Sage Publications;Cornell Hospitality Quarterly;1938-9663;;;;CC BY 4.0;Switzerland2023
University of Applied Sciences and Arts Western Switzerland;2024;19.01.2023;29.01.2024;10.1177/23996544241232325;https://doi.org/10.1177/23996544241232325;TRUE;Hybrid;Sage Publications;Environment and Planning C;2399-6552;;;;CC BY-NC 4.0;Switzerland2023
