Institution name;APC Payment Year;Date of Submission;Date of Acceptance;DOI;DOI URL;article_is_hybrid;Article OA Status;Publisher Name;Journal Name;Journal ISSN electronic;journal_issn_l ;Article License;agreement
Bern University of Applied Sciences;;01.03.2021;18.03.2023;10.1016/j.econedurev.2023.102399;10.1016/j.econedurev.2023.102399;TRUE;Hybrid;Elsevier;Economics of Education Review;0272-7757;;CC BY;
Eawag - Swiss Federal Institute of Aquatic Science and Technology;;24.12.2021;31.05.2023;10.1016/j.jocm.2023.100426;10.1016/j.jocm.2023.100426;TRUE;Hybrid;Elsevier;Journal of Choice Modelling;1755-5345;;CC BY;
École Polytechnique Fédérale de Lausanne;;21.05.2021;27.04.2023;10.1016/j.gete.2023.100472;10.1016/j.gete.2023.100472;TRUE;Hybrid;Elsevier;Geomechanics for Energy and the Environment;2352-3808;;CC BY;
École Polytechnique Fédérale de Lausanne;;28.12.2021;14.12.2023;10.1016/j.ijindorg.2023.103044;10.1016/j.ijindorg.2023.103044;TRUE;Hybrid;Elsevier;International Journal of Industrial Organization;0167-7187;;CC BY;
École Polytechnique Fédérale de Lausanne;;23.07.2021;09.06.2023;10.1016/j.comgeo.2023.102031;10.1016/j.comgeo.2023.102031;TRUE;Hybrid;Elsevier;Computational Geometry: Theory and Applications;0925-7721;;CC BY;
École Polytechnique Fédérale de Lausanne;;17.06.2021;04.09.2023;10.1016/j.jcp.2023.112482;10.1016/j.jcp.2023.112482;TRUE;Hybrid;Elsevier;Journal of Computational Physics;0021-9991;;CC BY;
ETH Zurich;;07.05.2021;14.08.2023;10.1016/j.jdeveco.2023.103172;10.1016/j.jdeveco.2023.103172;TRUE;Hybrid;Elsevier;Journal of Development Economics;0304-3878;;CC BY;
ETH Zurich;;25.11.2021;22.04.2023;10.1016/j.neucom.2023.126237;10.1016/j.neucom.2023.126237;TRUE;Hybrid;Elsevier;Neurocomputing;0925-2312;;CC BY;
ETH Zurich;;28.06.2021;22.07.2023;10.1016/j.respol.2023.104865;10.1016/j.respol.2023.104865;TRUE;Hybrid;Elsevier;Research Policy;0048-7333;;CC BY;
OST University of Applied Science of Eastern Switzerland;;14.09.2021;04.05.2023;10.1016/j.jretai.2023.05.001;10.1016/j.jretai.2023.05.001;TRUE;Hybrid;Society;Journal of Retailing;0022-4359;;CC BY;
University of Applied Sciences and Arts Western Switzerland;;21.05.2021;10.01.2024;10.1016/j.avb.2024.101918;10.1016/j.avb.2024.101918;TRUE;Hybrid;Elsevier;Aggression and Violent Behavior;1359-1789;;CC BY;
University of Applied Sciences and Arts Western Switzerland;;14.08.2021;25.09.2023;10.1016/j.eneco.2023.107078;10.1016/j.eneco.2023.107078;TRUE;Hybrid;Elsevier;Energy Economics;0140-9883;;CC BY;
University of Applied Sciences and Arts Western Switzerland;;12.05.2021;24.04.2023;10.1016/j.jocm.2023.100413;10.1016/j.jocm.2023.100413;TRUE;Hybrid;Elsevier;Journal of Choice Modelling;1755-5345;;CC BY;
University of Applied Sciences and Arts Western Switzerland;;25.06.2021;20.09.2023;10.1016/j.obhdp.2023.104293;10.1016/j.obhdp.2023.104293;TRUE;Hybrid;Elsevier;Organizational Behavior and Human Decision Processes;0749-5978;;CC BY-NC-ND;
University of Bern;;22.11.2021;21.10.2023;10.1016/j.labeco.2023.102457;10.1016/j.labeco.2023.102457;TRUE;Hybrid;Elsevier;Labour Economics;0927-5371;;CC BY-NC;
University of Bern;;20.07.2021;27.07.2023;10.1016/j.jsp.2023.101240;10.1016/j.jsp.2023.101240;TRUE;Hybrid;Society;Journal of School Psychology;0022-4405;;CC BY;
University of Fribourg;;20.12.2021;25.11.2023;10.1016/j.ejor.2023.11.040;10.1016/j.ejor.2023.11.040;TRUE;Hybrid;Society;European Journal of Operational Research;0377-2217;;CC BY;
University of Geneva;;29.10.2021;27.03.2022;10.1016/j.neuroimage.2022.119156;10.1016/j.neuroimage.2022.119156;FALSE;Full Open Access;Elsevier;NeuroImage;1053-8119;;CC BY;
University of Geneva;;06.06.2021;07.08.2023;10.1016/j.aim.2023.109275;10.1016/j.aim.2023.109275;TRUE;Hybrid;Elsevier;Advances in Mathematics;0001-8708;;CC BY;
University of Geneva;;26.02.2021;11.10.2023;10.1016/j.leaqua.2023.101750;10.1016/j.leaqua.2023.101750;TRUE;Hybrid;Elsevier;The Leadership Quarterly;1048-9843;;CC BY;
University of Geneva;;29.07.2021;04.05.2023;10.1016/j.ssci.2023.106189;10.1016/j.ssci.2023.106189;TRUE;Hybrid;Elsevier;Safety Science;0925-7535;;CC BY;
University of Geneva;;24.12.2021;27.12.2023;10.1016/j.leaqua.2023.101771;10.1016/j.leaqua.2023.101771;TRUE;Hybrid;Elsevier;The Leadership Quarterly;1048-9843;;CC BY;
University of Lausanne;;17.09.2021;07.10.2023;10.1016/j.bjps.2023.10.094;10.1016/j.bjps.2023.10.094;TRUE;Hybrid;Society;Journal of Plastic, Reconstructive & Aesthetic Surgery;1748-6815;;CC BY;
University of Lausanne;;17.02.2021;30.11.2023;10.1016/j.jempfin.2023.101457;10.1016/j.jempfin.2023.101457;TRUE;Hybrid;Elsevier;Journal of Empirical Finance;0927-5398;;CC BY;
University of Lausanne;;16.04.2021;26.09.2023;10.1016/j.jue.2023.103604;10.1016/j.jue.2023.103604;TRUE;Hybrid;Elsevier;Journal of Urban Economics;0094-1190;;CC BY;
University of St.Gallen;;29.12.2021;27.11.2023;10.1016/j.mar.2023.100875;10.1016/j.mar.2023.100875;TRUE;Hybrid;Elsevier;Management Accounting Research;1044-5005;;CC BY;
University of Zurich;;28.04.2021;17.02.2024;10.1016/j.jfineco.2024.103811;10.1016/j.jfineco.2024.103811;TRUE;Hybrid;Elsevier;Journal of Financial Economics;0304-405X;;CC BY;
University of Zurich;;02.11.2021;02.10.2023;10.1016/j.geoforum.2023.103875;10.1016/j.geoforum.2023.103875;TRUE;Hybrid;Elsevier;Geoforum;0016-7185;;CC BY-NC;
University of Zurich;;23.03.2021;23.07.2023;10.1016/j.jet.2023.105707;10.1016/j.jet.2023.105707;TRUE;Hybrid;Elsevier;Journal of Economic Theory;0022-0531;;CC BY;
University of Zurich;;09.02.2021;30.03.2023;10.1016/j.jmpt.2023.03.002;10.1016/j.jmpt.2023.03.002;TRUE;Hybrid;Society;Journal of Manipulative and Physiological Therapeutics;0161-4754;;CC BY;
University of Zurich;;23.02.2021;02.06.2023;10.1016/j.jbankfin.2023.106918;10.1016/j.jbankfin.2023.106918;TRUE;Hybrid;Elsevier;Journal of Banking and Finance;0378-4266;;CC BY;
University of Zurich;;03.06.2021;03.11.2023;10.1016/j.jbankfin.2023.107038;10.1016/j.jbankfin.2023.107038;TRUE;Hybrid;Elsevier;Journal of Banking and Finance;0378-4266;;CC BY;
University of Zurich;;26.12.2021;01.08.2023;10.1016/j.jvc.2023.08.001;10.1016/j.jvc.2023.08.001;TRUE;Hybrid;Society;Journal of Veterinary Cardiology;1760-2734;;CC BY;
University Psychiatric Services Bern;;30.11.2021;10.12.2022;10.1016/j.jpsychires.2022.12.009;10.1016/j.jpsychires.2022.12.009;TRUE;Hybrid;Elsevier;Journal of Psychiatric Research;0022-3956;;CC BY;
