period;institution;doi;is_hybrid;agreement
2022;University of Berne ;https://doi.org/10.1159/000523674;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000523965;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000525419;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000526016;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000526237;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000527345;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000528611;TRUE;Swiss Consortium Karger agreement
2022;University of Berne ;https://doi.org/10.1159/000528252;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000522365;FALSE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000522662;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000524399;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000525457;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000526117;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000527268;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000527526;FALSE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000527739;TRUE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000528261;FALSE;Swiss Consortium Karger agreement
2022;University of Basel;https://doi.org/10.1159/000528465;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000521788;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000521951;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000523923;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000523667;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000524203;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000524089;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000524225;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000524194;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000524958;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000525296;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000525559;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000525480;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000525556;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000525752;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000525796;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000526026;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000526582;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000526478;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000526564;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527191;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527462;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527614;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527786;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527813;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527827;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000527885;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000528473;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000528390;FALSE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000528762;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000528966;TRUE;Swiss Consortium Karger agreement
2022;University of Zurich;https://doi.org/10.1159/000529094;FALSE;Swiss Consortium Karger agreement
2022;University of Fribourg;https://doi.org/10.1159/000522164;FALSE;Swiss Consortium Karger agreement
2022;University of Lausanne;https://doi.org/10.1159/000524329;TRUE;Swiss Consortium Karger agreement
2022;University of Lausanne;https://doi.org/10.1159/000524741;FALSE;Swiss Consortium Karger agreement
2022;University of Lausanne;https://doi.org/10.1159/000525061;FALSE;Swiss Consortium Karger agreement
2022;University of Lausanne;https://doi.org/10.1159/000525085;TRUE;Swiss Consortium Karger agreement
2022;University of Lausanne;https://doi.org/10.1159/000527138;FALSE;Swiss Consortium Karger agreement
2022;University of Lausanne;https://doi.org/10.1159/000527313;FALSE;Swiss Consortium Karger agreement
