institution,period,euro,doi,is_hybrid,opt_out
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00103-020-03164-1,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00391-020-01700-x,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00402-020-03380-z,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00402-020-03444-0,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00405-020-06170-w,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00417-020-04780-y,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00417-020-04852-z,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00464-020-07475-x,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00464-020-07597-2,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00586-020-06590-6,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00701-020-04264-2,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00701-020-04464-w,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00784-020-03442-x,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s10049-019-00678-3,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s11469-020-00313-0,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s16024-020-00339-3,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1038/s41388-020-01473-y,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00296-020-04560-1,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s11864-020-00747-7,TRUE,TRUE
Charité – Universitätsmedizin Berlin,2020,"1400,27",10.1007/s00381-020-04832-y,TRUE,TRUE
